SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude
211628050,03/31/2020,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,QUEENS,109,1032051,217053,40.762315800000074,-73.82744800199998
211633844,03/31/2020,TRESPASS,140.05,Penal Law,TRESPASS,25-44,M,WHITE HISPANIC,0,QUEENS,101,1054256,159418,40.60397359400002,-73.74789089299998
211629476,03/31/2020,TRESPASS,140.05,Penal Law,TRESPASS,18-24,M,BLACK HISPANIC,0,BRONX,52,1015821,258508,40.87617086100005,-73.88584042899998
211628047,03/31/2020,TRESPASS,140.05,Penal Law,TRESPASS,<18,F,WHITE HISPANIC,0,BRONX,52,1015821,258508,40.87617086100005,-73.88584042899998
211633827,03/31/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,M,BLACK,0,BRONX,41,1013621,238196,40.82042804100007,-73.89388461399994
211753717,03/31/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,45-64,M,WHITE HISPANIC,2,NEW YORK,7,989865,200873,40.718033150000046,-73.97974573599998
211753713,03/31/2020,LITTERING,16-118,Administrative Code,LITTERING,25-44,M,BLACK HISPANIC,2,NEW YORK,9,989559,202085,40.72135998800008,-73.98084865299995
211660545,03/31/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,M,BLACK,0,BROOKLYN,79,998721,190087,40.68841806100005,-73.94782152999993
211633615,03/31/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,M,WHITE,0,NEW YORK,26,999174,238490,40.82127120900003,-73.94608066499995
211628046,03/31/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,<18,F,WHITE HISPANIC,0,BRONX,52,1015821,258508,40.87617086100005,-73.88584042899998
211889301,03/31/2020,KNIVES; PUBLIC POSSESSION (BLADE 4 INCHES OR MORE),10-133(B),,,25-44,M,BLACK HISPANIC,0,NEW YORK,33,1000580,245160,40.83957595800007,-73.94098451699995
212299752,03/31/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,<18,M,WHITE HISPANIC,0,NEW YORK,30,999751,241188,40.82867545800008,-73.94398971599996
211616456,03/31/2020,PUBLIC URINATION,153.09,Health Code,URINATING,45-64,M,BLACK HISPANIC,0,BRONX,48,1014282,247361,40.845581091000035,-73.89145540599996
211625768,03/31/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,0,BROOKLYN,75,1012851,180748,40.66275024300006,-73.89691086599998
211616452,03/31/2020,TRESPASS,140.05,Penal Law,TRESPASS,25-44,M,WHITE,0,BROOKLYN,81,1003410,188751,40.68474213800005,-73.93091761399995
211629478,03/31/2020,DISORDERLY CONDUCT,240.20,Penal Law,DISORDERLY CONDUCT,25-44,M,BLACK,0,BRONX,52,1010153,253042,40.86118681700003,-73.90635707999998
211630962,03/31/2020,CONGREGATES WITH OTHER PERSONS IN PUBLIC AND REFUSES TO DISPERSE BY LAWFUL POLIC,240.20(6),,,25-44,M,WHITE HISPANIC,0,BRONX,48,1014537,251566,40.85712169100003,-73.89051475299993
211614610,03/31/2020,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,M,BLACK,0,QUEENS,113,1040205,190347,40.68896665900007,-73.79823559699997
211629474,03/31/2020,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),,,45-64,M,BLACK,0,BROOKLYN,79,998014,188614,40.68437614000004,-73.950373857
211632238,03/31/2020,MOTOR VEHICLE; ENGINE ON/KEY IN IGNITION (THERE IS NO TIME REQUIREMENT),10-111(A),,,25-44,F,WHITE HISPANIC,0,BROOKLYN,62,987909,157036,40.59771123500008,-73.98682564499995
211628049,03/31/2020,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,,,0,QUEENS,109,1032051,217053,40.762315800000074,-73.82744800199998
211699195,03/31/2020,TRESPASS,140.05,Penal Law,TRESPASS,25-44,M,WHITE HISPANIC,0,STATEN ISLAND,123,930668,138826,40.54756723500003,-74.19280171699995
