Levy Year,County,County Code,Number of Basic Exemptions,Amount of Basic Reimbursement,Number of Enhanced Exemptions,Amount of  Enhanced Reimbursement,Total Amount of Reimbursement ,Data Preparation Date
2019,Albany,01,38952,21482412,11828,14441123,35923535,04/22/2020
2019,Allegany,02,6734,3566146,3518,3609225,7175371,04/22/2020
2019,Broome,03,25751,17495819,12264,18022602,35518421,04/22/2020
2019,Cattaraugus,04,11423,4984600,5564,4736080,9720680,04/22/2020
2019,Cayuga,05,11108,5673022,4888,5474895,11147917,04/22/2020
2019,Chautauqua,06,18170,9795024,9526,10570512,20365536,04/22/2020
2019,Chemung,07,11959,6764421,5571,6804550,13568971,04/22/2020
2019,Chenango,08,7346,3743274,3412,3635007,7378281,04/22/2020
2019,Clinton,09,11260,6253199,4757,5544320,11797519,04/22/2020
2019,Columbia,10,8418,3739777,3346,3239629,6979406,04/22/2020
2019,Cortland,11,5950,3154171,2798,3246941,6401112,04/22/2020
2019,Delaware,12,6484,2522519,3732,3119554,5642073,04/22/2020
2019,Dutchess,13,39423,28837038,11630,18507578,47344616,04/22/2020
2019,Erie,14,129839,60329048,50078,52693746,113022794,04/22/2020
2019,Essex,15,5246,1878128,2835,2080719,3958847,04/22/2020
2019,Franklin,16,6623,2700427,2925,2483306,5183733,04/22/2020
2019,Fulton,17,7800,3959747,3908,4077166,8036913,04/22/2020
2019,Genesee,18,9215,5861041,3709,5127038,10988079,04/22/2020
2019,Greene,19,6272,2767205,3113,2909686,5676891,04/22/2020
2019,Hamilton,20,894,183627,571,256690,440317,04/22/2020
2019,Herkimer,21,9243,5191004,4422,5102724,10293728,04/22/2020
2019,Jefferson,22,13163,3465816,5105,2961183,6426999,04/22/2020
2019,Lewis,23,4514,1374053,1893,1252230,2626283,04/22/2020
2019,Livingston,24,9278,5535419,3783,4754571,10289990,04/22/2020
2019,Madison,25,10377,6160969,4273,5482086,11643055,04/22/2020
2019,Monroe,26,100591,65193629,38941,57012010,122205639,04/22/2020
2019,Montgomery,27,6753,3609538,3396,3774204,7383742,04/22/2020
