Levy Year,School District Name,School District Code,Number of Basic Exemptions,Amount of Basic Reimbursement ,Number of Enhanced Exemptions,Amount of Enhanced Reimbursement ,Total Amount of Reimbursement ,Data Preparation Date
2019,Albany,010100,7405,4638527,2206,2977857,7616384,04/22/2020
2019,Cohoes,010300,1571,834586,678,782924,1617510,04/22/2020
2019,Watervliet,011800,920,395238,361,339728,734966,04/22/2020
2019,Berne-Knox-Westerlo,012001,1304,711291,454,542370,1253661,04/22/2020
2019,Bethlehem,012206,4861,2913813,972,1327910,4241723,04/22/2020
2019,Ravena-Coeymans-Selkirk,012402,2182,1304820,800,1052114,2356934,04/22/2020
2019,South Colonie,012601,7038,3632068,2418,2791945,6424013,04/22/2020
2019,North Colonie,012605,6024,2967064,1539,1712959,4680023,04/22/2020
2019,Menands,012615,289,150303,80,94727,245030,04/22/2020
2019,Green Island,012801,181,102388,104,134722,237110,04/22/2020
2019,Guilderland,013002,5386,2822315,1590,1902907,4725222,04/22/2020
2019,Voorheesville,013403,1442,782802,396,490493,1273295,04/22/2020
2019,Alfred-Almond,022001,683,464353,269,380992,845345,04/22/2020
2019,Andover,023001,343,234430,170,224333,458763,04/22/2020
2019,Genesee Valley,023202,593,249981,326,278729,528710,04/22/2020
2019,Belfast,023401,362,166128,211,188834,354962,04/22/2020
2019,Canaseraga,024002,287,157646,163,174828,332474,04/22/2020
2019,Cuba-Rushford,024801,1039,420844,563,454772,875616,04/22/2020
2019,Friendship,025001,315,200050,160,186410,386460,04/22/2020
2019,Fillmore,025801,587,219360,287,219639,438999,04/22/2020
2019,Whitesville,026001,178,94355,97,95981,190336,04/22/2020
2019,Scio,026601,360,233262,194,238810,472072,04/22/2020
2019,Wellsville,027001,1222,760188,703,833964,1594152,04/22/2020
2019,Bolivar-Richburg,027602,727,312534,361,285230,597764,04/22/2020
2019,Binghamton,030200,4018,2631242,2103,2755900,5387142,04/22/2020
2019,Chenango Forks,032001,1649,1108780,692,1007296,2116076,04/22/2020
2019,South Mountain-Hickory,032201,85,6434,19,3294,9728,04/22/2020
2019,Harpursville,032601,884,372026,401,354900,726926,04/22/2020
2019,Susquehanna Valley,032801,1908,1535493,926,1658015,3193508,04/22/2020
2019,Chenango Valley,033001,2012,1590419,1014,1790035,3380454,04/22/2020
2019,Maine-Endwell,033801,2757,2162062,1097,1859016,4021078,04/22/2020
2019,Deposit,034201,470,179443,314,255140,434583,04/22/2020
2019,Whitney Point,034401,1406,794771,545,653529,1448300,04/22/2020
2019,Union-Endicott,034601,4112,2913256,2103,3319269,6232525,04/22/2020
2019,Johnson City,034602,2306,1564904,1280,1874780,3439684,04/22/2020
2019,Vestal,034801,4069,2634890,1630,2348044,4982934,04/22/2020
2019,Windsor,035001,1652,1000414,733,942989,1943403,04/22/2020
2019,Olean,041200,1954,1266010,1000,1183719,2449729,04/22/2020
2019,Salamanca,041600,704,25481,449,29831,55312,04/22/2020
2019,Allegany-Limestone,042001,1187,569478,608,558808,1128286,04/22/2020
2019,West Valley,042204,381,211542,202,244988,456530,04/22/2020
2019,Ellicottville,043601,517,126131,266,151432,277563,04/22/2020
2019,Franklinville,044001,774,395214,363,362332,757546,04/22/2020
2019,Hinsdale,044601,493,132440,219,121294,253734,04/22/2020
2019,Cattaraugus - Little Valley,046402,1168,426840,498,366825,793665,04/22/2020
2019,Gowanda,047201,1203,531532,524,465222,996754,04/22/2020
2019,Portville,047401,830,539729,425,554748,1094477,04/22/2020
2019,Randolph,047601,979,280577,439,254279,534856,04/22/2020
2019,Yorkshire-Pioneer,048401,2661,1019049,1119,896736,1915785,04/22/2020
2019,Auburn,050100,3885,2069197,1768,2078316,4147513,04/22/2020
2019,Weedsport,052201,899,565561,408,567384,1132945,04/22/2020
2019,Cato-Meridian,052401,1055,536242,421,489647,1025889,04/22/2020
2019,Southern Cayuga,053001,997,390456,358,306973,697429,04/22/2020
2019,Port Byron,053801,1006,613699,498,641200,1254899,04/22/2020
2019,Moravia,054201,1046,440091,455,416685,856776,04/22/2020
2019,Union Springs,055401,971,396873,408,369183,766056,04/22/2020
2019,Dunkirk,060300,1632,863780,1083,1117868,1981648,04/22/2020
2019,Jamestown,060800,3367,1885800,1667,1671071,3556871,04/22/2020
2019,Southwestern,062201,1547,898006,812,1000928,1898934,04/22/2020
2019,Frewsburg,062401,816,600776,389,606541,1207317,04/22/2020
2019,Cassadaga Valley,062601,1105,496779,543,494001,990780,04/22/2020
2019,Chautauqua Lake,062803,888,232981,473,258631,491612,04/22/2020
2019,Pine Valley,063001,712,347560,269,268844,616404,04/22/2020
2019,Clymer,063201,477,191587,238,214622,406209,04/22/2020
2019,Bemus Point,063601,839,357614,421,383410,741024,04/22/2020
2019,Falconer,063801,1172,630974,631,696086,1327060,04/22/2020
2019,Silver Creek,064601,921,464686,511,544461,1009147,04/22/2020
2019,Forestville,064603,733,374011,349,384521,758532,04/22/2020
2019,Panama,064801,616,284194,263,326195,610389,04/22/2020
2019,Fredonia,065801,1634,1067710,790,1163189,2230899,04/22/2020
2019,Brocton,066001,568,441090,335,541412,982502,04/22/2020
2019,Ripley,066201,325,211334,207,265612,476946,04/22/2020
2019,Sherman,066601,427,205793,216,213652,419445,04/22/2020
2019,Westfield,067201,714,415145,460,554349,969494,04/22/2020
2019,Elmira,070400,5662,3369003,2692,3311175,6680178,04/22/2020
2019,Horseheads,073401,4265,2249245,1924,2283546,4532791,04/22/2020
2019,Elmira Heights,073402,951,618566,469,658826,1277392,04/22/2020
2019,Norwich,081100,1687,928183,728,824205,1752388,04/22/2020
2019,Afton,082001,609,343837,336,390351,734188,04/22/2020
2019,Bainbridge-Guilford,082201,883,496349,445,526700,1023049,04/22/2020
2019,Greene,083001,1123,570528,487,541620,1112148,04/22/2020
2019,Unadilla Valley,083803,810,330157,379,327770,657927,04/22/2020
2019,Georgetown-So Otselic Valley,084401,423,208917,171,179186,388103,04/22/2020
2019,Oxford Academy,084601,784,428025,381,426034,854059,04/22/2020
2019,Sherburne-Earlville,085601,1260,562258,610,573778,1136036,04/22/2020
2019,Plattsburgh,091300,1505,1011500,725,1055243,2066743,04/22/2020
2019,Ausable Valley,092201,1476,730606,673,677889,1408495,04/22/2020
2019,Beekmantown,092401,2109,1070531,928,970360,2040891,04/22/2020
2019,Northeastern Clinton,092801,1522,906320,679,859317,1765637,04/22/2020
2019,Chazy,093001,539,320935,223,286865,607800,04/22/2020
2019,Northern Adirondack,093601,1041,349830,449,302221,652051,04/22/2020
2019,Peru,094001,2035,1182922,730,896418,2079340,04/22/2020
2019,Saranac,094401,1856,1092708,731,902357,1995065,04/22/2020
2019,Hudson,100600,1563,712860,688,695071,1407931,04/22/2020
2019,Taconic Hills,102801,1559,518420,684,504083,1022503,04/22/2020
2019,Germantown,103602,686,281867,321,287550,569417,04/22/2020
2019,Chatham,103801,1428,665612,505,518260,1183872,04/22/2020
2019,Kinderhook,104401,2210,1131405,807,916277,2047682,04/22/2020
2019,New Lebanon,104801,670,261257,267,226810,488067,04/22/2020
2019,Cortland,110200,2099,1081590,1080,1253953,2335543,04/22/2020
2019,Cincinnatus,112001,547,271311,291,300718,572029,04/22/2020
2019,Mc Graw,112204,557,299034,240,276581,575615,04/22/2020
2019,Homer,113001,1981,1134554,848,1082276,2216830,04/22/2020
2019,Marathon,113401,713,302142,319,273063,575205,04/22/2020
2019,Andes,122002,178,38482,147,70329,108811,04/22/2020
2019,Downsville,122401,334,91047,177,107689,198736,04/22/2020
2019,Charlotte Valley,122601,438,164329,261,205091,369420,04/22/2020
2019,Delhi,122801,1033,417303,485,438632,855935,04/22/2020
2019,Franklin,123201,344,136036,159,141624,277660,04/22/2020
2019,Hancock,123606,337,121936,220,176926,298862,04/22/2020
2019,Margaretville,124601,459,113777,356,198457,312234,04/22/2020
2019,Roxbury,124802,349,127979,242,198503,326482,04/22/2020
2019,Sidney,125001,1024,485456,573,582682,1068138,04/22/2020
2019,Stamford,125201,423,199778,229,240965,440743,04/22/2020
2019,South Kortright,125202,438,192499,254,240478,432977,04/22/2020
2019,Walton,125601,973,345896,510,396352,742248,04/22/2020
2019,Beacon,130200,2692,1623538,818,1132457,2755995,04/22/2020
2019,Poughkeepsie,131300,2101,1221964,777,1025232,2247196,04/22/2020
2019,Dover,132602,1204,1054694,350,658924,1713618,04/22/2020
2019,Hyde Park,133201,4131,3613292,1452,2758835,6372127,04/22/2020
2019,Northeast,133801,662,293411,317,310751,604162,04/22/2020
2019,Pawling,134001,1318,1145444,386,761599,1907043,04/22/2020
2019,Pine Plains,134201,1370,620829,536,550715,1171544,04/22/2020
2019,Arlington,134601,8437,7624269,1979,3907774,11532043,04/22/2020
2019,Spackenkill,134602,1353,1240563,336,659641,1900204,04/22/2020
2019,Red Hook,134801,1733,1346703,645,1134570,2481273,04/22/2020
2019,Rhinebeck,135001,1301,763358,537,705575,1468933,04/22/2020
2019,Wappingers,135601,12124,7489515,3240,4441888,11931403,04/22/2020
2019,Millbrook,135801,1075,582656,324,401895,984551,04/22/2020
2019,Buffalo,140200,22105,5609682,6357,3064732,8674414,04/22/2020
2019,Lackawanna,140900,2037,683974,1022,672567,1356541,04/22/2020
2019,Tonawanda,141600,2481,1170353,1174,1242571,2412924,04/22/2020
2019,Alden,142001,2208,1121170,898,1008954,2130124,04/22/2020
2019,Amherst,142201,3968,2309975,1204,1581126,3891101,04/22/2020
2019,Williamsville,142203,11870,5919147,3617,4024752,9943899,04/22/2020
2019,Sweet Home,142207,3982,1604528,1871,1717100,3321628,04/22/2020
2019,East Aurora,142401,2250,993560,859,861767,1855327,04/22/2020
2019,Cheektowaga,143001,2966,1459977,1420,1480169,2940146,04/22/2020
2019,Cheektowaga-Maryvale,143002,2946,1551564,1525,1788775,3340339,04/22/2020
2019,Cleveland Hill,143003,1947,1494167,690,1160832,2654999,04/22/2020
2019,Depew,143007,2459,1487902,1277,1753123,3241025,04/22/2020
2019,Cheektowaga-Sloan,143009,1885,1691810,945,1898737,3590547,04/22/2020
2019,Clarence,143201,4695,1913911,1443,1273180,3187091,04/22/2020
2019,Springville-Griffith,143801,2338,1168707,916,1002314,2171021,04/22/2020
2019,Eden,144001,1947,1070252,728,908699,1978951,04/22/2020
2019,Iroquois,144201,3397,1567516,1344,1397904,2965420,04/22/2020
2019,Evans-Brant,144401,2823,1339327,1324,1331670,2670997,04/22/2020
2019,Grand Island,144601,3771,2067093,1249,1553163,3620256,04/22/2020
2019,Hamburg,144801,4240,2363922,1663,2103017,4466939,04/22/2020
2019,Frontier,144804,6294,2679232,2547,2409487,5088719,04/22/2020
2019,Holland,145001,1338,529548,476,422149,951697,04/22/2020
2019,Lancaster,145201,7781,3578580,2849,2873929,6452509,04/22/2020
2019,Akron,145601,1587,684275,744,675883,1360158,04/22/2020
2019,North Collins,145801,799,399172,301,329523,728695,04/22/2020
2019,Orchard Park,146001,5536,2966073,1879,2286495,5252568,04/22/2020
2019,Kenmore,146401,11046,6328213,5307,6938796,13267009,04/22/2020
2019,West Seneca,146801,9117,4668313,4433,5024263,9692576,04/22/2020
2019,Crown Point,152203,314,94065,160,97651,191716,04/22/2020
2019,Boquet Valley,152402,587,234238,311,267169,501407,04/22/2020
2019,Keene,153001,103,47344,70,41052,88396,04/22/2020
2019,Minerva,153401,148,47114,108,70751,117865,04/22/2020
2019,Moriah,153601,694,372062,414,442868,814930,04/22/2020
2019,Newcomb,153801,83,6158,50,7907,14065,04/22/2020
2019,Lake Placid,154002,673,144178,341,146890,291068,04/22/2020
2019,Schroon Lake,154601,325,73991,192,94593,168584,04/22/2020
2019,Ticonderoga,154801,747,211397,481,289240,500637,04/22/2020
2019,Willsboro,155201,378,128360,239,160747,289107,04/22/2020
2019,Tupper Lake,162001,922,345428,403,309053,654481,04/22/2020
2019,Chateaugay,163401,571,225476,261,223521,448997,04/22/2020
2019,Salmon River,164201,613,184252,324,201274,385526,04/22/2020
2019,Saranac Lake,164601,1623,450595,577,347946,798541,04/22/2020
2019,Malone,164801,2369,1119990,1078,1032666,2152656,04/22/2020
2019,Brushton-Moira,165001,805,398957,343,355707,754664,04/22/2020
2019,St. Regis Falls,165401,353,176518,193,191683,368201,04/22/2020
2019,Gloversville,170500,2115,1354568,1159,1407658,2762226,04/22/2020
2019,Johnstown,170800,1646,739559,726,704554,1444113,04/22/2020
2019,Broadalbin-Perth,172201,1831,953859,809,898753,1852612,04/22/2020
2019,Wheelerville,172401,251,61036,156,83537,144573,04/22/2020
2019,Mayfield,173001,1004,490269,544,561564,1051833,04/22/2020
2019,Northville,173201,451,144156,254,183409,327565,04/22/2020
2019,Batavia,180200,2315,1472626,972,1345004,2817630,04/22/2020
2019,Alexander,182202,966,595861,380,523122,1118983,04/22/2020
2019,Byron-Bergen,183001,1246,899595,486,720668,1620263,04/22/2020
2019,Elba,183401,467,281561,196,257588,539149,04/22/2020
2019,Le Roy,183601,1308,904509,514,776243,1680752,04/22/2020
2019,Oakfield-Alabama,183801,867,550314,334,471657,1021971,04/22/2020
2019,Pavilion,184001,854,517515,359,469526,987041,04/22/2020
2019,Pembroke,184202,1241,703191,495,627248,1330439,04/22/2020
2019,Cairo-Durham,192401,1249,496269,692,591409,1087678,04/22/2020
2019,Catskill,192601,1563,757014,688,726374,1483388,04/22/2020
2019,Coxsackie-Athens,192801,1426,673611,638,657206,1330817,04/22/2020
2019,Greenville,193201,1451,790669,646,768045,1558714,04/22/2020
2019,Hunter-Tannersville,193601,440,135859,283,189176,325035,04/22/2020
2019,Windham-Ashland-Jewett,194601,380,86952,238,120571,207523,04/22/2020
2019,Piseco,202001,63,3116,30,3317,6433,04/22/2020
2019,Indian Lake,202601,246,50362,147,65690,116052,04/22/2020
2019,Inlet,202801,57,5833,46,10774,16607,04/22/2020
2019,Lake Pleasant,203001,148,34157,92,47890,82047,04/22/2020
2019,Long Lake,203201,99,11429,81,21006,32435,04/22/2020
2019,Raquette Lake,203202,17,173,13,343,516,04/22/2020
2019,Wells,203601,158,45874,115,74774,120648,04/22/2020
2019,Little Falls,210900,975,790464,467,714445,1504909,04/22/2020
2019,West Canada Valley,212402,864,433844,327,357844,791688,04/22/2020
2019,Frankfort-Schuyler,212602,1132,737635,530,709558,1447193,04/22/2020
2019,Central Valley,212803,1947,1076436,980,1108172,2184608,04/22/2020
2019,Herkimer,213001,1079,690497,643,841900,1532397,04/22/2020
2019,Dolgeville,213602,798,304660,419,364445,669105,04/22/2020
2019,Poland,213803,817,315350,301,244319,559669,04/22/2020
2019,Van Hornesville-Owen D. Young,215001,242,118468,107,115396,233864,04/22/2020
2019,Town Of Webb,215401,340,29425,244,47650,77075,04/22/2020
2019,Mount Markham,215601,1186,641012,501,570309,1211321,04/22/2020
2019,Watertown,221800,2623,729195,1047,636631,1365826,04/22/2020
