the_geom,OBJECTID,GIS_ID,PLANNING_AREA_NAME,NEIGHBORHOOD_PLANNING_STATUS,NEIGHBORHOOD_NUMBER,ORDINANCE_NUMBER,DATE_ZONING_APPROVED,NEIGHBORHOOD_SUB_DISTRICT,SUBDISTRICT_NUMBER,COMBINED_NPA,COMBINED,INFILL_OPTION_CODES,INTERNET_ADDRESS,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,Shape__Area,Shape__Length
"MULTIPOLYGON (((-97.703804769443 30.342548314202, -97.703916368874 30.34238007785, -97.70427948139 30.341826452048, -97.704421747718 30.341609340089, -97.704928698143 30.340838622818, -97.705647302851 30.33974769763, -97.706287211946 30.33875142215, -97.706517340315 30.338393085366, -97.706594614177 30.338262652482, -97.706869621246 30.337828225964, -97.707093490183 30.337467013276, -97.707170463358 30.337347569983, -97.707211929497 30.337367673638, -97.707311274953 30.33741646635, -97.707441938035 30.337479652186, -97.70758742889 30.337551390828, -97.707749167041 30.337579450688, -97.708160288806 30.337794146926, -97.708367590249 30.337924913258, -97.708488898152 30.337982403943, -97.708619561977 30.33804557954, -97.708655557518 30.338062823976, -97.708827614482 30.338148856806, -97.709014647086 30.338237943562, -97.709184407739 30.338321182145, -97.709362010505 30.338407327736, -97.709406643529 30.33842749547, -97.709536514205 30.338490653879, -97.709713335696 30.338576783888, -97.709887765107 30.338662863802, -97.710066163485 30.338749024672, -97.71018667908 30.338806497502, -97.710493438718 30.338953046751, -97.710753184887 30.339079371203, -97.710773110447 30.339104535646, -97.710953817895 30.339193487429, -97.711135382129 30.33927971152, -97.711283259446 30.339351494666, -97.71144984865 30.339434665323, -97.711616514007 30.339515082437, -97.711782456785 30.339592736897, -97.711949842239 30.339675923167, -97.712117299699 30.339756354905, -97.712281584138 30.33983672156, -97.712446746117 30.339914359179, -97.712614130621 30.339997544541, -97.712782373138 30.340077992336, -97.713045525728 30.340196131452, -97.713205132517 30.340273654552, -97.713410972419 30.340371376448, -97.713582392715 30.340451887194, -97.713748340766 30.340529539156, -97.713911124297 30.340607118133, -97.714156770336 30.340727653069, -97.714318759937 30.340805223419, -97.714487090229 30.340882923059, -97.714660810513 30.34096622696, -97.714826695979 30.341046631091, -97.714969170483 30.341112797922, -97.71499343857 30.341124289507, -97.715154638252 30.341201842646, -97.715322895409 30.341282286424, -97.71548409458 30.341359839129, -97.715571784459 30.34140013804, -97.715599939445 30.341414464636, -97.715625562074 30.341434242062, -97.715648804917 30.34145396278, -97.715668731205 30.341479126444, -97.715683905812 30.341504192201, -97.715696635226 30.3415319566, -97.715703806097 30.341559606625, -97.715707814011 30.341587192081, -97.715706993634 30.341617425728, -97.715701493946 30.341644817099, -97.715692831289 30.341672143901, -97.715679404425 30.341699373446, -97.715633811797 30.341772704347, -97.715543353523 30.341922126799, -97.715494362538 30.342003637565, -97.715483887288 30.342039176639, -97.715497184268 30.342075201031, -97.715528990009 30.342100607236, -97.715886977177 30.342259185069, -97.716046020005 30.342328443725, -97.71601536644 30.342377322799, -97.714988540231 30.343962569274, -97.714964588615 30.343997843972, -97.714866993186 30.344147121194, -97.714639326613 30.344502765392, -97.714524270304 30.344681946132, -97.714437570959 30.344809435443, -97.714181021349 30.345236005741, -97.714104770431 30.345358214744, -97.712711623705 30.347585054623, -97.712581737669 30.347521899382, -97.712051251544 30.347263522891, -97.710782205076 30.346643490248, -97.710328401946 30.346422428554, -97.709608684767 30.345951148354, -97.707050538613 30.344751873545, -97.706440114965 30.344431327029, -97.706134856841 30.344287553922, -97.705843664835 30.344122068036, -97.705305764766 30.343816752918, -97.704758763058 30.343409486098, -97.704458878822 30.34315580422, -97.703926353246 30.342682824294, -97.703804769443 30.342548314202)))",61,4,HIGHLAND,PLAN APPROVED,26,20040513-030,05/13/2004 12:00:00 AM +0000,NONE,,Brentwood/Highand Combined NPA,YES,SLA/SA/PP/GP/FP,ftp://ftp.ci.austin.tx.us/npzd/Austingo/brent-highland-np.pdf,,,,,7787902.00976563,11236.9184107629
"MULTIPOLYGON (((-97.801797691029 30.201502025974, -97.80174749432 30.201575373453, -97.800987765777 30.202685482425, -97.799715954991 30.204547389443, -97.798039831581 30.207003257267, -97.796676768213 30.209001706755, -97.795958107656 30.210052130244, -97.793701518062 30.213341283437, -97.79351330246 30.213491035829, -97.791954838788 30.212665277171, -97.791380209759 30.212359587733, -97.790296260015 30.211944775314, -97.786926769413 30.210659436768, -97.784743563823 30.20945261922, -97.784327711153 30.209251821127, -97.783857118953 30.209025185454, -97.782557159724 30.208908530512, -97.781478373535 30.208540501857, -97.782347270608 30.206783868144, -97.783830882341 30.203840332205, -97.784510886754 30.20242921481, -97.785684514416 30.200549359544, -97.786961637812 30.198465281692, -97.787795593479 30.197156218725, -97.788595655807 30.197524159034, -97.789855132145 30.198030485899, -97.790367961597 30.198274447042, -97.791089943855 30.198572071467, -97.79205055403 30.198945923982, -97.792781191969 30.199155699291, -97.793615257033 30.199315254594, -97.795009534002 30.199422664511, -97.79619897823 30.199583753155, -97.797914518936 30.200118290197, -97.798727511863 30.20047817303, -97.801797691029 30.201502025974)))",71,321,GARRISON PARK,PLAN APPROVED,6,20141106-085,11/06/2014 12:00:00 AM +0000,EAST GARRISON PARK,,South Austin Combined NPA,YES,SLA/SA/PP/GP/FP,ftp://ftp.ci.austin.tx.us/npzd/Austingo/SACNP_FINAL.pdf,,,,,21220596.2148438,18664.8799786014
"MULTIPOLYGON (((-97.752840259002 30.288545831284, -97.752520862718 30.288520153797, -97.75147057833 30.288449486978, -97.750855462868 30.288401340067, -97.750451472269 30.288368451176, -97.749334957064 30.288315685238, -97.749443724975 30.287330503834, -97.749535632811 30.286501760707, -97.749626996976 30.285604241011, -97.749324332559 30.285545878717, -97.749510809231 30.283877432533, -97.749534822126 30.283809158287, -97.749913266369 30.283907547125, -97.750113011467 30.283933575384, -97.750360445141 30.283894560084, -97.751025437452 30.283795192385, -97.751948930519 30.283687285863, -97.751993753011 30.283729443729, -97.752037778514 30.283771585526, -97.752463427884 30.284178957715, -97.752603493469 30.284333046775, -97.752902996697 30.284658113775, -97.753055841857 30.285164510493, -97.753098737718 30.285308385199, -97.753181015086 30.285579581659, -97.753186006043 30.285926219704, -97.753178317879 30.286036078278, -97.75314719347 30.286489257665, -97.753142651909 30.286629438682, -97.753122954827 30.286832562331, -97.753117380989 30.286892959268, -97.753098485834 30.287096107185, -97.753002517282 30.2876332387, -97.752852390571 30.288477317188, -97.752840259002 30.288545831284)))",14,49,WEST UNIVERSITY,PLAN APPROVED,7,20040826-056,08/26/2004 12:00:00 AM +0000,WEST UNIVERSITY NEIGHBORHOOD,,Central Austin Combined NPA,YES,SLA/PP/GP/FP,ftp://ftp.ci.austin.tx.us/npzd/Austingo/ca-combined-np.pdf,,,,,1853812.69335938,5505.22988294284
"MULTIPOLYGON (((-97.719629650047 30.304861810872, -97.72014072113 30.305097753921, -97.72094478261 30.305488197451, -97.722149719041 30.305999563609, -97.723087070046 30.306472464333, -97.723675799501 30.306767736291, -97.724185910156 30.306981651274, -97.724487067171 30.307097795087, -97.724668347198 30.30687045022, -97.725889035914 30.304923280071, -97.726536599439 30.303891315457, -97.726702028805 30.303663645618, -97.726799985771 30.30352812002, -97.726924371498 30.303294123605, -97.727057135573 30.303043789017, -97.727228573806 30.302769491983, -97.727557312969 30.302245349525, -97.728477069072 30.300844866129, -97.728716391279 30.300492183097, -97.728870667869 30.300236781491, -97.729785800129 30.298712429057, -97.730936663503 30.299288616868, -97.731578435347 30.299584930664, -97.732145986988 30.299871485713, -97.732616601877 30.300109321726, -97.733555999877 30.300535429684, -97.734710725736 30.301086915216, -97.735249018888 30.301342601964, -97.736319053428 30.301862105758, -97.738154265078 30.302746382623, -97.737650679831 30.303498034159, -97.737305605342 30.304071365172, -97.736533777851 30.305249386822, -97.735804003189 30.306395249589, -97.735107996368 30.307522539753, -97.734357974251 30.308654232983, -97.733672845821 30.30972947739, -97.732983340374 30.310848638022, -97.732646041144 30.311367118476, -97.731659088276 30.312818529935, -97.731118223165 30.31368491918, -97.726377286288 30.311402051451, -97.726289912284 30.311526796192, -97.72619647399 30.3116706628, -97.726102243361 30.31181451323, -97.726008010347 30.311958364453, -97.725913862689 30.312099469702, -97.725818837055 30.312243304677, -97.725724603006 30.312387162909, -97.725621290003 30.312544579138, -97.725543639733 30.312661262942, -97.725443637565 30.312813253807, -97.725349479112 30.312954350342, -97.725299080568 30.31303034214, -97.725255245723 30.313098209179, -97.725233834812 30.313128023857, -97.725160141846 30.313244788867, -97.725065982338 30.313385893313, -97.724971755625 30.313529743075, -97.724923877198 30.313600283504, -97.724873478225 30.313676266119, -97.72479734021 30.313795727934, -97.724702311023 30.313939570212, -97.724607291152 30.314083403592, -97.724513847851 30.314227269895, -97.724419686439 30.314368373874, -97.72432458009 30.314514951149, -97.724230418121 30.314656054991, -97.724128751346 30.314810757798, -97.724050240244 30.314930179034, -97.723979858399 30.315041508313, -97.723955058252 30.315079512096, -97.72390213901 30.315160945583, -97.72385007793 30.315239640749, -97.723822824067 30.315280341308, -97.723745097015 30.315399778336, -97.723668161858 30.315519231442, -97.723641701982 30.315559949032, -97.723590434641 30.315638660261, -97.723536720617 30.315720077432, -97.723511910766 30.31575808094, -97.723394459895 30.315939965443, -97.723365295026 30.315933870054, -97.723092123127 30.31580728797, -97.722843736988 30.315672961656, -97.722604608409 30.315577331981, -97.721749889438 30.315122620218, -97.720832658554 30.314694123212, -97.719931895408 30.314213705632, -97.719068460502 30.313789039143, -97.718191792261 30.313355856483, -97.717314340863 30.312922651696, -97.716451010748 30.312495222528, -97.715724895696 30.312180604677, -97.715347394293 30.31207388717, -97.716015973021 30.310448317231, -97.717800231074 30.307715119471, -97.719629650047 30.304861810872)))",46,29,HYDE PARK,PLAN APPROVED,74,20000413-063,01/31/2002 12:00:00 AM +0000,NONE,,HYDE PARK,NO,,ftp://ftp.ci.austin.tx.us/npzd/Austingo/hydepark-np.pdf,,,,,21147458.8808594,22268.63759226
"MULTIPOLYGON (((-97.677395295355 30.351667530323, -97.678994275124 30.352650903634, -97.680903981587 30.353812573508, -97.681435631268 30.354142610345, -97.682071503657 30.354546315019, -97.682442410969 30.354782261642, -97.682814121587 30.355018233687, -97.683752438567 30.355666948385, -97.683674514983 30.355749542812, -97.68350333118 30.355977726736, -97.683378678339 30.356169878885, -97.683286413786 30.356316740425, -97.683178061601 30.356485795913, -97.68307043703 30.35665376638, -97.682962645442 30.356822007631, -97.682854821512 30.356990276106, -97.682747029172 30.357158517178, -97.68263889108 30.357326641837, -97.682531036335 30.357494854386, -97.682423179431 30.357663093878, -97.682315322894 30.357831306226, -97.682207995382 30.357998731744, -97.682076877407 30.35820323593, -97.681960072874 30.358385427336, -97.681833138445 30.358580748769, -97.681715322842 30.358746581886, -97.681637416532 30.358781688962, -97.68129289132 30.358571724162, -97.681125678738 30.358479785647, -97.680943982822 30.358390931215, -97.680765763972 30.358304788734, -97.680585948281 30.358217925373, -97.680407543085 30.35813169551, -97.68022929325 30.358045578694, -97.680051011023 30.357959515998, -97.67993020393 30.358096819847, -97.679843902247 30.358268776096, -97.679745215609 30.358426256684, -97.679645775045 30.358582347313, -97.679545573218 30.358738449191, -97.679445641079 30.358896234063, -97.679347046657 30.359051488363, -97.679248042535 30.359207779948, -97.679148509699 30.359364858207, -97.679048869347 30.359521218602, -97.678949802632 30.359677480712, -97.67885017392 30.359834528805, -97.678750783319 30.359991004248, -97.678645424382 30.360156872354, -97.678542620306 30.360271416597, -97.678409128664 30.360358948677, -97.678360185405 30.360382193605, -97.678328195642 30.360373692592, -97.678285107287 30.36032021296, -97.678246749694 30.36027571587, -97.678160652362 30.36019351167, -97.678088522878 30.36013846792, -97.677937323608 30.360043199505, -97.67777243012 30.359954578372, -97.677617601673 30.359877083975, -97.677449326742 30.359797276115, -97.677282572023 30.359717554556, -97.677115122803 30.359637708302, -97.676949980616 30.359559339847, -97.676782498218 30.359479546603, -97.676605640339 30.359394746644, -97.676397040906 30.359282115233, -97.676203796699 30.359187706207, -97.675997595831 30.359085904301, -97.675798183901 30.358987461445, -97.675584518859 30.358886082603, -97.675361438702 30.358781070282, -97.675211785739 30.358708473497, -97.675151091985 30.358677833837, -97.674947911433 30.358565476549, -97.674729660089 30.358474039924, -97.674546058728 30.35838777711, -97.674260387124 30.358253576003, -97.674620978244 30.357628130944, -97.67487927213 30.357226344621, -97.675011881086 30.357020090845, -97.675138359185 30.356823336234, -97.675259567041 30.356634833536, -97.675397410322 30.356420381674, -97.675517128573 30.356234130852, -97.675643239593 30.356037972765, -97.675759343739 30.355857367798, -97.675855917126 30.355680015287, -97.675927051388 30.355475155066, -97.67596446194 30.35520740909, -97.675922020351 30.354879590707, -97.675860508928 30.354551018911, -97.67585057715 30.354381993548, -97.675857180902 30.3542401551, -97.675875720178 30.35411402138, -97.67593817137 30.353890470279, -97.676017783263 30.353680615208, -97.676069626463 30.353579649829, -97.67623703778 30.353338654305, -97.67637975913 30.353114383004, -97.676546714234 30.352853666545, -97.676685662688 30.352632484053, -97.676843516045 30.352387489981, -97.677048047237 30.352109535718, -97.67731576687 30.351766496162, -97.677359093761 30.351710982581, -97.677395295355 30.351667530323)))",29,80,WINDSOR HILLS,PLAN APPROVED,91,20110113-059,01/13/2011 12:00:00 AM +0000,EAST RUNDBERG LANE,,Heritage Hills Windsor Hills Combined NPA,YES,SLA/CL/UH/PP/GP/FP,ftp://ftp.ci.austin.tx.us/npzd/Austingo/hhwh-np.pdf,,,,,5006522.52734375,9588.85834610329
"MULTIPOLYGON (((-97.719915558533 30.273791325345, -97.720107361134 30.274782618455, -97.720362517882 30.275775203149, -97.720556460913 30.276805036887, -97.720783268319 30.277791540139, -97.721002703759 30.278816391278, -97.721244340394 30.279811445203, -97.720176028419 30.280001443698, -97.720005492574 30.280008971067, -97.719256464847 30.280139460725, -97.718614604532 30.28020337481, -97.718277857871 30.28029276576, -97.717278745841 30.280442897147, -97.716239663963 30.280605955405, -97.71527608963 30.28075954382, -97.714311256743 30.280959858084, -97.713378853387 30.281103073413, -97.712446531398 30.28124352791, -97.711544415034 30.281409351387, -97.709465292357 30.281710592753, -97.709269686832 30.281736838806, -97.708504897906 30.281833946391, -97.708507986375 30.281341690871, -97.70853583298 30.281279003885, -97.708585539198 30.281170007622, -97.708925237461 30.280156576422, -97.709646395177 30.278312101442, -97.711007760997 30.27517980113, -97.71151747109 30.275080216782, -97.712105609043 30.275009737418, -97.713066675033 30.274858869421, -97.713967637361 30.274704018946, -97.714992410193 30.274540686204, -97.715985809638 30.274365709423, -97.716978301309 30.274223702595, -97.717952296426 30.274092316542, -97.71888528581 30.273924333736, -97.719915558533 30.273791325345)))",38,66,CHESTNUT,PLAN APPROVED,12,19990715-113,12/07/2000 12:00:00 AM +0000,NONE,,CHESTNUT,NO,SLA/CL/UH/SA,ftp://ftp.ci.austin.tx.us/npzd/Austingo/chestnut-np.pdf,,,,,7901978.63476563,11733.8695544569
"MULTIPOLYGON (((-97.772058079153 30.191424269664, -97.77197206746 30.191623320194, -97.771820343878 30.191972322691, -97.772196367177 30.192089857267, -97.772561305824 30.192207169018, -97.772363802406 30.192670771047, -97.77282495767 30.192622241658, -97.773143279732 30.19258735277, -97.773007016461 30.192950417311, -97.772965724658 30.192955093991, -97.77320838077 30.194461609, -97.773675146796 30.194440691597, -97.773999283217 30.194425170624, -97.774215618414 30.194415743301, -97.774481870156 30.194404557512, -97.774916991516 30.194383003156, -97.77513886321 30.194373684908, -97.775004174544 30.194767032709, -97.774870430629 30.195154905896, -97.774782099402 30.195411672846, -97.774512793921 30.196195629743, -97.774843600023 30.196287496197, -97.774383343688 30.197287663239, -97.774690770658 30.197395570009, -97.774087763071 30.198585403899, -97.773793921774 30.198472264898, -97.77376018993 30.198460594793, -97.773466289115 30.198350200531, -97.772620805178 30.198025266555, -97.771655016623 30.199133574728, -97.77111903005 30.198779062172, -97.770775969003 30.198552171427, -97.769793829728 30.199649134979, -97.770894524768 30.19787246024, -97.771118479476 30.197516656539, -97.771152363339 30.197462328487, -97.771181294211 30.197416150425, -97.771118432744 30.197428644037, -97.771062757984 30.197438534741, -97.77104333776 30.197454644332, -97.771029090952 30.197484607171, -97.771025911284 30.197514804115, -97.771014824822 30.197544830197, -97.770997406914 30.197574742205, -97.770973816542 30.19759901564, -97.770954383525 30.197615135791, -97.770922301082 30.197630990159, -97.770886412665 30.197641278568, -97.770849010929 30.197648779157, -97.770811107479 30.197645273887, -97.770774141316 30.197636274121, -97.770740492528 30.197621849151, -97.770710141679 30.197601987763, -97.770685482634 30.197576748698, -97.770667228846 30.197548880304, -97.770655368892 30.197518382353, -97.770651496858 30.197485310215, -97.770654751489 30.197452369887, -97.770665909082 30.197419587734, -97.770683253959 30.197392431832, -97.77069879373 30.19737348891, -97.77072426439 30.197338246524, -97.770659023306 30.197350692285, -97.7705794002 30.197368352568, -97.770459571936 30.196813136417, -97.771074972072 30.196679687767, -97.770902373041 30.196054667462, -97.77088865517 30.19600488834, -97.77088146789 30.195977241451, -97.770839596251 30.19582513669, -97.769927616127 30.195710620727, -97.769413877677 30.19574158884, -97.76901569145 30.195653852151, -97.768629073328 30.195607600521, -97.768509107775 30.195594201632, -97.768978148206 30.194712493872, -97.76962457017 30.194692433565, -97.769813860844 30.194687974547, -97.770051557897 30.194678981941, -97.770083202076 30.194679615454, -97.77008270964 30.194638351021, -97.770071710547 30.194038564356, -97.770071447237 30.193989055403, -97.770064421234 30.193716630961, -97.770039265618 30.192695758913, -97.770175071919 30.192439953653, -97.770242506539 30.192314784231, -97.771118840641 30.192249815456, -97.771427378491 30.192225738964, -97.771639819111 30.192213491464, -97.77160602898 30.191995537801, -97.771550202327 30.191623128924, -97.771526676297 30.191465889095, -97.772058079153 30.191424269664)))",15,42,SWEETBRIAR,PLAN APPROVED,53,20050818-Z001,08/18/2005 12:00:00 AM +0000,NORTH BLUFF,,South Congress Combined NPA,YES,SLA/CL/UH/SA/CS/FP,ftp://ftp.ci.austin.tx.us/npzd/Austingo/scongress-np.pdf,,,,,2870151.734375,11050.0294887546
"MULTIPOLYGON (((-97.676013485639 30.350856417621, -97.677352781251 30.345751939146, -97.677377882308 30.34567543918, -97.677474795376 30.345380407321, -97.677692848039 30.344716579301, -97.677741308499 30.344569058404, -97.677800320664 30.344498774049, -97.678248624123 30.343966228312, -97.678582141208 30.343571579854, -97.679350232273 30.342941130587, -97.680086669598 30.342106504333, -97.680617012531 30.341443631718, -97.680712248526 30.341324581355, -97.68238484854 30.338817809806, -97.683297806353 30.337384480251, -97.686307938009 30.332581223991, -97.687789940981 30.333285656094, -97.690256317987 30.334458674212, -97.691604561843 30.335099801791, -97.692948932778 30.335738071182, -97.694416207514 30.336433871304, -97.695421133198 30.33690561391, -97.696228306458 30.337304523943, -97.696453701141 30.337410916896, -97.699651836306 30.33893710222, -97.700142216617 30.339180955157, -97.697093484146 30.343964477872, -97.695341657611 30.346711837329, -97.691714217789 30.352401971862, -97.689634400758 30.355678827682, -97.688019270768 30.358225392143, -97.687790406811 30.358099650913, -97.686215567199 30.357239293695, -97.685801624461 30.357010707553, -97.685231750811 30.35662764106, -97.684307682613 30.356006226785, -97.683809259109 30.355707139304, -97.683769605424 30.355678816225, -97.682814121587 30.355018233687, -97.682442410969 30.354782261642, -97.682071503657 30.354546315019, -97.681435631268 30.354142610345, -97.680903981587 30.353812573508, -97.678994275124 30.352650903634, -97.677328191303 30.351626259927, -97.676013485639 30.350856417621)))",25,78,HERITAGE HILLS,PLAN APPROVED,88,20110113-059,01/13/2011 12:00:00 AM +0000,NONE,,Heritage Hills Windsor Hills Combined NPA,YES,SLA/PP/GP/FP,ftp://ftp.ci.austin.tx.us/npzd/Austingo/hhwh-np.pdf,,,,,38083252.4140625,25034.0452044088
"MULTIPOLYGON (((-97.722327240215 30.262123982074, -97.722484009648 30.261687121186, -97.722914715711 30.260873546222, -97.722987304251 30.260737507815, -97.723395133307 30.259832699424, -97.723805959119 30.258933451678, -97.724233065821 30.258018026899, -97.724608910205 30.257123568912, -97.725031887451 30.256213560316, -97.726302053297 30.253524818578, -97.727096221598 30.251684493914, -97.727583389221 30.25088855533, -97.727618988281 30.250831516815, -97.727700191289 30.250698407099, -97.728020802708 30.250498651142, -97.729107836161 30.249866163949, -97.728917341779 30.248707147237, -97.728912616451 30.24867680103, -97.72922723763 30.248845460729, -97.729430716599 30.248965112932, -97.730140435916 30.24916656892, -97.730866347984 30.249384836572, -97.731244807647 30.249535543798, -97.731342987201 30.249595291484, -97.731474784089 30.24964197919, -97.731639088846 30.249716822227, -97.731837372062 30.249764858881, -97.732114916681 30.249957516874, -97.732613196305 30.250217911561, -97.733106984061 30.25040946274, -97.733517886724 30.250591071719, -97.734014055714 30.250694646903, -97.734599896625 30.250879810734, -97.734802298025 30.250922415662, -97.735077152394 30.251068263073, -97.73531793169 30.251067643738, -97.735558774434 30.251094528612, -97.736043330148 30.251335386243, -97.735852035897 30.251763311698, -97.735870211105 30.252000205622, -97.73590357171 30.252143902268, -97.735939870707 30.252295906784, -97.736065566632 30.252834771872, -97.736171452285 30.253285222618, -97.736287323537 30.253777128955, -97.736321205544 30.253989594497, -97.736449801269 30.254803552645, -97.736764809561 30.255076722038, -97.736808184119 30.255113353709, -97.73698789033 30.25599986131, -97.737020754674 30.256338816153, -97.737034475222 30.25647661109, -97.737046907293 30.256603375857, -97.737072417145 30.256862428173, -97.737170586069 30.257865545899, -97.737148006385 30.258145614703, -97.736818153946 30.259602114708, -97.736455470896 30.260659147834, -97.736277349532 30.261156101828, -97.735756757553 30.262605986772, -97.735290096794 30.263905684108, -97.73506573626 30.264530966977, -97.734858549705 30.26510708358, -97.734728366097 30.265470245897, -97.734398547627 30.266217146197, -97.73407162256 30.266150005227, -97.733304295894 30.265906159297, -97.732818466345 30.265739528489, -97.732468476519 30.265616916527, -97.732043095769 30.265470763956, -97.729960933032 30.264754630426, -97.728603994343 30.264286997947, -97.727341251155 30.263851524152, -97.726328048099 30.263503616733, -97.725298438788 30.263147118879, -97.722327240215 30.262123982074)))",32,35,EAST CESAR CHAVEZ,PLAN APPROVED,78,19990513-070,12/14/2000 12:00:00 AM +0000,NONE,,EAST CESAR CHAVEZ,NO,SLA/SA,ftp://ftp.ci.austin.tx.us/npzd/Austingo/ecc-np.pdf,,,,,18999946.0097656,17660.7722448021
"MULTIPOLYGON (((-97.76374403074 30.285890819444, -97.764414046989 30.28497738789, -97.764831293208 30.28427342, -97.765147311091 30.283740682985, -97.765299753262 30.283460457801, -97.765648941109 30.282961390088, -97.76582764665 30.2827064444, -97.766007729232 30.282399258148, -97.766206123388 30.282059440898, -97.767192927836 30.280374001451, -97.767429458941 30.279968943817, -97.767901946088 30.279241307562, -97.768369460138 30.278521831099, -97.768939502949 30.277699891715, -97.769212281376 30.277213037784, -97.769319641659 30.277107929687, -97.769405833814 30.277024387023, -97.769550602677 30.276793507845, -97.770580957204 30.275251933204, -97.770702267981 30.275070085899, -97.771075985151 30.27445048755, -97.771226443047 30.274183966252, -97.773262410915 30.275088253428, -97.776711790986 30.277529384685, -97.77984734314 30.280031914394, -97.782899628501 30.282736056709, -97.785458730538 30.286379213389, -97.786329262685 30.288904308711, -97.786600478385 30.291710192034, -97.786633213415 30.295145959427, -97.785619553841 30.29804030398, -97.784314986327 30.300115481255, -97.781974022149 30.30298339804, -97.779648981733 30.305241538096, -97.778521898278 30.306506891437, -97.776688599222 30.311268730902, -97.776351244537 30.313180933164, -97.77471893582 30.312868382028, -97.774180248256 30.312651328438, -97.773841537787 30.312603311238, -97.772934345962 30.312744712032, -97.772284780553 30.312913264391, -97.771607535659 30.313169262745, -97.770539901813 30.313890511934, -97.770138228644 30.314124509216, -97.769047938296 30.314534508008, -97.767963928004 30.31396275284, -97.767574580935 30.313792687632, -97.767162792295 30.313542416909, -97.766064049574 30.312959347217, -97.764829350641 30.312244283669, -97.76418040944 30.311854481283, -97.763970092484 30.311657741855, -97.763129758843 30.310804790392, -97.762946250199 30.310669150875, -97.762681806255 30.310484995252, -97.761631634863 30.30995514657, -97.759334507432 30.309380974085, -97.757815980467 30.309073434467, -97.757643608489 30.309040956286, -97.757188470167 30.308966567372, -97.757226067241 30.308805057674, -97.757568030173 30.307334996874, -97.758307844794 30.303546137677, -97.758294248455 30.303224072759, -97.758169078155 30.301530100981, -97.75810957314 30.300731306895, -97.758088038964 30.30043934249, -97.757987737444 30.298407571206, -97.758350018571 30.297094689212, -97.759295600558 30.293667513955, -97.759672535364 30.292486937715, -97.759845902185 30.292087379035, -97.759846450226 30.292086128569, -97.760018608655 30.291721036458, -97.760425112812 30.290857348327, -97.761111570837 30.289715979697, -97.76167209459 30.288899380895, -97.762204589275 30.288123464372, -97.762481570362 30.287719227278, -97.762572256862 30.28758627669, -97.76374403074 30.285890819444)))",11,87,WEST AUSTIN NEIGHBORHOOD GROUP,PLAN APPROVED,28,20100923-102,09/23/2010 12:00:00 AM +0000,NONE,,Central West Austin Combined NPA,YES,SLA/PP/GP,ftp://ftp.ci.austin.tx.us/npzd/Austingo/cwa-combined-np.pdf,,,,,88547830.5117188,37633.066863877
