Case Number,Case Open Date,Case Close Date,Case Year,Case Sub-Type,Address Zip Code
5119,12/13/1995,01/03/1996,1995,Residential House/yard,
2014991,07/14/2014,10/13/2014,2014,Waiver Request,
20182196,08/27/2018,12/14/2018,2018,Waiver Request,20814
1992930215,08/12/1992,08/12/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
6481,11/04/1996,07/31/1997,1996,Residential House/yard,
20131143,09/10/2013,10/30/2013,2013,Residential   Mechanical,
20191304,03/13/2019,07/12/2019,2019,Residential Muti Tenant Dwelling,
6582,12/02/1996,07/31/1997,1996,Residential House/yard,
25308,08/05/2011,10/14/2011,2011,Waiver Request,
26474,06/04/2012,09/07/2012,2012,Waiver Request,
6400,10/04/1996,01/14/1997,1996,Residential House/yard,
2013608,06/05/2013,07/09/2013,2013,Residential Muti Tenant Dwelling,
15915,02/10/2005,03/02/2005,2005,Residential   Mechanical,
9878,05/07/1998,05/11/1998,1998,Residential House/yard,35512
22288,08/27/2009,08/27/2009,2009,Industrial/commercial   Equipment Noise,
22012,07/10/2009,07/20/2009,2009,Industrial/commercial  construction/repair/demolit,
5375,01/23/1996,03/04/1996,1996,Residential   El  Amplification Equip,
14217,03/02/2004,12/21/2004,2004,Industrial/commercial  construction/repair/demolit,
25193,07/05/2011,05/23/2012,2011,Residential   El  Amplification Equip,92024
7569,07/21/1997,07/28/1997,1997,Residential House/yard,
6540,11/22/1996,01/20/1997,1996,Residential House/yard,
16267,05/06/2005,08/31/2005,2005,Industrial/commercial   Equipment Noise,
5665,04/12/1996,05/29/1996,1996,Residential   El  Amplification Equip,
2014350,03/14/2014,03/14/2014,2014,Residential Muti Tenant Dwelling,
18863,04/09/2007,07/02/2007,2007,Waiver Request,
4749,07/26/1995,05/13/1996,1995,Residential   Construction/repair/demolition,
1992930176,07/31/1992,07/31/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
21151,12/22/2008,02/03/2009,2008,Waiver Request,
20181198,02/26/2018,03/19/2020,2018,Waiver Request,
6316,09/16/1996,10/02/1996,1996,Residential House/yard,
1989900399,10/30/1989,11/22/1989,1989,Waiver Request,
6516,11/18/1996,06/18/1997,1996,Residential House/yard,
12881,05/04/2003,05/05/2003,2003,Information Request,
20172324,10/05/2017,11/02/2017,2017,Industrial/commercial   Equipment Noise,
1990900946,04/25/1990,05/17/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
23360,05/18/2010,07/16/2010,2010,Waiver Request,
21322,02/12/2009,04/17/2009,2009,Industrial/commercial  construction/repair/demolit,
3787,05/04/1995,06/14/1995,1995,Residential   Motor Vehicle Noise,
3106,04/26/1994,06/01/1994,1994,Industrial/commercial   Equipment Noise,
2014588,04/28/2014,04/28/2014,2014,Industrial/commercial   Electrical Amp Equip,
4152,03/14/1995,03/30/1995,1995,Residential   Construction/repair/demolition,
5843,05/17/1996,06/03/1996,1996,Industrial/commercial  construction/repair/demolit,
17240,02/01/2006,03/27/2006,2006,Residential   El  Amplification Equip,20850
332,04/05/2000,04/24/2000,2000,Residential   Motor Vehicle Noise,20878
20162452,11/09/2016,11/30/2016,2016,Industrial/commercial   Equipment Noise,20814
7320,05/22/1997,06/11/1997,1997,Industrial/commercial   Equipment Noise,
1990910410,10/16/1990,11/26/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
22993,03/05/2010,04/26/2010,2010,Industrial/commercial  construction/repair/demolit,20850
20172622,12/20/2017,01/26/2018,2017,Residential   Construction/repair/demolition,20866
16627,08/02/2005,11/02/2005,2005,Residential   Motor Vehicle Noise,20833
819,08/08/2000,01/08/2001,2000,Industrial/commercial   Electrical Amp Equip,20854
9263,11/22/1999,12/06/1999,1999,Residential   Construction/repair/demolition,20854
21260,01/27/2009,01/27/2009,2009,Industrial/commercial   Refuse Noise Collection,20895
19864,01/07/2008,01/15/2008,2008,Residential   El  Amplification Equip,20879
8533,02/16/1999,04/20/1999,1999,Residential   El  Amplification Equip,20906
23035,03/16/2010,04/29/2010,2010,Residential   Construction/repair/demolition,20878
18451,12/05/2006,03/15/2007,2006,Residential   El  Amplification Equip,20874
8225,01/27/1999,02/19/1999,1999,Industrial/commercial   Electrical Amp Equip,20852
6894,02/28/1997,06/16/1997,1997,Residential House/yard,
8169,04/29/1999,09/08/1999,1999,Industrial/commercial   Equipment Noise,
20201598,04/16/2020,,2020,Waiver Request,20853
25418,09/07/2011,09/09/2011,2011,Waiver Request,20817
13706,10/30/2003,09/28/2004,2003,Industrial/commercial  construction/repair/demolit,20852
911,08/17/2000,08/23/2001,2000,Industrial/commercial   Equipment Noise,20850
952,09/14/2000,11/15/2000,2000,Residential House/yard,20912
7479,06/25/1997,07/08/1997,1997,Industrial/commercial  construction/repair/demolit,20850
1991920721,12/09/1991,12/13/1991,1991,Residential Muti Tenant Dwelling,20910
26198,03/30/2012,04/19/2012,2012,Industrial/commercial   Equipment Noise,20852
23244,04/21/2010,05/18/2010,2010,Industrial/commercial   Equipment Noise,20904
20736,08/18/2008,09/22/2008,2008,Residential   El  Amplification Equip,20876
25076,06/09/2011,07/01/2011,2011,Residential House/yard,20855
23225,04/19/2010,09/03/2010,2010,Industrial/commercial   Electrical Amp Equip,20814
5932,06/10/1996,07/05/1996,1996,Residential House/yard,
16418,06/17/2005,06/28/2005,2005,Industrial/commercial  construction/repair/demolit,20871
2013318,03/22/2013,04/25/2013,2013,Residential   Construction/repair/demolition,20815
20151760,06/10/2015,07/10/2017,2015,Industrial/commercial   Equipment Noise,20814
20192009,06/25/2019,08/13/2019,2019,Residential   El  Amplification Equip,20871
1992930226,08/14/1992,08/14/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
19254,07/03/2007,07/16/2007,2007,Residential   El  Amplification Equip,20876
20201520,04/06/2020,,2020,Industrial/commercial   Refuse Noise Collection,20832
17296,02/17/2006,05/22/2006,2006,Residential   Mechanical,20866
4205,03/23/1995,04/13/1995,1995,Residential House/yard,
19432,08/24/2007,10/31/2007,2007,Residential   Mechanical,20852
1740,02/14/2001,06/01/2001,2001,Industrial/commercial   Equipment Noise,88191
20201160,02/03/2020,03/12/2020,2020,Industrial/commercial   Electrical Amp Equip,20871
18993,05/09/2007,06/19/2007,2007,Industrial/commercial   heat Pump/ac Noise,20852
10303,08/10/1998,08/24/1998,1998,Industrial/commercial   Equipment Noise,20852
20141151,08/25/2014,09/30/2014,2014,Residential Muti Tenant Dwelling,20910
1989900410,10/30/1989,11/30/1989,1989,Residential Muti Tenant Dwelling,
6213,08/12/1996,11/18/1996,1996,Industrial/commercial  construction/repair/demolit,
2013397,04/16/2013,05/01/2013,2013,Residential   El  Amplification Equip,20882
2033,05/09/2001,03/21/2002,2001,Industrial/commercial   Equipment Noise,20895
20161554,05/31/2016,11/03/2016,2016,Residential   El  Amplification Equip,20904
10488,09/30/1998,11/03/1998,1998,Industrial/commercial  construction/repair/demolit,20876
19242,06/29/2007,04/04/2008,2007,Industrial/commercial  construction/repair/demolit,20815
6472,10/29/1996,01/20/1997,1996,Industrial/commercial  construction/repair/demolit,
