OPA Case Number,Status,Status Description,Due Date,Completed Date,Task Creation Date,External Case Number,Due_Date,Completed_Date,Task_Creation_Date,CurrentStatus
2016OPA-0675,Done,OPA Close SA,,08/03/2016 12:00:00 AM,08/03/2016 12:00:00 AM,,,2016-08-03T00:00:00.000,2016-08-03T00:00:00.000,Done
2017OPA-0498,Done,OPA Close SA,,07/17/2017 12:00:00 AM,07/17/2017 12:00:00 AM,,,2017-07-17T00:00:00.000,2017-07-17T00:00:00.000,Done
2017OPA-0556,Done,OPA Close CL,06/28/2017 12:00:00 AM,06/30/2017 12:00:00 AM,06/23/2017 12:00:00 AM,2016-309226,2017-06-28T00:00:00.000,2017-06-30T00:00:00.000,2017-06-23T00:00:00.000,Done
2018OPA-1069,Done,OPA Close CL,12/09/2018 12:00:00 AM,12/12/2018 12:00:00 AM,12/04/2018 12:00:00 AM,2018-419172,2018-12-09T00:00:00.000,2018-12-12T00:00:00.000,2018-12-04T00:00:00.000,Done
2019OPA-0311,Done,OPA Close CL,06/03/2019 12:00:00 AM,05/31/2019 12:00:00 AM,05/29/2019 12:00:00 AM,,2019-06-03T00:00:00.000,2019-05-31T00:00:00.000,2019-05-29T00:00:00.000,Done
2020OPA-0149,Done,OPA Close CL,03/20/2020 12:00:00 AM,03/27/2020 12:00:00 AM,03/13/2020 12:00:00 AM,,2020-03-20T00:00:00.000,2020-03-27T00:00:00.000,2020-03-13T00:00:00.000,Done
2015OPA-1835,Done,OPA Close CL,12/23/2015 12:00:00 AM,12/21/2015 12:00:00 AM,12/18/2015 12:00:00 AM,,2015-12-23T00:00:00.000,2015-12-21T00:00:00.000,2015-12-18T00:00:00.000,Done
2017OPA-0506,Done,OPA Close SA,,07/19/2017 12:00:00 AM,07/19/2017 12:00:00 AM,,,2017-07-19T00:00:00.000,2017-07-19T00:00:00.000,Done
2018OPA-0331,Done,OPA Close Case,09/21/2018 12:00:00 AM,10/17/2018 12:00:00 AM,09/11/2018 12:00:00 AM,2018-085340,2018-09-21T00:00:00.000,2018-10-17T00:00:00.000,2018-09-11T00:00:00.000,Done
2018OPA-0724,Done,OPA Close CL,09/25/2018 12:00:00 AM,09/21/2018 12:00:00 AM,09/20/2018 12:00:00 AM,,2018-09-25T00:00:00.000,2018-09-21T00:00:00.000,2018-09-20T00:00:00.000,Done
2018OPA-0921,Done,OPA Training Referral,03/01/2019 12:00:00 AM,03/20/2019 12:00:00 AM,02/19/2019 12:00:00 AM,2018-311985,2019-03-01T00:00:00.000,2019-03-20T00:00:00.000,2019-02-19T00:00:00.000,Done
2019OPA-0620,Done,OPA Close Case,04/10/2020 12:00:00 AM,04/14/2020 12:00:00 AM,02/23/2020 12:00:00 AM,2019-280794,2020-04-10T00:00:00.000,2020-04-14T00:00:00.000,2020-02-23T00:00:00.000,Done
2019OPA-0856,Done,OPA Close SA,,01/13/2020 12:00:00 AM,01/13/2020 12:00:00 AM,2019-439726,,2020-01-13T00:00:00.000,2020-01-13T00:00:00.000,Done
2015OPA-0011,Done,OPA Close Case,08/12/2015 12:00:00 AM,08/12/2015 12:00:00 AM,07/29/2015 12:00:00 AM,2014-398333,2015-08-12T00:00:00.000,2015-08-12T00:00:00.000,2015-07-29T00:00:00.000,Done
2018OPA-0824,Done,OPA Close CL,09/18/2018 12:00:00 AM,09/13/2018 12:00:00 AM,09/13/2018 12:00:00 AM,,2018-09-18T00:00:00.000,2018-09-13T00:00:00.000,2018-09-13T00:00:00.000,Done
