Meeting Body Name,Committee,Begin Date Time,Is All Day,Has End,End Date Time,Building Name,Room,Address,Address2,City,State,Zip,Webcast URL,Webcast Plugin,Is Video Conf,Is Conf Call,Conf Call Number,Conf Call ID,Conf Call Password,Contact First Name,Contact Last Name,Phone,Email,Notes,Materials URL,Archived URL,Publication Date,Amendments,Amendment Date,LatLng
Flood Recovery Advisory Working Group Meeting,,04/13/2020 01:00:00 PM,0,0,,,,,,,,,dnr.mo.gov/videos/live.htm,,1,1,,,,Melissa,Newman,(573) 751-3195,missy.newman@dnr.mo.gov,,https://dnr.mo.gov/floodrecovery/,,2019-12-11 14:17:30.0,MEETING ONLINE ONLY,2020-04-07 19:48:18.0,"(44.5165436, -67.5845034)"
Missouri Joint Municipal Electric Utility Commission,MISO RTO Committee Conference Call,04/16/2020 09:00:00 AM,0,0,,,,,,,,,,,0,1,,1122,,Konda,Bentley,(573) 455-3279,,,,,2020-04-14 13:58:19.0,,,"(44.5165436, -67.5845034)"
Missouri Health Facilities Review Committee,Certificate of Need,05/04/2020 09:00:00 AM,0,0,,Missouri State Capitol,House Hearing Room 6,201 West Capitol Avenue,,Jefferson City,,,,,0,0,,,,,,(573) 751-6403,CONP@health.mo.gov,Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(13)(14) RSMo.,,,2020-04-23 15:35:58.0,,,"(38.578916, -92.17254299999999)"
Missouri State Fair Commission,,05/07/2020 10:00:00 AM,0,0,,,,,,,,,,,0,1,,804 699 879,,Kari,Mergen,(660) 530-5611,,Portions of this meeting may be closed for executive session pursuant to Section 610.021 (12) RSMo.,,,2020-05-04 14:24:51.0,,,"(44.5165436, -67.5845034)"
Missouri Geological Survey,State Oil and Gas Council Meeting,07/15/2020 10:00:00 AM,0,0,,,,1251 Gale Drive,,Rolla,,,,,0,0,,,,Connie,Edwards,(573) 368-2121,connie.edwards@dnr.mo.gov,,,,2019-09-20 22:41:00.0,,,"(37.9465095, -91.78002870000002)"
Division of Developmental Disabilities,Southwest Parent Advisory Council,08/09/2020 06:30:00 PM,0,0,,MARC,,822 West Mount Vernon Boulevard,,Mount Vernon,,65712,,,0,0,,,,Matt,Waggoner,(417) 629-3576,,,,,2020-02-06 12:52:45.0,,,
Missouri Transportation Finance Corporation,,05/01/2020 11:00:00 AM,0,0,,Department of Transportation,,105 West Capitol Avenue,,Jefferson City,,65102,,,0,0,,,,Pamela,Harlan,(573) 751-2824,,"This meeting will take place via electronic means.  For information about how to get connected to this meeting, please contact the Secretary to the Commission at (573) 751-3704.",https://www.modot.org/meeting-datesagendas,,2020-04-23 20:43:11.0,,,"(38.5780268, -92.1712986)"
Missouri Autism Projects Central Parent Advisory Council,,07/14/2020 05:30:00 PM,0,0,,Easter Seals,,918 Bernadette Drive,,Columbia,,65203,,,0,1,,,,Darcy,Armstrong,(573) 441-6289,darcy.armstrong@dmh.mo.gov,,,,2020-04-14 17:12:06.0,,,"(38.8996376, -92.4406387)"
State Public Defender Commission,Zoom Video Conference,04/16/2020 09:00:00 AM,0,0,,,,,,,,,,,0,0,,,,Marsha,Plank,(573) 526-5212,marsha.plank@mspd.mo.gov,Portions of this meeting may be closed pursuant to Section 610.021 (1)(3) RSMo.,,,2020-04-08 18:32:45.0,,,"(44.5165436, -67.5845034)"
Missouri Technology Corporation,,04/22/2020 10:00:00 AM,0,0,,,,,,,,,,,0,1,,,,Amy,Steinman,(573) 751-7265,,Portions of this meeting may be closed pursuant to Section 610.021 RSMo.,,,2020-04-14 17:40:03.0,,,"(44.5165436, -67.5845034)"
