Town,Max-Stores-Allowed,Stores-Available
KILLINGLY,6,None Available
LITCHFIELD,3,None Available
MADISON,7,None Available
MANCHESTER,23,None Available
MERIDEN,24,1
MORRIS,0,None Available
NEWINGTON,12,1
NORFOLK,0,None Available
ROCKY HILL,7,1
SALEM,1,None Available
STRATFORD,20,3
WATERFORD,7,None Available
WEST HARTFORD,25,2
WEST HAVEN,22,3
WESTON,4,3
WETHERSFIELD,10,None Available
ASHFORD,1,None Available
BETHLEHEM,1,None Available
BRIDGEPORT,57,14
BRIDGEWATER,0,None Available
CANTERBURY,2,None Available
CHAPLIN,0,None Available
CLINTON,5,None Available
COLCHESTER,6,None Available
CORNWALL,0,None Available
COVENTRY,4,None Available
MANSFIELD,10,None Available
NAUGATUCK,12,None Available
NEW CANAAN,7,2
NEW FAIRFIELD,5,2
NEW HARTFORD,2,None Available
NEW HAVEN,51,2
NEW LONDON,11,None Available
BARKHAMSTED,1,None Available
BERLIN,7,None Available
BETHANY,2,1
BETHEL,7,2
BLOOMFIELD,8,None Available
BROOKFIELD,6,None Available
BROOKLYN,3,None Available
DANBURY,32,2
WATERBURY,44,1
ANDOVER,1,None Available
ANSONIA,7,None Available
AVON,7,1
BEACON FALLS,2,1
BOLTON,1,None Available
BOZRAH,1,None Available
BURLINGTON,3,None Available
CANAAN,0,None Available
CHESTER,1,None Available
COLEBROOK,0,None Available
COLUMBIA,2,1
DARIEN,8,None Available
DERBY,5,None Available
EAST GRANBY,2,None Available
EAST HAVEN,11,1
EAST WINDSOR,4,None Available
ELLINGTON,6,None Available
ESSEX,2,None Available
GREENWICH,24,None Available
GRISWOLD,4,None Available
HADDAM,3,None Available
HAMDEN,24,1
HAMPTON,0,None Available
HARTLAND,0,None Available
HEBRON,3,None Available
KENT,1,None Available
OLD LYME,3,None Available
REDDING,3,None Available
WINCHESTER,4,None Available
HARTFORD,49,7
NEW MILFORD,11,None Available
NORTH BRANFORD,5,None Available
NORTH CANAAN,1,None Available
PLAINVILLE,7,1
POMFRET,1,None Available
ROXBURY,0,None Available
SOMERS,4,1
BRANFORD,11,None Available
BRISTOL,24,None Available
CROMWELL,5,None Available
GLASTONBURY,13,3
GROTON,16,1
NORTH HAVEN,9,None Available
NORWALK,34,3
ORANGE,5,None Available
PLAINFIELD,6,None Available
PLYMOUTH,4,None Available
PUTNAM,3,None Available
SHARON,1,None Available
SHELTON,15,None Available
SOUTHBURY,7,None Available
SPRAGUE,1,None Available
STAFFORD,4,None Available
STERLING,1,None Available
SUFFIELD,6,1
THOMASTON,3,None Available
THOMPSON,3,None Available
TORRINGTON,14,None Available
TRUMBULL,14,7
WARREN,0,None Available
WILLINGTON,2,None Available
CHESHIRE,11,2
DURHAM,2,None Available
EAST HADDAM,3,None Available
FARMINGTON,10,None Available
GOSHEN,1,None Available
HARWINTON,2,None Available
LEBANON,2,1
SOUTH WINDSOR,10,1
SOUTHINGTON,17,None Available
TOLLAND,6,1
UNION,0,None Available
VERNON,11,None Available
WALLINGFORD,18,None Available
CANTON,4,None Available
DEEP RIVER,1,None Available
EAST HAMPTON,5,None Available
EAST HARTFORD,20,2
EAST LYME,7,None Available
EASTFORD,0,None Available
EASTON,2,2
ENFIELD,17,1
RIDGEFIELD,9,1
FAIRFIELD,23,2
GUILFORD,8,1
SIMSBURY,9,1
STAMFORD,49,16
WILTON,7,3
MIDDLEBURY,3,None Available
MIDDLEFIELD,1,None Available
MIDDLETOWN,19,6
MILFORD,21,1
MONROE,7,None Available
FRANKLIN,0,None Available
GRANBY,4,None Available
KILLINGWORTH,2,None Available
LEDYARD,6,None Available
LISBON,1,None Available
LYME,0,None Available
MARLBOROUGH,2,None Available
MONTVILLE,7,None Available
NEW BRITAIN,29,None Available
NEWTOWN,11,None Available
NORTH STONINGTON,2,None Available
NORWICH,16,None Available
OLD SAYBROOK,4,None Available
OXFORD,5,2
PORTLAND,3,None Available
PRESTON,1,None Available
PROSPECT,3,None Available
SALISBURY,1,None Available
SCOTLAND,0,None Available
SEYMOUR,6,None Available
SHERMAN,1,None Available
STONINGTON,7,None Available
VOLUNTOWN,1,None Available
WASHINGTON,1,None Available
WATERTOWN,9,None Available
WESTBROOK,2,None Available
WESTPORT,10,None Available
WINDHAM,10,None Available
WOODBRIDGE,3,3
WOODBURY,3,None Available
WINDSOR,11,4
WINDSOR LOCKS,4,None Available
WOLCOTT,6,None Available
WOODSTOCK,3,3
