PropNum,Prop ID,Boro,AMPSDistrict,Prop Name,Site Name,Prop Location,Site Location,Acres,Category,Sub-Category,Rated,Reason Not Rated,Council District,ZipCode,COMMUNITYBOARD,Jurisdiction,NYSAssembly,NYSSenate,USCongress,Precinct,ComfortStation,PermitDistrict,GISBoro,GIS Site Location
X367,X367,X,05,Davidson Park,,,,0.258,,,0,,14,10453,205,DPR,77,29,15,46,,,X,Davidson Ave. bet. W 176 St. and W. 177 St.
XU001,XU001,X,09,,,Chatterton Ave. at Zegra Ave.. Cross Bronx Expressway to Westchester Creek,Chatterton Ave. At Zegra Ave.. Cross Bronx Expressway To Westchester Creek,0,Property,,0,,13,10462,209,-,31,10,5,43,0,X-09,B,"Chatterton Ave. at Zegra Ave.,Cross Bronx Expressway to Westchester Creek"
Q162G10,Q162G10,Q,14,PARK STRIP,,BOARDWALK BET BEACH 44-45 STS,Boardwalk Bet Beach 44-45 Sts,0,Other,STRIP,0,Beach,31,11691,414,-,23,15,5,101,0,Q-14,Q,Rockaway Boardwalk bet. B. 45 St and B. 44 St.
Q162D,Q162D,Q,14,PARKING LOT,,BOARDWALK & BEACH 63 ST,Boardwalk & Beach 63 St,0,Other,Parking Lot,0,Beach,31,11692,414,-,23,15,5,100,0,Q-14,Q,Roackaway Boardwalk bet. B 63 St. and B 62 St.
M159,M159,M,10,FREDERICK JOHNSON PARK,,"7 AVE, W150-151 STS","7 Ave, W150-151 Sts",2.445,Small Park,Neighborhood Plgd,1,,9,10039,110,DPR/DOT,71,30,13,32,1,M-10,M,7 Ave. bet. W. 150 St. and W. 151 St.
X137,X137,X,07,JEROME PARK,,Goulden Ave and W 205th St,Goulden Ave and W 205th St,4.359,Small Park,Neighborhood Park,1,,11,10468,208,DPR,81,34,13,50,0,X-07,X,Goulden Av bet. W 205 St and Sedgwick Av
Q004A,Q004A,Q,01,RALPH DEMARCO PARK,,SHORE BLVD & @0th Rd,Shore Blvd & 20th Rd,5.82,Small Park,Neighborhood Park,1,,22,11105,401,DPR,36,"12, 13",14,114,0,Q-01,Q,Shore Blvd. bet. Ditmars Blvd. and 20 Ave.
Q162G04,Q162G04,Q,14,PLAYGROUND,,"BOARDWALK, BET BEACH 48 ST & BEACH 48 WAY","Boardwalk, Bet Beach 48 St & Beach 48 Way",0,Small Park,Neighborhood Plgd,0,NOTHING PRESENT EXCEPT BOARDWALK AND EMPTY LOTS USED FOR DUMPING. 4/02 -AT,31,11691,414,-,23,15,5,101,0,Q-14,Q,Rockaway Boardwalk bet. B. 48 St and B. 48 Way
Q471,Q471-01,Q,02,Hunter's Point South Park,,"East River, 50th Ave to Newtown Creek",Center Blvd btw 51st Ave and Borden Ave,,Small Park,Plgd Within Park,1,,26,11101,402,,37,12,12,108,0,,Q,
Q471,Q471-ZN01,Q,02,Hunter's Point South Park,,"East River, 50th Ave to Newtown Creek","East River, 50th Ave and 54th Ave",,Large Park,Large Park Zone,1,Pending,26,11101,402,,37,12,12,108,1,,Q,
Q100,Q100,Q,07,FLUSHING GREENS,,Northern Blvd Bet. Linden Pl. and Union St.,Northern Blvd Bet. Linden Pl. and Union St.,0.421,Small Park,Sitting Area/Triangle/Mall,1,,20,11354,407,DPR,40,16,6,109,0,Q-07,Q,Northern Blvd Bet. Linden Pl. and Union St.
BZ74,BZ74,B,18,GREENSTREET,,"Paerdegat Ave S, RALPH AVENUE, FLATLANDS AVENUE","Paerdegat Ave S, Ralph Avenue, Flatlands Avenue",0.02,Greenstreet,Type 1,1,,46,11234,318,DOT,59,21,8,63,0,,B,"Paerd Street, Ralph Avenue, Flatlands Av"
X191C,X191C,X,10,PARK STRIP (ARTERIAL BARRIER),,LONGSTREET AVE TO US BULKHEAD LINE,Longstreet Ave To Us Bulkhead Line,0,Small Park,Other,0,tiny strip used as zone barrier. 4/02 -AT,13,10465,210,-,82,34,14,45,0,X-10,X,Longstreet Ave. - US Bulkhead Line
B080,B080-01,B,13,ASSER LEVY PARK & AQUARIUM,,"BOARDWALK, SURF, SEA BREEZE AVES, OCEAN PKWY",Surf Ave & 5 St,0.518,Small Park,Plgd Within Park,1,,48,11224,313,DPR,46,23,8,60,0,,B,Surf Ave & 5 St
Q162G06,Q162G06,Q,14,PARK STRIP,,BOARDWALK BE BEACH 47 ST & BEACH 47 WAY,Boardwalk Bet Beach 47 St & Beach 47 Way,0,Other,STRIP,0,Beach,31,11691,414,-,23,15,5,101,0,Q-14,Q,Rockaway Boardwalk bet. B. 47 St and B. 47 Way
M060B,M060B,M,06,Park Avenue Malls,,E 34 TO E 39 STS & PARK AVE,E 34 To E 39 Sts & Park Ave,0.65,Small Park,Sitting Area/Triangle/Mall,0,Pending,"2,4",10016,106,DPR,"75, 73",28,12,17,0,M-05,M,E 34 St To E 39 St and Park Av
Q083,Q083,Q,05,INTERBORO PARKWAY,,Highland Blvd To Gcp & Queens Blvd,Highland Blvd To Gcp & Queens Blvd,72.75,Other,EXWY,0,,"29,30,37","11207, 11375, 11385, 11415","304, 305, 405, 406",DPR/CDOT,"28, 38, 54","12, 15, 18","6, 7",83,0,Q-05,Q,"Jackie Robinson Parkway bet. Bushwick Ave. and Markwood Pl., Park La."
B096,B096,B,01,SGT WILLIAM DOUGHERTY PLGD,,"ANTHONY ST, VANDERVOORT AVE, CHERRY ST","Anthony St, Vandervoort Ave",0.429,Small Park,Neighborhood Plgd,1,,34,11222,301,DPR,50,18,12,94,1,B-01,B,Vandervoort Ave. bet. Cherry St. and Anthony St.
Q005,Q005-ZN01,Q,12,BAISLEY POND PARK,,"N CONDUIT AVE, BAISLEY BLVD S, LAKE VIEW BLVD E","155th St, Foch Blvd, Lake View Blvd East, 119th Ave",12.527,Large Park,Large Park Zone,1,,28,11434,412,DPR,32,10,5,113,1,,Q,"155th St, Foch Blvd, Lake View Blvd East, 119th Ave"
