InspectionID,CSNumber,CS Overall Condition,CS Litter,CS Graffiti,CS Amenities,CS Structural
57014,1,A,A,A,A,A
89993,1,A,A,A,A,A
62565,1,A,A,A,U,A
76592,1,A,A,A,A,A
110201,1,A,A,A,A,A
33298,1,A,A,A,U,A
105013,1,A,A,A,A,A
34674,1,A,A,A,A,A
45930,1,U,U/S,A,A,U/S
53571,1,U,N,N,N,N
120642,1,N,N,N,N,N
79401,1,A,A,A,A,A
96091,1,U,A,A,U,U
65408,1,A,A,A,A,A
93028,1,N,N,N,N,N
70110,1,A,A,A,U,A
55811,1,U,N,N,N,N
63969,1,A,A,A,U,A
114607,1,U,N,N,N,N
35077,1,U,A,A,U,U/S
94064,1,A,A,A,A,A
50758,2,A,A,A,A,A
107291,1,A,A,A,A,U
96128,1,U,N,N,N,N
54111,1,N,N,N,N,N
89114,1,U,A,A,U,U
84809,1,U,A,A,U,A
37184,1,N,N,N,N,N
104248,1,A,A,A,A,U
100345,1,A,A,A,A,A
111348,1,U,U/S,A,U,A
109689,2,N,A,N,A,N
64499,1,A,A,A,A,A
80353,1,A,A,A,U,A
95797,1,A,A,A,A,A
91953,1,A,A,A,A,A
114593,1,N,N,N,N,N
122012,2,A,A,A,A,A
65101,1,A,A,A,U,A
83260,1,A,A,A,U,A
68374,1,A,A,A,A,A
106270,1,A,A,A,A,A
41952,1,A,A,A,A,A
43830,1,A,A,A,A,U
87978,1,A,A,A,A,A
112551,1,A,A,A,U,A
87820,1,A,A,A,A,A
58515,1,U,A,A,U/S,A
115998,1,A,A,A,A,A
94805,1,N,N,N,N,N
97207,1,U,A,A,U/S,U/S
100923,1,N,N,N,N,N
111150,1,A,A,A,U,A
40941,1,U,N,N,N,N
61866,1,A,A,A,U,A
101252,1,A,A,A,A,A
92227,1,A,A,A,A,A
96819,1,A,A,A,A,A
103397,1,A,A,A,U,A
80133,1,U,U/S,A,U,A
98270,1,A,A,A,A,A
102108,1,A,A,A,A,A
87081,1,A,A,A,A,A
62960,1,A,A,A,A,A
69641,1,A,A,A,A,A
117369,1,N,A,N,U,N
87415,1,N,N,N,N,N
121147,1,A,A,A,A,A
95906,1,A,A,A,U,A
102025,1,A,A,A,A,A
34918,1,A,A,A,U,A
69436,1,A,A,A,U,A
94007,1,A,A,A,A,A
116722,1,N,A,N,U,N
110295,1,N,N,N,N,N
52412,1,A,A,A,U,A
78317,1,A,A,A,A,A
69518,1,A,A,A,A,A
49482,1,A,A,A,A,A
95332,1,N,N,N,N,N
86649,1,A,A,A,U,A
