InspectionID,CSNumber,MW,OvCond,isClosed,isOfficially,HandDryersAm,ChangingTablesAm,MirrorsAm,UrinalsAm,UrinalsComm,ToiletsAm,ToiletsComm,SinksAm,SinksComm,ToiletPaperDispAm,ToiletPaperDispComm,SoapDispAm,SoapDispComm,PaperTowelDispAm,PaperTowelDispComm,Comm
32524,1,M1,A,0,0,0,0,0,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Metal-Painted White,No formal sign on door.
111453,1,M1,N,0,0,0,0,0,,,,,,,,,,,,,
32695,1,M1,U,1,1,0,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,Worker cleaning at time of inspection.
76576,1,W1,N,1,1,0,0,0,,,,,,,,,,,,,
32919,1,M1,U,0,0,0,0,0,2,Porcelain,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,"DPR staff on site, not actively working on any problems."
33099,1,M1,A,0,0,2,1,7,3,Porcelain,4,Porcelain,7,Other porcelain/stone,4,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,Men's room partially closed (no construction).
33418,1,M1,U,0,0,0,0,1,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,Standard,1,Soap Globe,1,Stainless Steel,Floor has paint on it.
33875,1,M1,U,0,0,1,0,1,1,Porcelain,1,Porcelain,1,Porcelain,1,Standard,1,Stainless Steel,1,Metal-Painted White,Cleaning crew present; litter rated N.
37371,1,W1,U,0,0,0,0,0,,,,,,,,,,,,,
111793,1,W1,N,0,0,0,0,0,,,,,,,,,,,,,
59108,1,W1,N,1,1,0,0,0,,,,,,,,,,,,,
54102,1,M1,A,0,0,0,0,0,2,Stainless Steel,2,Stainless Steel,1,Stainless Steel,2,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,"Bulletin board present, in good condition with up-to-date information."
54106,1,M1,A,0,0,0,0,0,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,BB has no glass/plastic cover and no information posted.
54124,1,M1,A,0,0,0,0,0,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,2-ply or more,1,Stainless Steel,1,Stainless Steel,No bulletin board.
54125,1,M1,A,0,0,0,0,1,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,2-ply or more,1,Stainless Steel,1,Stainless Steel,No bulletin baord present.
54126,1,M1,A,0,0,0,0,0,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,Standard,1,Stainless Steel,1,Stainless Steel,Bulletin board in good condition.
54144,1,M1,A,0,0,0,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,Standard,1,Stainless Steel,1,Stainless Steel,No bulletin board present.
54148,1,M1,A,0,0,0,0,0,3,Porcelain,2,Porcelain,2,Porcelain,2,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,Bulletin board is present and in good condition. It has up-to-date information.
54179,1,M1,A,0,0,0,0,0,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,2-ply or more,1,Stainless Steel,1,Stainless Steel,There was no bulletin board present.
54180,1,M1,A,0,0,0,0,0,2,Porcelain,2,Porcelain,1,Porcelain,2,Standard,1,Soap Globe,1,Stainless Steel,Bulletin board is present. There was no event posted and protective glass is missing.
54204,1,M1,A,0,0,0,0,0,2,Stainless Steel,3,Stainless Steel,2,Stainless Steel,3,Fully Enclosed (Big Giant Roll),1,Soap Globe,1,Metal-Painted White,Bulletin board present and in good condition. Information on board are up-to-date.
73353,1,M1,N,1,1,0,0,0,,,,,,,,,,,,,Comfort station under renovation.
54259,1,M1,A,0,0,0,0,0,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,Bulletin board outdated; hard to read.
54266,1,M1,A,0,0,0,0,0,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,Standard,1,Soap Globe,1,Stainless Steel,No bulletin board present.
54276,1,M1,A,0,0,0,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,Fully Enclosed (Big Giant Roll),1,Stainless Steel,1,Metal-Painted White,CS bulletin board up-to-date.
54288,1,M1,A,0,0,0,0,1,1,Porcelain,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Metal-Painted White,Bulletin board is present and in good shape but contains no information.
54306,1,M1,A,0,0,0,0,1,3,Porcelain,3,Porcelain,1,Porcelain,3,Standard,1,Stainless Steel,1,Stainless Steel,Bulletin board present and in good condition.  Information up to date.
54323,1,M1,A,0,0,0,0,1,1,Stainless Steel,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,No bulletin board present.
54329,1,M1,A,0,0,0,0,1,1,Porcelain,1,Porcelain,1,Porcelain,1,Standard,1,Stainless Steel,1,Metal-Painted White,CS Bulletin board lacked sufficient signage.
56999,1,M1,U,0,0,0,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,Standard,1,Stainless Steel,1,Stainless Steel,No Bulletin Board Present.
54347,1,M1,A,0,0,0,0,0,2,Porcelain,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,There is no bulletin board at site.
54356,1,M1,A,0,0,0,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,0,Soap Globe,1,Stainless Steel,broken plexiglass on bulletin board
54371,1,M1,A,0,0,0,0,1,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,No bulletin board present.
54378,1,M1,A,0,0,0,0,0,3,Porcelain,4,Porcelain,2,Porcelain,4,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,No bulletin board present.
54380,1,M1,A,0,0,0,1,1,1,Stainless Steel,1,Stainless Steel,2,Stainless Steel,1,2-ply or more,1,Stainless Steel,1,Stainless Steel,No bulletin board present.
56384,1,M1,A,0,0,0,0,0,2,Porcelain,2,Porcelain,1,Porcelain,2,Tamper Proof Stainless Steel,1,Stainless Steel,1,Metal-Painted White,No bulletin board.
54386,1,M1,A,0,0,0,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Soap Globe,1,Metal-Painted White,Bulletin board is present and in good condition. Board contains both up-to-date and out-of-date information.
54391,1,M1,U,0,0,0,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,Fully Enclosed (Big Giant Roll),0,Soap Globe,1,Metal-Painted White,No bulletin board present.
54400,1,M1,A,0,0,1,0,1,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,Standard,1,Stainless Steel,1,Metal-Painted White,No bulletin board present.
54411,1,M1,A,0,0,0,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,Standard,1,Stainless Steel,1,Metal-Painted White,No bulletin board present.
54416,1,M1,A,0,0,0,0,0,4,Porcelain,8,Porcelain,6,Porcelain,8,Tamper Proof Stainless Steel,3,Stainless Steel,1,Stainless Steel,No bulletin board present.
54419,1,M1,A,0,0,0,0,0,6,Porcelain,4,Porcelain,2,Porcelain,4,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,No bulletin board present.
54430,1,M1,A,0,0,0,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Soap Globe,1,Stainless Steel,No bulletin board present.
54433,1,M1,A,0,0,0,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Soap Globe,1,Metal-Painted White,Bulletin board present and in good condition. Board contains up-to-date information. Bar soap prrsent.
54437,1,M1,A,0,0,0,0,0,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,Bulletin board present with up-to-date info.
54438,1,M1,A,0,0,0,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,2-ply or more,1,Stainless Steel,1,Stainless Steel,No bulletin board.
54440,1,M1,A,0,0,0,0,0,2,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,Standard,1,Stainless Steel,1,Stainless Steel,Bulletin board present with up-to-date info.
54441,1,M1,A,0,0,0,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,2-ply or more,1,Stainless Steel,1,Stainless Steel,Bulletin board present with up-to-date info.
54447,1,M1,A,0,0,0,0,1,1,Porcelain,1,Porcelain,1,Porcelain,1,2-ply or more,1,Stainless Steel,1,Stainless Steel,Bulletin board present and in good condition.  Information up to date.
