Inventory ID,Prop ID,Feature,Type,Category,Sub-Category
62480,B255E,Benches,Picnic Tables,Structural Features,
6,B001,Play Equipment,Sprinkler,Structural Features,Timer
35107,M233,Safety Surface,Spectraturf New Sectional,Structural Features,
62468,Q371,Fences,Bollards,Structural Features,
18605,Q080,Lawns,Lawn,Landscape Features,
62471,B008-03,Benches,Wood Benches,Structural Features,
62367,Q439,Lawns,Grass Strips,Landscape Features,
31999,X196-02,Lawns,Lawn,Landscape Features,
62226,MZ245,Paved Surfaces,Planter,Structural Features,
62464,M233,Fences,Ornamental,Structural Features,
62490,B381,Play Equipment,Painted Games,Structural Features,
62465,M233,Play Equipment,Painted Games,Structural Features,
62313,Q353,Horticultural Areas,Ornamental Grass,Landscape Features,
62477,B337,Athletic Fields,Track,Landscape Features,Asphalt
62469,B073-ZN15,Fences,Pipe-Rail,Structural Features,
62428,Q283,Horticultural Areas,Garden,Landscape Features,
62472,R065-ZN07,Benches,Plastic Benches,Structural Features,
62479,Q046,Play Equipment,Painted Games,Structural Features,
62478,B337,Benches,Metal Chairs,Structural Features,
62447,Q005-ZN03,Horticultural Areas,Plants,Landscape Features,
50784,BT04,Horticultural Areas,Bushes,Landscape Features,
62461,RZ48,Fences,Guardrails,Structural Features,
62473,R034,Athletic Fields,"""C"" Multi-Use Fields - Artificial",Landscape Features,Artificial Turf
62272,Q373,Lawns,Tree Lines,Landscape Features,
62474,XZ264,Horticultural Areas,Flower Beds,Landscape Features,
62482,M042-ZN02,Paved Surfaces,Brick,Structural Features,
1907,B073-ZN17,Fences,Pipe-Rail,Structural Features,
62427,Q047,Horticultural Areas,Bushes,Landscape Features,
62463,M200A,Horticultural Areas,Wild Flowers,Landscape Features,
62488,B381,Benches,Plastic Benches,Structural Features,
62476,B337,Play Equipment,Exercise Equipment,Structural Features,
35032,M067,Horticultural Areas,Bushes,Landscape Features,
55497,B210G,Horticultural Areas,Bushes,Landscape Features,
62486,R068,Horticultural Areas,Bushes,Landscape Features,
26434,R068,Play Equipment,GameTime,Structural Features,
62475,Q164-ZN10B,Fences,Snow Picket,Structural Features,
62489,B381,Benches,Metal Chairs,Structural Features,
26436,R068,Benches,Picnic Tables,Structural Features,
60751,B255E,Horticultural Areas,Bushes,Landscape Features,
