PEPID,Inspection ID,Observation,Comments
25800,117410,Homeless persons present,homeless men sleeping on bench at 95 st
25801,117412,Drainage issues/standing water,adj A & D fountains
25802,117412,Homeless persons present,sleeping on benches throughout site
25796,117383,Homeless persons present,homeless man sleeping on bench near CS
25797,117385,Drainage issues/standing water,Entire lawn around picnic tables flooded.
25798,117387,Drainage issues/standing water,Standing water within AF & standing water adj PE
25799,117400,Smoking/cigarette butts inside park,Patrons smoking cigarette inside playground.
25792,117364,Homeless persons present," 17 homeless persons sleeping on benches ,bleachers and grass throughout zone."
25793,117367,Homeless persons present, one homeless male sleeping on benche along Morningside Ave.
25794,117368,Smoking/cigarette butts inside park,Patrons smoking from Hookah pipes inside park.
25795,117370,Smoking/cigarette butts inside park,Patrons smoking from Hookah pipes inside park.
25790,117358,Drainage issues/standing water,Eastern section of picnic area flooded and unusable.
25791,117363,Illegal BBQ,"along Seaview Ave btwn 84th St and 86th St ,on grass outside and inside of park."
25803,117333,Other structural or usage issues,Event happening during inspection. Lincoln Center summer concerts.
25789,117314,Innovative solution being used,new Friends of Eibs Pond group in process of clearing and renaming trails throughout site.
25784,117280,Drug use,Multiple syringe caps found throughout site.
25785,117298,Homeless (or other) encampment,several groups of homeless scattered throughout the zone sleeping on benches & in hort. Areas
25786,117300,Other inspector suggestions for improving site,New consolidated signs needed at entrances into park.
25788,117301,Homeless (or other) encampment,Homeless person on bench with shopping cart adj E166th St.
25787,117303,Other patron complaints or suggestions,Patrons request garbage cans needed at site
25778,117254,Drainage issues/standing water,Sprinler flooding SS
25779,117254,Alcohol use,Patrons @ benches closer to 122nd St
25780,117254,Drug use,Patrons @ benches closer to 122nd St
25781,117254,Unauthorized presence/truancy,Adults in PE area without children.
25782,117254,Smoking/cigarette butts inside park,Patrons @ benches closer to 122nd St
25783,117262,Homeless persons present,Under bridge tunnel next to path near staircase btwn  St Clair Pl & Tiemann Pl one male and one female.
25775,117225,Drainage issues/standing water,Skate Pk & part of adj BBCT
25776,117225,Drug use,Young men smoking pot @ C&CTS
25773,117207,Homeless persons present,sitting on rockformation next to entrance along St Edwards and Wiolluoghby St.
25747,117201,Homeless persons present,sleeping on grass in picnic area along Driggs Ave.
25771,117206,Drug use,"Large number of syringe caps and alcohol swabs, but no syringes present (the first time in years this inspector hasn't found any)"
25772,117206,Innovative solution being used,"Woodchips used to cover problematic glass areas, throughout natural area."
25744,117179,Illegal BBQ,In shaded area behind beach around 37th Street.
25745,117192,Homeless (or other) encampment,one male homeless person sleeping on benches within plgd.
25746,117196,Homeless persons present,sleeping on benches along path within plgd. adj Whitehall St.
25734,117133,Drug use,Marijuana smoking within site
25740,117134,Unsightly paint or repair,Contrasting paint graffiti cover.
25735,117135,Drainage issues/standing water,Drain clogged @ sprinkler cauing flooding.
25736,117137,Overcrowding in popular areas,Throughout site
25737,117137,Smoking/cigarette butts inside park,Everywhere
25738,117137,Foul odor,Throughout site
25741,117138,Decorative fountain not functional,Small fountain on wall adj C&CTS
25743,117154,Other enforcement issues,"Hockey rink and MPPA under construction, but site is unsecured, with multiple access points, and no signage."
25742,117157,Homeless persons present,Displaced individual sleeping on bench within BBCT
25777,117172,Drug use,several groups of adults & teenagers smoking marijuana in CS & adj area
25733,117127,Drainage issues/standing water,Spray shower not draining properly.
25731,117118,Homeless (or other) encampment,encampments in natural areas S/o GW bridge & under highway exit ramps in middle of zone
25730,117075,Unsightly paint or repair,on HBCT
25725,117059,Alcohol use,Patron drinking alcohol inside park.
25726,117059,Other patron complaints or suggestions,Patrons complained bitterly about the filthiness of the entire park threatening to take a video of condition of park for media sharing.
25727,117060,Amplified sound,Amplified sounds at two separate areas in parking lot near Major Deagan Express Way.
25728,117060,Alcohol use,Patron drinking alcohol at parking lot near Major Deagan Express Way.
25729,117060,Smoking/cigarette butts inside park,Patrons smoking from Hookah pipes at various areas inside parking lot near Major Deagan Express Way.
25732,117053,Alcohol use,persons drinking alcohol on lawns
25723,117033,Homeless (or other) encampment,Multiple encampments in natural area hillside throughout zone.
25724,117042,Other inspector suggestions for improving site,It seems to me that if we are going to have a historic sign highlighting the Alley Pond Giant that the trails to the tree and the fencing around it should be maintained!
25720,117007,Unleashed dogs,3 throughout plgd
25721,117015,Exemplary staff performance,Exemplary staff performance in maitaining the entire park. Kudos to their effort.
25722,117018,Homeless (or other) encampment,"NYPD, Parks and DOH personnels removing homeless people."
25718,116989,Other patron complaints or suggestions,"Multiple patrons complain of poor state of park in general, including lack of regular trash maintenance and pickup, and feces and dumping in natural area n/o track."
25719,116990,Other patron complaints or suggestions,"Patrons request play equipment and swings for children in north end of Baisley Pond Park, stating that the existing playgrounds are too far from the day care centers nearby."
25710,116945,Other enforcement issues,Bike riding on the path
25711,116951,Public urination/defecation,Multiple people urinating near BF #2 bleachers.
25712,116952,Drug use,"100+ syringe caps scattered throughout entire park, mainly on rocky outcroppings overlooking perimeters."
25713,116953,Homeless (or other) encampment,Multiple small encampments in natural area overlooking Walton Ave.
25714,116957,Drainage issues/standing water,Water from sprinkler flooding under SS & onto BBCT
25715,116961,Other inspector suggestions for improving site,"Gate on corner of Adam Clayton Powell & 127th St. Young childen play on PE, could easily wander &  leave play area & end up on SW/street. Gate/door needed."
25716,116961,Other structural or usage issues,Cars parked on SW on W127th St. from local school across the street.
25717,116970,Homeless persons present,Homeless persons present at mall.
25705,116923,Illegal vending,Illegal vending i/f/o entrance at Vermont Ave. & Pitkin Ave.
25706,116923,Homeless (or other) encampment,Homeless encampment within lawn at Vermont Ave. & Pitkin Ave.
25708,116923,Areas/equipment being used other than intended,Man working out on PE adj Pitkin Ave.
25702,116924,Drainage issues/standing water,Drainage issues at playground aroung sprinkler and swings.
25703,116924,Other patron complaints or suggestions,Patrons complained about drainage issue causing standing water in the sprinker and on paved surfaces adjacent to play station and swings. Patron said it's been an ongoing issue for two years. Complaints made previously to Parks Dept and 311.
25709,116938,Sink holes/uneven pavement,Sinkhole within sitting area adj Marion St.
25704,116939,Drug use,one female lying unconscious on SS under K-swings on 148th St & College Ave
25707,116940,Homeless (or other) encampment,along E 144th St plus two homeless persons.
25700,116901,Smoking/cigarette butts inside park,Patron smoking cigarette inside park.
25701,116904,Smoking/cigarette butts inside park,Patron smoking cigarette inside park.
25698,116890,Homeless (or other) encampment,Homeless encampment at path adjacent to natural area between ballfields and playground.
25697,116890,Smoking/cigarette butts inside park,Patron smoking cigarette inside park near parking lot.
25694,116846,Unleashed dogs,in lawn at south end of site.
25695,116855,Exemplary staff performance,Obviously had significant crowds for July 4th fireworks the night before and Park was spotless.  Well done!
25696,116862,Homeless persons present,Displaced individual sleeping on the bench
25693,116843,Homeless persons present,Six homeless males sleeping & sitting on grass along lawn area south/east side of ballfield close to W 169th St.
25689,116835,Homeless persons present,one homeless person sleeping on bench along St Nicholas Ave.
25690,116836,Homeless persons present,Two homless persons sleeping under benches along Morningside Ave btwn W 110th & W111th Sts near sitting area.
25691,116837,Unleashed dogs,Multiple dogs on lawns throughout site.
25692,116838,Unleashed dogs,Multiple dogs on lawns.
25688,116822,Other patron complaints or suggestions,"Patrons in media center complain of dirty and dusty conditions throughout entire center, especially harmful for people with asthma; complaints to center staff and 311 have gone unheeded."
25686,116805,Homeless persons present,In CS stall entire time of inspection.
25685,116806,Other patron complaints or suggestions,Patrons request installation of exercise equipment.
25687,116807,Drainage issues/standing water,"Flooded areas at both ""B"" drinking fountains."
25676,116774,Homeless (or other) encampment,Tent in natural area adj small N/S trail running along Eastern edge of zone
25672,116766,Areas/equipment being used other than intended,Adult exercising on play equipment.
25675,116767,Unsightly paint or repair,on lower step of GameTime unit.
25665,116725,Homeless persons present,sleeping on benches along Green Ave.
