State,2012,2014,Location
Alabama,90,96,"Alabama
(32.84057234800002, -86.63185738799996)"
North Carolina,88,91,"North Carolina
(35.466220159000045, -79.15924997399998)"
Florida,87,89,"Florida
(28.932042722000062, -81.92895768899996)"
South Carolina,91,90,"South Carolina
(33.99882216300006, -81.04536596899999)"
Georgia,92,97,"Georgia
(32.839683200000024, -83.62757885599996)"
Tennessee,84,88,"Tennessee
(35.68094072700006, -85.77448666899994)"
Kentucky,84,86,"Kentucky
(37.64597313300004, -84.77496771599994)"
United States,86,87,"United States
(39.759995942000046, -98.49999896099996)"
Mississippi,83,78,"Mississippi
(32.745513440000025, -89.53802722999995)"
