Plat Number,Plat Name,Section/Township/Range,Volume,First Page,Last Page,Plat Type
000771,SEATTLE VISTA II CONDO,4342404,068,055,057,C
000878,EXECUTIVE HOUSE CONDO,3232403,049,049,050,C
000600,DONATION CLAIM MOSS # 45,0172404,905,029,000,D
000769,714 BUILDING CONDO,2082505,053,012,015,C
000854,HOLYROOD CEMETERY SEC G-3,0000000,099,044,000,
000782,VISTA HEIMILI CONDO,1012503,056,023,024,C
000300,DONATION CLAIM FOSTER STEPHEN # 38,0142304,905,015,000,D
000760,DONATION CLAIM YESLER # 42 & 47,0042404,905,037,000,D
000855,HOLYROOD CEMETERY SEC N-C,0000000,099,046,000,
000761,SUNRISE VISTA CONDO,4192504,030,076,078,C
000080,DONATION CLAIM BRANNAN J # 38,0122104,905,004,000,D
000320,DONATION CLAIM GILLIAM # 40,0232304,905,016,000,D
000875,MAPLE RIDGE P U D,0302605,118,087,090,
000140,DONATION CLAIM BROWNELL # 41,0132304,905,007,000,D
000790,SKYLARK DIV NO. 01-VACATED,0302105,120,062,064,
000762,PINNACLE THE (REMOVED) CONDO,3282504,024,028,029,C
000680,DONATION CLAIM THOMAS # 42,0252204,905,033,000,D
000789,EMPIRE ESTATES CONDO,3132304,028,106,120,C
000200,DONATION CLAIM COOPER # 38,0152204,905,010,000,D
000794,GARDEN LANES 103/40-44 CONDO,3182504,999,007,000,C
000858,"WASHELLI CEMETERY SLEEPY HOLLOW E,F+I",0000000,021,085,000,
000796,BLUEBERRY LANE CONDO,4342505,100,032,033,C
000260,DONATION CLAIM DENNY DAVID # 39 & 38,0252503,905,013,000,D
000764,AMBER SUN CONDO,4292504,028,044,000,C
000866,ORCHARD PARK ADD NO. 02,0332605,092,012,000,
000851,EASTSIDE MEMORIAL PARK,0072506,051,048,000,
000763,VILLA PLAZA CONDO,4342404,048,093,097,C
000784,MALDEN HOUSE CONDO,4292504,059,075,076,C
000500,DONATION CLAIM MAPLE E B # 39,0192404,905,025,000,D
000881,SHALLOW CREEK CONDO,3022604,016,064,067,C
000160,DONATION CLAIM BUCKLEY # 42 & 45,0332404,905,008,000,D
000788,WAVERLY VISTA CONDO,4192504,057,001,002,C
000864,MAUNA KAI CONDO,4052404,022,047,000,C
000859,WASHINGTON MEMORIAL PARK SEC. 19,0282304,052,049,000,
000620,DONATION CLAIM NEELY # 37,0102204,905,030,000,D
000767,735 N 94TH ST CONDO,3312604,065,058,059,C
000871,SWEET BRIAR DIV NO. 01,0032104,094,097,000,
000877,EAST MERCER PARK,0072405,110,046,047,
000010,KING & KITTITAS CO BDRY ESTBMT,0042211,070,070,000,
000020,DONATION CLAIM ADAMS # 43,0362304,905,001,000,D
000040,DONATION CLAIM BEATTY # 37 & 44,0312205,905,002,000,D
000768,CC&F I-90 BELLEVUE BUS PK DIV NO. 03,0112405,127,029,031,
000865,NEW GLEN ACRES DIV. NO 03 CONDO,4052304,005,067,068,C
000640,DONATION CLAIM PORTER # 37,0292006,905,031,000,D
000880,SHADOW PARK DIV NO. 01,0302105,116,014,015,
000853,GREENWOOD CEMETERY,0000000,022,035,000,
000781,CAMPUS VIEW,0172104,101,021,024,
000772,3RD AVE WEST AT W COMSTOCK CONDO,1252503,044,087,089,C
000060,DONATION CLAIM BORENS # 41,0042404,905,003,000,D
000870,SKYLINE RANCHETTES ADD,0222105,073,078,000,
000857,WASHELLI CEMETERY - SEC W REPLT PT S.8,0302604,114,094,000,
000882,BILMAR-FORMERLY 35/54-57 CONDO,1282505,999,004,000,C
000792,CASCADE PARK,0282305,121,006,007,
000100,DONATION CLAIM BRANNAN W # 37,0062105,905,005,000,D
000240,DONATION CLAIM DENNY A # 40,0312504,905,012,000,D
000720,DONATION CLAIM TOBIN # 37,0182305,905,035,000,D
000874,WHALER'S VILLAGE CONDO,2172204,015,050,083,C
000867,REDCREST ADD NO. 05,0112505,103,034,000,
000863,KOLL COMMERCE CENTER ADD,0262505,106,028,000,
000786,1230 LAKEVIEW BLVD EAST CONDO,2292504,058,014,000,C
000220,DONATION CLAIM COX # 43 & 38,0362204,905,011,000,D
000380,DONATION CLAIM JOHNS # 47,0102304,905,019,000,D
000787,1232 LAKEVIEW BLVD EAST CONDO,2292504,066,047,000,C
000540,DONATION CLAIM MCNATT # 38,0332404,905,027,000,D
000480,DONATION CLAIM LEWIS # 37,0152304,905,024,000,D
000520,DONATION CLAIM MAPLE S A # 49,0282404,905,026,000,D
000280,DONATION CLAIM FOSTER JOSEPH # 39,0142304,905,014,000,D
000766,UNION 600,0102305,123,096,000,
000740,DONATION CLAIM VAN ASSELT # 50,0332404,905,036,000,D
