POLE_ATTACH_ID,SIGNAL_NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,POLE_ATTACH_DESCRIPTION,POLE_ATTACH_PROVIDER,CREATED_DATE,MODIFIED_DATE,INTERSECTION_QUADRANT,INSTALL_DATE,STATUS,SIGNAL_ID,ATD_LOCATION_ID,INFRASTRUCTURE_OWNER,INFRASTRUCTURE_TYPE,PROVIDER_ID
1125,,30.37295,-97.68961,602 1/2 W Applegate Dr,VERIZON,04/20/2020,04/20/2020,N/A,,UNDER_REVIEW,0,LOC20-016780,AE,Wood Utility Pole,
1126,,30.36689,-97.71533,9017 1/2 Galewood Drive,VERIZON,04/20/2020,04/20/2020,N/A,,UNDER_REVIEW,0,LOC20-016785,AE,Wood Utility Pole,TX_AUS_NLAMARW_038_B
38,263:  COLORADO ST / 10TH ST,30.23112,-97.7336,215 1/2 W. 10th St #B,T-MOBILE,09/20/2017,04/20/2020,SW,,UNDER_REVIEW,263,LOC16-001280,ATD,Signal Pole,AU1041BA_11LAB-A
1076,,0,0,,,03/09/2020,04/24/2020,N/A,,WITHDRAWN,0,LOC20-016540,,,
1127,,30.28852,-97.72567,915 1/2 E 30th St,VERIZON,04/28/2020,04/28/2020,N/A,,UNDER_REVIEW,0,LOC20-016795,AE,Wood Utility Pole,TX_AUS_HYDEPARK_016 - A
1128,,30.38954,-97.70987,11105 1/2 Metric Blvd,VERIZON,04/28/2020,04/28/2020,N/A,,UNDER_REVIEW,0,LOC20-016800,AE,Steel Utility Pole,TX_AUS_METRIC_MEARNS_002 -D
1129,,30.29595,-97.72003,1008 1/2 E 39th St,VERIZON,04/28/2020,04/28/2020,N/A,,UNDER_REVIEW,0,LOC20-016805,AE,Wood Utility Pole,TX_AUS_HYDEPARK_015
1130,,30.29115,-97.75052,2525 1/2 Longview St,VERIZON,04/28/2020,04/28/2020,N/A,,UNDER_REVIEW,0,LOC20-016810,AE,Steel Utility Pole,AUSDT_127_SC A
1131,,30.25994,-97.73431,1004  1/2 Willow ST,VERIZON,04/28/2020,04/28/2020,N/A,,UNDER_REVIEW,0,LOC20-016815,AE,,E_CSR_CHEVZ_SC - E
328,,30.27108,-97.73562,516 1/2 E 11th St,T-MOBILE,08/02/2018,04/29/2020,SW,,WITHDRAWN,257,LOC16-001255,ATD,Signal Pole,AU1045BA_31LAB
392,,30.25882,-97.74645,310 S Congress Ave,VERIZON,10/25/2018,04/29/2020,SW,,WITHDRAWN,132,LOC16-000655,ATD,Signal Pole,Congress_Barton SC
396,,30.27808,-97.74402,15th St & San Antonio St – SE Corner,VERIZON,10/25/2018,04/29/2020,SE,,WITHDRAWN,219,LOC16-001075,ATD,Signal Pole,AUSDT_98_SC
397,,30.27128,-97.74009,10th St & Brazos St. – SE Corner,VERIZON,10/25/2018,04/29/2020,SE,,WITHDRAWN,265,LOC16-001290,ATD,Signal Pole,AUSDT_91_SC
398,,30.27088,-97.74575,401 1/2 W 8th St,VERIZON,10/25/2018,04/29/2020,SW,,WITHDRAWN,281,LOC16-001370,ATD,Signal Pole,AUSDT_88_SC
576,,30.3826,-97.69517,1201 1/2 Meadgreen Dr,VERIZON,01/09/2019,04/29/2020,SW,,WITHDRAWN,0,LOC19-013525,AE,Wood Utility Pole,TX_AUS_NLAMARW_001
632,,30.24426,-97.73205,Upland Dr & Lupine (1203 Upland Dr),VERIZON,02/01/2019,04/29/2020,NE,,WITHDRAWN,0,LOC19-013775,AE,Wood Utility Pole,TX_AUS_RIVERSIDE_005
