Establishment Name,Street Address,City,Zip Code,Inspection Date,Inspection Results,Inspection Type,Lifeguard on Deck,Main Drains Visible,Recirculation System Operating,Water Level Adequate,Disinfection System Operating,Bathhouse Operational ,DHHS Permitted Entry,Immediate Hazard Absent,CPR Certified Personnel,Water Chemistry,Organization,Category,Location 1,Establishment #
WINDBROOKE,51 WINDBROOK CIR,GAITHERSBURG,20879,06/19/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,KRYSTAL HUDSON,Apartments/Condos,"51 WINDBROOK CIR
GAITHERSBURG, MD 20879
(39.164391, -77.212738)",24051
CHATEAU,9727 MT PISGAH RD,SILVER SPRING,20903,06/18/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,SOUTHERN MANAGEMENT AQUATICS,Apartments/Condos,"9727 MT PISGAH RD
SILVER SPRING, MD 20903
(39.017038, -76.975441)",19609
HAMPSHIRE WEST,1432 HAMPSHIRE WEST CT,SILVER SPRING,20903,06/18/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,SOUTHERN MGMT CORP,Apartments/Condos,"1432 HAMPSHIRE WEST CT
SILVER SPRING, MD 20903
(39.007934, -76.982512)",19707
HALLOWELL,17721 PRINCE PHILLIP DR,OLNEY,20832,06/18/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,HALLOWELL,Community,"17721 PRINCE PHILLIP DR
OLNEY, MD 20832
(39.144844, -77.057572)",19704
SEVEN LOCKS SWIM CLUB,9929 SEVEN LOCKS RD,POTOMAC,20817,06/18/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,JODY JASINSKI,Country Club,"9929 SEVEN LOCKS RD
POTOMAC, MD 20817",19872
WEST SPRING,10320 WESTLAKE DR,BETHESDA,20817,06/18/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,HOA,Apartments/Condos,"10320 WESTLAKE DR
BETHESDA, MD 20817
(39.025212, -77.148846)",22506
GLENWOOD RECREATION CLUB,10012 GARDINER AVE,SILVER SPRING,20902,08/29/2019,Critical Violations Noted,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GLENWOOD RECREATION CLUB,Country Club,"10012 GARDINER AVE
SILVER SPRING, MD 20902
(39.019603, -77.050561)",19690
MERRIMACK PARK,6400 PYLE RD,BETHESDA,20817,07/10/2019,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MERRIMACK PARK,Community,"6400 PYLE RD
BETHESDA, MD 20817
(38.973825, -77.13476)",19767
SIERRA LANDING,11603 ELKIN ST,SILVER SPRING,20902,07/11/2019,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ABARIS REALTY,Apartments/Condos,"11603 ELKIN ST
SILVER SPRING, MD 20902
(39.045226, -77.047357)",19875
GEORGETOWN PREP SCHOOL,10900 ROCKVILLE PK,NORTH BETHESDA,20852,04/25/2019,,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GEORGETOWN PREPARATORY SCHOOL,Other,"10900 ROCKVILLE PK
NORTH BETHESDA, MD 20852
(39.032092, -77.105962)",19681
WALNUT GROVE,11917 PARKLAWN DR,ROCKVILLE,20852,08/29/2019,,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FIRST SERVICE,Apartments/Condos,"11917 PARKLAWN DR
ROCKVILLE, MD 20852
(39.051959, -77.106477)",19925
