Posting Date,Contract Number,Department,Description,Contract Amount,Recommended Vendor,MBE/WBE/DBE Participation,MBE/WBE/DBE type,Direct Participation,Indirect Participation
05/10/2017,1623-15787,,,,,"Motr Grafx, LLC",MBE-9,,5
01/11/2017,1685-15563,,,,,MDI Transportation Systems,WBE-7,,2
12/09/2016,1545-15303R,,,,,"Tulsa Power Services, Inc.",WBE-7,10,
09/30/2016,1535-15124,,,,,"A.M. Staffing Group, Inc.",WBE-7,5,
09/21/2016,1645-15312,,,,,"Tulsa Power Services, Inc.",WBE-7,,0.1
09/21/2016,1645-15314,,,,,"Tulsa Power Services, Inc.",WBE-7,,0.1
07/15/2016,1626-15619,1097.SEVENTEENTH DISTRICT,Newsletter,19531.96,Kevron Printing & Mailing Inc,,"No Goal Set - Contract < $25,000",,
06/22/2016,1645-15224,,,,,Express Electrical Supply,MBE-6,25,
08/24/2016,1645-15573,1200.DEPT. OF FACILITIES/MGMT,Visually Impaired Vinyl Stair Treads,75070.00,"Tiles In Style LLC, d/b/a Taza Supplies, LLC","Tiles In Style LLC, d/b/a Taza Supplies, LLC",MBE-8,100,
09/28/2016,1626-15632,1200.DEPT. OF FACILITIES/MGMT,Floor Tile,12463.60,Continental Flooring Company,,"No Goal Set - Contract < $25,000",,
10/26/2016,1626-15764,1210.OFFICE OF THE SHERIFF,Uniden Home Patrol Series BCD 436 HP Digital Handheld Scanner,7920.00,Modern Enterprise Solutions,,"No Goal Set - Contract < $25,000",,
06/15/2016,1611-15382,1217.SHERIFF'S INFORMATION TECHNOLOGY,Shooting range Repairs and Upgrades,99500.00,"Best Technology System, Inc.",,N/A,,
11/16/2016,1626-15689,1500.COUNTY HIGHWAY DEPARTMENT,Postage Machine,8388.04,Neopost USA Inc,,"No Goal Set - Contract < $25,000",,
10/20/2016,1626-15747,1200.DEPT. OF FACILITIES/MGMT,Replacement parts for paleet rack system,7026.64,C & H Distributors,,"No Goal Set - Contract < $25,000",,
06/22/2016,1645-15275G,1205.JUDICIAL ADVISORY COUNCIL,Recidivism Reduction Demonstration Grant,40000.00,L.A.F.,,N/A,,
05/10/2017,1623-15787,1011.OFFICE OF CHIEF ADMIN OFFICER,Printed Envelopes,49793.00,Service Envelope Corporation,"AT Trucking, Inc",MBE-6,13,
08/19/2016,1611-15559,1239.DEPARTMENT OF CORRECTIONS,On-Site Repair and Maintenance of Unimac Washers and Dryers,52200.00,"Washburn Machinery, Inc.",,0%,,
05/15/2017,1730-16453,1007.REVENUE,Vehicle Stickers,21596.00,Dri-Stick Decal Corp. D/B/A Rydin Decal,N/A,"No Goal Set - Contract < $25,000",,
06/03/2016,1545-14752,1200.DEPT. OF FACILITIES/MGMT,Power Washing Services,63213.41,"Execuclean Restoration, LLC",,Full Waiver Granted,,
06/22/2016,1645-15275D,1205.JUDICIAL ADVISORY COUNCIL,Recidivism Reduction Demonstration Grant,100000.00,Westside Health Authority,,N/A,,
02/24/2017,1626-15833,1210.OFFICE OF THE SHERIFF,Portable Restrooms,18842.00,"Comforts of Home Services, Inc.",N/A,"No Goal Set - Contract < $25,000",,
09/21/2016,1626-15765,1200.DEPT. OF FACILITIES/MGMT,Weil Pump,15228.00,Daugherty R A Sales Inc.,,"No Goal Set - Contract < $25,000",,
08/26/2016,1626-15584,1217.SHERIFF'S INFORMATION TECHNOLOGY,37 bit - ID Cards,47180.00,P.F. Pettibone & Company,,Full Waiver Granted,,
06/22/2016,1645-15275E,1205.JUDICIAL ADVISORY COUNCIL,Recidivism Reduction Demonstration Grant,100000.00,Inner City Muslim Action Network,,N/A,,
10/14/2016,1626-15836,1097.SEVENTEENTH DISTRICT,Newsletter,8985.00,Kevron Printing & Mailing Inc.,,"No Goal Set - Contract < $25,000",,
08/03/2016,1581-14932,1335.CLERK OF CRCT CRT OFF.OF CLERK,Microfilm Readers and Printers,42376.00,"Advantage Microfilm Services, Inc.",,N/A,,
06/22/2016,1645-15268C,1205.JUDICIAL ADVISORY COUNCIL,Restorative Justice Demonstration Grant,40000.00,"Alternatives, Inc.",,N/A,,
09/23/2016,1545-15099,1200.DEPT. OF FACILITIES/MGMT,Asbestos Supplies,68145.54,"Occupational Training and Supply, Inc.","American Heritage Supplies, Ltd.",MBE-9,,0.05
08/12/2016,1645-15365,1200.DEPT. OF FACILITIES/MGMT,Wood Supplies,111928.85,"Atlas & Associates, Inc.",,Full Waiver Granted,,
09/21/2016,1626-15741,1200.DEPT. OF FACILITIES/MGMT,Garbage Disposal,2719.00,"Chicago United Industries, Ltd",,"No Goal Set - Contract < $25,000",,
09/21/2016,1645-15312,1200.DEPT. OF FACILITIES/MGMT,"Bronze, Copper, Cast Fittings and Accessories",48825.00,"Johnson Pipe and Supply Company, Inc",Boye Janitorial Services,MBE-6,,0.25
02/24/2017,1626-15680,1335.CLERK OF CRCT CRT OFF.OF CLERK,Fileprint 470 Toner,5500.00,"Atlas & Associates, Inc.",N/A,"No Goal Set - Contract < $25,000",,
08/24/2016,1611-15463,1239.DEPARTMENT OF CORRECTIONS,Porable Toilet Rental and Maintenance,34200.00,"Prime Portables, Inc.",,N/A,,
06/22/2016,1645-15275J,1205.JUDICIAL ADVISORY COUNCIL,Recidivism Reduction Demonstration Grant,40000.00,International Neighborhood Collaborative,,N/A,,
11/25/2016,1626-15815,1200.DEPT. OF FACILITIES/MGMT,Engine Lathe,14896.67,"Chicago United Industries, Ltd.",,"No Goal Set - Contract < $25,000",,
12/09/2016,1545-15303R,1200.DEPT. OF FACILITIES/MGMT,Sloan Plumbing Supplies,75190.00,Johnson Pipe & Supplies,Boye Janitorial Service,MBE-6,25,
09/09/2016,1611-15515,1210.OFFICE OF THE SHERIFF,Pre-paid Parking Passes,10200.00,InterPark LLC,,"No Goal Set - Contract < $25,000",,
10/26/2016,1630-15618,1300.JUDICIARY,"Juror Summons Envelopes, Print and Furnish",28842.00,JJ Collins Sons,,"No Goal Set - Contract < $25,000",,
