CALENDAR YEAR,MONTH,VENDOR NAME,CATEGORY,ITEM ,ITEM DESCRIPTION,QUANTITY,TRANSACTION SOURCE TYPE
2020,April,LEGENDS LTD,BEER,69469,BITBURGER TRIPLE HOP'D LAGER 4/6 CANS,41,Purchase order
2020,April,E & J GALLO WINERY,WINE,56561,EDNA VALLEY CAB - 750ML,28,Purchase order
2020,April,ANHEUSER BUSCH INC,DLC,290,AB IMPORT PALLET,17,Purchase order
2020,April,ROYAL WINE CORP,WINE,72443,TEAL LAKE CHARD - 750ML,5,Purchase order
2020,April,E M D SALES INC,WINE,318209,JA JA PERUMAN SOUR - 750ML,1,Purchase order
2020,April,KOBRAND CORPORATION,WINE,43940,ST FRANCIS SONOMA MERLOT - 750ML,42,Purchase order
2020,April,BUCK DISTRIBUTING COMPANY INC,BEER,68432,BELLS LAGER OF THE LAKES 4/6 CANS,13,Purchase order
2020,April,PUNTO VINO LLC,WINE,313477,MCPHERSON LES COPAINS - 750ML,2,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,312064,REVERDY DUCROUX BEAU ROY SANCERRE - 750ML,1,Purchase order
2020,April,LEGENDS LTD,BEER,69065,TWO ROADS TWO DIE FOR 4/6 CANS,1,Purchase order
2020,April,BACCHUS IMPORTERS LTD,WINE,177741,PATIENT COTTAT S/BLC - 750ML,14,Purchase order
2020,April,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,348538,HAYES RANCH ROSE  - 750ML,3,Purchase order
2020,April,HUB WINE CORPORATION,WINE,311363,90+ CELLARS LOT 21 FRENCH FUSION RED - 750ML,1,Purchase order
2020,April,CROWN IMPORTS,BEER,50665,CORONA PREMIER 4/6PK 12 OZ NR,360,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,352088,ROBERT SINSKEY SLD CAB - 750ML,1,Purchase order
2020,April,BACCHUS IMPORTERS LTD,WINE,235364,AVALON CA P/NOIR - 750ML,5,Purchase order
2020,April,UNITED STATES DISTILLED PRODUCTS,WINE,68693,YES WAY SPARKLING ROSE 750ML,1,Purchase order
2020,April,ANHEUSER BUSCH INC,BEER,93548,BUD 4/6 LNNR - 12OZ,784,Purchase order
2020,April,TREASURY WINE ESTATES AMERICAS COMPANY,WINE,75167,BERINGER FOUNDERS EST S/BLC - 750ML,2,Purchase order
2020,April,JOS VICTORI WINES,WINE,352094,CULITOS WHITE MOSCATO - 750ML,1,Purchase order
2020,April,DEUTSCH FAMILY WINE & SPIRITS,WINE,81767,YELLOW TAIL S/BLC - 1.5L,60,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,322179,RECANATI YASMIN RED - 750ML,1,Purchase order
2020,April,RELIABLE CHURCHILL LLLP,BEER,97179,LINDEMANS FRAMBOISE LAMBIC 2/6NR - 12OZ,2,Purchase order
2020,April,BROWN-FORMAN BEVERAGES WORLDWIDE,LIQUOR,35432,FINLANDIA VODKA - 1.75L,120,Purchase order
2020,April,LEGENDS LTD,WINE,99684,DANSK VIKING BLOOD MEAD - 750ML,7,Purchase order
2020,April,FREE RUN WINE MERCHANTS LLC,WINE,354848,EOLA HILLS CHARDONNAY - 750ML,1,Purchase order
2020,April,ARTISANS & VINES LLC,WINE,332883,KOSTER WOLF RIES TROCKEN - 750ML,3,Purchase order
2020,April,BACCHUS IMPORTERS LTD,WINE,307618,CHERRY PIE STANLY RANCH P/NOIR - 750ML,1,Purchase order
2020,April,ROYAL WINE CORP,WINE,101753,BARKAN CLASSIC PET SYR - 750ML,1,Purchase order
2020,April,BOSTON BEER CORPORATION,BEER,51155,DOGFISH HEAD SLIGHTLY MIGHTY LO-CAL IPA 4/6PK 12OZ CAN,108,Purchase order
2020,April,PERNOD RICARD USA LLC,LIQUOR,69108,RICARD ANISE - 750ML,4,Purchase order
2020,April,JIM BEAM BRANDS CO,LIQUOR,29521,KILBEGGAN IRISH - 750ML,2,Purchase order
2020,April,BUCK DISTRIBUTING COMPANY INC,BEER,25955,STIEGL 4/6 NR,7,Purchase order
2020,April,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,320284,STONE FRUIT RIES - 750ML,6,Purchase order
2020,April,BACARDI USA INC,LIQUOR,38806,CASTILLO RUM - WHITE - 1L,65,Purchase order
2020,April,DIONYSOS IMPORTS INC,WINE,339610,REYNIER BORD RSV HERITGAE - 750ML,1,Purchase order
2020,April,KATCEF BROTHERS INC,KEG,22405,VICTORY PRIMA PILS 1/6K,3,Purchase order
2020,April,MONSIEUR TOUTON SELECTION,WINE,233180,LES DAUPHINS CDR VILLAGES ORG - 750ML,1,Purchase order
2020,April,MICHAEL R DOWNEY SELECTIONS INC,WINE,301227,DEGANI RIPASSO CICILIO - 750ML,1,Purchase order
2020,April,E & J GALLO WINERY,WINE,67580,BAREFOOT BUBBLY BRUT - 750ML,110,Purchase order
2020,April,RELIABLE CHURCHILL LLLP,LIQUOR,70767,RUM CHATA - 750ML,40,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,323908,MASCIARELLI MONTPUL - 750ML,3,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,313246,TASCANTE GHIAIA NERA - 750ML,1,Purchase order
2020,April,LANTERNA DISTRIBUTORS INC,WINE,310355,DOM DES HERBAUGES GROLLEAU GRIS - 750ML,19,Purchase order
2020,April,PARK STREET IMPORTS LLC,WINE,337004,ABARBANEL RIESLING - 750ML,1,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,46388,SEGHESIO SONOMA ZIN - 750ML,7,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,439959,ANCIENT PEAKS MER - 750ML,2,Purchase order
2020,April,E & J GALLO WINERY,WINE,89591,PETER VELLA DELICIOUS RED BIB - 5L,52,Purchase order
2020,April,MONSIEUR TOUTON SELECTION,WINE,342005,CH HAUT POURJAC RED BORD - 750ML,1,Purchase order
2020,April,LEGENDS LTD,BEER,62139,OSKAR BLUES CANUNDRUM 1/15PK CAN,71,Purchase order
2020,April,LEGENDS LTD,BEER,10934,FOUNDERS CENTENNIAL - 4/6,4,Purchase order
2020,April,LEGENDS LTD,BEER,11360,LAGUNITAS 12TH OF NEVER - 12.OZ 2/12 CAN,11,Purchase order
2020,April,SAZERAC CO,LIQUOR,11703,KENTUCKY GENTLEMAN - 1.75L,156,Purchase order
2020,April,TREASURY WINE ESTATES AMERICAS COMPANY,WINE,82478,BERINGER  MOSCATO - 750ML,32,Purchase order
2020,April,DMV DISTRIBUTING LLC,WINE,238792,GRAND MOSCATO RASPBERRY - 750ML,1,Purchase order
2020,April,BACCHUS IMPORTERS LTD,WINE,304244,REVOLUTION MAL - 750ML,2,Purchase order
2020,April,YOUNG WON TRADING INC,WINE,39985,CHUNG HA - 300ML,7,Purchase order
2020,April,DEUTSCH FAMILY WINE & SPIRITS,WINE,395471,LAYER CAKE CAB - 750ML,42,Purchase order
2020,April,MONSIEUR TOUTON SELECTION,WINE,45163,LOUIS LATOUR GRD ARDECHE CHARD - 750ML,5,Purchase order
2020,April,PERNOD RICARD USA LLC,LIQUOR,79994,ABERLOUR 12 YR SM SCOTCH 6/CS - 750ML,26,Purchase order
2020,April,BACKUP BEVERAGE,BEER,50960,2 BROS PRAIRIE PATH 4/6 NR,2,Purchase order
2020,April,BROWN-FORMAN BEVERAGES WORLDWIDE,LIQUOR,38857,EL JIMADOR TEQUILA - RESPOSADO - 750ML,88,Purchase order
2020,April,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,313384,BLUE NUN RIES - 750ML,4,Purchase order
2020,April,VIGNOBLES LVDH USA INC,WINE,400084,ESTACION S/BLC - 750ML,1,Purchase order
2020,April,DIAGEO NORTH AMERICA INC,LIQUOR,45913,SMIRNOFF CRANBERRY TWIST - 750ML,1,Purchase order
2020,April,MOET HENNESSY USA,LIQUOR,45175,ARDBEG CORRYVRECKAN - 750ML,14,Purchase order
2020,April,CONSTELLATION BRANDS,WINE,43725,THE PRISONER RED BLEND,140,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,336015,PRODIGO NERO D AVOLA - 750ML,1,Purchase order
2020,April,MILLER BREWING COMPANY,BEER,96130,MOLSON CANADIAN 4/6 LNNR - 12OZ,84,Purchase order
2020,April,LUXCO SPIRITED BRANDS,LIQUOR,300654,LADY BLIGH SPICED RUM 750ML,1,Purchase order
2020,April,QUINTESSENTIAL LLC,WINE,336747,OBSESSION SYMPHONY - 750ML,1,Purchase order
2020,April,BARON FRANCOIS LTD,WINE,315087,CH PAVEIL DE LUZE MARGUAX - 750ML,1,Purchase order
2020,April,MARK ANTHONY BRANDS INC,BEER,90344,MIKES CRAN LEMONADE 4/6 NR - 11.2OZ,144,Purchase order
2020,April,RELIABLE CHURCHILL LLLP,LIQUOR,11307,AFROHEAD BRILAND 07 AGED RUM - 750ML,1,Purchase order
2020,April,PUNTO VINO LLC,WINE,411256,LA CAPPUCCINA VERONA BIANCO - 750ML,3,Purchase order
2020,April,THE WINE GROUP,WINE,80007,FLIPFLOP MOSCATO - 1.5L,1,Purchase order
2020,April,OPICI FAMILY DISTRIBUTING OF MD,WINE,339704,CARPINETO CHIANTI RS - 750ML,4,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,307368,TIAMO PROSECCO ORGANIC - 750ML,3,Purchase order
2020,April,LEGENDS LTD,BEER,68580,STILLWATER RECESS 6/4 16OZ CANS,1,Purchase order
2020,April,LANTERNA DISTRIBUTORS INC,WINE,384771,KIONA LEMBERGER - 750ML,1,Purchase order
2020,April,RVWC LLC,WINE,348334,VINEYARD ORIGINS CAB SAUV LOT 15 - 750ML,5,Purchase order
2020,April,LEGENDS LTD,BEER,97535,SCHNEIDER AVENTINUS 20/16.9OZ NR,5,Purchase order
2020,April,PRESTIGE BEVERAGE GROUP OF MD LLC,WINE,333315,ROBERTSON PINTGE 12 - 750ML,2,Purchase order
2020,April,DUGGANS DISTILLERS PROD,WINE,353856,JULES LAROSE BRUT- 750ML,8,Purchase order
2020,April,INTERBALT PRODUCTS CORP,WINE,346764,UNDER THE ROSE - 750ML,2,Purchase order
