Name,City,State,Total Payments
Long Island Jewish Medical Center,New Hyde Park,NY,"$   277,653,312.42"
Holy Name Medical Center (AKA Holy Name Health),Teaneck,NJ,"$   213,428,946.86"
Tisch Hospital,New York,NY,"$   203,180,446.74"
NewYork-Presbyterian Queens,Flushing,NY,"$   143,251,512.11"
Montefiore Hospital - Moses Campus,Bronx,NY,"$   156,708,591.59"
Sandra Atlas Bass Heart Hospital at North Shore University Hospital,Manhasset,NY,"$   137,531,542.64"
Mount Sinai Medical Center (AKA the Mount Sinai Hospital),New York,NY,"$   140,754,860.74"
NewYork-Presbyterian/Columbia University Irving Medical Center,New York,NY,"$   152,747,325.41"
Maimonides Medical Center,Brooklyn,NY,"$   131,500,615.31"
NYC Health and Hospitals - Elmhurst (FKA Elmhurst Hospital Center),Elmhurst,NY,"$   111,346,403.33"
Hackensack University Medical Center,Hackensack,NJ,"$   98,138,111.89"
Ochsner Medical Center - West Bank Campus,Gretna,LA,"$   91,279,199.85"
Staten Island University Hospital - South Campus,Staten Island,NY,"$   91,357,433.79"
NewYork-Presbyterian/Weill Cornell Medical Center,New York,NY,"$   118,647,056.76"
BronxCare Hospital Center - Fulton Campus,Bronx,NY,"$   91,535,709.54"
NYU Winthrop Hospital (FKA Winthrop University Hospital),Mineola,NY,"$   108,038,387.94"
NewYork-Presbyterian Brooklyn Methodist Hospital (FKA New York Methodist Hospital),Brooklyn,NY,"$   86,952,150.88"
St Josephs University Medical Center (FKA St Josephs Regional Medical Center),Paterson,NJ,"$   88,159,157.24"
NYC Health and Hospitals - Bellevue (FKA Bellevue Hospital Center),New York,NY,"$   86,705,275.60"
Jamaica Hospital Medical Center,Jamaica,NY,"$   75,862,417.90"
Stony Brook University Hospital,Stony Brook,NY,"$   83,300,041.29"
NuHealth - Nassau University Medical Center,East Meadow,NY,"$   75,340,417.34"
NYC Health and Hospitals - Lincoln (FKA Lincoln Medical & Mental Health Center),Bronx,NY,"$   76,138,987.53"
NYC Health and Hospitals - Kings County (FKA Kings County Hospital Center),Brooklyn,NY,"$   78,931,188.49"
Montefiore Hospital - Einstein Campus (AKA Jack D Weiler Hospital),Bronx,NY,"$   89,200,836.28"
NYC Health and Hospitals - Jacobi (FKA Jacobi Medical Center),Bronx,NY,"$   75,309,433.06"
Saint Barnabas Medical Center,Livingston,NJ,"$   69,678,116.81"
White Plains Hospital,White Plains,NY,"$   65,283,067.19"
Beaumont Hospital - Royal Oak,Royal Oak,MI,"$   68,677,463.16"
Lenox Hill Hospital,New York,NY,"$   66,453,550.17"
Mount Sinai South Nassau (FKA South Nassau Communities Hospital),Oceanside,NY,"$   64,596,068.93"
Henry Ford Hospital,Detroit,MI,"$   71,236,299.82"
Brookdale Hospital Medical Center,Brooklyn,NY,"$   66,309,962.02"
NYC Health and Hospitals - Queens (FKA Queens Hospital Center),Jamaica,NY,"$   66,414,763.53"
JFK Medical Center,Edison,NJ,"$   59,603,910.03"
Wyckoff Heights Medical Center,Brooklyn,NY,"$   59,878,470.75"
NYC Health and Hospitals - Coney Island (FKA Coney Island Hospital),Brooklyn,NY,"$   66,231,249.80"
Southside Hospital,Bay Shore,NY,"$   60,843,431.27"
Mount Sinai Morningside (FKA Mount Sinai St Lukes),New York,NY,"$   63,732,309.51"
Englewood Hospital and Medical Center (AKA Englewood Health),Englewood,NJ,"$   53,635,316.22"
Henry Ford Macomb Hospital - Clinton Township,Clinton Township,MI,"$   51,660,258.89"
Montefiore Wakefield Campus,Bronx,NY,"$   72,958,947.60"
Mount Sinai Queens,Astoria,NY,"$   68,397,631.56"
The Valley Hospital (AKA Valley Health System),Ridgewood,NJ,"$   49,899,060.09"
Richmond University Medical Center,Staten Island,NY,"$   51,718,227.43"
Overlook Medical Center,Summit,NJ,"$   50,659,617.68"
Good Samaritan Hospital Medical Center,West Islip,NY,"$   52,864,812.67"
Yale New Haven Hospital,New Haven,CT,"$   59,728,988.60"
Ascension St John Hospital,Detroit,MI,"$   53,812,463.90"
Mount Sinai Brooklyn (AKA Mount Sinai Beth Israel Brooklyn Medical Center - Kings Highway Division Brooklyn),Brooklyn,NY,"$   54,809,929.60"
Morristown Medical Center,Morristown,NJ,"$   47,395,253.21"
Flushing Hospital Medical Center,Flushing,NY,"$   48,482,884.52"
University Hospital of Brooklyn at SUNY Downstate Medical Center,Brooklyn,NY,"$   47,024,441.77"
Newark Beth Israel Medical Center,Newark,NJ,"$   50,645,428.38"
Huntington Hospital,Huntington,NY,"$   44,597,579.21"
John H Stroger Jr Hospital of Cook County,Chicago,IL,"$   59,380,168.85"
Montefiore Nyack Hospital (FKA Nyack Hospital),Nyack,NY,"$   44,828,287.46"
DMC Sinai-Grace Hospital,Detroit,MI,"$   46,856,480.74"
St Barnabas Hospital,Bronx,NY,"$   46,953,442.90"
Temple University Hospital,Philadelphia,PA,"$   50,086,752.94"
Massachusetts General Hospital,Boston,MA,"$   52,294,070.60"
