Data as of,State,Place of Death,Start week,End Week,COVID19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID19 Deaths",Footnote
05/06/2020,United States,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,29583,223516,48350,15302,3669,66249,
05/06/2020,United States,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,1945,45710,2665,721,195,4077,
05/06/2020,United States,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,53,2035,54,12,11,106,
05/06/2020,United States,Decedent's Home,02/01/2020,05/02/2020,2837,248718,5058,414,1262,7983,
05/06/2020,United States,Hospice Facility,02/01/2020,05/02/2020,637,52624,3351,310,291,3964,
05/06/2020,United States,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,8413,150487,9633,2539,459,15960,
05/06/2020,United States,Other,02/01/2020,05/02/2020,540,48249,1117,151,84,1576,
05/06/2020,United States,Place of Death Unknown,02/01/2020,05/02/2020,8,298,23,4,0,27,
05/06/2020,Alabama,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,169,3886,0,683,55,61,
05/06/2020,Alabama,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,992,0,25,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Alabama,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,14,0,0,0,0,
05/06/2020,Alabama,Decedent's Home,02/01/2020,05/02/2020,,5329,0,42,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Alabama,Hospice Facility,02/01/2020,05/02/2020,0,610,0,42,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Alabama,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,26,1759,0,46,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Alabama,Other,02/01/2020,05/02/2020,0,699,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Alabama,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Alaska,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,,332,0,35,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Alaska,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,0,65,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Alaska,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Alaska,Decedent's Home,02/01/2020,05/02/2020,0,358,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Alaska,Hospice Facility,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Alaska,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,0,106,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Alaska,Other,02/01/2020,05/02/2020,0,77,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Alaska,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Arizona,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,193,3866,0,747,106,78,
05/06/2020,Arizona,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,10,881,0,37,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Arizona,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Arizona,Decedent's Home,02/01/2020,05/02/2020,14,5957,0,155,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Arizona,Hospice Facility,02/01/2020,05/02/2020,22,1655,0,112,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Arizona,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,26,1116,0,70,10,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Arizona,Other,02/01/2020,05/02/2020,29,3752,0,112,13,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Arizona,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Arkansas,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,31,2137,0,369,10,46,
05/06/2020,Arkansas,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,615,0,23,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Arkansas,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,26,0,0,0,0,
05/06/2020,Arkansas,Decedent's Home,02/01/2020,05/02/2020,,2822,0,50,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Arkansas,Hospice Facility,02/01/2020,05/02/2020,0,898,0,62,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Arkansas,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,,1464,0,61,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Arkansas,Other,02/01/2020,05/02/2020,0,475,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Arkansas,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,California,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,1168,22540,0,4893,738,479,
05/06/2020,California,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,45,4188,0,269,19,17,
05/06/2020,California,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,,33,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,California,Decedent's Home,02/01/2020,05/02/2020,67,27958,0,528,10,29,
05/06/2020,California,Hospice Facility,02/01/2020,05/02/2020,0,1139,0,47,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,California,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,109,10966,0,538,49,22,
05/06/2020,California,Other,02/01/2020,05/02/2020,29,6878,0,126,10,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,California,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Colorado,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,334,2588,0,544,207,45,
