Data as of,Start week,End Week,Group,State,Indicator,COVID Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID Deaths,Influenza Deaths,"Pneumonia, Influenza, and COVID Deaths",Footnote
05/07/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0,57439,0.97,3699,0,471,4170,
05/07/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,57760,0.97,3686,0,499,4186,
05/07/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,57065,0.97,3708,0,520,4228,
05/07/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,1,57028,0.98,3573,0,541,4115,
05/07/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,7,57236,0.99,3662,5,623,4287,
05/07/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,30,56815,0.98,3765,17,594,4371,
05/07/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,50,54851,0.96,3726,25,588,4338,
05/07/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,500,54939,0.97,4226,227,503,4996,
05/07/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,2758,58290,1.04,5710,1257,416,7579,
05/07/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,8386,65768,1.17,8969,4021,441,13557,
05/07/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,13134,70035,1.26,10459,5856,444,17851,
05/07/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,12280,63131,1.16,8910,5237,232,16014,
05/07/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,7318,47684,0.88,5735,3076,108,10010,
05/07/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,1167,22044,0.35,1623,475,20,2326,
05/07/2020,02/01/2020,02/01/2020,By week,Alabama,Week-ending,0,1017,0.93,55,0,14,69,
05/07/2020,02/08/2020,02/08/2020,By week,Alabama,Week-ending,0,1104,0.99,61,0,,70,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/15/2020,02/15/2020,By week,Alabama,Week-ending,0,1076,0.99,74,0,,80,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/22/2020,02/22/2020,By week,Alabama,Week-ending,0,1072,0.99,67,0,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/29/2020,02/29/2020,By week,Alabama,Week-ending,0,1139,1.1,62,0,14,76,
05/07/2020,03/07/2020,03/07/2020,By week,Alabama,Week-ending,0,1022,0.98,57,0,13,70,
05/07/2020,03/14/2020,03/14/2020,By week,Alabama,Week-ending,0,1041,0.96,55,0,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,Alabama,Week-ending,,1016,0.99,70,,,77,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,Alabama,Week-ending,15,1002,0.98,67,,,85,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/04/2020,04/04/2020,By week,Alabama,Week-ending,40,1076,1.04,64,,,97,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/11/2020,04/11/2020,By week,Alabama,Week-ending,61,1016,0.99,77,19,,122,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/18/2020,04/18/2020,By week,Alabama,Week-ending,66,910,0.93,77,20,0,123,
05/07/2020,04/25/2020,04/25/2020,By week,Alabama,Week-ending,27,689,0.69,46,,0,66,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,05/02/2020,05/02/2020,By week,Alabama,Week-ending,,312,0.28,27,,,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/01/2020,02/01/2020,By week,Alaska,Week-ending,0,83,0.93,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/08/2020,02/08/2020,By week,Alaska,Week-ending,0,92,1.23,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/15/2020,02/15/2020,By week,Alaska,Week-ending,0,88,1.01,0,0,0,0,
05/07/2020,02/22/2020,02/22/2020,By week,Alaska,Week-ending,0,80,0.99,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/29/2020,02/29/2020,By week,Alaska,Week-ending,0,78,0.93,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/07/2020,03/07/2020,By week,Alaska,Week-ending,0,74,0.86,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/14/2020,03/14/2020,By week,Alaska,Week-ending,0,85,1.01,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,Alaska,Week-ending,0,62,0.78,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,Alaska,Week-ending,,73,0.85,,,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/04/2020,04/04/2020,By week,Alaska,Week-ending,,82,0.95,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/11/2020,04/11/2020,By week,Alaska,Week-ending,,62,0.72,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/18/2020,04/18/2020,By week,Alaska,Week-ending,,49,0.63,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/25/2020,04/25/2020,By week,Alaska,Week-ending,0,21,0.27,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,05/02/2020,05/02/2020,By week,Alaska,Week-ending,0,10,0.1,0,0,0,0,
05/07/2020,02/01/2020,02/01/2020,By week,Arizona,Week-ending,0,1262,0.99,74,0,13,87,
05/07/2020,02/08/2020,02/08/2020,By week,Arizona,Week-ending,0,1258,1.01,78,0,10,88,
05/07/2020,02/15/2020,02/15/2020,By week,Arizona,Week-ending,0,1307,1.1,89,0,13,102,
05/07/2020,02/22/2020,02/22/2020,By week,Arizona,Week-ending,0,1332,1.11,78,0,10,88,
05/07/2020,02/29/2020,02/29/2020,By week,Arizona,Week-ending,0,1344,1.09,80,0,15,95,
05/07/2020,03/07/2020,03/07/2020,By week,Arizona,Week-ending,0,1374,1.11,72,0,13,85,
05/07/2020,03/14/2020,03/14/2020,By week,Arizona,Week-ending,0,1336,1.09,82,0,11,93,
05/07/2020,03/21/2020,03/21/2020,By week,Arizona,Week-ending,,1274,1.06,100,,,108,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/28/2020,03/28/2020,By week,Arizona,Week-ending,25,1308,1.1,115,15,,130,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/04/2020,04/04/2020,By week,Arizona,Week-ending,53,1325,1.08,117,28,,146,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/11/2020,04/11/2020,By week,Arizona,Week-ending,81,1354,1.11,141,46,,180,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/18/2020,04/18/2020,By week,Arizona,Week-ending,79,1212,1.05,101,34,,147,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/25/2020,04/25/2020,By week,Arizona,Week-ending,46,1077,0.92,80,18,0,108,
05/07/2020,05/02/2020,05/02/2020,By week,Arizona,Week-ending,,470,0.37,26,,0,29,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/01/2020,02/01/2020,By week,Arkansas,Week-ending,0,677,1.04,55,0,,63,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/08/2020,02/08/2020,By week,Arkansas,Week-ending,0,666,1.01,46,0,,55,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/15/2020,02/15/2020,By week,Arkansas,Week-ending,0,686,1.02,38,0,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/22/2020,02/22/2020,By week,Arkansas,Week-ending,0,690,1.01,47,0,11,58,
05/07/2020,02/29/2020,02/29/2020,By week,Arkansas,Week-ending,0,651,1.02,32,0,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/07/2020,03/07/2020,By week,Arkansas,Week-ending,0,691,1.05,40,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/14/2020,03/14/2020,By week,Arkansas,Week-ending,0,618,0.96,37,0,,40,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,Arkansas,Week-ending,0,625,0.99,52,0,11,63,
05/07/2020,03/28/2020,03/28/2020,By week,Arkansas,Week-ending,,622,0.99,40,0,,49,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/04/2020,04/04/2020,By week,Arkansas,Week-ending,,587,0.96,49,,0,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/11/2020,04/11/2020,By week,Arkansas,Week-ending,10,593,0.94,49,,,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/18/2020,04/18/2020,By week,Arkansas,Week-ending,,587,1,44,,0,49,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/25/2020,04/25/2020,By week,Arkansas,Week-ending,11,480,0.81,27,,0,36,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,05/02/2020,05/02/2020,By week,Arkansas,Week-ending,,264,0.35,18,0,0,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/01/2020,02/01/2020,By week,California,Week-ending,0,5669,0.98,422,0,59,481,
05/07/2020,02/08/2020,02/08/2020,By week,California,Week-ending,,5886,1.05,440,0,67,508,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/15/2020,02/15/2020,By week,California,Week-ending,0,5564,0.99,421,0,76,497,
05/07/2020,02/22/2020,02/22/2020,By week,California,Week-ending,,5778,1.03,454,0,70,525,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/29/2020,02/29/2020,By week,California,Week-ending,0,5645,0.99,426,0,70,496,
05/07/2020,03/07/2020,03/07/2020,By week,California,Week-ending,,5685,1,469,0,54,525,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/14/2020,03/14/2020,By week,California,Week-ending,,5412,0.97,418,,54,476,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,03/21/2020,03/21/2020,By week,California,Week-ending,40,5594,1.04,466,18,42,530,
05/07/2020,03/28/2020,03/28/2020,By week,California,Week-ending,121,5604,1.05,562,67,27,643,
05/07/2020,04/04/2020,04/04/2020,By week,California,Week-ending,276,5847,1.1,607,151,24,756,
05/07/2020,04/11/2020,04/11/2020,By week,California,Week-ending,352,5800,1.13,608,202,,762,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/18/2020,04/18/2020,By week,California,Week-ending,440,5662,1.11,654,276,,825,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,04/25/2020,04/25/2020,By week,California,Week-ending,241,4499,0.87,432,147,,527,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,05/02/2020,05/02/2020,By week,California,Week-ending,41,2206,0.38,162,25,0,178,
05/07/2020,02/01/2020,02/01/2020,By week,Colorado,Week-ending,0,788,0.98,45,0,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/08/2020,02/08/2020,By week,Colorado,Week-ending,0,843,1.04,51,0,11,62,
05/07/2020,02/15/2020,02/15/2020,By week,Colorado,Week-ending,0,803,0.97,50,0,,57,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/22/2020,02/22/2020,By week,Colorado,Week-ending,0,878,1.09,45,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/07/2020,02/29/2020,02/29/2020,By week,Colorado,Week-ending,0,841,1.07,56,0,16,72,
05/07/2020,03/07/2020,03/07/2020,By week,Colorado,Week-ending,0,818,1.01,51,0,,60,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
