Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
05/06/2020,02/01/2020,05/02/2020,AL,Etowah County,1055,10,377
05/06/2020,02/01/2020,05/02/2020,AL,Houston County,1069,16,459
05/06/2020,02/01/2020,05/02/2020,AL,Jefferson County,1073,42,2294
05/06/2020,02/01/2020,05/02/2020,AL,Lee County,1081,32,300
05/06/2020,02/01/2020,05/02/2020,AL,Mobile County,1097,40,1219
05/06/2020,02/01/2020,05/02/2020,AL,Tallapoosa County,1123,17,151
05/06/2020,02/01/2020,05/02/2020,AZ,Coconino County,4005,51,335
05/06/2020,02/01/2020,05/02/2020,AZ,Maricopa County,4013,133,9996
05/06/2020,02/01/2020,05/02/2020,AZ,Pima County,4019,87,3083
05/06/2020,02/01/2020,05/02/2020,AR,Pulaski County,5119,21,1617
05/06/2020,02/01/2020,05/02/2020,CA,Alameda County,6001,55,2835
05/06/2020,02/01/2020,05/02/2020,CA,Contra Costa County,6013,22,2193
05/06/2020,02/01/2020,05/02/2020,CA,Los Angeles County,6037,689,18569
05/06/2020,02/01/2020,05/02/2020,CA,Marin County,6041,11,512
05/06/2020,02/01/2020,05/02/2020,CA,Orange County,6059,41,5519
05/06/2020,02/01/2020,05/02/2020,CA,Placer County,6061,14,1050
05/06/2020,02/01/2020,05/02/2020,CA,Riverside County,6065,89,4687
05/06/2020,02/01/2020,05/02/2020,CA,Sacramento County,6067,33,3205
05/06/2020,02/01/2020,05/02/2020,CA,San Bernardino County,6071,78,3864
05/06/2020,02/01/2020,05/02/2020,CA,San Diego County,6073,109,6159
05/06/2020,02/01/2020,05/02/2020,CA,San Francisco County,6075,25,1654
05/06/2020,02/01/2020,05/02/2020,CA,San Joaquin County,6077,14,1443
05/06/2020,02/01/2020,05/02/2020,CA,San Mateo County,6081,42,1302
05/06/2020,02/01/2020,05/02/2020,CA,Santa Clara County,6085,88,3021
05/06/2020,02/01/2020,05/02/2020,CA,Stanislaus County,6099,10,1369
05/06/2020,02/01/2020,05/02/2020,CA,Tulare County,6107,22,832
05/06/2020,02/01/2020,05/02/2020,CA,Ventura County,6111,18,1550
05/06/2020,02/01/2020,05/02/2020,CA,Yolo County,6113,10,315
05/06/2020,02/01/2020,05/02/2020,CO,Adams County,8001,72,949
05/06/2020,02/01/2020,05/02/2020,CO,Arapahoe County,8005,145,1366
05/06/2020,02/01/2020,05/02/2020,CO,Boulder County,8013,27,664
05/06/2020,02/01/2020,05/02/2020,CO,Denver County,8031,99,1473
05/06/2020,02/01/2020,05/02/2020,CO,Douglas County,8035,26,432
05/06/2020,02/01/2020,05/02/2020,CO,El Paso County,8041,59,1385
05/06/2020,02/01/2020,05/02/2020,CO,Jefferson County,8059,54,1381
05/06/2020,02/01/2020,05/02/2020,CO,Larimer County,8069,20,730
05/06/2020,02/01/2020,05/02/2020,CO,Montrose County,8085,10,125
05/06/2020,02/01/2020,05/02/2020,CO,Morgan County,8087,12,70
05/06/2020,02/01/2020,05/02/2020,CO,Weld County,8123,63,482
05/06/2020,02/01/2020,05/02/2020,CT,Fairfield County,9001,115,420
05/06/2020,02/01/2020,05/02/2020,CT,Hartford County,9003,79,454
05/06/2020,02/01/2020,05/02/2020,CT,Litchfield County,9005,12,75
05/06/2020,02/01/2020,05/02/2020,CT,New Haven County,9009,64,592
05/06/2020,02/01/2020,05/02/2020,DE,New Castle County,10003,23,1174
