Data as of,State,Indicator,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Hispanic or Latino,Other,Footnote
05/06/2020,United States,Distribution of COVID-19 deaths (%),52.4,21.9,0.4,5.9,16.6,2.8,
05/06/2020,United States,Weighted distribution of population (%),40.9,18.2,0.2,11.8,26.9,1.9,
05/06/2020,United States,Unweighted distribution of population (%),60.4,12.5,0.7,5.7,18.3,2.4,
05/06/2020,Alabama,Distribution of COVID-19 deaths (%),49,48.1,0,,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Alabama,Weighted distribution of population (%),56.1,36.2,0.4,2,3.8,1.4,
05/06/2020,Alabama,Unweighted distribution of population (%),65.4,26.5,0.6,1.5,4.4,1.6,
05/06/2020,Arizona,Distribution of COVID-19 deaths (%),50.7,4.1,23.5,,17.3,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Arizona,Weighted distribution of population (%),54.6,5.1,2.1,4.1,31.9,2.2,
05/06/2020,Arizona,Unweighted distribution of population (%),54.4,4.4,4,3.4,31.6,2.2,
05/06/2020,California,Distribution of COVID-19 deaths (%),38.1,9.9,,18.1,32.1,1.3,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,California,Weighted distribution of population (%),28.1,7.6,0.2,15.1,46.8,2.3,
05/06/2020,California,Unweighted distribution of population (%),36.8,5.6,0.4,14.7,39.3,3.1,
05/06/2020,Colorado,Distribution of COVID-19 deaths (%),67.8,7.5,,4.3,18.5,1.6,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Colorado,Weighted distribution of population (%),62.5,6.5,0.5,4.3,23.6,2.6,
05/06/2020,Colorado,Unweighted distribution of population (%),67.9,4,0.6,3.3,21.7,2.4,
05/06/2020,Connecticut,Distribution of COVID-19 deaths (%),79.2,12,0,,6.3,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
