the_geom,OBJECTID,REGULATING_PLAN_SUBDISTRICT_ID,PLAN_NAME,PLAN_TYPE,SUBDISTRICT_MAP,MAX_FAR_BY_RIGHT,MAX_FAR_WITH_BONUS,MINIMUM_HEIGHT,MAX_HEIGHT_WITH_BONUS,MINIMUM_DENSIT,MAXIMUM_DENSITY,MAX_DENSITY_WITH_BONUS,MAXIMUM_IMPERVIOUS_COVER,MINIMUM_LOT_SIZE_SQFT,MINIMUM_LOT_WIDTH_FT,MIN_SETBACK_INTERIOR_SIDE_YRD,MAX_SETBACK_REAR_YRD,MAX_BLDG_COVERAGE_PCT,HYPERLINK_URL,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,HUB,Shape__Area,Shape__Length
"MULTIPOLYGON (((-97.725521941162 30.243095237594, -97.725618041637 30.242944812575, -97.725662348569 30.242966151695, -97.725673425595 30.24297148535, -97.725575636622 30.243124555996, -97.725521941162 30.243095237594)))",187,1232,ERC,Regulating Plan,,,,,,,,,,,,,,,,VanallenC,04/23/2015 02:34:03 PM +0000,VanallenC,04/23/2015 03:01:17 PM +0000,,1262.15625,166.249983585396
"MULTIPOLYGON (((-97.729622126933 30.265069541532, -97.729781886382 30.26472624374, -97.72991924294 30.26477304025, -97.729761785837 30.265119135334, -97.729622126933 30.265069541532)))",944,102,PS,Regulating Plan,TODCOMU,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,None,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,6359.384765625,364.208233604172
"MULTIPOLYGON (((-97.716306379411 30.230062421456, -97.716416447533 30.229883422877, -97.716725854067 30.230021595583, -97.716612268431 30.230208856606, -97.716306379411 30.230062421456)))",457,1297,ERC,Regulating Plan,,,,,,,,,,,,,,,,VanallenC,04/23/2015 02:45:18 PM +0000,VanallenC,04/23/2015 03:01:17 PM +0000,,8298.859375,370.964994102492
"MULTIPOLYGON (((-97.725996984809 30.242068231009, -97.72604358554 30.241995286666, -97.726226475746 30.242083424154, -97.726207664593 30.242112850195, -97.726179854653 30.242156356417, -97.725996984809 30.242068231009)))",400,1240,ERC,Regulating Plan,,,,,,,,,,,,,,,,VanallenC,04/23/2015 02:34:56 PM +0000,VanallenC,04/23/2015 03:01:17 PM +0000,,2003.666015625,192.768717581347
"MULTIPOLYGON (((-97.73100189356 30.264514499013, -97.731154669318 30.264165557112, -97.731229210934 30.264191824071, -97.731303752591 30.264218090986, -97.731147884696 30.264564219915, -97.731074926155 30.264537985065, -97.73100189356 30.264514499013)))",1095,158,PS,Regulating Plan,TODMU,2 to 1,FAR Waived,Two Stories,60 feet unless within 100 feet of TOD District Boundary,Not applicable,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,6781.48828125,371.237331673323
"MULTIPOLYGON (((-97.723183132685 30.262833164187, -97.723329803062 30.262512958328, -97.723421525618 30.262544668206, -97.723456936165 30.262556803277, -97.72331041984 30.262878360517, -97.72327516693 30.26286388974, -97.723183132685 30.262833164187)))",721,265,PS,Regulating Plan,TODCOMU,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,None,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,5421.376953125,337.71675018456
"MULTIPOLYGON (((-97.714211200635 30.386038523161, -97.716492809996 30.387160645248, -97.716500824165 30.387164604013, -97.716145107342 30.387695981344, -97.716141287863 30.387694087892, -97.713836253856 30.386560451954, -97.714094947534 30.386157028792, -97.714172077876 30.386098314671, -97.714211200635 30.386038523161)))",1099,810,NBG,Regulating Plan,NBGCI,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-8,None,None,5 ft,5 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,187027.009765625,2115.63797641796
"MULTIPOLYGON (((-97.721943494911 30.373543428832, -97.721947137228 30.373537782082, -97.722004790611 30.373448097235, -97.722009891347 30.373440128649, -97.722884246433 30.372068191793, -97.722895841426 30.372049972901, -97.722903188744 30.372041045688, -97.72290469402 30.372041681799, -97.723593534775 30.372335190769, -97.723600618172 30.372338360465, -97.723600711332 30.372338417404, -97.723595244262 30.372356430776, -97.723586736648 30.372383624154, -97.723578008245 30.372410785066, -97.723569062738 30.372437777333, -97.723569029314 30.372437858767, -97.723559827513 30.37246489996, -97.723550407428 30.372491854598, -97.723541659193 30.372516209699, -97.723540733269 30.372518776092, -97.723530840068 30.372545638989, -97.723520726526 30.372572414385, -97.723510360683 30.372599129604, -97.723505050501 30.37261249816, -97.723499805984 30.372625785937, -97.723492839968 30.372642889015, -97.723488999741 30.372652354134, -97.723477942211 30.372678863077, -97.723469439108 30.372698850373, -97.723466694786 30.372705313112, -97.723455805823 30.37273028427, -97.723455196855 30.372731675033, -97.723454961182 30.372732192699, -97.723443478557 30.372757950356, -97.723431541265 30.372784165276, -97.723419381808 30.372810321534, -97.723410300568 30.372829444342, -97.723407004821 30.372836363278, -97.723394406734 30.372862345478, -97.723381557077 30.372888240445, -97.72336972653 30.372911625055, -97.723368519319 30.372914048568, -97.723355229258 30.372939796512, -97.723341752868 30.372965430577, -97.723328024907 30.372990977407, -97.723314107805 30.373016437372, -97.723299940172 30.373041810124, -97.723285584413 30.373067096932, -97.72327100935 30.373092296261, -97.723256215715 30.373117381053, -97.723255517315 30.373118576894, -97.723241201735 30.373142378345, -97.723225967361 30.373167289938, -97.72281141414 30.373960778715, -97.722811179217 30.373961268422, -97.722782094887 30.373948244829, -97.722717626039 30.373917119107, -97.722700341921 30.373908791461, -97.722578323227 30.373849870533, -97.722551990934 30.373837178117, -97.722472992491 30.373799044857, -97.722260705377 30.373696563374, -97.722251938177 30.373692314407, -97.722180173618 30.373657684056, -97.721944121197 30.37354374387, -97.721943494911 30.373543428832)))",1241,662,NBG,Regulating Plan,NBGCI,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-8,None,None,5 ft,5 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,180983.482421875,1824.28148108607
"MULTIPOLYGON (((-97.730053936892 30.241625780377, -97.729566763322 30.240984977344, -97.729587950969 30.240962799833, -97.729607555628 30.240940591046, -97.729627171415 30.240917969209, -97.729646005346 30.240894974149, -97.729664059212 30.240871577932, -97.729681330184 30.240847808472, -97.729697818571 30.240823692846, -97.729714315825 30.240799248043, -97.730026532059 30.240292296356, -97.730039895126 30.240266604849, -97.730052469682 30.24024078723, -97.730065050916 30.240214721601, -97.730076844344 30.240188503708, -97.73008785004 30.240162130843, -97.730098860883 30.240135566787, -97.73010908324 30.240108875717, -97.730118517817 30.240082031481, -97.730127955331 30.240055078121, -97.731330472446 30.240627846549, -97.730627179256 30.241748432346, -97.730410362667 30.242094695911, -97.730053936892 30.241625780377)))",111,1126,ERC,Regulating Plan,ERCUR,,,,65',,,,,,,,,,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 12:41:40 PM +0000,VanallenC,04/23/2015 02:09:52 PM +0000,YES,208917.619140625,1907.54386700748
"MULTIPOLYGON (((-97.717693097219 30.390132808212, -97.717693520178 30.390131221478, -97.717693554653 30.390131140066, -97.717710371118 30.390065556202, -97.717937936163 30.389132318343, -97.71769173408 30.389086043432, -97.7175180879 30.389054999292, -97.717514206549 30.389054232561, -97.717487322129 30.38904887125, -97.717439735828 30.389039457659, -97.717520233711 30.38871512445, -97.717586555979 30.388447875501, -97.717602369464 30.388455513289, -97.717615083212 30.38846165855, -97.718124115723 30.388709448505, -97.719588294062 30.389422149839, -97.719488645711 30.389746286251, -97.719280820932 30.390422329149, -97.719280577002 30.390423148928, -97.71874569373 30.390299896565, -97.718744620917 30.390299654527, -97.718714918345 30.390292915909, -97.718686253358 30.39028652869, -97.718684141021 30.390286045292, -97.718657868962 30.390280311411, -97.718657520892 30.390280250176, -97.718653295462 30.390279311338, -97.718622447254 30.390272713576, -97.718620175729 30.390272227836, -97.718591531544 30.390266225421, -97.718560613895 30.390259847306, -97.718529628035 30.39025360495, -97.718498639502 30.39024749969, -97.718467615715 30.390241504693, -97.718436557764 30.390235618177, -97.718405463825 30.390229868979, -97.718374333924 30.390224256198, -97.718343170874 30.39021875282, -97.718312003803 30.39021335944, -97.71828076956 30.390208101841, -97.718277547215 30.390207596713, -97.718249531579 30.390202982217, -97.718218290616 30.390197972612, -97.71821513102 30.39019749493, -97.718186983521 30.390193098809, -97.718155672405 30.390188335003, -97.718124326366 30.390183707634, -97.718092976305 30.390179190263, -97.718061592335 30.390174810253, -97.718030173136 30.390170539604, -97.717998717972 30.390166405371, -97.717967291341 30.39016240887, -97.717937631983 30.390158723606, -97.717935798246 30.390158521995, -97.717904301154 30.390154744215, -97.717872801362 30.390151104433, -97.717841266644 30.390147601088, -97.7178247534 30.390145834206, -97.717809696696 30.390144207104, -97.717778121991 30.390140950172, -97.717746544585 30.390137831238, -97.717714933746 30.390134793728, -97.717693097219 30.390132808212)))",1262,685,NBG,Regulating Plan,TOD,Figure 4-2,Figure 4-3,Two Stories,Figure 4-5,None,None,Waived with Bonus,Figure 4-6,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,267758.1171875,2365.49443012287
