Registration Number,Name,Street Address,City,State,Zip,Registration Date,Registration Expiration Date,Registration Status,Location
00-SA-000224,Alverton In-Home Service,18735 Birdseye Drive,Germantown,MD,20874,11/02/2018,11/02/2019,Expired,"18735 Birdseye Drive
Germantown, MD 20874
(39.163957, -77.248634)"
18-SA-002112,All Variety Service Company INC,2800 Dorr Ave,Fairfax,Virginia,22031,01/03/2019,01/03/2020,Expired,"2800 Dorr Ave
Fairfax, Virginia 22031
(38.877816, -77.233671)"
15-SA-000163,Apple Home Appliance Service (A.H.A),21306 Purple Aster Court,Germantown,MD,20876,04/01/2020,04/01/2021,Renewed,"21306 Purple Aster Court
Germantown, MD 20876
(39.204381, -77.255772)"
17-SA-001010,Titan Home Service Solutions Corporation,,,,,10/19/2017,10/19/2018,Expired,
20-SA-002193,"JB Appliance Service, LLC",25210 Tralee Court,Damascus,MD,20872,02/04/2020,02/04/2021,New,"25210 Tralee Court
Damascus, MD 20872
(39.270221, -77.21543)"
02-SA-000276,Jim's Appliance Repair /Sam's Superior/1st Aware S,7731 Ora Court,Greenbelt,MD,20770,11/05/2018,11/05/2019,Expired,"7731 Ora Court
Greenbelt, MD 20770
(38.990989, -76.872442)"
08-SA-000342,"Mark M. Services, LLC",P.O. Box 274,Boyds,MD,20841,02/27/2020,02/27/2021,Renewed,"P.O. Box 274
Boyds, MD 20841"
00-SA-000137,Leisure World of Maryland Corp.,3701 Rossmor Blvd.,Silver Spring,MD,20906,02/21/2019,02/21/2020,Expired,"3701 Rossmor Blvd.
Silver Spring, MD 20906
(39.100813, -77.074648)"
18-SA-001036,Quick Service,10107 Maryland St,Lanham,Md,20706,01/18/2018,01/18/2019,Expired,"10107 Maryland St
Lanham, Md 20706
(38.966876, -76.817952)"
00-SA-000137,Leisure World of Maryland Corp.,3701 Rossmor Blvd.,Silver Spring,MD,20906,02/19/2020,02/19/2021,Renewed,"3701 Rossmor Blvd.
Silver Spring, MD 20906
(39.100813, -77.074648)"
08-SA-000342,"Mark M. Services, LLC",14514 Anchor Lane,Boyds,Maryland,20841,02/28/2019,02/28/2020,Expired,"14514 Anchor Lane
Boyds, Maryland 20841
(39.172117, -77.300059)"
18-SA-002112,All Variety Service Company INC,8511 Ashgrove Plantation Cir,Vienna,Virginia,22182,02/07/2020,02/07/2021,Renewed,"8511 Ashgrove Plantation Cir
Vienna, Virginia 22182
(38.914395, -77.240099)"
17-SA-001004,"Audio Video Center,Inc",,,,,08/13/2018,08/13/2019,Expired,
17-SA-001014,Acker & Sons,10516 Summit Avenue,Kensington,Maryland,20895,11/13/2018,11/13/2019,Expired,"10516 Summit Avenue
Kensington, Maryland 20895
(39.029026, -77.078639)"
19-SA-002134,Helix Corp,325 ELLINGTON BLVD,GAITHERSBURG,Maryland,20878,11/04/2019,11/04/2020,New,"325 ELLINGTON BLVD
GAITHERSBURG, Maryland 20878
(39.113914, -77.206279)"
00-SA-000023,"Charles A. Klein & Sons, Inc.",5220 Klees Mill rd,Sykesville,MD,21784,11/19/2019,11/19/2020,Renewed,"5220 Klees Mill rd
Sykesville, MD 21784
(39.43181, -76.99225)"
00-SA-000080,"Presidential Heating & Air Conditioning, Inc.",8000 Cessna Avenue,Gaithersburg,MD,20879,11/26/2018,11/26/2019,Expired,"8000 Cessna Avenue
Gaithersburg, MD 20879
(39.172617, -77.16403)"
16-SA-000171,"American International Export, Inc.",8309 Sherwick Ct.,Jessup,MD,20794,11/20/2019,11/20/2020,Renewed,"8309 Sherwick Ct.
Jessup, MD 20794
(39.149231, -76.796326)"
00-SA-000023,"Charles A. Klein & Sons, Inc.",5220 Klees Mill Road,Sykesville,MD,21784,11/19/2019,11/19/2020,Renewed,"5220 Klees Mill Road
Sykesville, MD 21784
(39.43181, -76.99225)"
00-SA-000223,"Kane Heating & Air Conditioning, Inc.",305 Natick Ct,Silver Spring,MD,20905,08/07/2017,08/07/2018,Expired,"305 Natick Ct
Silver Spring, MD 20905
(39.094139, -77.01268)"
18-SA-001036,Quick Service,10107 Maryland St,Lanham,Md,20706,06/26/2019,06/26/2020,New,"10107 Maryland St
Lanham, Md 20706
(38.966876, -76.817952)"
