the_geom,OBJECTID,NAME,District,Zone,Subzone,Shape_Length,Shape_Area
"MULTIPOLYGON (((-90.073972062903 29.963398990255, -90.074377449583 29.962934105591, -90.074924541301 29.962306675459, -90.076299935888 29.963233065362, -90.079403066723 29.965323101371, -90.079727836832 29.965541849164, -90.082023915223 29.967088158635, -90.081503738536 29.967678996145, -90.079435697034 29.966503872813, -90.075866029368 29.964475325765, -90.073972062903 29.963398990255)))",6971,1I04,1,1I,04,6459.2888360739016,1093076.7058324122
"MULTIPOLYGON (((-90.124596327575 29.935718502313, -90.123129430131 29.934649212892, -90.122232571079 29.934015502191, -90.122197384936 29.933990648541, -90.12139933572 29.933426728406, -90.122089394877 29.932107972166, -90.122099446127 29.932088732706, -90.122186748881 29.931921896509, -90.123130135709 29.930154166782, -90.123611703558 29.929279093928, -90.124182126187 29.928230183008, -90.124236244594 29.928130691166, -90.124575453434 29.927473315408, -90.124624436949 29.927383373206, -90.125020313938 29.926660462235, -90.125053765374 29.926591194279, -90.125102177541 29.926490879162, -90.125796583428 29.925172776465, -90.126229585928 29.924349387767, -90.126415087715 29.924005195926, -90.127575426586 29.924589567519, -90.127781433104 29.924693288179, -90.132072246677 29.926844342205, -90.13217003206 29.926893360767, -90.131671804517 29.927572952331, -90.131577114183 29.927702135095, -90.131313488437 29.928061734781, -90.129767165808 29.930150101507, -90.128146812727 29.932342244237, -90.128002208122 29.932486091164, -90.127420563747 29.933331030079, -90.127130128387 29.933722386607, -90.125274821316 29.936185055351, -90.124596327575 29.935718502313)))",6993,2E01,2,2E,01,11490.399676331988,7139107.5617778106
"MULTIPOLYGON (((-90.060678098924 30.016733528026, -90.063327874165 30.016578219935, -90.067465475365 30.01633564261, -90.07027808823 30.016170651268, -90.070572502172 30.020075710082, -90.070673752477 30.02141822592, -90.061101124641 30.022011458626, -90.061009634716 30.020870079337, -90.060678098924 30.016733528026)))",7042,3R01,3,3R,01,9918.6396735126127,5833497.7433988545
"MULTIPOLYGON (((-90.07045401632 29.941180992189, -90.070750682938 29.941349774873, -90.070990601978 29.941469033975, -90.071197629958 29.941535068562, -90.071939979503 29.941749674548, -90.07210558769 29.941802797554, -90.073098204284 29.942325569464, -90.072874091869 29.942624409887, -90.072704699483 29.942858324729, -90.072638943613 29.942991922023, -90.072467959502 29.943339176487, -90.072333268832 29.943787812907, -90.070968063577 29.948335430378, -90.070780204607 29.948951964926, -90.069559326076 29.948673082528, -90.06971963594 29.94812544722, -90.068474388132 29.947851764609, -90.069004964255 29.946059299848, -90.069208309604 29.945372350274, -90.070389672897 29.941397487096, -90.07045401632 29.941180992189)))",7227,8G03,8,8G,03,6988.7364565001371,2069748.7845620695
"MULTIPOLYGON (((-89.989741184234 30.038563157481, -89.991846737992 30.037637362028, -89.99253603224 30.037344495986, -89.993623081817 30.036882643935, -89.993872010916 30.036776882131, -89.996719736915 30.035590653266, -89.997050730652 30.03624955258, -89.99716833412 30.036596419232, -89.997240439485 30.036916259094, -89.997366175224 30.037512521191, -89.997496506867 30.038048988857, -89.997621894972 30.038385978798, -89.997803835823 30.038776699283, -89.997994525965 30.039087757995, -89.998005668134 30.039105415599, -89.99849581575 30.039880626617, -89.998746708072 30.040258761964, -89.998897106298 30.040439776861, -89.999205953545 30.040771969059, -89.999468990203 30.041100395294, -89.999828703677 30.041625874484, -90.000093136742 30.042079493266, -89.998014148499 30.042939303879, -89.995821149775 30.043871651947, -89.993611157329 30.04482837467, -89.993530292499 30.044687962903, -89.993251935277 30.044234959728, -89.992989851064 30.043808438452, -89.992545398765 30.04308504228, -89.991835736775 30.041945345295, -89.99167420513 30.041688144222, -89.991540180177 30.041510257033, -89.989741184234 30.038563157481)))",7341,7P01,7,7P,01,9946.3346912991819,5925673.8796109185
"MULTIPOLYGON (((-90.109129274938 29.995236952923, -90.109197739834 29.994647253882, -90.109251862278 29.994181004723, -90.109372708302 29.993137854301, -90.109560190662 29.991519671693, -90.109579161516 29.991356087027, -90.109878110938 29.988778016714, -90.11008876715 29.986961197561, -90.110604579411 29.982512434692, -90.110641311927 29.982195841013, -90.111086665258 29.981977779268, -90.111161759848 29.98194102178, -90.111378468894 29.981844584408, -90.11246460477 29.981491117188, -90.112962935892 29.981328953142, -90.113593033206 29.981129562946, -90.113746831924 29.981080883293, -90.113775214473 29.981177615352, -90.113849507725 29.981363954612, -90.114034747381 29.981828601177, -90.114220937153 29.982301039692, -90.114578859105 29.983209204992, -90.11514461707 29.984647207247, -90.115564795584 29.985715169381, -90.115797915488 29.986409686939, -90.116155364505 29.987661864613, -90.116372244054 29.988476486666, -90.116378259833 29.988620365129, -90.116388326846 29.988797391605, -90.11640142298 29.98914282643, -90.116413590334 29.989463557996, -90.116513033627 29.989917094694, -90.116592993864 29.990281902858, -90.116762526848 29.991055138986, -90.116713881704 29.991495041895, -90.116648188898 29.992089198405, -90.116424518176 29.992752293756, -90.116297483549 29.993122722629, -90.116192505618 29.99347207016, -90.11608513359 29.993934722287, -90.116037318436 29.994544306475, -90.115998376825 29.99515944371, -90.115964656168 29.995600363798, -90.114573181398 29.995644440972, -90.11405558568 29.995660822957, -90.113408237566 29.9956127225, -90.112606262328 29.995542314008, -90.111698094506 29.995462555211, -90.111628412618 29.995456436572, -90.110540265201 29.995360891303, -90.109921587989 29.995306551224, -90.109129274938 29.995236952923)))",6914,3E01,3,3E,01,13449.526567122612,9487234.2617688533
"MULTIPOLYGON (((-90.058360191589 29.943173795495, -90.058145116973 29.941644826604, -90.057887896413 29.939975087447, -90.057870477734 29.93876612666, -90.058015967375 29.937694346699, -90.058008896855 29.936869000951, -90.05798227818 29.935784416033, -90.058002930836 29.935616123624, -90.063776078209 29.934948049729, -90.064192049666 29.934896926142, -90.064199766382 29.935496748667, -90.064210872617 29.936421022577, -90.06421424386 29.936957884196, -90.064212919503 29.937069438563, -90.064198798915 29.937233834939, -90.064172878794 29.937380187451, -90.064131882492 29.93754751483, -90.064113681328 29.937650327061, -90.064105784641 29.937826829142, -90.064113233067 29.937943858958, -90.064303756087 29.939143020812, -90.065506929482 29.939167408165, -90.065564541496 29.939521394017, -90.065736081165 29.940620848123, -90.065767736664 29.940890460683, -90.06577599129 29.941115627672, -90.065784499196 29.941551997417, -90.065792072748 29.941970015797, -90.065795324406 29.94217393305, -90.065804144366 29.942585830044, -90.065817770504 29.943171107004, -90.065830269558 29.943753292846, -90.065839869863 29.94419577834, -90.065847553888 29.944602604568, -90.064856082659 29.944378411733, -90.064332982538 29.944236803237, -90.063772757037 29.944107125492, -90.062758391899 29.943923368358, -90.058360191589 29.943173795495)))",7376,8A01,8,8A,01,11082.405752981511,6902317.7875666237
"MULTIPOLYGON (((-90.101129311411 29.994819776256, -90.101155621547 29.994073597707, -90.102192360565 29.994134638777, -90.102745716797 29.994148695257, -90.102995733607 29.994146578, -90.103391394773 29.994123655424, -90.10370061476 29.99407547768, -90.10423062847 29.993950710836, -90.104608829594 29.993819107975, -90.104790347681 29.993755929854, -90.10498987206 29.993774924989, -90.10521542829 29.993796416436, -90.105549056502 29.993815781222, -90.107580071654 29.993989586717, -90.109044980938 29.994107498689, -90.109251862278 29.994181004723, -90.109197739834 29.994647253882, -90.109129274938 29.995236952923, -90.108567337655 29.995151948903, -90.107642225604 29.995073516527, -90.105883023355 29.994924356805, -90.105517342189 29.9948933368, -90.105281969641 29.994873376513, -90.104620116614 29.994882710485, -90.103599944029 29.994832786415, -90.102300788064 29.994830736709, -90.101129311411 29.994819776256)))",6978,3I03,3,3I,03,5794.52224119538,875014.02215529617
"MULTIPOLYGON (((-90.07326035934 29.942119580074, -90.074970874773 29.939802245859, -90.076435083673 29.940629445014, -90.078661792213 29.941887318194, -90.076904352645 29.944253889092, -90.074437309791 29.942808941628, -90.07326035934 29.942119580074)))",7369,6G03,6,6G,03,4810.9444964401309,1410578.7884120743
"MULTIPOLYGON (((-90.019565490439 29.949762563954, -90.019435444102 29.949700599249, -90.016079544563 29.948053557466, -90.013954993567 29.947010750415, -90.014052213331 29.945568710183, -90.014303124755 29.941846907177, -90.01432463964 29.941504388317, -90.014607364854 29.937005499138, -90.017800805694 29.938409728218, -90.020111782502 29.939429230305, -90.022526939345 29.940494608122, -90.022526383289 29.940503264931, -90.02236952904 29.942985184634, -90.022140397329 29.946610251707, -90.022293335899 29.9468091167, -90.026355379169 29.952089646597, -90.027310849727 29.953331605308, -90.025740450143 29.952637966941, -90.023832677287 29.951795283358, -90.019565490439 29.949762563954)))",7149,4K01,4,4K,01,16439.44192046094,10954472.728418
"MULTIPOLYGON (((-90.027237830966 30.033723446501, -90.026902452685 30.032791397629, -90.027363069678 30.032658082666, -90.027760048684 30.032595964644, -90.028040787421 30.032584393288, -90.028338429282 30.032544250389, -90.028885058442 30.032397428121, -90.031699036794 30.031652639068, -90.032222089324 30.031517036311, -90.032708918423 30.031401177013, -90.032950922791 30.031354424819, -90.033123071929 30.031347187251, -90.033504546939 30.031433617391, -90.033877333448 30.031541768263, -90.034479232615 30.031406467243, -90.036205170927 30.037446167317, -90.031574778156 30.042077244531, -90.031597634159 30.041876118504, -90.03161033949 30.041667961288, -90.031593900488 30.041384964693, -90.031482386242 30.034087635102, -90.027237830966 30.033723446501)))",7281,7A06,7,7A,06,11595.041558538776,4711527.4192630379
"MULTIPOLYGON (((-90.07027808823 30.016170651268, -90.06991582379 30.011881562081, -90.072535460129 30.01171428645, -90.074749047999 30.011599974555, -90.074835055473 30.012809518898, -90.075220579452 30.017799257443, -90.075315392856 30.018950366408, -90.075496604119 30.021151109913, -90.072072004769 30.021340795905, -90.070673752477 30.02141822592, -90.070572502172 30.020075710082, -90.07027808823 30.016170651268)))",7043,3P05,3,3P,05,10020.386917960774,5309693.183178314
"MULTIPOLYGON (((-90.124514651523 29.943097674999, -90.124772995073 29.942785807934, -90.12539473449 29.941989676118, -90.125784193868 29.941490939312, -90.125866989347 29.94155577341, -90.126231863385 29.94184148998, -90.126585352525 29.942131474169, -90.127668967822 29.943020414589, -90.128591749202 29.9437526906, -90.130015598788 29.944911914396, -90.131199181983 29.945850826386, -90.129880712748 29.947092188955, -90.129701464779 29.947260964993, -90.126601271592 29.944786676872, -90.124992264808 29.943484283519, -90.124514651523 29.943097674999)))",6928,2L01,2,2L,01,5977.5400412859008,1600349.6717707377
"MULTIPOLYGON (((-90.003398815349 29.962620121579, -90.005615328061 29.957920895199, -90.006174765426 29.958120965487, -90.006903133036 29.958383978106, -90.007756616963 29.958695546649, -90.008315928368 29.958892635404, -90.009517307456 29.959333866876, -90.010510863189 29.959693797556, -90.011990755812 29.960225282534, -90.012084864397 29.960259062419, -90.012553840544 29.960434381623, -90.012812063808 29.960529208371, -90.013112663733 29.960624459767, -90.014142237903 29.960856105446, -90.015788087446 29.961233066065, -90.015426832984 29.962382059867, -90.015204395574 29.963077839174, -90.015032946101 29.963607422595, -90.014798472217 29.964338858571, -90.014651111712 29.964797128611, -90.014391501928 29.965618566657, -90.014319207153 29.965847880444, -90.014234529063 29.966072668976, -90.011301641278 29.965399626457, -90.011049203289 29.965341704911, -90.010599289981 29.96521354338, -90.010064364307 29.965034639273, -90.008869014232 29.964604887779, -90.00736202709 29.964057585228, -90.005904588363 29.963528474949, -90.004361596245 29.962966997336, -90.003958281918 29.962820197624, -90.003398815349 29.962620121579)))",7252,5E03,5,5E,03,10780.723950419982,6548242.8320639012
"MULTIPOLYGON (((-90.086654063009 29.918385689982, -90.088059380703 29.918214751934, -90.089157074266 29.918121216001, -90.091939932096 29.917884113882, -90.092213792745 29.917860766313, -90.092227569277 29.917859713478, -90.09273733927 29.919746459534, -90.092855408234 29.920183256419, -90.093256856531 29.921668358235, -90.091642568012 29.922136580826, -90.090848142392 29.922355321701, -90.090041549126 29.922577408266, -90.088892766036 29.923004620459, -90.086654063009 29.918385689982)))",7000,6O03,6,6O,03,6489.0055049440489,2582824.0700029139
"MULTIPOLYGON (((-90.027350451335 29.942512576967, -90.027532940544 29.939678821905, -90.027755874648 29.936216813812, -90.030349708148 29.936332317669, -90.033401913564 29.936471741603, -90.035137143365 29.936551878828, -90.036055973803 29.936594327744, -90.037446924552 29.936666777012, -90.037351694425 29.937598147941, -90.037321167149 29.937896800315, -90.037246428812 29.938725880149, -90.037207211051 29.939282757005, -90.036806758342 29.944968608816, -90.035480322145 29.944911311833, -90.034578213939 29.94486654904, -90.034363570944 29.944855548513, -90.033660441938 29.94481950959, -90.033483307567 29.944806401507, -90.033314081755 29.944785039211, -90.033141647943 29.944743213037, -90.032956450862 29.944680085092, -90.03258444727 29.944541684691, -90.029015869144 29.943158245834, -90.027350451335 29.942512576967)))",7158,4I01,4,4I,01,11563.623298821343,8532070.6785081383
"MULTIPOLYGON (((-90.115965256454 29.951082361597, -90.118493729861 29.947866137248, -90.119258920679 29.946892802039, -90.121334935531 29.944251852767, -90.121706520551 29.943779142218, -90.122074804185 29.943999589602, -90.12325995066 29.944708880981, -90.12310849642 29.94489993159, -90.11943373894 29.949534814225, -90.118193177387 29.951115028017, -90.116816398107 29.952856576907, -90.116488407022 29.952411869213, -90.116095491967 29.95141337194, -90.115965256454 29.951082361597)))",6947,2L04,2,2L,04,8116.6121284039737,2026353.6663439223
"MULTIPOLYGON (((-89.964091561372 30.044335752818, -89.964101956249 30.044329206073, -89.966511286681 30.047266989594, -89.968249714041 30.049386558555, -89.965648109863 30.051060132874, -89.965328511339 30.051261522171, -89.963787439844 30.049398534507, -89.961132140097 30.046188364157, -89.962924389215 30.045075349256, -89.963614030244 30.044636145519, -89.964091561372 30.044335752818)))",7335,7I10,7,7I,10,6838.4149880675031,2612085.0987044577
"MULTIPOLYGON (((-90.05669143463 29.966568474209, -90.056624420018 29.965736280451, -90.056533229999 29.964604102095, -90.057816778772 29.964526789313, -90.058959197845 29.964457969596, -90.058988875659 29.964822274311, -90.059273268279 29.968313176552, -90.059203849959 29.968325209648, -90.05890174977 29.968384269285, -90.058598371832 29.968444360633, -90.058210703046 29.968521180216, -90.058091058054 29.968538665424, -90.05781653104 29.968558142893, -90.057637916385 29.968570821077, -90.056853526336 29.968624512546, -90.05669143463 29.966568474209)))",7086,8F03,8,8F,03,4417.4299491528573,1117067.8060211465
"MULTIPOLYGON (((-89.947978048404 30.028717542289, -89.950395925681 30.028615330646, -89.955760263943 30.028449797633, -89.956976320154 30.028437653639, -89.957392164543 30.028938979271, -89.957667825322 30.029300018677, -89.957789994797 30.029497837184, -89.957948827159 30.029821520382, -89.958063383996 30.030154421876, -89.958229499911 30.030894255787, -89.958427572811 30.031730150302, -89.958481693005 30.031958415071, -89.958582224059 30.032270461591, -89.958734722888 30.032616242531, -89.958906906636 30.032916579612, -89.959192777244 30.033317679831, -89.959239049526 30.033365682984, -89.959525596033 30.03366283845, -89.959982172647 30.034027272778, -89.961299228146 30.034861407308, -89.958548058992 30.036590923114, -89.958396520555 30.036686168974, -89.955024444412 30.038819097064, -89.953160559596 30.036569523256, -89.950843690711 30.033773060194, -89.949504161053 30.032156154944, -89.949373638763 30.031998611132, -89.949040263888 30.031598502736, -89.948710823036 30.031186113972, -89.948472944195 30.030798667609, -89.948351666551 30.030551514926, -89.948235335361 30.030271304146, -89.948158721475 30.030016920509, -89.948086665921 30.029695980414, -89.947978048404 30.028717542289)))",7297,7I02,7,7I,02,12468.902250710691,8922923.7585442308
