Permit Number,Status,Processed Date,Issued Date,Finaled Date,Description,Application Type,Work Type,Use code ,Number of Dwelling units,High Rise,Tax Description,Tax Amount,Tax Status,Tax Paid Date,Street Number,Pre-direction,Street name of work location,Street Suffix,Post-direction,City,State,ZIP code
430719,Issued,08/18/2006,08/18/2006,,,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,IMPACT TAX >JUL05-GENERAL,3703.00,PAID,08/18/2006,610,,FROGS LEAP,LN,,GAITHERSBURG,MD,20877
532077,Issued,03/04/2010,03/04/2010,,,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,IMPACT TAX >JUL09-GENERAL,7936.45,PAID,03/04/2010,466,,LADY FERN,PL,,GAITHERSBURG,MD,20878
591992,Issued,02/24/2012,02/24/2012,,,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,17970.00,PAID,02/24/2012,506,,RUDBECKIA,PL,,GAITHERSBURG,MD,20878
662627,Open,02/06/2014,,,,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20453.00,PAID,02/06/2014,,,,,,,,
676021,Open,06/10/2014,,,,GAITHERSBURG RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,IMPACT TAX >JUL11-GENERAL,5526.00,PAID,06/10/2014,,,,,,,,
686056,Open,08/29/2014,,,New Const.,GAITHERSBURG RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,SCHOOLS IMPACT TAX,0.00,UNPAID,,803,,CROWN PARK,AVE,,ROCKVILLE,MD,20850
704205,Open,02/24/2015,,,SFD IMPACT TAXES,GAITHERSBURG RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,IMPACT TAX >JUL11-GENERAL,11050.00,PAID,02/24/2015,,,,,,,,
719741,Open,07/10/2015,,,BRN-8427-2015,GAITHERSBURG RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,SCHOOLS IMPACT TAX,28005.00,PAID,07/10/2015,312,,GOODALL,ST,,ROCKVILLE,MD,20850
719742,Finaled,07/10/2015,07/10/2015,07/10/2015,BRN-8404-2015,GAITHERSBURG RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,SCHOOLS IMPACT TAX,30685.00,PAID,07/10/2015,445,,SALK,CIR,,ROCKVILLE,MD,20850
719744,Open,07/10/2015,,,BRN-8310-2015,GAITHERSBURG RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,SCHOOLS IMPACT TAX,30685.00,PAID,07/10/2015,457,,SALK,CIR,,ROCKVILLE,MD,20850
723131,Open,08/05/2015,,,,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,08/05/2015,9774,,FIELDS,RD,,GAITHERSBURG,MD,20878
723132,Open,08/05/2015,,,,GAITHERSBURG RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,08/05/2015,9772,,FIELDS,RD,,GAITHERSBURG,MD,20878
723133,Open,08/05/2015,,,,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,08/05/2015,9770,,FIELDS,RD,,GAITHERSBURG,MD,20878
723134,Open,08/05/2015,,,,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,08/05/2015,9764,,FIELDS,RD,,GAITHERSBURG,MD,20878
723135,Open,08/05/2015,,,,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,08/05/2015,9762,,FIELDS,RD,,GAITHERSBURG,MD,20878
723136,Open,08/05/2015,,,,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,08/05/2015,9760,,FIELDS,RD,,GAITHERSBURG,MD,20878
724641,Open,08/17/2015,,,City of Gaithersburg-BRN 9058-2015,GAITHERSBURG RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,SCHOOLS IMPACT TAX,30129.00,PAID,08/17/2015,300,,FOREST PRESERVE,DR,,GAITHERSBURG,MD,20878
725656,Open,08/24/2015,,,CITY IMPACT ONLY,GAITHERSBURG RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,SCHOOLS IMPACT TAX,29261.00,PAID,08/24/2015,,,,,,,,
726519,Open,08/31/2015,,,NEW TOWNHOME,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,08/31/2015,,,,,,,,
726520,Open,08/31/2015,,,NEW TOWNHOME,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,08/31/2015,,,,,,,,
726521,Open,08/31/2015,,,NEW TOWNHOME,GAITHERSBURG RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,SCHOOLS IMPACT TAX,20198.00,PAID,08/31/2015,,,,,,,,
