Permit Number,Status,Processed Date,Issued Date,Finaled Date,Description,Application Type,Work Type,Use code ,Number of Dwelling units,High Rise,Tax Description,Tax Amount,Tax Status,Tax Paid Date,Street Number,Pre-direction,Street name of work location,Street Suffix,Post-direction,City,State,ZIP code
284127,Finaled,07/31/2002,07/31/2002,07/31/2002,,ROCKVILLE RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,"IMPACT TAX, COUNTY DISTRICT",525.00,PAID,07/31/2002,905,,CRESTFIELD,DR,,ROCKVILLE,MD,20850
284128,Finaled,07/31/2002,07/31/2002,07/31/2002,,ROCKVILLE RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,"IMPACT TAX, COUNTY DISTRICT",525.00,PAID,07/31/2002,907,,CRESTFIELD,DR,,ROCKVILLE,MD,20850
284129,Issued,07/31/2002,07/31/2002,,,ROCKVILLE RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,"IMPACT TAX, COUNTY DISTRICT",525.00,PAID,07/31/2002,909,,CRESTFIELD,DR,,ROCKVILLE,MD,20850
284131,Issued,07/31/2002,07/31/2002,,,ROCKVILLE RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,"IMPACT TAX, COUNTY DISTRICT",525.00,PAID,07/31/2002,911,,CRESTFIELD,DR,,ROCKVILLE,MD,20850
284434,Issued,08/05/2002,08/05/2002,,,ROCKVILLE RES. BUILDING,CONSTRUCT,SINGLE FAMILY DWELLING,0,N,"IMPACT TAX, COUNTY DISTRICT",525.00,PAID,08/05/2002,113,,FOREST,AVE,,ROCKVILLE,MD,20850
284676,Issued,08/07/2002,08/07/2002,,,ROCKVILLE RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,"IMPACT TAX, COUNTY DISTRICT",525.00,PAID,08/07/2002,311,,RIDGEMONT,DR,,ROCKVILLE,MD,20850
284679,Issued,08/07/2002,08/07/2002,,,ROCKVILLE RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,"IMPACT TAX, COUNTY DISTRICT",525.00,PAID,08/07/2002,313,,RIDGEMONT,DR,,ROCKVILLE,MD,20850
284680,Issued,08/07/2002,08/07/2002,,,ROCKVILLE RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,"IMPACT TAX, COUNTY DISTRICT",525.00,PAID,08/07/2002,315,,RIDGEMONT,DR,,ROCKVILLE,MD,20850
284681,Finaled,08/07/2002,08/07/2002,08/07/2002,,ROCKVILLE RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,"IMPACT TAX, COUNTY DISTRICT",525.00,PAID,08/07/2002,317,,RIDGEMONT,DR,,ROCKVILLE,MD,20850
284684,Issued,08/07/2002,08/07/2002,,,ROCKVILLE RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,"IMPACT TAX, COUNTY DISTRICT",525.00,PAID,08/07/2002,306,,RIDGEMONT,AVE,,ROCKVILLE,MD,20850
284685,Issued,08/07/2002,08/07/2002,,,ROCKVILLE RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,"IMPACT TAX, COUNTY DISTRICT",525.00,PAID,08/07/2002,308,,RIDGEMONT,AVE,,ROCKVILLE,MD,20850
284686,Issued,08/07/2002,08/07/2002,,,ROCKVILLE RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,"IMPACT TAX, COUNTY DISTRICT",525.00,PAID,08/07/2002,310,,RIDGEMONT,AVE,,ROCKVILLE,MD,20850
284996,Issued,08/12/2002,08/12/2002,,,ROCKVILLE RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,"IMPACT TAX, COUNTY DISTRICT",525.00,PAID,08/12/2002,402,,GARDEN VIEW,WAY,,ROCKVILLE,MD,20850
284997,Issued,08/12/2002,08/12/2002,,,ROCKVILLE RES. BUILDING,CONSTRUCT,TOWNHOUSE,0,N,"IMPACT TAX, COUNTY DISTRICT",525.00,PAID,08/12/2002,404,,GARDEN VIEW,WAY,,ROCKVILLE,MD,20850
