the_geom,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
POINT (-90.086950349602 29.923590685591),1337404,BASIN SEAFOOD & SPIRITS,3222 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),TEAK GROUP LLC,3675649.55995,519850.70124
POINT (-90.084138857871 29.980523016202),1337353,ACORN GLOBAL ENTERPRISES (PDL),3133 PONCE DE LEON ST,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"ACORN GLOBAL ENTERPRISES, L3C, FAIR GRINDS",3676314.41422,540563.111819
POINT (-90.069010543296 29.978926194372),1337800,HUNAN WOK,2201 ST BERNARD AVE,,NEW ORLEANS,LA,70119,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),GUANG QUAN SHI,3681110.06171,540034.974987
POINT (-90.053984819428 29.969017958654),1337852,KEBAB,2315 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-432-1062,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),KEBAB NOLA LLC,3685907.1215,536484.770567
POINT (-90.071923246882 29.954761917969),1337582,CLEO'S,940 CANAL ST,,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"AL MADKOUR,LLC",3680284.69256,531237.775298
POINT (-90.08874792059 29.923207315611),1338129,POKE LOA,3341 MAGAZINE ST,,NEW ORLEANS,LA,70115,504-309-9993,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"POKE JOE'S,LLC",3675081.68334,519705.104824
POINT (-90.119043608729 29.91700401883),1337726,FRANKIE & JOHNNY'S,321 ARABELLA ST,,NEW ORLEANS,LA,70115,504-243-1234,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"K & M PARTNERS 321 ARABELLA, LLC",3665509.20756,517346.392757
POINT (-90.054206857653 30.028183997923),1338224,SASSAFRAS RESTAURANT,6600 FRANKLIN AVE,#B4,NEW ORLEANS,LA,70122,504-554-1810,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"SASSAFRAS RESTAURANT, LLC",3685596.64431,557999.040667
POINT (-90.076989294557 29.951922709288),1337638,DEBBIE DOES DOBERGE,1179 ANNUNCIATION ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"DEBBIE DOES DOBERGE, LLC",3678691.8167,530187.70942
POINT (-90.089033192449 30.012346915787),1337410,BAYOU DISTRICT FOUNDATION,1051 FILMORE AVE,,NEW ORLEANS,LA,70124,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),BAYOU DISTRICT FOUNDATION,3674639.32264,552118.685526
POINT (-90.074592608538 29.94074478179),1338134,POPEYES FAMOUS FRIED CHICKEN  #2020,1243 ST CHARLES AVE,,NEW ORLEANS,LA,70130,905-339-6010,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),AMERICA'S FAVORITE CHICK,3679495.41634,526131.335422
POINT (-90.076989294557 29.951922709288),1338117,PIZZA FACE,1139-1141 DECATUR ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"SNOOKERS, INC",3678691.8167,530187.70942
POINT (-90.070630707945 29.949076172895),1337479,CAFE AT THE SQUARE,500 ST CHARLES AVE,A,NEW ORLEANS,LA,70130,504-495-2387,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"PARK SQUARE RESTAURANT GROUP, LLC",3680716.76725,529174.737728
POINT (-90.059239608049 29.96054343092),1338397,THE TAHYO TAVERN,1140 DECATUR ST,,NEW ORLEANS,LA,70116,504-301-1991,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"THE TAHYO TAVERN,LLC",3684277.66601,533384.581636
