Outcome,Indicator Category,Measure,Measure ID,Top 10 Indicator,Indicator Type
CULTURE & LIFELONG LEARNING,D. Honoring and preservation of historical and ethnic heritage,Number and percentage of archival requests fulfilled,CLL.D.3,,COA Contribution
CULTURE & LIFELONG LEARNING,E. Lifelong Learning Opportunities,"Number of participants in City-offered lifelong learning events, activities, and resources (Segmented by department, program, and participant demographics)",CLL.E.2,,COA Contribution
CULTURE & LIFELONG LEARNING,B. Vibrancy and sustainability of creative industry ecosystem,Median earnings of metro-area creative sector occupations (as defined by specific Bureau of Labor Statistics Standard Occupational Classifications System [SOC] codes),CLL.B.1,true,Community Indicator
CULTURE & LIFELONG LEARNING,B. Vibrancy and sustainability of creative industry ecosystem,Number of people employed in the creative sector (as defined by specific North American Industry Classification System [NAICS] codes) in the Austin Metropolitan Statistical Area,CLL.B.2,true,Community Indicator
CULTURE & LIFELONG LEARNING,B. Vibrancy and sustainability of creative industry ecosystem,Austin’s “score” on the Creative Vitality Suite Index,CLL.B.3,true,Community Indicator
CULTURE & LIFELONG LEARNING,B. Vibrancy and sustainability of creative industry ecosystem,Number and percentage of creative-sector professionals who indicated they benefited from a City-sponsored professional development opportunity,CLL.B.4,true,COA Contribution
CULTURE & LIFELONG LEARNING,B. Vibrancy and sustainability of creative industry ecosystem,Number of community members who attended performances/events arranged through cultural and music contracts,CLL.B.5,true,COA Contribution
CULTURE & LIFELONG LEARNING,B. Vibrancy and sustainability of creative industry ecosystem,Number and percentage of creatives who report having access to affordable creative space,CLL.B.6,true,Community Indicator
CULTURE & LIFELONG LEARNING,"A. Quality, accessibility, and diversity of civic and cultural venues, events, programs, and resources",Percentage of residents who report being satisfied or very satisfied with the quality of cultural and learning services and programs,CLL.A.1,,COA Contribution
CULTURE & LIFELONG LEARNING,"A. Quality, accessibility, and diversity of civic and cultural venues, events, programs, and resources",Percentage of residents who report being satisfied or very satisfied with the quality of the City’s cultural and learning facilities,CLL.A.3,,COA Contribution
CULTURE & LIFELONG LEARNING,"A. Quality, accessibility, and diversity of civic and cultural venues, events, programs, and resources",Percentage of residents who report that they have attended a cultural event or program organized by the City in the past 6 months,CLL.A.4,,COA Contribution
CULTURE & LIFELONG LEARNING,"A. Quality, accessibility, and diversity of civic and cultural venues, events, programs, and resources",Percentage of recreation program participants reporting an improvement to their quality of life as a result of the program,CLL.A.5,,COA Contribution
CULTURE & LIFELONG LEARNING,"C. Appreciation, respect, and welcoming of all people and cultures",Percentage of residents who report feeling welcome in Austin,CLL.C.1,,Community Indicator
CULTURE & LIFELONG LEARNING,D. Honoring and preservation of historical and ethnic heritage,Percentage of residents who feel that Austin is a place that honors and preserves my personal heritage,CLL.D.1,,Community Indicator
CULTURE & LIFELONG LEARNING,E. Lifelong Learning Opportunities,Percentage of residents who report participating in a lifelong learning activity in the past 3 months,CLL.E.1,,Community Indicator
CULTURE & LIFELONG LEARNING,E. Lifelong Learning Opportunities,"Percentage of participants satisfied with City-offered lifelong learning events, activities, and resources",CLL.E.3,,COA Contribution
CULTURE & LIFELONG LEARNING,"A. Quality, accessibility, and diversity of civic and cultural venues, events, programs, and resources",Percentage of available reservations filled at City-owned cultural spaces,CLL.A.6,,COA Contribution
CULTURE & LIFELONG LEARNING,"C. Appreciation, respect, and welcoming of all people and cultures",Number of attendees at City-supported multicultural activities,CLL.C.4,,COA Contribution
CULTURE & LIFELONG LEARNING,"C. Appreciation, respect, and welcoming of all people and cultures","Percentage of participants in City-supported events or programs who report that they increased their knowledge and understanding of culture, history, and/or art",CLL.C.5,,COA Contribution
CULTURE & LIFELONG LEARNING,"C. Appreciation, respect, and welcoming of all people and cultures",Percentage of residents who attended a City-supported cultural event who reported they have a deeper appreciation of a culture different from their own,CLL.C.6,,COA Contribution
CULTURE & LIFELONG LEARNING,"C. Appreciation, respect, and welcoming of all people and cultures","Percentage of all Austin ZIP Codes where 70 percent or more of residents are the same race (Note: Geographic segregation is a potential barrier to building a more inclusive, welcoming community; this is a commonly used measure of segregation)",CLL.C.2,,Community Indicator
CULTURE & LIFELONG LEARNING,"C. Appreciation, respect, and welcoming of all people and cultures",Change in percentage of Austin population that is African American,CLL.C.3,,Community Indicator
CULTURE & LIFELONG LEARNING,D. Honoring and preservation of historical and ethnic heritage,"Number of historic and/or culturally significant facilities (e.g. homes, businesses, landmarks) preserved that reflect Austin’s diverse history",CLL.D.2,,Community Indicator
CULTURE & LIFELONG LEARNING,D. Honoring and preservation of historical and ethnic heritage,Number of culturally significant homes and/or landmarks threatened or that have been lost,CLL.D.4,,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,C. Cost of Living Compared to Income,"a. Rates and Fees affordability -- Austin Energy: The percentage increase in average annual system rate [target = at or below 2 percent annual compound growth rate beginning October 2012]; Average annual system rate [target = lower 50 percent of all Texas utilities serving residential, commercial and industrial customers (per Energy Information Administration Form 861)]",EOA.C.5.a,,COA Contribution
ECONOMIC OPPORTUNITY & AFFORDABILITY,G. Economic Mobility,Number of households benefitting from Customer Assistance Program (CAP),EOA.G.4,,COA Contribution
ECONOMIC OPPORTUNITY & AFFORDABILITY,E. Homelessness,Number of persons experiencing homelessness - Point in Time Count,EOA.E.1.a,true,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,E. Homelessness,Number of persons experiencing homelessness - Annual Count of Sheltered Homeless Persons in the Homeless Management Information System [HMIS],EOA.E.1.b,true,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,E. Homelessness,Number and percentage of persons who successfully exit from homelessness,EOA.E.2,true,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,E. Homelessness,Number of persons who have not been served by the community’s homeless system in the two years prior to entry into the homeless system,EOA.E.3,true,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,E. Homelessness,Number and percentage of people receiving homelessness services through City of Austin contracts and Downtown Austin Community Court case management who move into housing,EOA.E.4,true,COA Contribution
ECONOMIC OPPORTUNITY & AFFORDABILITY,F. Skills and Capability of our Community Workforce,"Number and percentage of students graduating from high school (including public, charter, private, and home schools and students earning high school equivalent if data is available)",EOA.F.1,true,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,F. Skills and Capability of our Community Workforce,"Number and percentage of students attending schools rated as ""improvement required” by the Texas Education Agency",EOA.F.2,true,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,F. Skills and Capability of our Community Workforce,Number and percentage of children enrolled in quality Early Childhood Education programs (as evidenced by meeting Texas Rising Star criteria),EOA.F.6,true,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,E. Homelessness,Number of people who return to homelessness after moving into housing,EOA.E.8,true,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,C. Cost of Living Compared to Income,b. Rates and Fees affordability -- Austin Water: Percentage of median family income for family of 4 that would be spent on the average water bill,EOA.C.5.b,,COA Contribution
ECONOMIC OPPORTUNITY & AFFORDABILITY,A. Employment,Percentage unemployment rate,EOA.A.1,,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,B. Income Equality,Median family income,EOA.B.6,,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,C. Cost of Living Compared to Income,c. Rates and Fees affordability -- Dollar amount and percentage increase of major rates and fees for a range of customer types,EOA.C.5.c,,COA Contribution
ECONOMIC OPPORTUNITY & AFFORDABILITY,D. Housing,Median house value,EOA.D.3,true,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,A. Employment,Number and percentage of commercial and mixed-use development permits that are issued in Imagine Austin Activity Centers and Corridors,EOA.A.3,,COA Contribution
ECONOMIC OPPORTUNITY & AFFORDABILITY,A. Employment,Number and percentage of commercial and mixed-use plan reviews completed on-time,EOA.A.4,,COA Contribution
ECONOMIC OPPORTUNITY & AFFORDABILITY,C. Cost of Living Compared to Income,Number and percentage of residential units permitted in Imagine Austin Activity Centers and Corridors,EOA.C.4,,COA Contribution
ECONOMIC OPPORTUNITY & AFFORDABILITY,D. Housing,Number and percentage of residential plan reviews completed on-time,EOA.D.5,true,COA Contribution
ECONOMIC OPPORTUNITY & AFFORDABILITY,F. Skills and Capability of our Community Workforce,Number and percentage of people who successfully complete Workforce Development training (goal to have data on number and percentage who obtain employment),EOA.F.4,true,COA Contribution
ECONOMIC OPPORTUNITY & AFFORDABILITY,G. Economic Mobility,Number of persons placed out of poverty into middle-skill jobs,EOA.G.3,,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,A. Employment,Number of small businesses per capita,EOA.A.2,,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,E. Homelessness,Number of Homeless Outreach Street Team (HOST) encounters with those persons experiencing homelessness resulting in potential diversions or system cost,EOA.E.6,true,COA Contribution
ECONOMIC OPPORTUNITY & AFFORDABILITY,B. Income Equality,"Number of jobs provided by City of Austin (regular, contract, and temporary employees) that do not pay a living wage",EOA.B.5,,COA Contribution
ECONOMIC OPPORTUNITY & AFFORDABILITY,F. Skills and Capability of our Community Workforce,Number of apprenticeship and internship positions offered by City of Austin,EOA.F.3,true,COA Contribution
ECONOMIC OPPORTUNITY & AFFORDABILITY,C. Cost of Living Compared to Income,Percentage of households paying more than 30 percent (and more than 50 percent) of income toward housing,EOA.C.1,,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,C. Cost of Living Compared to Income,"Percentage of households that are considered cost-burdened based on calculation of housing and transportation costs relative to income (utilities, child care, property tax, and health care costs to be added as data becomes available)",EOA.C.2,,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,D. Housing,Number of unsubsidized affordable market-rate rental units* (*Note: Tracked in relationship to Strategic Housing Blueprint targets),EOA.D.1,true,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,D. Housing,Number and percentage of residential units that are considered vacant,EOA.D.2,true,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,D. Housing,Number of subsidized and incentivized rental units considered to be affordable*,EOA.D.4,true,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,D. Housing,Number and percentage of newly constructed housing units that are in a range of housing types from small lot single-family to eight-plexes*  (*Note: Tracked in relationship to Strategic Housing Blueprint targets),EOA.D.6,true,COA Contribution
ECONOMIC OPPORTUNITY & AFFORDABILITY,D. Housing,Ratio of residents whose income is less than 60 percent median family income (MFI) residing in the City of Austin to residents whose income is less than 60 percent MFI residing in the Greater Austin Metropolitan Statistical Area.,EOA.D.7,true,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,E. Homelessness,Number of new Continuum of Care (CoC) units constructed,EOA.E.5,true,COA Contribution
ECONOMIC OPPORTUNITY & AFFORDABILITY,E. Homelessness,Number of Permanent Supportive Housing (PSH) units dedicated to persons experiencing chronic homelessness,EOA.E.7,true,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,G. Economic Mobility,"Number and percentage of leased dwelling units with look-back periods meeting a local fair housing standard (Note: Intent is to measure support for successful re-entry of ex-offenders and people with criminal history, focusing on housing access in public and private multi-family housing)",EOA.G.2,,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,C. Cost of Living Compared to Income,Dollars-per-hour wage that an individual must earn to support a family in Austin (self-sufficiency wage),EOA.C.3,,Community Indicator
ECONOMIC OPPORTUNITY & AFFORDABILITY,C. Cost of Living Compared to Income,Number and percentage of residents living in an area considered to be a “Complete Community” (i.e. a community where people’s basic needs/essential services can be met with short trips,EOA.C.6,,COA Contribution
