the_geom,OBJECTID,SSTYPE,SSSTAT,PROJID
"MULTILINESTRING ((-90.052915535688 30.021386012778, -90.052906618761 30.021386535902, -90.052341779476 30.021419867271, -90.052329927284 30.021420566838, -90.051993028922 30.021440448813, -90.051880829935 30.021445813257))",595499,Sewer Line Repair (SSERP),Complete,RR130
"MULTILINESTRING ((-90.0551269006 29.992070494189, -90.055153432178 29.992446026745, -90.055199120866 29.992992668008, -90.055200252887 29.993019430857, -90.055204689705 29.993086428029))",592778,Sewer Line Repair (SSERP),Complete,RR051
"MULTILINESTRING ((-90.099593769349 30.01145165295, -90.099607347217 30.011464174829, -90.099622994989 30.011474709551, -90.099640333414 30.011483001885, -90.099658940925 30.011488849355, -90.099678366271 30.011492111686, -90.100022389292 30.011525978586, -90.100049745939 30.011528671708, -90.100092696358 30.011533041895, -90.100310187568 30.011556160113, -90.100464291463 30.011573251374, -90.100663820964 30.01166392934))",590920,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.018647112044 29.97058585798, -90.017771443672 29.970386379447))",593676,Water Line Replacement (FEMA),Planned,RR108
"MULTILINESTRING ((-89.975364245057 30.020270670771, -89.975467439728 30.021333433259, -89.975475135192 30.021407328477, -89.975572442938 30.022321245468, -89.975584793315 30.02241763144))",587798,Sewer Line Repair (SSERP),Complete,RR152
"MULTILINESTRING ((-90.120471436641 29.956068848911, -90.120333065416 29.956182680949, -90.119907800418 29.956578509196, -90.119866881546 29.956616595362, -90.119859003429 29.956623466221, -90.119684499791 29.956787733367))",591727,Water Line Replacement (FEMA),Planned,RR098
"MULTILINESTRING ((-90.120929517247 30.012853596288, -90.120891731699 30.013322323897, -90.120886497088 30.01340574599))",588066,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR197
"MULTILINESTRING ((-90.106755635892 29.937869077974, -90.106853401483 29.93786201559, -90.107094468652 29.937841115246, -90.107143410362 29.937815715308))",593135,Sewer Line Repair (SSERP),Complete,RR050
"MULTILINESTRING ((-90.131745472292 29.938395896207, -90.131846464465 29.938476075365, -90.132340399539 29.938887984005, -90.132490857525 29.939005546736))",588921,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,RR008
"MULTILINESTRING ((-90.029801247617 29.980878522884, -90.029781360262 29.980936701012, -90.029531116616 29.981770326187, -90.02948438659 29.981923992816))",593323,Sewer Line Repair (SSERP),Complete,RR046
"MULTILINESTRING ((-90.008044013054 29.975932623642, -90.007953195589 29.975905178114, -90.007429836185 29.975714981859, -90.007329315122 29.97567639482))",593509,"Drainage Line, Sewer Line, and Water Line Replacement (SWB)",Planned,RR106
"MULTILINESTRING ((-90.059201622689 29.967402222216, -90.058648265028 29.967435872128, -90.058446275229 29.96744815458, -90.05807108329 29.967470968948))",591501,Sewer Line Repair (SSERP),Complete,
"MULTILINESTRING ((-90.110416211276 30.021760627188, -90.110434249474 30.021800238715, -90.110447398044 30.021860852529, -90.110484903646 30.022112687157, -90.110585429176 30.022731304465, -90.110588544889 30.022750480147))",588221,Sewer Line Repair (SSERP),Complete,RR078
"MULTILINESTRING ((-90.084073791422 29.942896552874, -90.084236108186 29.94298858395, -90.084378526969 29.943066412479, -90.084379953048 29.943067191968, -90.084691369773 29.943242501436, -90.084696139817 29.943245186526, -90.08486460331 29.943340021448))",592018,Sewer Line Repair (SSERP),Complete,RR023
"MULTILINESTRING ((-90.013055205935 29.975967787642, -90.01305517587 29.975967874988, -90.013030723168 29.976037625509, -90.012713816565 29.976994442597))",593424,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR111
"MULTILINESTRING ((-90.079176277018 30.024922928799, -90.079201178323 30.024960830022, -90.079307287138 30.02509322416, -90.079400912075 30.025212976735, -90.079408899358 30.025226868444, -90.079437826882 30.025264594826))",589994,"Drainage Line, Sewer Line, and Water Line Replacement (FEMA)",Planned,RR071
"MULTILINESTRING ((-90.087775497383 29.973415447253, -90.088683243871 29.974008221518))",591251,"Drainage, Sewer Line, and Water Line Replacement (SWB)",Planned,DPW550
"MULTILINESTRING ((-90.068847164785 29.969440910457, -90.069104612661 29.969616366814, -90.069370062498 29.969797274882, -90.069622906015 29.969971834139))",591759,Sewer Line Repair (SSERP),Complete,DPW366
"MULTILINESTRING ((-90.108658409013 29.980123147244, -90.108846650833 29.98023957628, -90.108935833794 29.980294371484, -90.108965566676 29.980308045079, -90.109063810826 29.980344579634, -90.109110617857 29.980373603675, -90.10918996836 29.980422806415, -90.110427853563 29.981261353731, -90.110657212846 29.981430136592, -90.111035002083 29.981682632231, -90.111151475483 29.981760476581, -90.111216330768 29.981787484183, -90.111283514722 29.981809764936, -90.111352572075 29.981827169235))",591698,Sewer Line Repair (SSERP),Planned,
"MULTILINESTRING ((-90.070294260493 29.964429956299, -90.070380630307 29.964490409824, -90.07041453222 29.96451413995, -90.071065695603 29.964958216353))",592072,Sewer Line Repair (SSERP),Complete,RR182
"MULTILINESTRING ((-89.971874565953 30.031448940314, -89.971800289303 30.031499795132, -89.971722840588 30.031546932209, -89.971642464804 30.031590200249, -89.971559417458 30.031629463377, -89.971512051041 30.031645789245, -89.971462721747 30.031656875531, -89.971412194087 30.03166255027, -89.971361246772 30.031662727176, -89.971310668109 30.031657402436, -89.971261239959 30.031646658936, -89.971213724843 30.031630662788))",589267,"Drainage Line, Sewer Line, and Water Line Replacement",Planned,DPW562
