the_geom,OBJECTID,School Name,Site Address,Open or Closed,CMO,Enrollment,PublicVsPrivate
POINT (-90.058479804748 30.003997472301),108,Brother Martin High School,4401 Elysian Fields Ave,OPEN,,,PRIVATE
POINT (-90.114707499132 29.954895933985),148,St. Rita School,65 Fontainebleau Dr,OPEN,,,PRIVATE
POINT (-90.03743367443 29.99390433197),13,G.W. Carver High School,3059 Higgins Blvd,OPEN,Collegiate Academies,820,PUBLIC
POINT (-90.100241151145 29.922019589012),150,The Chartwell Center,4239 Camp St,OPEN,,,PRIVATE
POINT (-90.068669715466 29.976988260376),114,Corpus Christi School,2022 St. Bernard Ave,OPEN,,,PRIVATE
POINT (-90.117270871923 29.95829561771),61,Lafayette Academy Charter School,2727 S Carrollton Ave,OPEN,Choice Foundation,823,PUBLIC
POINT (-90.056662195003 30.018609666242),85,Pierre A. Capdau Charter School at Avery Alexander Elementary,5800 St Roch Ave,OPEN,New Beginnings,746,PUBLIC
POINT (-90.099075197838 29.933812152194),64,Lawrence D. Crocker College Prep: A School for the Arts and Technology,2301 Marengo St,OPEN,New Orleans College Preparatory Academies (NOCP),547,PUBLIC
POINT (-89.998819264378 29.921450852346),129,St. Andrew The Apostle Elementary School,3131 Eton St,OPEN,,,PRIVATE
POINT (-90.002025061373 29.931854599587),112,Children's College Of Academics,4614 General Meyer Ave,OPEN,,,PRIVATE
POINT (-90.065515531388 30.024361548889),10,Benjamin Franklin High School,2001 Leon C Simon Dr,OPEN,Non-Network,970,PUBLIC
POINT (-90.099184743307 29.973867480365),146,St. John Lutheran School,3937 Canal St,OPEN,,,PRIVATE
POINT (-90.097919908762 29.981443753187),17,Cypress Academy,4217 Orleans Ave,OPEN,OPSB Direct Run,153,PUBLIC
POINT (-90.013640259497 29.966777460048),18,Dr. Martin Luther King Jr. Charter School For Science and Technology,1617 Caffin Ave,OPEN,Friends of King,590,PUBLIC
POINT (-90.09088487663 30.024125472681),137,St. Pius X School,6600 Spanish Fort Blvd,OPEN,,,PRIVATE
POINT (-90.094200679693 29.930380236062),100,Walter L. Cohen College Prep,3520 Dryades St,OPEN,New Orleans College Preparatory Academies (NOCP),417,PUBLIC
POINT (-90.049373062406 29.96277749623),79,New Orleans Center for Creative Arts,2800 Chartres St,OPEN,,228,PUBLIC
POINT (-90.041814036114 29.934918933561),102,William J. Fischer Accelerated Academy,1801 LB Landry Ave,OPEN,Algiers Charter School Association,350,PUBLIC
POINT (-90.054285817555 29.992329640887),71,Mary McLeod Bethune Elementary School of Literature and Technology,2401 Humanity St,OPEN,OPSB Direct Run,715,PUBLIC
POINT (-90.036728484468 29.966273856609),4,ARISE Academy,3819 St Claude Ave,OPEN,ARISE Schools,485,PUBLIC
POINT (-90.036912734329 29.965692821631),58,KIPP Renaissance High School,3820 St Claude Ave,OPEN,KIPP,553,PUBLIC
POINT (-90.101191339656 29.926990544856),104,Academy Of The Sacred Heart,4301 St. Charles Ave,OPEN,,,PRIVATE
POINT (-90.070961852838 29.978212398081),74,McDonogh #42 Elementary Charter School,1651 N Tonti St,OPEN,Inspire NOLA,408,PUBLIC
POINT (-90.068580983246 29.933226537385),133,St. Michael Special School,1522 Chippewa St,OPEN,,,PRIVATE
POINT (-90.100540646302 29.926392063118),92,Rooted School,4238 St Charles Ave,OPEN,Non-Network,40,PUBLIC
POINT (-89.930773740715 30.042044950075),24,Einstein Charter High School at Sarah Towles Reed,5316 Michoud Blvd,OPEN,Einstein Charter Schools,161,PUBLIC
POINT (-90.075881374908 30.014146393484),117,Holy Cross Middle and High School,5500 Paris Ave,OPEN,,,PRIVATE
POINT (-90.01933751422 29.921267229757),84,Paul Habans Charter School,3501 Seine St,OPEN,Crescent City Schools,645,PUBLIC
POINT (-90.111868411844 29.94198935414),29,Eleanor McMain Secondary School,5721 S Claiborne Ave,OPEN,Inspire NOLA,802,PUBLIC
POINT (-90.073373160797 29.968571421259),136,St. Peter Claver School,1020 N Prieur St,OPEN,,,PRIVATE
POINT (-89.979565669045 30.01628388005),127,Prince Of Peace Lutheran School,9301 Chef Menteur Hwy,OPEN,,,PRIVATE
POINT (-90.102343046615 29.925471091498),93,Sophie B. Wright Charter School,1426 Napoleon Ave,OPEN,Non-Network,508,PUBLIC
POINT (-90.128115270124 29.9483966489),82,Noble Minds Institute for Whole Child Learning,1333 S Carrollton Ave,OPEN,,34,PUBLIC
POINT (-90.113960718487 29.941319148713),155,Ursuline Academy,2635 State St,OPEN,,,PRIVATE
POINT (-90.059258155627 29.96556590288),144,St. Gerard Majella Alternative School,1941 Dauphine St,OPEN,,,PRIVATE
POINT (-90.053787079814 29.968229705086),56,KIPP Leadership,2300 St Claude Ave,OPEN,KIPP,937,PUBLIC
POINT (-90.129890729119 29.934181790821),6,Audubon Charter School: Uptown,428 Broadway St,OPEN,Non-Network,,PUBLIC
POINT (-90.033596752133 29.976752318545),1,Akili Academy,3811 N Galvez St,OPEN,Crescent City Schools,624,PUBLIC
POINT (-90.078010319417 30.010106505124),33,Arthur Ashe,1456 Gardena Dr,OPEN,FirstLine Schools,836,PUBLIC
POINT (-90.123918537981 29.970592268046),62,Lafayette Extension at Paul L. Dunbar School,9330 Forshey St,OPEN,Choice Foundation,,PUBLIC
POINT (-90.100351263865 29.92021063069),116,Ecole Bilingue De La Nouvelle Orleans,812 General Pershing St,OPEN,,,PRIVATE
POINT (-90.078121407092 29.969153252172),36,Phillis Wheatley Community School,2300 Dumaine St,OPEN,FirstLine Schools,789,PUBLIC
POINT (-89.967767653835 30.057761911607),88,Schaumburg Elementary,12000 Hayne Blvd,OPEN,ReNEW Schools,853,PUBLIC
POINT (-90.076216739386 30.018994659636),47,John F. Kennedy High School at Lake Area,6026 Paris Ave,OPEN,New Beginnings,677,PUBLIC
POINT (-90.075196441309 29.927529522255),89,SciTech Academy,820 Jackson Ave,OPEN,ReNEW Schools,598,PUBLIC
POINT (-89.958830916952 30.034732565732),63,Lake Forest Elementary Charter School,11110 Lake Forest Blvd,OPEN,Non-Network,629,PUBLIC
POINT (-90.112013167104 29.931314298057),120,Isidore Newman School,1903 Jefferson Ave,OPEN,,,PRIVATE
POINT (-90.047989997938 29.943551789999),72,McDonogh #32 Literacy Charter School,800 De Armas St,OPEN,Algiers Charter School Association,379,PUBLIC
POINT (-90.10128613441 29.922636388881),138,St. Stephen School,1027 Napoleon Ave,OPEN,,,PRIVATE
POINT (-90.104067502442 29.971727835404),31,Esperanza Charter School,4407 S Carrollton Ave,OPEN,Choice Foundation,528,PUBLIC
POINT (-90.074062951565 29.930205707586),139,St. Alphonsus Elementary School,2001 Constance St,OPEN,,,PRIVATE
POINT (-90.078112237411 29.931837703037),153,Trinity Episcopal School,1315 Jackson Ave,OPEN,,,PRIVATE
POINT (-90.040681346027 29.942298134039),59,L. B. Landry – O. Perry Walker College and Career Preparatory High School,1200 LB Landry Ave,OPEN,Algiers Charter School Association,1155,PUBLIC
