Application Type,Permit Number,Work Type,Use Code,Added Date,Issue Date,Final Date,Expired Date,Status,Building Area,Description of Work,Street Number,Pre-direction,Street Name,Street Suffix,Post-direction,City,State,Zip Code,Latitude,Longitude,General Location,Location
SEWAGE DISPOSAL,814010,CONSTRUCT,SINGLE FAMILY DWELLING,09/20/2017,12/13/2017,10/24/2019,12/14/2018,Finaled,0,"Test site 1-D must be excavated prior to the installation of the septic system to determine the depth of ground water.&nbsp; This activity must be coordinated with the area inspector.&nbsp; See attached site plan for details.&nbsp; Starting point of initial absorption system to be surveyed by a registered land surveyor.&nbsp; Septic tank must have a minimum of two compartments or two tanks connected in series.&nbsp; Trenches to be constructed on contour, and located at least 100 feet away from any well location.&nbsp; Recommend observation ports be installed at the end of each trench.&nbsp; The access port is to be installed as per well and septic standards and specifications. Utilities must be 10 feet minimum from septic reserve area.&nbsp; Proposed house must be a minimum of 15 feet from septic tank and 20 feet from trenches.&nbsp; This property is in category W-6 and S-6 where there is no planned community service and an individual system may be installed on an indefinite basis without firm obligation to connect to community system when and if it becomes available. Solid lines and trenches must be constructed within reserve area as shown on the plan.&nbsp; MDE recommends septic tanks be pumped at a frequency adequate to ensure that solids are not discharged to the disposal area.&nbsp; This is a pump to gravity system using dual alternating pumps and a high-level alarm.<SPAN style=""mso-spacerun: yes""",24940,,STRINGTOWN,RD,,CLARKSBURG,MD,20871,39.265268,-77.237399,,POINT (-77.237399 39.265268)
SEWAGE DISPOSAL,605609,RESTORE AND / OR REPAIR,,07/19/2012,08/28/2012,09/10/2012,,Finaled,0,"This permit is to replace the existing dry wells with new disposal trenches.&nbsp; Trenches to be installed on contour and at least 10 feet from the public water line.&nbsp; A distribution box with observation port is to be utilized.&nbsp; Observation ports to be installed at ends of trenches.&nbsp; Dry wells to be pumped, crushed, and back-filled.&nbsp; This permit is for the repair of an existing septic system only.&nbsp; Approval of this system does not imply automatic approval of living space additions.",1101,,TUCKER,LN,,SILVER SPRING,MD,20905,39.144049,-76.99357,,POINT (-76.99357 39.144049)
SEWAGE DISPOSAL,711201,CONSTRUCT,,05/01/2015,06/18/2015,,,Issued,0,"Permitted system must use ""Best Available Treatment (BAT)""; and the installer must be certified by MDE and the treatment unit vendor. A PRECONSTRUCTION MEETING WITH THE INSPECTOR IS REQUIRED.

&nbsp;The Maryland Department of the Environment recommends septic tanks, BAT and other pretreatment units be pumped at a frequency adequate to ensure that solids are not discharged to the disposal area

Starting point of initial absorption system to be surveyed by a registered land surveyor. This property is in category&nbsp; S-6 where there is no planned community service and an individual system may be installed on an indefinite basis without firm obligation to connect to community system when and if it becomes available. Trenches to be connected in series. &nbsp;Septic tank access port to be installed as per well and septic standards and specifications. Trenches to be constructed on contour.

Plumbing elevation of house sewer line is critical and must be carefully established when constructing house.<SPAN style=""FONT-FAMILY: 'Arial',sans-serif; FONT-SIZE: 10pt; mso-fareast-font-family: 'Times New Roman'; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-la",137,,NORWOOD,RD,,SILVER SPRING,MD,20905,39.110926,-77.007046,,POINT (-77.007046 39.110926)
SEWAGE DISPOSAL,744377,CONSTRUCT,SINGLE FAMILY DWELLING,02/11/2016,02/24/2016,05/16/2016,02/24/2017,Finaled,0,"Additional stone depth for workman safety (4.0ft to 6.0ft)&nbsp;Permitted system must use ""Best Available Treatment (BAT)""; and the installer must be certified by MDE and the treatment unit vendor.&nbsp;The Maryland Department of the Environment recommends septic tanks, BAT and other pretreatment units be pumped at a frequency adequate to ensure that solids are not discharged to the disposal area.&nbsp;Starting point of initial absorption system to be surveyed by a registered land surveyor. This property is in category W-6 and / or S-6 where there is no planned community service and an individual system may be installed on an indefinite basis without firm obligation to connect to community system when and if it becomes available. Trenches to be connected in series. &nbsp;Septic tank access port to be installed as per well and septic standards and specifications.&nbsp;

&nbsp;",21111,,DWYER,CT,,GAITHERSBURG,MD,20882,39.202371,-77.14122,,POINT (-77.14122 39.202371)
SEWAGE DISPOSAL,604957,CONSTRUCT,,07/13/2012,07/20/2012,10/15/2012,,Finaled,0,"Utilties must be 10 feet minimum from septic reserve area.

No basement plumbing facilities by gravity flow.

&nbsp;Trenches to be constructed on contour.

&nbsp;Split system-Distribution box required. See site plan for trench details. Both starting points of initial absorption systems to be surveyed by a registered land surveyor. Trenches to be connected in series. Septic tank access port to be installed as per well and septic standards and specifications.",10152,,SYCAMORE HOLLOW,LN,,GERMANTOWN,MD,20876,39.213358,-77.213497,,POINT (-77.213497 39.213358)
SEWAGE DISPOSAL,833411,RESTORE AND / OR REPAIR,SINGLE FAMILY DWELLING,04/10/2018,05/09/2018,05/18/2018,,Finaled,0,"This permit is only to replace the existing septic system.&nbsp; The existing septic tank and drywell&nbsp;are to be pumped, crushed, and backfilled.&nbsp; Observation port to be installed at the end of the septic trench.",10908,,ROCK RUN,DR,,POTOMAC,MD,20854,38.997937,-77.226468,,POINT (-77.226468 38.997937)
SEWAGE DISPOSAL,621771,CONSTRUCT,SINGLE FAMILY DWELLING,12/21/2012,12/26/2012,06/06/2014,,Finaled,0,"Existing septic tank must be pumped by a licensed scavenger, crushed and backfilled prior to final sandmound approval.&nbsp; Sand mound construction allowed only during dry weather construction season.&nbsp; Materials must be from an approved source.&nbsp; Do not allow construction traffic over 25� downslope of initial mound or over replacement mounds or 25� downslope of replacement mounds.&nbsp; When the corners of the sand mound are staked by a licensed surveyor, he must ensure the bottom corners are at the same elevation.&nbsp; This property is in category W-6 and / or S-6 where there is no planned community service and an individual system may be installed on an indefinite basis without firm obligation to connect to community system when and if it becomes available.",18207,,DARNESTOWN,RD,,DICKERSON,MD,20842,39.163394,-77.378008,Newer tenant house,POINT (-77.378008 39.163394)
SEWAGE DISPOSAL,602327,RESTORE AND / OR REPAIR,,06/18/2012,07/05/2012,07/16/2012,,Finaled,0,"Septic trenches to be constructed on contour.&nbsp; A distribution box with observation port will be utilized.&nbsp; Existing septic tank to be pumped by a licensed scavenger, crushed, and back-filled.&nbsp; This permit is for the repair of an existing septic system only.&nbsp; Approval of this system does not imply automatic approval for living space additions.",21517,,LAYTONSVILLE,RD,,GAITHERSBURG,MD,20882,39.209482,-77.141342,,POINT (-77.141342 39.209482)
SEWAGE DISPOSAL,843043,CONSTRUCT,SINGLE FAMILY DWELLING,06/27/2018,07/17/2018,09/25/2018,07/18/2019,Finaled,0,"Existing septic system to be upgraded for a six bedroom house. A new 2,000 gallon tank and&nbsp;31' trench to be added to existing trenches, see plan for details.&nbsp;Existing septic tank and seepage pits to be pumped, crushed and backfilled. Observation ports recommended on ends of existing and proposed trenches. Distribution box to be&nbsp;utilized.&nbsp;Starting point of initial absorption system to be surveyed by a registered land surveyor. This property is in category W-6 and/ or S-6 where there is no planned community service and an individual system may be installed on an indefinite basis without firm obligation to connect to community system when and if it becomes available.",9007,,BELMART,RD,,POTOMAC,MD,20854,39.004128,-77.231489,,POINT (-77.231489 39.004128)
SEWAGE DISPOSAL,792557,REPLACE,SINGLE FAMILY DWELLING,03/15/2017,05/01/2017,05/26/2017,,Finaled,0,"This permit is issued to replace the existing septic tank only � the original tank failed a recent inspection. &nbsp;The existing drywell has been confirmed in acceptable condition to remain. A new MDE-approved B.A.T. unit shall be installed � Norweco Singular Green. The installer of the B.A.T. unit must be certified by MDE and the treatment unit vendor. The system being permitted utilizes electrical devices that will need to be connected to the home�s electrical service. All connections must be made by a licensed electrician and inspected by a Montgomery County electrical inspector.&nbsp; The new B.A.T. tank shall be connected to the existing drywell with new schedule 40 PVC pipe.&nbsp; New 6-inch observation port to be installed on existing drywell.&nbsp; The existing septic tank must be pumped by a licensed scavenger, crushed and backfilled.&nbsp; This septic permit is issued to replace the existing septic tank ONLY � issuance of this permit does not constitute approval for any future building permit applications for the property.

&nbsp;",26409,,JOHNSON,DR,,DAMASCUS,MD,20872,39.289637,-77.223307,,POINT (-77.223307 39.289637)
