Application Type,Application Number,Processed Date,Approved Date,Project Name,Description,Street Number,Pre-direction,Street Name,Street Suffix,Post-direction,City,State,ZIP code,Work Location,WSSC Grid,Tax Map,Site Area,Proposed Disturbed Area,Current Zoning,Proposed Zoning,Current Land use,Proposed Land Use,Watershed,Tributary,Protection Area,State Water Use
SPECIAL PROTECTION AREA,215384,11/29/2004,03/02/2005,MITTER PROPERTY,"Parcels P820, P766",2300,,FAIRLAND,RD,,SILVER SPRING,MD,20904,,218NE03,KR32,1.7,0.8,R-200,R-200,RESIDENTIA,RESIDENTIA,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,239636,02/14/2011,,CLARKSBURG FIRE STATION,,,,,,,,,,"23410 & 23420 FREDERICK ROAD, CLARKSBURG",232NW13,EW31,4.0,0.0,R-200,R-200,,,LSC,TENMILE CR,SPA-CB,IV
SPECIAL PROTECTION AREA,235997,06/22/2009,11/15/2010,BOWIE MILL ESTATES,,,,,,,,,,17815 & 17827 BOWIE MILL ROAD,224NW05,HT122,18.1,4.1,RE-2,RE-2,SF RESIDEN,SF RESIDEN,URC,R,,III
SPECIAL PROTECTION AREA,229576,11/21/2006,09/12/2007,GREENRIDGE ACRES-RT 27 & A-305,"Parcels: A P429, Outlot D",,,,,,,,,WEST OF RT 27 BETWEEN MORNING STAR DR & BRINK RD,230NW11,EV563,17.0,13.8,RE-2C,RE-2C,AGRACULTUR,ROADWAY,LSC,,SPA-CB,SPA-CB
SPECIAL PROTECTION AREA,209636,09/04/2003,04/21/2005,WOODCREST,"Parcel 432 & 614;Leo review and approved this plan, not weadon. enm",,,,,,,,,500' NORTH OF INTERSECTION OF MD 355 & CLARKSBURG RD,,EW32,47.0,18.4,R-200,R-200,,RESIDENTIA,LSC,,SPA-CB,
SPECIAL PROTECTION AREA,249531,01/11/2013,,CLARKSBURG/DAMASCUS MIDDLE SCHOOL,,,,,,,,,,"LITTLE SENECA PARKWAY, CLARKSBURG, MD  20871",232NW11,FW11,22.4,22.4,PD-4,PD-4,VACANT,SCHOOL,LSC,,SPA-CB,
SPECIAL PROTECTION AREA,236449,08/20/2009,11/12/2010,CLARKSBURG VILLAGE/PHASE 3,FINAL WATER QUALITY PLAN,,,,,,,,,CLARKSBURG PHASE III - 16 ACRE,,,16.8,16.8,,,AGRI,COMM,LSC,,,IV
SPECIAL PROTECTION AREA,205276,04/18/2002,06/11/2002,CLARK MEADOWS PROPERTY,Lot 45,,,,,,,,,"INTERSECTION OF FREDERICK RD (RT 355) & FORMAN BLVD, LOT 45",,EV43,1.0,0.5,R-200,R-200,,,LSC,,SPA-CB,
SPECIAL PROTECTION AREA,236887,11/05/2009,,BOXWELL PROPERTY-PARCEL 211,,15340,,PEACH ORCHARD,RD,,SILVER SPRING,MD,20905,,220NE03,KS341,1.7,0.0,RE-1,RE-1,RES,RES,PBR,LEFT FORK,SPA-UPB,III
SPECIAL PROTECTION AREA,204344,10/24/2001,09/26/2002,GREENWAY VILLAGE AT CLARKSBURG,"See CN# 201363, this is the original preliminary water quality plan. Preliminary Plan # 1-02033",12000,,SKYLARK,RD,,CEDAR GROVE,MD,,,232NW12,FW11,374.0,319.5,,,,,LSC,,SPA-CB,
SPECIAL PROTECTION AREA,239941,04/11/2011,05/02/2013,CABIN BRANCH-WINCHESTER 2,,,,,,,,,,"SOUTHWEST QUADRANT, INTERSECTION OF I-270 & CLARKSBURG ROAD",230NW13,EV23,38.2,0.0,MXPD,MXPD,VACANT,SFD,LSC,,SPA-CB,IV
SPECIAL PROTECTION AREA,236988,12/03/2009,,ANSELMO PROPERTY,*SPA FINAL WATER QUALITY PLAN SUBMITTED ON 10/11/2011*,,,,,,,,,"BRIGGS CHANEY RD / RAINBOW DR, SILVER SPRING, MD",220NE01,JS561,42.2,15.6,RE-1,RE-1,FARM,RESIDENT,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,203616,04/26/2001,07/05/2001,"GATEWAY 270, LOT 7",,,,,,,,,,"GATEWAY CENTER DRIVE, LOT 7",213NW13,EW,4.8,2.9,,,,INDUSTRIAL,LSC,,SPA-CB,IV
SPECIAL PROTECTION AREA,250011,01/24/2013,,,,,,,,,,,,Intersection of MD121 and I-270; Clarksburg MD  20871,232NW14,,0.0,13.7,,,URBAN DIST,URBAN DIST,LSC,,SPA-CB,IV
SPECIAL PROTECTION AREA,217106,03/23/2005,06/02/2005,BENNETT CREEK VETERINARY,Parcels 542 & 595/REVISION FILED ON 9/06/2007.,22416,,FREDERICK,RD,,CLARKSBURG,MD,20871,,213NW12,EV53,2.0,1.0,R-200,R-200,RESIDENTIA,VETERINARY,GSC,,SPA-CB,IV
SPECIAL PROTECTION AREA,219948,08/11/2005,,BEALL'S MANOR,Parcel P459.  This was orignally submitted as an SLDA #216055. Fee paid $770 which will be credited to this SPA application + $154.00.,14627,,GOOD HOPE,RD,,SILVER SPRING,MD,20905,,219NE1,JS563,0.5,0.3,,,,,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,230864,02/27/2007,02/05/2010,"TOLL-1, CABIN BRANCH",SPECIAL PROTECTION AREA FINAL WATER QUALITY PLAN (PARENT# 207133),,,,,,,,,"WEST OLD BALTIMORE ROAD, CLARKSBURG/SUBDIVISION:  TOLL-1, CABIN BRANCH",230NW14,EV22,80.7,56.4,MXPD,MXPD,AGRICULTUR,RESIDENTIA,LSC,,SPA-CB,SPA-CB
SPECIAL PROTECTION AREA,232558,11/20/2007,,BOWIE MILL ESTATES LOTS 39 40,,5615,,FOGGY,LN,,ROCKVILLE,MD,20855,,223NW05,HT122,9.3,1.5,RE-2,RE-2,R,R,URC,NORTH BR,,
SPECIAL PROTECTION AREA,206235,07/18/2002,07/18/2003,CLARKSBURG GREENWAY TRAIL,"Parcels 701, 800",,,,,,,,,NEW CUT RD TO STRINGTOWN RD ALONG TRIBUTARY OF LITTLE SENECA CREEK,,EW,13.1,3.5,,,,,LSC,,SPA-CB,
SPECIAL PROTECTION AREA,232762,12/27/2007,05/08/2009,EASTSIDE (SHAWNEE LANE),,,,,,,,,,SHAWNEE LANE BETWEEN ROUTE 355 AND GATEWAY CENTER DRIVE,221NW13,EV EW,7.5,11.2,,,ROADWAY,ROADWAY,LSC,,SPA-CB,I
SPECIAL PROTECTION AREA,283564,01/09/2018,,,,,,,,,,,,AVALON RESIDENTIAL,,,10.3,10.3,,R200/T,open space,Residentia,LSC,,SPA-CB,IV
SPECIAL PROTECTION AREA,283008,05/18/2017,,CLARKSBURG ELEMENTARY SCHOOL #2,"Customer Wants To Use ePlans,Contraction of a new Elementary School building, parking areas and play areas",,,,,,,,,"22500 Sweetspire Drive

Clarksburg, MD 20871

[Intersection of Snowden Farm Pkwy and Sweetspire Dr]",,63,9.8,9.2,R-200,R-200,Vacant,School,CLB,,SPA-CB,IV
SPECIAL PROTECTION AREA,215574,12/13/2004,11/28/2006,CASEY-DUNGAN TRACT,"Previously Casey @ Bowie Mill; Parcels P600, N439, N466, P707, P400 - *CURRENTLY PRESERVE AT ROCK CREEK / HIKER BIKER TRAIL*&lt;&gt;&lt;&gt;Reviews to be done under this permit, loaded in error under SC#279215 which has been voided&lt;&gt;&lt;&gt;",,,,,,,,,INTERSECTION OF MUNCASTER MILL ROAD & BOWIE MILL ROAD & SURROUNDS MAGRUDER HIGH SCHOOL,223NW05,HT121,468.5,7.0,RNC,RNC,AGRICULTUR,RESIDENTIA,URC,NORTH BR,III,III
SPECIAL PROTECTION AREA,218600,05/27/2005,10/14/2005,STRINGTOWN RD/CLARKSBURG TC,Roadway,,,,,,,,,"STRINGTOWN ROAD, CLARKSBURG 20871",,,5.5,5.5,,,,,LSC,,SPA-CB,
SPECIAL PROTECTION AREA,200787,02/24/2000,06/20/2000,BURTON GLEN,,,,,,,,,,BETWEEN BURTON GLEN RD & MIMOSA FARM CT IN POTOMAC,217NW10,FR341,3.3,2.5,RE-1,RE-1,,,WBR,PINEY,SPA-PB,
SPECIAL PROTECTION AREA,203930,07/10/2001,02/19/2002,KINGSLEY WILDERNESS SCHOOL,,,,,,,,,,WHELAN LANE NORTH OF CLARKSBURG,232NW14,EW11,103.0,2.1,,,,,LSC,,SPA-CB,
SPECIAL PROTECTION AREA,242811,05/02/2012,,TRAVILAH GROVE,,14219,,TRAVILAH,RD,,ROCKVILLE,MD,20850,,219NW10,FR343,13.5,14.0,CR,CR,vacant,residentia,WBR,,SPA-PB,I
SPECIAL PROTECTION AREA,210363,10/31/2003,06/02/2005,BRIARCLIFF MEADOWS SOUTH,"Lots 1-9/A, Parcel A",,,,,,,,,"ROLAND LA @ THOMPSON RD, (HARDING PROPERTY)",221NE02,KS122,9.4,6.7,RE-1,RE-1,,,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,283643,02/08/2018,04/19/2019,,"Customer Wants To Use ePlans,Construct a shared use path along MD 355",,,,,,,,,Intersection of MD355 and MD 121,,31,1.4,1.4,CR,CR,,,TMC,,SPA-CB,IV
SPECIAL PROTECTION AREA,239089,11/10/2010,,COLESVILLE MAINTENANCE DEPT-1,,14335,,CAPE MAY,RD,,SILVER SPRING,MD,20904,,219NE01,JR63,11.7,5.7,RE-2C,RE-2C,MAINT YARD,MAINT YARD,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,233139,02/27/2008,,PAINT BRANCH HIGH SCHOOL,PAINT BRANCH HIGH SCHOOL MODERNIZATION - PARCEL P895 - SOPERS SEAT ETC SUBDIVISION -,14121,,OLD COLUMBIA,PIKE,,BURTONSVILLE,MD,20866,,218NE4,KR43,45.9,42.2,R-200,R-200,SCHOOL,SCHOOL,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,231976,08/03/2007,,BURTONSVILLE FIRE STATION,WHEN PAYING FEES FOR DPWT USE:  INDEX CODE:  50450214; SUB OBJECT CODE:  6922; PROJECT CIP# 450304,13900,,OLD COLUMBIA,PIKE,,SILVER SPRING,MD,20904,,218NE03,KS52,3.8,0.2,R-200,R-200,FIRE STAT,FIRE STAT,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,201361,06/30/2000,11/09/2000,RUNNING BROOK ACRES,,,,,,,,,,"RUNNING BROOK DR., CLARKSBURG, MD",,,11.7,8.6,,,,,LSC,,SPA-CB,
SPECIAL PROTECTION AREA,219605,07/25/2005,,"WOODFIELD RD, MD RT 124",Roadway Improvements,,,,,,,,,MD 124 (WOODFIELD RD) FROM MIDCOUNTY HWY TO WARFIELD RD,,,64.1,64.1,,,,,GSC,URC,,
SPECIAL PROTECTION AREA,240586,07/01/2011,10/07/2015,JB KLINE JR LANDSCAPING & LAWN,,6720,,OLNEY LAYTONSVILLE,RD,,GAITHERSBURG,MD,20882,,229NW07,GV341,5.8,2.2,R-200,R-200,RESID/COMM,RESID/COMM,URC,,III,III
SPECIAL PROTECTION AREA,206672,09/26/2002,11/12/2002,HOFFMAN PROPERTY,This is a Water Quality Inventory for Parcel P606,11001,,GLEN,RD,,POTOMAC,MD,20854,,215NW11,FQ22,10.3,1.5,,,,,WBR,,,
SPECIAL PROTECTION AREA,247491,10/31/2012,,TRUE BUDDHA TEMPLE OF MARYLAND,,1930,,SPENCERVILLE,RD,,SPENCERVILLE,MD,20868,,221NE02,KS122,3.3,2.3,RE-1,RE-1,church,church,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,242178,02/27/2012,,CLARKSBURG CHILDCARE CENTER,,22929,,FREDERICK,RD,,CLARKSBURG,MD,20871,,232NW13,EW341,1.0,0.6,R-200,R-200,,,LSC,UNNAMED,SPA-CB,
SPECIAL PROTECTION AREA,203824,06/14/2001,11/27/2001,PEACHWOOD STREAM RESTORATION,,,,,,,,,,IN PEACHWOOD PARK @ END OF EASTWAY DR IN SILVER SPRING,219NE01,JR63,17.0,0.5,R-200,R-200,STREAM,STREAM,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,240020,04/20/2011,,OBSERVATION DRIVE EXTENDED,,,,,,,,,,FROM EXISTING OBSERVATION DRIVE AT WATERS DISCOVERY LANE IN N. GERMANTOWN TO STRINGTOWN ROAD IN CLARKSBURG,230NW13,,91.0,91.0,,,,,LSC,,,
SPECIAL PROTECTION AREA,201055,04/21/2000,06/20/2000,TOFIGH PROPERTY,,2310,,FAIRLAND,RD,,SILVER SPRING,MD,20904,,,KR342,1.8,0.2,R-200,R-200,,,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,236619,09/16/2009,,SHIRKEY'S ADDITION TO FAIRLAND,,2800,,OLD BRIGGS CHANEY,RD,,SILVER SPRING,MD,20905,,219NE03,KR42,7.1,0.4,R-200,R-200,RESIDENT,RESIDENT,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,203794,06/07/2001,05/15/2002,CLARKSBURG RIDGE,"This site is 1/2 SPA & 1/2 Standard Concept & fees reflect this.  Parcels included are 550, 584, 605, 644, 800",,,,,,,,,"N/NE BY CATAWBA MANOR SUB TO N/NW BY PARCEL 432, TO S/SW BY PAR 980,926,911,912,860,858,814,759,757,730 & RT 355 & TO SE/E BY CLARKSBURG RD",223NW13,EW32,35.4,29.8,,,,,LSC,,SPA-CB,
SPECIAL PROTECTION AREA,206329,08/01/2002,09/30/2002,CLARKSBURG TOWN CNTR PHASE 1A,Revision to final water quality plan,,,,,,,,,"1 PIEDMONT RD, CLARKSBURG, PARCEL 2",,EW,55.7,55.7,,,,,LSC,,SPA-CB,
SPECIAL PROTECTION AREA,207133,01/07/2003,02/20/2009,CABIN BRANCH,,,,,,,,,,WEST OLD BALTIMORE ROAD - BETWEEN I-270 AND MD-121,231NW14,EV562,10.8,20.5,,MXPD,ROADWAY,ROADWAY,LSC,CABIN BRCH,SPA-CB,
SPECIAL PROTECTION AREA,266577,07/25/2014,,Good Hope Neighborhood Recreation Center,,,,,,,,,,"14715 Good Hope Road / Silver Spring, MD 20905",219NE02,KR13,13.2,4.3,RE-2C,,,,PBR,GUM SPR,SPA-UPB,III
SPECIAL PROTECTION AREA,211453,02/24/2004,06/16/2004,CLARKSBURG AREA HIGH SCHOOL,"ADMINISTRATIVE WAIVER REQUEST PROCESSED ON 04/16/2013 FOR REVIEW

(CLARKSBURG AREA HIGH SCHOOL - BUILDING ADDITION)",22500,,WIMS,RD,,CLARKSBURG,MD,20871,,231NW13,EV42,62.7,1.0,R-200,R-200,SCHOOL,SCHOOL,LSC,CABIN BRCH,SPA-CB,IV
SPECIAL PROTECTION AREA,231351,05/10/2007,,CLOVERLY ELEMENTARY SCHOOL,,800,,BRIGGS CHANEY,RD,,SILVER SPRING,MD,20905,,220NE01,,10.5,0.2,RE-1,RE-1,EDUCATION,EDUCATION,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,236648,09/18/2009,,CABIN BRANCH-BROADWAY AVE,,,,,,,,,,"WEST OLD BALTIMORE ROAD, I-270, AND CLARKSBURG ROAD",231NW131,FV562,29.2,29.2,MXPD,MXPD,AGRICULTUR,ROADS,LSC,C-16,,IV
SPECIAL PROTECTION AREA,237760,05/05/2010,,LAYTONIA RECREATIONAL PARK,LAYTONIA RECREATIONAL PARK - PARCEL P966,,,,,,,,,"MUNCASTER MILL ROAD, GAITHERSBURG, MD 20879 - (PARCEL P966)",225NW07,GT342,48.2,41.1,RE-1,RE-1,VACANT,REC-PARK,URC,,III,III
SPECIAL PROTECTION AREA,202822,10/23/2000,04/09/2002,HIGHLANDS AT CLARKSBURG,CN 204621 was voided and fees were paid there.,,,,,,,,,FREDERICK RD & STRINGTOWN RD,232NW13,EW341,64.4,51.2,,,,,LSC,,SPA-CB,IV
SPECIAL PROTECTION AREA,230065,12/18/2006,03/09/2007,MUNCASTER MANOR,LOT 64/BLOCK B/LOTS 66-68,5830,,ROLLING,DR,,ROCKVILLE,MD,20855,,226NW06,GU61,16.1,1.5,,,,,URC,,,
SPECIAL PROTECTION AREA,228662,10/04/2006,11/02/2006,GRIFFITH'S ADD MUNCASTER ESTA,Parcel 624,,,,,,,,,"MUNCASTER ROAD, DERWOOD 20855, PARCEL 624",226NW06,GU561,3.5,1.4,,,,,URC,,,
SPECIAL PROTECTION AREA,200616,01/07/2000,02/17/2000,GATEWAY 270 WEST,,,,,,,,,,CLARKSBURG RD & 270,,,35.5,22.3,I-3,I-3,,,LSC,,SPA-CB,SPA-CB
SPECIAL PROTECTION AREA,237925,05/25/2010,08/04/2010,TRAVILAH FIRE STATION # 32,,,,,,,,,,"NW CORNER OF INTERSECTION OF DARNESTOWN ROAD AND SHADY GROVE ROAD,POTOMAC MD 20850",219NW09,FR563,5.6,3.4,LSC,LSC,VACANT,FIRE STATI,WBR,,SPA-PB,
SPECIAL PROTECTION AREA,235762,05/22/2009,,CABIN BRANCH ADVENTIST HOSPITA,Cabin Branch Adventist Hospital,,,,,,,,,"WEST OLD BALTIMORE ROAD, I-270 AND CLARKSBURG ROAD, LIBER 28928, FOLIO 640",231NW131,EV562,13.3,13.3,MXPD,MXPD,AGRICULTUR,HOSPITAL S,,C-16,SPA-CB,
SPECIAL PROTECTION AREA,204507,12/03/2001,07/03/2003,GATEWAY COMMONS,Clarksburg Investment Associates Property,,,,,,,,,"WEST OF RT. 355 BETWEEN HAMMERHILL ROAD, WOODPORT RD & GATEWAY CENTER DR.",232NW13,EW31,45.2,39.0,R200/T,R200/T,AGRICULTUR,MIXED RESI,LSC,,SPA-CB,
SPECIAL PROTECTION AREA,237088,12/22/2009,06/04/2010,"RICKMAN PROPERTY, PAR 860&925",,,,,,,,,,,226NW07,GU341,0.0,6.8,I-4,I-4,INDUSTRIAL,OFFIC/WARE,URC,CABIN BRCH,,
SPECIAL PROTECTION AREA,235727,05/15/2009,,PIEDMONT ROAD,,12600,,PIEDMONT,RD,,CLARKSBURG,MD,20871,,233NW12,EW562,4.0,2.0,,,,,LSC,LSC,SPA-CB,
SPECIAL PROTECTION AREA,233038,02/06/2008,05/23/2008,CLARKSBURG VILLAGE,SWM ADMINISTRATIVE WAIVER REQUEST SUBMITTED 08/30/2012,,,,,,,,,INTERSECTION OF PROPOSED SNOWDEN FARM PKWY AT RIDGE RD (MDE RTE 27),230NW11,FV122,6.5,15.0,RE-2C,RE-2C,PUB ROAD,AGRICULTUR,LSC,,SPA-CB,IV
SPECIAL PROTECTION AREA,237570,04/02/2010,,THOMPSON ROAD CONNECTION,,,,,,,,,,"RAINBOW DRIVE TO THOMPSON ROAD, SILVER SPRING",221NE02,KS21,1.0,1.0,RE-1,,FIELD,ROADWAY,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,235000,12/30/2008,,NORBECK COUNTRY CLUB,NORBECK COUNTRY CLUB,17200,,CASHELL,RD,,ROCKVILLE,MD,20853,,223NW04,HT21,198.7,0.3,RE-1,RE-1,GOLF COURS,GOLF COURS,URC,,,III
SPECIAL PROTECTION AREA,204111,08/29/2001,11/28/2001,FAIRLAND GARDENS SWM POND RETR,SWM Pond RETROFIT,,,,,,,,,WEST END OF PERRYWOOD DR. ADC MAP 32B3,220NE03,KS41,1.6,1.0,,,,,PBR,,SPA-UPB,
SPECIAL PROTECTION AREA,221745,11/01/2005,,CABIN BRANCH - CONCORDIA 1,,,,,,,,,,"WEST OLD BALTIMORE RD, I-270 & CLARKSBURG ROAD",230NW13,EV562,26.5,15.2,,,,,LSC,,,
SPECIAL PROTECTION AREA,234831,11/19/2008,10/02/2009,MUNCASTER MANOR,,5914,,GRANBY,RD,,ROCKVILLE,MD,20855,,226NW06,GU61,5.2,1.5,RE-1,RE-1,RES,RES,URC,,,III
SPECIAL PROTECTION AREA,281924,04/27/2016,,Islamic Society,,2701,,BRIGGS CHANEY,RD,,SILVER SPRING,MD,20905,,,,0.0,0.0,,,,,,,,
SPECIAL PROTECTION AREA,236614,09/15/2009,,CABIN BRANCH-CABIN BRANCH AVE.,,,,,,,,,,"WEST OLD BALTIMORE RD,I-270 AND CLARKSBURG RD.",231NW131,FU562,9.6,9.6,MXPD,MXPD,AGRICULTUR,ROADS,LSC,C-16,,IV
SPECIAL PROTECTION AREA,231674,06/28/2007,,GLEN RIDGE,"LOT 3, BLOCK A, GLEN RIDGE",11508,,GLEN,RD,,POTOMAC,MD,20854,,215NW11,FQ12,2.0,0.5,RE-2,RE-2,RES,RES,WBR,,SPA-PB,
SPECIAL PROTECTION AREA,283736,03/13/2018,,,TEST PERMIT BY MR,255,,ROCKVILLE,PIKE,,ROCKVILLE,MD,20850,,,5656,4545.0,4545.0,C-P,C-I,,,TMC,,,IV
SPECIAL PROTECTION AREA,229642,11/29/2006,07/13/2009,CLARKSBURG ROAD WIDENING,CLARKSBURG ROAD - PHASE 2 (STATION 0+25.58 TO STATION 6+46.92),,,,,,,,,CLARKSBURG ROAD STA 0 + 00 (MD355) TO STA 6 + 36.86,,,4.0,2.0,,,,,,,SPA-CB,
SPECIAL PROTECTION AREA,239838,03/21/2011,,T-MOBILE NE TOWER PROJECTS,CELL TOWERS,,,,,,,,,14911 GOOD HOPE RD; 2815 CABIN CREEK DR; 1200 FAIRLAND RD,,,0.3,0.3,,,,,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,236647,09/18/2009,,"CABIN BRANCH-DUNLIN ST, STILT",,,,,,,,,,"WEST OLD BALTIMORE RD, I-270 AND CLARKSBURG RD.",231NW131,FV562,5.8,5.8,MXPD,MXPD,AGRICULTUR,ROADS,LSC,C-16,,IV
SPECIAL PROTECTION AREA,214128,08/26/2004,01/18/2007,EASTSIDE,Parcel P600,13000,,SHAWNEE,LN,,CLARKSBURG,MD,20871,"S.E. QUADRANT INTERSECTION SHAWNEE LA & GATEWAY CENTER DR, CLARKSBURG 20871, PARCEL P600",233NW13,EV43,23.8,17.7,PD-4,PD-11,VACANT,RESIDENTIA,LSC,,SPA-CB,IV
SPECIAL PROTECTION AREA,222055,11/21/2005,,CABIN BRANCH-GOSNELL 1 E & W,,,,,,,,,,"WEST OLD BALTIMORE ROAD, I-270, CLARKSBURG ROAD",230NW13,EV562,10.6,10.0,,,,,LSC,,SPA-CB,
SPECIAL PROTECTION AREA,236091,07/10/2009,12/15/2009,GRANBY WOODS OUTLOT D,,18718,,SHREMOR,DR,,ROCKVILLE,MD,20855,,225NW05,HT13,3.6,1.3,RE-1,RE-1,VAC,RES,URC,,,III
SPECIAL PROTECTION AREA,213892,08/05/2004,03/02/2005,PINEY GLEN FARMS,"Lot 37-40/A, Parcel Outlot A;  Holding check for $2,343.00 - need additional $720.50. enm 8/05/04- RETURN APPLICATION TO SSI 9/1/04 ENM.",,,,,,,,,PINEY MEETINGHOUSE RD & PINEY GLEN LA,216NW11,FQ123,12.4,2.4,RE-2,RE-2,RESIDENTIA,RESIDENTIA,WBR,,SPA-PB,I
