CredentialDefinitionId,CredentialTypePrefix,CredentialSubCategory,CredentialName,AgencyName,ZipCode,Location 1,Address2
985,27,ASOC,Marital and Family Therapist Associate,Department of Public Health,,,
1007,ELIQ,,OSBI Application Inquiry,"DAS, Bureau of Elevators",,,Suite 1303
422,14,,Physical Therapist,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
497,14,TEMP,PT Temporary Permit,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
423,15,,Electrologist,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
436,30,,Embalmer,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
502,30,APPR,Embalmer Apprentice,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
437,31,,Funeral Director,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
484,32,,Sub-Surface Sewage Cleaner,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
485,33,,Sub-Surface Sewage Installer,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
486,35,,Registered Sanitarian,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
441,36,,Nursing Home Administrator,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
442,37,,Hearing Instrument Specialist,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
504,37,TRNG,Hearing Instrument Specialist-Training Permit,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
443,38,,Optician,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
463,39,,Asbestos Consultant-Inspector,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
477,41,,Asbestos Consultant-Project Designer,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
444,43,,Acupuncturist,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
445,44,,Licensed Alcohol and Drug Counselor,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
446,45,,Certified Alcohol and Drug Counselor,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
456,46,,Professional Counselor,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
447,47,,Veterinarian,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
495,47,TEMP,Veterinarian Temporary Permit,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
448,48,,Occupational Therapist,Department of Public Health,06134,"Hartford, CT 6134
(41.742769562, -72.682866506)",
