State or Nation,Cycle 1 Total Number of Health Deficiencies,Cycle 1 Total Number of Fire Safety Deficiencies,Cycle 2 Total Number of Health Deficiencies,Cycle 2 Total Number of Fire Safety Deficiencies,Cycle 3 Total Number of Health Deficiencies,Cycle 3 Total Number of Fire Safety Deficiencies,Average Number of Residents Per Day,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per resident per day,Number of Fines,Fine Amount in Dollars,Percentage of long stay residents whose need for help with daily activities has increased,Percent of Long Stay Residents Who Lose Too Much Weight,Percent of Low Risk Long Stay Residents Who Lose Control of Their Bowel or Bladder,Percent of Long Stay Residents with a Catheter Inserted and Left in Their Bladder,Percent of Long Stay Residents With a Urinary Tract Infection,Percent of Long Stay Residents Who Have Depressive Symptoms,Percent of Long Stay Residents Who Were Physically Restrained,Percentage of long stay residents experiencing one or more falls with major injury,Percentage of long stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of long stay residents who received an antipsychotic medication,Percentage of short stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of short stay residents who newly received an antipsychotic medication,Percentage of long stay residents whose ability to move independently worsened,Percentage of long stay residents who received an antianxiety or hypnotic medication,Percentage of high risk long stay residents with pressure ulcers,Percentage of long stay residents assessed and appropriately given the seasonal influenza vaccine,Percentage of short stay residents who made improvements in function,Percentage of short stay residents who were assessed and appropriately given the seasonal influenza vaccine,Percentage of SNF residents with pressure ulcers that are new or worsened,Percentage of short stay residents who were rehospitalized after a nursing home admission,Percentage of short stay residents who had an outpatient emergency department visit,"Number of Hospitalizations per 1,000 long-stay resident days","Number of outpatient emergency department visit per 1,000 long- stay resident days",Processing Date
NATION,8.2,3.0,8.2,3.0,7.6,3.0,85.9,2.30,0.87,0.69,1.56,3.86,0.08,0.37638,3.20666,0.5,14541,14.466850,5.508486,48.391709,1.790477,2.648799,5.055464,0.235386,3.353865,93.852174,14.237455,83.844989,1.784919,17.094197,19.724197,7.317834,95.961515,67.954968,82.894117,1.430475,21.961573,10.615540,1.718279,0.952964,04/01/2020
AK,10.9,2.7,11.4,4.6,10.6,3.8,35.5,4.11,0.40,2.26,2.66,6.78,0.11,0.32930,3.10916,0.6,11503,13.728806,7.974874,38.486077,3.456376,2.573993,8.021504,0.469071,3.596041,94.696792,10.903096,80.853751,1.337629,20.030284,14.567975,6.147811,98.335416,71.863860,82.178512,0.733047,14.696582,10.762541,1.002008,0.961072,04/01/2020
AL,2.6,3.4,3.4,2.9,4.5,3.3,100.6,2.40,0.92,0.58,1.50,3.90,0.03,0.31497,3.01407,0.2,10636,12.974364,6.054405,44.078245,1.903681,3.456208,1.153529,0.689930,3.296754,93.537574,19.298992,85.131102,2.010914,14.397754,25.316227,7.387589,94.892507,64.118048,83.970274,1.152387,21.707843,10.715918,1.820335,0.874142,04/01/2020
AR,9.7,1.9,7.7,1.8,6.5,0.7,77.1,2.71,1.04,0.36,1.40,4.11,0.04,0.30794,2.98888,0.7,15773,13.767015,5.261371,41.492308,1.761080,2.775662,1.995124,0.354062,3.720384,95.022582,12.607040,83.398206,1.821262,14.344286,22.643329,7.197465,97.480587,73.584537,82.875026,1.526724,24.081032,12.689516,2.210420,1.355932,04/01/2020
AZ,6.3,2.7,5.8,2.4,4.1,2.4,81.5,2.36,1.02,0.81,1.84,4.20,0.11,0.41031,3.2922,0.2,2320,12.564893,5.036804,57.369801,1.771251,1.870347,2.449886,0.166614,2.591403,97.487539,11.986611,92.663791,1.265630,17.677283,17.600715,7.993666,97.181599,66.404113,90.631399,0.685554,23.656091,10.222223,1.236318,0.695759,04/01/2020
CA,13.1,1.7,13.1,1.8,12.5,2.1,86.6,2.58,1.13,0.64,1.77,4.35,0.10,0.40742,3.23265,0.2,5712,9.209390,4.451877,40.149058,1.836403,1.697913,0.979367,0.393903,1.770446,97.522505,10.402650,92.254515,1.375963,12.959239,14.277066,6.938685,97.568412,71.857762,90.189867,0.781405,21.914450,10.142131,1.936364,0.824255,04/01/2020
CO,8.3,0.0,7.3,0.0,8.6,0.0,74.2,2.32,0.69,0.93,1.61,3.93,0.09,0.35227,3.07763,0.3,22115,14.225612,5.379994,48.763277,1.850064,2.000388,3.136096,0.136161,3.563993,91.156570,15.060357,78.239607,1.611083,16.701480,11.907876,5.645173,95.642332,68.008553,79.368472,1.357785,18.999216,11.088531,1.259305,0.917435,04/01/2020
CT,7.0,0.6,8.2,0.6,6.6,0.6,103.0,2.25,0.78,0.72,1.50,3.75,0.10,0.32318,3.05227,0.9,10655,14.183821,5.687086,46.026038,1.223733,2.044612,1.752214,0.064106,3.372436,92.591907,16.453481,78.160788,1.534592,17.262895,18.600901,5.152914,95.457385,68.225712,80.527684,1.013929,22.592281,10.456752,1.611806,0.715104,04/01/2020
DC,16.9,1.5,12.3,1.9,11.1,2.2,128.3,2.81,0.72,1.56,2.28,5.09,0.13,0.42407,3.37435,0.3,11768,16.536549,5.065933,67.744503,1.213815,2.393087,1.338011,0.552838,1.099395,92.758542,10.236806,72.488894,1.138554,19.088056,11.842861,13.182240,95.573637,56.031667,80.460607,1.535764,18.003517,6.662361,0.990801,0.331909,04/01/2020
DE,13.1,1.0,14.8,1.3,9.7,1.3,90.3,2.43,0.94,1.10,2.04,4.47,0.10,0.35297,3.11128,0.6,18570,13.505467,4.897304,52.706750,0.699351,2.922690,2.292487,0.203399,3.155678,96.697016,12.732071,87.843724,1.300288,17.998435,20.005607,5.999917,98.238264,68.761464,89.197565,0.846510,22.610276,10.833122,1.640271,0.756364,04/01/2020
