Project Number,Description,Start Date,Target Date,Campus,Economic Development Region,Project Phase,Purpose,Managed by SUCF,Project Status
011000,Site Representative - (GH),09/30/2014,03/29/2017,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
011001,Site Representative - (EB),09/30/2014,03/30/2017,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
011002,Site Improvements Washington Avenue East Entry,10/10/2014,06/07/2017,University at Albany,Capital Region,Closed,"Health, Safety, Security",N,Complete
011003,Lighting Replacement Building 105,06/01/2015,07/01/2016,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
011004,Renovate Basement Milne Hall,05/01/2015,04/05/2021,University at Albany,Capital Region,In Guarantee,Preservation of Facilities,N,Active
011005,Renovate Sub-Basement Lecture Center South,05/07/2015,07/28/2021,University at Albany,Capital Region,Pending Final Construction Payment,Preservation of Facilities,Y,Active
011006,Upgrade Central Plant - SUCF,05/22/2015,11/03/2023,University at Albany,Capital Region,In Construction,Preservation of Facilities,Y,Active
011007,Decommission Former Data Center - Bldg 56,05/27/2015,05/31/2019,University at Albany,Capital Region,Closed,Program Improvement or Program Change,Y,Complete
011008,Rehab Toilet Rooms for ADA - Podium,05/27/2015,07/04/2036,University at Albany,Capital Region,In Design,Facilities for Physically Disabled,Y,Active
011009,Upgrade Controls Study/Pilot Campus Wide,03/01/2016,12/27/2019,University at Albany,Capital Region,Closed,Preservation of Facilities,Y,Complete
011010,Exterior Condition Survey - Campus Wide,07/01/2016,01/30/2019,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Cancelled
011011,Renovate Building 30 for Engineering/Science,07/10/2017,01/25/2027,University at Albany,Capital Region,In Design,Preservation of Facilities,Y,Active
011012,CANCELED - Rehab Library for Surge Space,11/12/2015,01/19/2022,University at Albany,Capital Region,Closed,Preservation of Facilities,Y,Cancelled
011013,Minor Critical Maintenance 2015,08/27/2015,07/27/2018,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
011014,ADA Compliance Study - Campus Wide,03/01/2016,02/26/2019,University at Albany,Capital Region,Closed,Facilities for Physically Disabled,Y,Complete
011015,Replace Roofs - Downtown Various Buildings,11/10/2015,12/13/2022,University at Albany,Capital Region,In Construction,Preservation of Facilities,N,Active
011016,Replace Fixed Seating PAC Theater,11/12/2015,03/29/2018,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
011017,ADA Modifications - Building 105,01/25/2016,10/30/2017,University at Albany,Capital Region,Closed,Facilities for Physically Disabled,N,Complete
011019,Site Representative - JB,06/14/2016,06/08/2020,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
011020,Site Representative - JBwn,06/18/2015,06/11/2020,University at Albany,Capital Region,In Design,Preservation of Facilities,N,Active
011021,Site Representative - BB,06/14/2016,06/11/2020,University at Albany,Capital Region,In Design,Preservation of Facilities,N,Active
011022,Site Representative - MH,06/15/2016,06/17/2020,University at Albany,Capital Region,In Design,Preservation of Facilities,N,Active
011023,Rehab Dutch Commons Site,07/18/2016,09/14/2018,University at Albany,Capital Region,Closed,"Health, Safety, Security",N,Complete
011024,Minor Critical Maintenance 2016-2017,09/01/2016,01/30/2020,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
011025,Program Study Renovate Campus Center Ph 2,08/25/2016,09/08/2021,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Cancelled
011026,Renovate Classrooms/Labs Phase V,02/28/2017,01/30/2020,University at Albany,Capital Region,In Guarantee,Preservation of Facilities,N,Active
011027,Quad Canopy Repairs,03/01/2017,10/29/2018,University at Albany,Capital Region,Closed,"Health, Safety, Security",N,Cancelled
011028,Rehabilitate Physical Education Building,04/20/2017,02/27/2029,University at Albany,Capital Region,In Design,Preservation of Facilities,Y,Active
011029,Minor Critical Maintenance 2017-2018,06/14/2017,06/12/2019,University at Albany,Capital Region,Closed,Preservation of Facilities,N,Complete
011030,Replace Mechanical Systems - Upgrade Suite 107 - Draper,03/07/2017,01/30/2020,University at Albany,Capital Region,In Guarantee,Preservation of Facilities,N,Active
011031,Upgrade Electrical Substation,07/06/2015,08/03/2021,University at Albany,Capital Region,In Construction,Preservation of Facilities,N,Active
011032,Renovate Building 35 for Liberal Arts & Social Sciences,07/06/2017,01/27/2023,University at Albany,Capital Region,In Design,Preservation of Facilities,Y,Active
011033,Arc Flash Remediation - Phase 1,11/21/2017,09/07/2021,University at Albany,Capital Region,In Construction,"Health, Safety, Security",N,Active
011034,Replace Athletic Field Turf at Lacrosse & Field Hockey,01/29/2018,03/27/2023,University at Albany,Capital Region,In Design,Preservation of Facilities,N,Active
011035,Renovate Classrooms/Labs - Phase VI,01/29/2018,08/13/2021,University at Albany,Capital Region,In Construction,Preservation of Facilities,N,Active
011036,Site Representative - EM,02/28/2018,06/10/2020,University at Albany,Capital Region,In Design,Preservation of Facilities,N,Active
011037,Site Representative - Campus (DO),02/28/2018,02/21/2023,University at Albany,Capital Region,In Design,Preservation of Facilities,N,Active
011038,Minor Critical Maintenance FY2018/19,05/03/2018,04/20/2021,University at Albany,Capital Region,In Construction,Preservation of Facilities,N,Active
011039,Rehabilitate Podium - Phase III,11/01/2018,11/09/2022,University at Albany,Capital Region,In Construction,Preservation of Facilities,N,Active
011040,Site Representative - Campus (DR),08/08/2018,07/04/2023,University at Albany,Capital Region,In Design,Preservation of Facilities,N,Active
011041,Site Representative - Campus (GM),08/07/2018,07/03/2023,University at Albany,Capital Region,In Design,Preservation of Facilities,N,Active
011042,Minor Critical Maintenance FY 2019/20,05/07/2019,04/29/2021,University at Albany,Capital Region,In Construction,Preservation of Facilities,N,Active
011043,Renovate Podium Concrete Canopy & Verticals,10/03/2019,05/02/2024,University at Albany,Capital Region,In Planning,Preservation of Facilities,N,Active
011044,Renovate Gym & Infill Pool - PE Building,11/04/2019,06/04/2024,University at Albany,Capital Region,In Design,Preservation of Facilities,Y,Active
