Application Type,Application Number,Process Date,Approved Date,Project Name,Comments,WSSC Map,Tax Map,Site Area,Proposed Disturbed Area,Proposed Impervious Area,Current Zoning,Proposed Zoning,Current Land use,Proposed Land Use,Watershed,State Water Use,Tributary,Requested Waiver,Resubmittal,Revision,Onsite Quantity Control,Quantity Control,Onsite Quality Control,Quality Control,Quantity Waiver Proposed,Quantity Waiver Acres Proposed,Quality Waiver Proposed,Quality Waiver Acres Proposed,Street Number,Pre-direction,Street Name,Street Suffix,Post-direction,City,State,ZIP code,Work Location
STORMWATER CONCEPT,225498,04/17/2006,06/19/2008,THE TOWNS OF TANGLEWOOD,"Parcel P140
The Towns of Tanglewood - SWM administrative waiver submitted on 2/8/2011",217NE04,KR51,5.0,5.7,2.2,RT-8.0,RT-8.0,VACANT,RESID,LPB,GENERAL USE,,N,N,N,Y,26.8,Y,3.9,N,0.0,N,0.0,13311,,DOGWOOD,DR,,SILVER SPRING,MD,20904,
STORMWATER CONCEPT,203505,03/30/2001,05/07/2004,DEER PARK-HAYNES PROPERTY,,217NE3,KR341,4.5,4.0,1.5,R-90,R-90,VACANT,RESID,PBR,NATURAL TROUT,,N,N,N,Y,4.5,Y,4.5,N,0.0,N,0.0,2921,,MARLOW,RD,,SILVER SPRING,MD,20904,
STORMWATER CONCEPT,283079,06/19/2017,06/26/2018,St. Anne's Espicoplal Church,,,,0.0,0.0,0.0,,,,,GSC,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,25100,,RIDGE,RD,,DAMASCUS,MD,20872,
STORMWATER CONCEPT,278795,08/31/2015,11/24/2015,St. Peters Church,,,,18.0,0.6,0.0,R-90,R-90,Church,Church,HWR,RECREATION TROUT,,N,N,N,Y,0.6,Y,0.6,N,0.0,N,0.0,2900,,OLNEY SANDY SPRING,RD,,OLNEY,MD,20832,
STORMWATER CONCEPT,283499,12/05/2017,01/12/2018,LAKE NORMANDY ESTATES,"Stormwater Management Concept/Site Development Stormwater Management Plan

Customer Wants To Use ePlans,Proposed development is a nursing home on the undeveloped lot.",,61,0.5,0.6,0.0,RE-1,RE-1,,,CJC,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,9104,,ROUEN,LN,,POTOMAC,MD,20854,
STORMWATER CONCEPT,283344,10/03/2017,10/11/2017,WALT WITMAN HS TURF FIELD / CARDEROCK,Project has been accepted for expedited review - Stormwater Concept,,52,25.2,2.3,0.0,R-60,R-60,,,PRD,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,7100,,WHITTIER,BLVD,,BETHESDA,MD,20817,
STORMWATER CONCEPT,205453,05/20/2002,05/28/2002,CASHELL ESTATES,Lot 2/A,223NW07,GT41,2.2,0.4,0.1,RE-1,RE-1,,,URC,GENERAL USE,,N,N,N,N,0.0,N,0.0,Y,2.2,Y,2.2,17117,,REDLAND,RD,,ROCKVILLE,MD,20855,
STORMWATER CONCEPT,281916,04/25/2016,09/16/2016,Shi Property,&lt;&gt;&lt;&gt;PACKAGE RETURNED TO MICHAEL NORTON/REJECTED BY MARK ETHERIDGE/NEEDS PRE APPLICATION MEETING WITH LEO GALANKO&lt;&gt;&lt;&gt;,219NE02,KR123,3.0,1.1,0.3,RE-1,RE-1,,,PBR,NATURAL TROUT,,N,N,N,N,3.0,N,3.0,N,0.0,N,0.0,14616,,PEACH ORCHARD,RD,,SILVER SPRING,MD,20905,
STORMWATER CONCEPT,252153,04/02/2013,08/12/2013,BLAIRS PARK,,210NW02,JN123,24.4,24.4,20.1,CBD-R2,CBD-R2,COMM/RES,COMM/RES,,,,N,N,N,Y,24.4,Y,24.4,N,0.0,N,0.0,,,,,,,,,plat 22114 BETWEEN COLESVILLE ROAD TO THE NORTH; EAST WEST HWY TO THE EAST; BLAIR MILL ROAD TO THE SOUTH; EASTERN AVE TO THE WEST
STORMWATER CONCEPT,212644,05/13/2004,06/25/2004,WESTFIELD SHOPPINGTOWN MONTG,Revision submitted 6/14/06 & approved 8/8/06,213NW7,,102.3,27.3,27.3,C-2,C-2,,,CJC,GENERAL USE,,N,N,N,N,0.0,Y,27.3,Y,27.3,N,0.0,7101,,DEMOCRACY,BLVD,,BETHESDA,MD,20817,
STORMWATER CONCEPT,245753,08/28/2012,06/11/2013,BLAIR,,209NW01,JN32,1.0,1.1,1.0,CBD-1,CBD-1,Commerci,Mixed us,LRC,GENERAL USE,,N,Y,N,N,0.0,Y,1.1,Y,1.1,N,0.0,8001,,NEWELL,ST,,SILVER SPRING,MD,20910,
STORMWATER CONCEPT,258516,11/08/2013,05/13/2014,Wayside Elementary Modernization,,215NW10,FQ42,9.3,5.2,3.4,,,School,School,WBR,GENERAL USE,,N,N,N,Y,5.2,Y,5.2,N,0.0,N,0.0,10011,,GLEN,RD,,POTOMAC,MD,20854,
STORMWATER CONCEPT,233565,05/01/2008,,MATER DEI SCHOOL-CLASSROOM ADD,,212NW08,GP122,10.3,0.3,0.3,R-200,R-200,SCHOOL,SCHOOL,CJC,GENERAL USE,,N,N,N,Y,0.4,Y,0.4,N,0.0,N,0.0,9600,,SEVEN LOCKS,RD,,BETHESDA,MD,20817,
STORMWATER CONCEPT,231216,04/20/2007,08/03/2007,WACHOVIA BANK-NORTHGATE,,218NW04,HR42,0.7,0.7,0.6,C-2,C-2,RESTAUR,BANK,LRC,GENERAL USE,,N,Y,N,Y,0.7,Y,0.7,N,0.0,N,0.0,13920,,GEORGIA,AVE,,SILVER SPRING,MD,20906,
STORMWATER CONCEPT,283017,05/23/2017,09/29/2017,"KENWOOD, SECTION 5","Customer Wants To Use ePlans,Please add the email Private.dpspermits@cpja.com and remove pdrizik@gmail.com for email notifications. Thanks.",,11,12306.0,13682.0,0.0,RE-2,R-200,,,LFB,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,6204,,HIGHLAND,DR,,CHEVY CHASE,MD,20815,
STORMWATER CONCEPT,209909,09/24/2003,11/10/2003,FIALLO RESIDENCE,"Potomac Manors, Section 2, Lot 4",212NW11,FP122,2.4,1.0,0.4,,,,,CJC,GENERAL USE,,N,N,N,Y,2.4,Y,2.4,N,0.0,N,0.0,10823,,BURBANK,DR,,POTOMAC,MD,20854,
STORMWATER CONCEPT,204039,08/02/2001,09/05/2001,COLUMBIA CC PRACTICE RANGE,,210NW4,HN343,141.0,5.6,0.1,R-90,R-90,GOLF COR,GOLF COR,LRC,GENERAL USE,,N,N,N,N,0.0,Y,0.1,Y,0.1,N,0.0,7900,,CONNECTICUT,AVE,,CHEVY CHASE,MD,20815,
STORMWATER CONCEPT,232478,10/31/2007,06/04/2008,BROOKE PARK,"PARCEL 850 - BROOKE PARK                                                       THE Preliminary plan 120080190 was denied on Dec 2, 2010.(MCPB No. 10-124)",206NW06,GM562,0.4,0.4,0.1,R-90,R-90,SFD,SFD,LFB,GENERAL USE,,N,N,N,Y,0.4,Y,0.4,N,0.0,N,0.0,6434,,BROOKES,LN,,BETHESDA,MD,20816,
STORMWATER CONCEPT,282782,03/02/2017,03/22/2017,,,,,0.0,0.0,0.0,,,,,LFB,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,6100,,CONNECTICUT,AVE,,CHEVY CHASE,MD,20815,
STORMWATER CONCEPT,225332,04/07/2006,06/21/2006,WAYNE MANCHESTER APARTMENTS,Parcel A/F,210NE01,JP561,5.2,0.8,0.6,R-10,R-10,APARTMEN,APARTMEN,SCR,GENERAL USE,,N,N,N,Y,0.8,Y,0.8,N,0.0,N,0.0,25,E,WAYNE,AVE,,SILVER SPRING,MD,20901,
STORMWATER CONCEPT,281689,02/05/2016,04/22/2016,Friendship,,,,0.0,0.0,0.0,,,,,DSC,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,,,,,,,,,"16800 Budd Road/Poolesville, MD 20837"
STORMWATER CONCEPT,261875,02/27/2014,,OLGCHS Auditorium Addtn,,223NW02,JT121,48.5,1.6,1.4,RC,RC,private,private,NWB,RECREATION TROUT,,N,N,N,Y,1.6,Y,1.6,N,0.0,N,0.0,17301,,OLD VIC,BLVD,,OLNEY,MD,20832,
STORMWATER CONCEPT,221378,10/14/2005,11/07/2005,CAPITAL VIEW PARK,"Lots 22, 23/25",213NW3,HP563,0.4,0.2,0.1,R-60,R-60,,,LRC,GENERAL USE,,N,N,N,Y,0.4,N,0.4,N,0.0,Y,0.4,10109,,GRANT,AVE,,SILVER SPRING,MD,20910,
STORMWATER CONCEPT,265775,06/30/2014,08/28/2014,Northgate Community Church,,228NW09,f453,3.2,1.1,1.3,,,Church,Church,GSC,,,N,N,N,Y,1.1,Y,1.1,N,0.0,N,0.0,20300,,PLEASANT RIDGE,DR,,MONTGOMERY VILLAGE,MD,20886,
STORMWATER CONCEPT,283438,11/08/2017,03/08/2018,6605 81st ST SUBDIVISION,"Stormwater Management Concept / Site Development Stormwater Management Plan

Customer Wants To Use ePlans,The owner of proposes to subdivide the existing property into two lots and construct a residential home on the new lot.",,21,0.2,0.2,0.0,R-90,R-90,,,PRD,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,6605,,81ST,ST,,CABIN JOHN,MD,20818,
STORMWATER CONCEPT,247853,11/14/2012,04/23/2013,GLENMONT METROCENTER,"Lots:&nbsp;01-89; Parcels: A, B, C, D, E, F, G, H, I, J, K, L, M, N &amp; O.

REVISION SUBMISSION: 08/30/2017, Covering Phases 1.2 &amp; 1.3; ________",216NW2-3,,30.9,27.0,17.9,TS-R,,RESIDENT,COMMERCI,,,,N,N,N,Y,30.9,Y,30.9,N,0.0,N,0.0,,,,,,,,,"GLENMONT METROCENTER:

Glen Allan Avenue, Layhill Road (MD-182)."
STORMWATER CONCEPT,234653,10/09/2008,05/20/2009,WOODMONT CENTRAL 1A,,210NW05,HN123,0.5,0.5,0.5,CBD-2,CBD-2,COMMERC,COMMERC,SCR,GENERAL USE,12,N,N,N,Y,0.5,Y,0.5,N,0.0,N,0.0,8240,,WISCONSIN,AVE,,BETHESDA,MD,20814,
STORMWATER CONCEPT,215822,01/06/2005,01/28/2005,ROSA PARKS MIDDLE SCHOOL,Parcel 31,226NW04,HU41,19.8,0.8,0.8,RE-1,RE-1,SCHOOL,SCHOOL,HWR,RECREATION TROUT,,N,N,N,Y,0.8,Y,0.8,N,0.0,N,0.0,19200,,OLNEY MILL,RD,,OLNEY,MD,20832,
STORMWATER CONCEPT,200879,03/13/2000,03/14/2000,JONES BRIDGE RD @ CONN AVE,,211NW04,HP341,0.2,0.2,0.1,,,RT/WAY,RT/WAY,LRC,GENERAL USE,,Y,N,N,N,0.0,N,0.0,Y,0.2,Y,0.2,,,,,,,,,JONES BRIDGE RD @ CONN. AVE INTERSECTION
STORMWATER CONCEPT,211910,03/24/2004,07/07/2004,FAIRLAND VIEW/TANGLEWOOD,"Parcel P209,P222  Lots 1-74; Revision submitted 5/20/05; Revision approved 6/21/05.",217NE3,KR341,12.6,8.8,3.5,R-60,R-60,OPEN,RESID,LPB,GENERAL USE,,N,N,N,N,0.0,Y,6.5,Y,6.5,N,0.0,,,,,,,,,"STRAVINSKY DR/NE CORNER OF MD RTE 29 & FAIRLAND RD, PARCEL P209"
STORMWATER CONCEPT,211244,02/09/2004,05/14/2004,WEST CHEVY CHASE HEIGHTS,Also known as Bloom Properties; Proposed lot 27: Existing Lot 19 & 20/5,210NW05,HN123,0.1,0.1,0.1,CBD-1,CBD-1,SFH,OFF.BLD,LRC,GENERAL USE,,N,N,N,Y,0.1,Y,0.1,N,0.0,N,0.0,4707,,WEST VIRGINIA,AVE,,BETHESDA,MD,20814,
