Offense,Total,Date
09A - Murder and Nonnegligent Manslaughter,33,12/31/2019 12:00:00 AM
09C - Justifiable Homicide,7,12/31/2019 12:00:00 AM
100 - Kidnapping/Abduction,161,12/31/2019 12:00:00 AM
11A - Rape,291,12/31/2019 12:00:00 AM
11B - Sodomy,74,12/31/2019 12:00:00 AM
11C - Sexual Assault with an Object,180,12/31/2019 12:00:00 AM
11D - Fondling,390,12/31/2019 12:00:00 AM
13A - Aggravated Assault,2466,12/31/2019 12:00:00 AM
13B - Simple Assault,11028,12/31/2019 12:00:00 AM
13C - Intimidation,5585,12/31/2019 12:00:00 AM
36A - Incest,1,12/31/2019 12:00:00 AM
36B - Statutory Rape,27,12/31/2019 12:00:00 AM
"64A - Human Trafficking, Commercial Sex Acts",4,12/31/2019 12:00:00 AM
"64B - Human Trafficking, Involuntary Servitude",7,12/31/2019 12:00:00 AM
Total,20254,12/31/2019 12:00:00 AM
