Offense,Attempted,Completed,Total,Date
120 - Robbery,67,956,1023,12/31/2019 12:00:00 AM
200 - Arson,3,99,102,12/31/2019 12:00:00 AM
210 - Extortion/Blackmail,6,11,17,12/31/2019 12:00:00 AM
220 - Burglary/Breaking and Entering,266,4008,4274,12/31/2019 12:00:00 AM
23A - Pocket-picking,10,809,819,12/31/2019 12:00:00 AM
23B - Purse-snatching,,4,4,12/31/2019 12:00:00 AM
23C - Shoplifting,35,3140,3175,12/31/2019 12:00:00 AM
23D - Theft From Building,,334,334,12/31/2019 12:00:00 AM
23E - Theft From Coin-Operated Machine or Device,8,74,82,12/31/2019 12:00:00 AM
23F - Theft From Motor Vehicle,756,11553,12309,12/31/2019 12:00:00 AM
23G - Theft From Motor Vehicle Parts/Accessories,5,989,994,12/31/2019 12:00:00 AM
23H - All Other Larceny,51,11667,11718,12/31/2019 12:00:00 AM
240 - Motor Vehicle Theft,71,2895,2966,12/31/2019 12:00:00 AM
250 - Counterfeiting/Forgery,13,1023,1036,12/31/2019 12:00:00 AM
26A - False Pretense/Swindle/Confidence Game,95,2330,2425,12/31/2019 12:00:00 AM
26B - Credit Card/Automatic Teller Machine Fraud,8,2608,2616,12/31/2019 12:00:00 AM
26C - Impersonation,13,1087,1100,12/31/2019 12:00:00 AM
270 - Embezzlement,,8,8,12/31/2019 12:00:00 AM
280 - Stolen Property Offenses,,22,22,12/31/2019 12:00:00 AM
290 - Destruction/Damage/Vandalism of Property,11,7000,7011,12/31/2019 12:00:00 AM
Total,1418,50617,52035,12/31/2019 12:00:00 AM
