Sector,Committed hours,Actual staffing*,Total hours ,Productive hours ,Uncommitted hours ,Uncommitted percentage,Year
George,67818,87,180093,135070,67252,0.37,12/31/2019 12:00:00 AM
Baker,59722,61,126707,95030,35308,0.28,12/31/2019 12:00:00 AM
Ida,63566,65,134507,100880,37314,0.28,12/31/2019 12:00:00 AM
Adam,64406,71,146813,110110,45704,0.31,12/31/2019 12:00:00 AM
Edward,80108,66,136413,102310,22202,0.16,12/31/2019 12:00:00 AM
Charlie,62560,64,132600,99450,36890,0.28,12/31/2019 12:00:00 AM
Henry,65067,64,132427,99320,34253,0.26,12/31/2019 12:00:00 AM
David,71740,76,157907,118430,46690,0.3,12/31/2019 12:00:00 AM
Frank,71367,69,144040,108030,36663,0.25,12/31/2019 12:00:00 AM
Citywide,606354,621,1291507,968630,362276,0.28,12/31/2019 12:00:00 AM
