Permit_number,Schedule_Date,Schedule_time,Base_Number,Last_Updated_Date,Last_Updated_Time
BB557,09/22/2020,9:00AM,B01848,05/10/2020,18:05:03.586
BB546,08/20/2020,10:15AM,B03027,05/10/2020,18:05:03.586
BA430,06/03/2020,10:15AM,B01848,05/10/2020,18:05:03.586
BA572,09/28/2020,9:45AM,B01061,05/10/2020,18:05:03.586
AD223,05/21/2020,9:15AM,B02346,05/10/2020,18:05:03.586
AE401,08/03/2020,10:30AM,B00647,05/10/2020,18:05:03.586
AF434,06/03/2020,10:00AM,,05/10/2020,18:05:03.586
AC997,06/22/2020,9:15AM,B02902,05/10/2020,18:05:03.586
AC949,10/23/2020,10:15AM,B02520,05/10/2020,18:05:03.586
AD360,06/23/2020,9:30AM,,05/10/2020,18:05:03.586
AD254,06/10/2020,9:45AM,B01594,05/10/2020,18:05:03.586
AB975,09/17/2020,10:30AM,B90675,05/10/2020,18:05:03.586
AD102,10/05/2020,9:30AM,,05/10/2020,18:05:03.586
AF390,08/28/2020,10:45AM,B01848,05/10/2020,18:05:03.586
AB368,09/11/2020,10:45AM,B02660,05/10/2020,18:05:03.586
AE117,09/08/2020,10:45AM,B02346,05/10/2020,18:05:03.586
AB045,11/04/2020,9:45AM,B01300,05/10/2020,18:05:03.586
AB523,10/09/2020,9:30AM,B02520,05/10/2020,18:05:03.586
AA536,09/02/2020,10:15AM,,05/10/2020,18:05:03.586
AF711,08/28/2020,9:15AM,B02772,05/10/2020,18:05:03.586
AC155,06/12/2020,9:15AM,B01313,05/10/2020,18:05:03.586
AA158,08/13/2020,9:15AM,B03152,05/10/2020,18:05:03.586
AA853,11/02/2020,9:15AM,B00457,05/10/2020,18:05:03.586
BA965,10/30/2020,10:30AM,B01455,05/10/2020,18:05:03.586
AB140,10/02/2020,9:30AM,B02932,05/10/2020,18:05:03.586
BB121,08/18/2020,9:15AM,B02932,05/10/2020,18:05:03.586
AC733,08/19/2020,9:15AM,B90639,05/10/2020,18:05:03.586
AE155,07/31/2020,9:30AM,B02902,05/10/2020,18:05:03.586
BA860,08/03/2020,9:15AM,B01848,05/10/2020,18:05:03.586
AD452,05/18/2020,10:00AM,B01663,05/10/2020,18:05:03.586
AB718,06/16/2020,9:00AM,B01010,05/10/2020,18:05:03.586
AF654,09/24/2020,10:45AM,,05/10/2020,18:05:03.586
AB893,09/11/2020,10:45AM,B02780,05/10/2020,18:05:03.586
AC084,10/20/2020,9:30AM,B02772,05/10/2020,18:05:03.586
AF627,10/26/2020,10:15AM,B01848,05/10/2020,18:05:03.586
BB585,10/07/2020,10:30AM,B01848,05/10/2020,18:05:03.586
AB659,10/20/2020,9:30AM,,05/10/2020,18:05:03.586
AE767,07/22/2020,9:45AM,B02346,05/10/2020,18:05:03.586
AD597,05/29/2020,9:15AM,B02932,05/10/2020,18:05:03.586
AF065,08/28/2020,10:45AM,B01069,05/10/2020,18:05:03.586
AE094,07/09/2020,10:00AM,B03036,05/10/2020,18:05:03.586
AC643,09/09/2020,9:00AM,,05/10/2020,18:05:03.586
AF142,06/15/2020,10:30AM,B01313,05/10/2020,18:05:03.586
AE577,08/10/2020,10:15AM,B01614,05/10/2020,18:05:03.586
AA002,08/04/2020,10:15AM,B00937,05/10/2020,18:05:03.586
AF840,08/03/2020,9:15AM,B00485,05/10/2020,18:05:03.586
