BatchNo,WO#,CreatedDate,AssignedDate,CompletedDate,Status,NodeID,Boro,Support,SupportAction,StreetSignName,SignAction,Size,NewSign
B-1003,110,06/20/2018,06/22/2018,,W/CONTRACTOR,104285,Queens,Pipe,Install,174 St,Install,30,No
B-1003,110,06/20/2018,06/22/2018,,W/CONTRACTOR,104285,Queens,Pipe,Install,Linden Blvd,Install,30,No
B-1003,120,06/20/2018,06/22/2018,,W/CONTRACTOR,37619,Queens,Wood Pole,NoAction,114 Rd,NoAction,30,No
B-1003,120,06/20/2018,06/22/2018,,W/CONTRACTOR,37619,Queens,Wood Pole,NoAction,178 Pl,Install,30,No
B-1003,129,06/20/2018,06/22/2018,,W/CONTRACTOR,37603,Queens,Wood Pole,NoAction,176 St,Remove & Install,30,No
B-1003,129,06/20/2018,06/22/2018,,W/CONTRACTOR,37603,Queens,Wood Pole,NoAction,Linden Blvd,Remove & Install,30,No
B-1003,130,06/20/2018,06/22/2018,,W/CONTRACTOR,37603,Queens,Pipe,Install,176 St,Install,30,No
B-1003,130,06/20/2018,06/22/2018,,W/CONTRACTOR,37603,Queens,Pipe,Install,Linden Blvd,Install,30,No
B-1003,136,06/21/2018,06/22/2018,,W/CONTRACTOR,37465,Queens,Pipe,NoAction,173 St,Remove & Install,30,No
B-1003,136,06/21/2018,06/22/2018,,W/CONTRACTOR,37465,Queens,Pipe,NoAction,Sayres Av,Install,30,No
B-1003,151,06/21/2018,06/22/2018,,W/CONTRACTOR,37615,Queens,Pipe,Remove & Replace,177 St,Remove & Install,30,No
B-1003,151,06/21/2018,06/22/2018,,W/CONTRACTOR,37615,Queens,Pipe,Remove & Replace,Murdock Av,Remove & Install,30,No
B-1003,152,06/21/2018,06/22/2018,,W/CONTRACTOR,37613,Queens,Pipe,Remove & Replace,114 Rd,Remove & Install,30,No
B-1003,152,06/21/2018,06/22/2018,,W/CONTRACTOR,37613,Queens,Pipe,Remove & Replace,178 St,Remove & Install,30,No
B-1004,5,02/26/2018,07/11/2018,11/29/2018,COMPLETED APPROVED,23003,Manhattan,Traffic Signal,NoAction,1 Av,Remove & Install,24,Yes
B-1004,5,02/26/2018,07/11/2018,11/29/2018,COMPLETED APPROVED,23003,Manhattan,Traffic Signal,NoAction,E 72 St,Remove & Install,24,Yes
B-1004,6,02/26/2018,07/11/2018,11/29/2018,COMPLETED APPROVED,23003,Manhattan,Traffic Signal,NoAction,1 Av,Remove & Install,24,Yes
B-1004,6,02/26/2018,07/11/2018,11/29/2018,COMPLETED APPROVED,23003,Manhattan,Traffic Signal,NoAction,E 72 St,Install,24,Yes
B-1004,7,02/26/2018,07/11/2018,02/05/2019,COMPLETED APPROVED,22999,Manhattan,Traffic Signal,NoAction,1 Av,NoAction,24,No
B-1004,7,02/26/2018,07/11/2018,02/05/2019,COMPLETED APPROVED,22999,Manhattan,Traffic Signal,NoAction,E 71 St,NoAction,24,No
B-1004,8,02/26/2018,07/11/2018,11/29/2018,COMPLETED APPROVED,23003,Manhattan,Traffic Signal,NoAction,1 Av,Remove & Install,24,Yes
B-1004,8,02/26/2018,07/11/2018,11/29/2018,COMPLETED APPROVED,23003,Manhattan,Traffic Signal,NoAction,E 72 St,Install,24,Yes
B-1004,9,02/26/2018,07/11/2018,11/29/2018,COMPLETED APPROVED,23003,Manhattan,Light Pole,NoAction,1 Av,Install,24,Yes
B-1004,9,02/26/2018,07/11/2018,11/29/2018,COMPLETED APPROVED,23003,Manhattan,Light Pole,NoAction,E 72 St,Install,24,Yes
B-1004,10,02/26/2018,07/11/2018,02/05/2019,COMPLETED APPROVED,22999,Manhattan,Light Pole,NoAction,1 Av,NoAction,24,No
B-1004,10,02/26/2018,07/11/2018,02/05/2019,COMPLETED APPROVED,22999,Manhattan,Light Pole,NoAction,E 71 St,NoAction,24,No
B-1004,11,02/26/2018,07/11/2018,02/05/2019,COMPLETED APPROVED,22999,Manhattan,Traffic Signal,NoAction,1 Av,NoAction,24,No
B-1004,11,02/26/2018,07/11/2018,02/05/2019,COMPLETED APPROVED,22999,Manhattan,Traffic Signal,NoAction,E 71 St,NoAction,24,No
