Competitive Bid Service Area ID,Competitive Bid Service Area Name,Company Name,DBA Name,Address,Address 2,City,State,Zip,Zip Plus 4,Phone,Toll-Free Telephone,Product Category Name,Competitive Bid
,,CHOICE MEDICAL SUPPLY INC,CHOICE MEDICAL SUPPLY INC,17 WINDMILL CIR,,ABILENE,TX,79606,,(325)677-2250,,Automatic External Defibrillators (AEDS),N
,,CHOICE MEDICAL SUPPLY INC,CHOICE MEDICAL SUPPLY INC,101 S PARK DR,STE D,BROWNWOOD,TX,76801,,(325)641-2422,,Automatic External Defibrillators (AEDS),N
,,CHOICE MEDICAL SUPPLY INC,CHOICE MEDICAL SUPPLY INC,111 AVENUE N,,MARBLE FALLS,TX,78654,,(830)798-9248,,Automatic External Defibrillators (AEDS),N
,,K & S DRUG & SURGICAL INC,K&S DRUG & SURGICAL INC,266 COLUMBIA AVE,,FORT LEE,NJ,07024,,(201)886-9191,,Automatic External Defibrillators (AEDS),N
,,"CAROLINA HOME MEDICAL, INC",CAROLINA HOME MEDICAL,601-C NORTH 8TH STREET,,SMITHFIELD,NC,27577,,(919)938-3090,,Automatic External Defibrillators (AEDS),N
,,ESJAY PHARMACY CORP,ESJAY PHARMACY CORP,556 GRAND STREET,,BROOKLYN,NY,11211,,(718)384-7901,,Automatic External Defibrillators (AEDS),N
,,SKORO ENTERPRISES LLC,XMED OXYGEN & MEDICAL EQUIPMENT,804 SUMMER PARK DR,STE 400,STAFFORD,TX,77477,,(281)969-8800,,Automatic External Defibrillators (AEDS),N
,,MEDICAL NECESSITIES & SERVICES LLC,"MEDICAL NECESSITIES & SERVICES, LLC",1410 N MOUNT JULIET RD,STE 101,MOUNT JULIET,TN,37122,,(615)997-0861,,Automatic External Defibrillators (AEDS),N
,,WHITE COUNTY MEDICAL CENTER,WHITE COUNTY MEDICAL CENTER,2505 W BEEBE CAPPS EXPY,STE 102,SEARCY,AR,72143,,(501)380-4570,,Automatic External Defibrillators (AEDS),N
,,"DASCO-MAJOR HOME MEDICAL EQUIPMENT, LLC",DASCO HOME MEDICAL EQUPMENT,245 NORTHRIDGE DR,STE F,SHELBYVILLE,IN,46176,,(317)392-3760,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT & SUPPLY,3125 28TH ST SW,,GRANDVILLE,MI,49418,,(616)249-2273,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT & SUPPLY,124 W UPTON AVE,,REED CITY,MI,49677,,(231)832-4565,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT & SUPPLY,1605 HASLETT RD,,HASLETT,MI,48840,,(517)485-9588,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT & SUPPLY,919 W WASHINGTON ST,,GREENVILLE,MI,48838,,(616)754-3497,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT & SUPPLY,84 DIVISION ST,,MANISTEE,MI,49660,,(231)723-5897,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT & SUPPLY,7017 S WESTNEDGE AVE,,PORTAGE,MI,49002,,(269)329-1422,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT & SUPPLY,3228 W CARLETON RD,,HILLSDALE,MI,49242,,(517)437-3226,,Automatic External Defibrillators (AEDS),N
,,CARELINC MEDICAL EQUIPMENT & SUPPLY CO LLC,CARELINC MEDICAL EQUIPMENT & SUPPLY,1250 PERRY AVE,STE D,BIG RAPIDS,MI,49307,,(231)796-6623,,Automatic External Defibrillators (AEDS),N
