Sync Signal ID,Signal ID,Location Name,System ID,System Name,Limit,Isolated,Latitude,Longitude,Location
982,149, CESAR CHAVEZ ST / CONGRESS AVE,77,CONGRESS - NORTH,SOUTH/WEST,false,30.263382,-97.7445679,"(30.263382, -97.7445679)"
450,583, BEN WHITE BLVD SVRD / BURLESON RD,42,BURLESON,NO,false,30.2153988,-97.733429,"(30.2153988, -97.733429)"
1265,703,US 290 HWY / 1826 RD,93,NON-CORRIDOR,NO,true,30.2291946,-97.8883057,"(30.2291946, -97.8883057)"
252,628, ED BLUESTEIN BLVD / LOYOLA LN,28,LOYOLA,SOUTH/WEST,false,30.3026314,-97.6609726,"(30.3026314, -97.6609726)"
800,52, MARTIN LUTHER KING JR BLVD / CHESTNUT AVE,65,MLK - EAST,NO,false,30.2804375,-97.7172699,"(30.2804375, -97.7172699)"
1186,4042, RIATA VISTA CIR / RIATA PARK CT (Tercello (Apple Campus East)),55,PARMER - WEST,NO,true,30.432902,-97.734036,"(30.432902, -97.734036)"
254,725, JOHNNY MORRIS RD / LOYOLA LN,28,LOYOLA,NO,false,30.3002377,-97.6482162,"(30.3002377, -97.6482162)"
1318,31, 24TH ST / RIO GRANDE ST,93,NON-CORRIDOR,NO,true,30.2879353,-97.7446823,"(30.2879353, -97.7446823)"
1323,841, CHICON ST / ROSEWOOD AVE,93,NON-CORRIDOR,NO,true,30.269701,-97.7190323,"(30.269701, -97.7190323)"
31,850, CAPITAL OF TEXAS HWY / SPICEWOOD SPRINGS RD (EAST - BLUFFSTONE DR ),3,LOOP 360 - NORTH,NO,false,30.3850155,-97.7667313,"(30.3850155, -97.7667313)"
152,533, SLAUGHTER LN / CURLEW DR,20,SLAUGHTER,NO,false,30.1765766,-97.833992,"(30.1765766, -97.833992)"
1208,556, BURLESON RD / MC KINNEY FALLS PKWY,93,NON-CORRIDOR,NO,true,30.1919994,-97.6983871,"(30.1919994, -97.6983871)"
1251,624, HOWARD LN / WELLS BRANCH PKWY,93,NON-CORRIDOR,NO,true,30.4400311,-97.69589448,"(30.4400311, -97.69589448)"
1066,295, 7TH ST / SAN JACINTO BLVD,84,7TH - WEST,NO,false,30.2682953,-97.740036,"(30.2682953, -97.740036)"
471,433, WILLIAM CANNON DR / BECKETT RD,7,WILLIAM CANNON,NO,false,30.2249718,-97.8549728,"(30.2249718, -97.8549728)"
313,698, DUVAL RD / JOLLYVILLE RD,33,JOLLYVILLE,NO,false,30.4172859,-97.7500381,"(30.4172859, -97.7500381)"
1351,311, PLEASANT VALLEY RD / WEBBERVILLE RD,93,NON-CORRIDOR,NO,true,30.2653866,-97.7090378,"(30.2653866, -97.7090378)"
231,721, MC NEIL DR / 183 HWY SVRD,26,MCNEIL/SPICEWOOD SPGS,NO,false,30.4344883,-97.7690582,"(30.4344883, -97.7690582)"
210,500, BASTROP HWY / THOMPSON LN,25,MONTOPOLIS,NO,true,30.2365303,-97.6862717,"(30.2365303, -97.6862717)"
1417,525, BRAKER LN / MOPAC EXPY SVRD,100,BRAKER - WEST,NO,false,30.3954906,-97.7321243,"(30.3954906, -97.7321243)"
219,666, MC NEIL RD / HOWARD LN,26,MCNEIL/SPICEWOOD SPGS,NO,false,30.4490528,-97.7255859,"(30.4490528, -97.7255859)"
130,919, 1ST ST / EMERALD WOOD DR,18,SOUTH 1ST - SOUTH,NORTH/EAST,false,30.2128639,-97.778511,"(30.2128639, -97.778511)"
429,31, 24TH ST / RIO GRANDE ST,51,24TH,NO,false,30.2879353,-97.7446823,"(30.2879353, -97.7446823)"
619,14, AIRPORT BLVD / GUADALUPE ST,47,AIRPORT,NO,false,30.3339596,-97.7169266,"(30.3339596, -97.7169266)"
276,686, CAPITAL OF TEXAS HWY SVRD / LAMAR BLVD SVRD,29,LAMAR - SOUTH,NO,false,30.2340221,-97.7970657,"(30.2340221, -97.7970657)"
436,340, 12TH ST / 35 SVRD,52,12TH - EAST,NO,false,30.2718697,-97.7318878,"(30.2718697, -97.7318878)"
