Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages**","All causes, by age (years), All Ages**, flag","All causes, by age (years), ?65","All causes, by age (years), ?65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
"St. Louis, MO",2015,4,112,,53,,43,,12,,3,,1,,6,,"St. Louis, MO
(38.630276, -90.200309)",
"Houston, TX",2015,4,423,,291,,96,,25,,8,,3,,23,,"Houston, TX
(29.760803, -95.369506)",
"Grand Rapids, MI",2015,4,75,,57,,12,,2,,1,,3,,9,,"Grand Rapids, MI
(47.925705, -97.036068)",
"Atlanta, GA",2015,4,222,,137,,62,,18,,3,,2,,15,,"Atlanta, GA
(33.748547, -84.391502)",
"Wilmington, DE",2015,4,13,,11,,2,,,-,,-,,-,4,,"Wilmington, DE
(39.744432, -75.5451)",
"Washington, D.C.",2015,4,161,,95,,41,,9,,6,,10,,8,,"Washington, D.C.
(38.892062, -77.019912)",
"Austin, TX",2015,4,99,,72,,17,,7,,1,,2,,11,,"Austin, TX
(30.264979, -97.746598)",
"Peoria, IL",2015,4,73,,54,,15,,2,,1,,1,,13,,"Peoria, IL
(32.283586, -90.10038)",
"Knoxville, TN",2015,4,159,,114,,36,,7,,1,,1,,26,,"Knoxville, TN
(35.962631, -83.916677)",
"Gary, IN",2015,4,10,,5,,3,,2,,,-,,-,,-,"Gary, IN
(42.375508, -87.924192)",
"Duluth, MN",2015,4,38,,32,,4,,1,,1,,,-,4,,"Duluth, MN
(28.917512, -81.221278)",
"Norfolk, VA",2015,4,49,,28,,17,,2,,1,,1,,5,,"Norfolk, VA
(36.846164, -76.285913)",
"Columbus, OH",2015,4,334,,218,,81,,14,,9,,12,,22,,"Columbus, OH
(39.962649, -82.996216)",
"Fort Worth, TX",2015,4,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.739977, -97.340038)",
"Toledo, OH",2015,4,129,,98,,20,,7,,4,,,-,14,,"Toledo, OH
(41.655298, -83.535717)",
"Mobile, AL",2015,4,109,,65,,31,,9,,4,,,-,3,,"Mobile, AL
(34.661541, -77.695461)",
"Kansas City, KS",2015,4,32,,23,,6,,3,,,-,,-,1,,"Kansas City, KS
(39.099792, -94.578559)",
"San Diego, CA",2015,4,202,,152,,40,,5,,5,,,-,19,,"San Diego, CA
(32.71576, -117.163817)",
"Baton Rouge, LA",2015,4,111,,85,,17,,4,,2,,3,,6,,"Baton Rouge, LA
(30.443319, -91.187488)",
"Long Beach, CA",2015,4,78,,56,,22,,,-,,-,,-,12,,"Long Beach, CA
(33.767168, -118.193723)",
"Milwaukee, WI",2015,4,116,,76,,28,,9,,1,,2,,6,,"Milwaukee, WI
(43.041072, -87.909421)",
"Chattanooga, TN",2015,4,120,,86,,27,,4,,3,,,-,14,,"Chattanooga, TN
(35.045756, -85.308287)",
"Omaha, NE",2015,4,112,,75,,21,,9,,3,,4,,19,,"Omaha, NE
(46.07035, -93.666319)",
"Los Angeles, CA",2015,4,313,,200,,66,,22,,8,,17,,34,,"Los Angeles, CA
(34.052238, -118.243344)",
"Montgomery, AL",2015,4,76,,52,,14,,6,,3,,1,,6,,"Montgomery, AL
(32.376547, -86.299651)",
"Denver, CO",2015,4,157,,112,,33,,6,,2,,4,,4,,"Denver, CO
(39.738453, -104.984853)",
"Newark, NJ",2015,4,46,,27,,9,,8,,,-,2,,1,,"Newark, NJ
(41.433057, -71.460182)",
"Rochester, NY",2015,4,165,,125,,29,,7,,2,,2,,9,,"Rochester, NY
(43.155708, -77.612547)",
"New York City, NY",2015,4,1109,,866,,188,,35,,13,,7,,59,,"New York City, NY
(40.123164, -75.333718)",
"San Antonio, TX",2015,4,348,,253,,63,,22,,8,,2,,21,,"San Antonio, TX
(29.425173, -98.494599)",
"Kansas City, MO",2015,4,122,,75,,30,,7,,6,,3,,8,,"Kansas City, MO
(39.099792, -94.578559)",
"Dayton, OH",2015,4,165,,135,,20,,7,,,-,3,,19,,"Dayton, OH
(39.760982, -84.192203)",
"Youngstown, OH",2015,4,79,,64,,10,,3,,,-,2,,6,,"Youngstown, OH
(41.100083, -80.649387)",
"Richmond, VA",2015,4,77,,47,,22,,7,,1,,,-,11,,"Richmond, VA
(37.540759, -77.433932)",
"Detroit, MI",2015,4,181,,101,,56,,22,,1,,1,,20,,"Detroit, MI
(42.332916, -83.047853)",
"Charlotte, NC",2015,4,157,,103,,36,,11,,2,,5,,12,,"Charlotte, NC
(35.222936, -80.840161)",
"Memphis, TN",2015,4,247,,167,,56,,14,,8,,2,,17,,"Memphis, TN
(35.143378, -90.052136)",
"Waterbury, CT",2015,4,35,,27,,7,,,-,1,,,-,2,,"Waterbury, CT
(41.554261, -73.043069)",
"New Orleans, LA",2015,4,86,,49,,18,,12,,5,,2,,1,,"New Orleans, LA
(29.950621, -90.074948)",
"Chicago, IL",2015,4,296,,197,,64,,26,,3,,6,,13,,"Chicago, IL
(41.775002, -87.696388)",
"Savannah, GA",2015,4,88,,43,,25,,4,,3,,13,,5,,"Savannah, GA
(40.115007, -111.654713)",
"South Bend, IN",2015,4,77,,53,,17,,2,,3,,2,,5,,"South Bend, IN
(41.675032, -86.251962)",
"Birmingham, AL",2015,4,231,,163,,46,,13,,3,,6,,26,,"Birmingham, AL
(33.522859, -86.807705)",
"Wichita, KS",2015,4,98,,70,,19,,2,,6,,1,,15,,"Wichita, KS
(39.960481, -75.605214)",
"New Bedford, MA",2015,4,30,,21,,7,,2,,,-,,-,1,,"New Bedford, MA
(41.63405, -70.92766)",
"San Francisco, CA",2015,4,132,,97,,29,,5,,1,,,-,10,,"San Francisco, CA
(37.78008, -122.420168)",
"Yonkers, NY",2015,4,22,,16,,4,,2,,,-,,-,,-,"Yonkers, NY
(40.932014, -73.896052)",
"Las Vegas, NV",2015,4,345,,240,,82,,17,,2,,4,,31,,"Las Vegas, NV
(36.169202, -115.140597)",
"Lansing, MI",2015,4,63,,46,,15,,2,,,-,,-,2,,"Lansing, MI
(42.733625, -84.553927)",
"Corpus Christi, TX",2015,4,77,,51,,20,,2,,1,,3,,6,,"Corpus Christi, TX
(27.796416, -97.404131)",
"Cambridge, MA",2015,4,8,,6,,1,,,-,1,,,-,,-,"Cambridge, MA
(42.365248, -71.105015)",
"Paterson, NJ",2015,4,,U,,U,,U,,U,,U,,U,,U,"Paterson, NJ
(40.916612, -74.172191)",
