the_geom,OBJECTID,MARKINGS_SPECIALTY_LINE_ID,INTERSECTION_ID,SEGMENT_ID,ALTERNATE_ID,LOCATION_DESCRIPTION,LOCATION_STATUS,DIRECTION,SPECIALTY_LINE_TYPE,NUMBER_OF_ASSETS,MARKING_TEXT_NOTE,MATERIAL,COLOR,INSTALL_DATE,ASSET_CONDITION,CREW_ASSIGNED,COMMENTS,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,GLOBALID,Shape__Length
"MULTILINESTRING ((-97.842532525886 30.153908099013, -97.842481519111 30.153969163872, -97.842431126239 30.154028523557, -97.842396511897 30.154087172509, -97.842375741813 30.154139106092, -97.842359710174 30.154214701245, -97.842364683264 30.154326435053, -97.842400420003 30.154558234911, -97.842430657376 30.15475436482))",876,916,5146976,2038030,,,ACTIVE,S,RPM_LANE_SEPARATOR,1,,,Blue,07/05/2019 12:00:00 AM +0000,Unknown,,,ADEANDA,07/11/2019 05:55:37 PM +0000,ADEANDA,07/11/2019 06:38:57 PM +0000,63dfee24-1629-4aad-96da-8c7027c830a6,323.889357033153
"MULTILINESTRING ((-97.686483400185 30.346363219087, -97.686088673814 30.346972925219))",444,351,5163376,2011337,,,ACTIVE,,CONCRETE_DOMES,26,,,White,,Unknown,BIKE,,SGOV,08/01/2018 03:16:02 PM +0000,CTREMEL,08/30/2019 03:46:49 PM +0000,b35ef030-7242-4778-add8-86c7b4f37bfe,254.307921662501
"MULTILINESTRING ((-97.724934989891 30.339820046259, -97.724918943202 30.33980857222))",459,63,5159355,2011614,,,ACTIVE,,CONCRETE_DOMES,2,,,White,,Unknown,BIKE,,SGOV,08/01/2018 06:51:18 PM +0000,CTREMEL,08/30/2019 03:46:49 PM +0000,1ffc9a22-28b5-4465-9df3-293837982c21,6.5603053548676
"MULTILINESTRING ((-97.722173544154 30.244406752882, -97.72213315778 30.244371644197))",311,97,5159821,3381701,,,ACTIVE,,DELINEATORS,2,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:36 PM +0000,36ff7754-76f5-4306-963e-946b45b6b1dc,18.0463356464303
"MULTILINESTRING ((-97.686539527603 30.348391166211, -97.68678918788 30.348383651639, -97.686944407249 30.348405562595, -97.687071580883 30.348443828237, -97.687244836422 30.348502061783, -97.687326141741 30.34853852707, -97.68748932079 30.348618203496, -97.687663421912 30.348709090326, -97.687776097567 30.348766753678, -97.687886500558 30.348813927078, -97.688023418979 30.348875285557, -97.688141605707 30.348933876187, -97.688372461809 30.349049174697, -97.688493977092 30.349111566694, -97.688601143006 30.349168302643))",269,439,5163099,2031822,,,ACTIVE,,DELINEATORS,15,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:52 PM +0000,fa856f52-2a75-429c-b9f4-5c2ca8f69366,721.319034018285
"MULTILINESTRING ((-97.676190923079 30.292839703117, -97.675930611386 30.292786198668))",238,375,5429498,3189584,,,ACTIVE,,DELINEATORS,3,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:49 PM +0000,f079830a-0e91-4fd8-b3da-f0e36e29d81a,84.429598900708
"MULTILINESTRING ((-97.722796122665 30.254430150174, -97.722787929188 30.254447791886, -97.722773576076 30.254477702686))",833,945,5159711,2019533,,,ACTIVE,E,CURBS,,,PAINT,Red,08/17/2019 12:00:00 AM +0000,Excellent,OTHER,,ADEANDA,08/22/2019 08:44:02 PM +0000,CTREMEL,08/30/2019 03:48:12 PM +0000,24a0ddd9-e89e-4d6d-9b86-423b8acc972f,18.7024704843366
"MULTILINESTRING ((-97.728965200726 30.341776884971, -97.728905438037 30.341747498958))",1050,704,5158843,2011535,,,ACTIVE,,CONCRETE_DOMES,3,,,White,,Unknown,BIKE,,SGOV,03/01/2019 03:46:44 PM +0000,CTREMEL,08/30/2019 03:46:48 PM +0000,4c6c5cad-f74c-4879-a733-11bf85494fa6,21.6706979148316
"MULTILINESTRING ((-97.749820803448 30.327993580494, -97.74992988555 30.328047271622, -97.750043814187 30.32810511273, -97.750151516379 30.328158214603, -97.750264029624 30.32821069234, -97.750371758952 30.328267374167, -97.750479462545 30.328320475786, -97.750598193104 30.328376499255))",280,91,5155473,2012135,,,ACTIVE,,DELINEATORS,8,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:36 PM +0000,9cb05326-9080-410f-ae4e-b7d441fdbb05,282.078885179107
"MULTILINESTRING ((-97.772778660593 30.253752411069, -97.772777150628 30.253712462497))",500,393,5153021,2021395,,,ACTIVE,NE,DELINEATORS,2,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,09/10/2018 05:13:29 PM +0000,651c9bed-c234-4eac-93eb-bd3b609d4c0b,14.5367201913027
"MULTILINESTRING ((-97.78077091127 30.225507049902, -97.7807664738 30.225504674955, -97.780732983837 30.225488458521))",538,970,5152219,2024295,,,ACTIVE,E,CURBS,,,PAINT,Red,09/26/2019 12:00:00 AM +0000,Excellent,,,ADEANDA,09/26/2019 07:30:25 PM +0000,ADEANDA,09/26/2019 07:31:06 PM +0000,1a98a25d-4d88-45b2-9935-ac1932a87140,13.7565328735007
"MULTILINESTRING ((-97.735078761143 30.278532436963, -97.735072235071 30.278547931427))",866,867,5158146,2018051,,,ACTIVE,S,DELINEATORS,1,,,White,05/24/2019 12:00:00 AM +0000,Unknown,,,MSTEVENS,06/06/2019 09:53:12 PM +0000,MSTEVENS,06/07/2019 03:20:03 PM +0000,7852c84b-5d39-48ac-9af1-99ea22d4e586,5.99989432097623
"MULTILINESTRING ((-97.745814543229 30.282893560701, -97.745820950256 30.282880320068))",687,642,5156444,2017716,,,ACTIVE,,DELINEATORS,2,,,,,Unknown,,,SGOV,01/22/2019 04:22:33 PM +0000,SGOV,01/22/2019 04:22:53 PM +0000,47c4d576-43ed-4676-b199-75cfe4ccbf66,5.22289223607994
"MULTILINESTRING ((-97.757723139972 30.247032417187, -97.757721836257 30.247040031065, -97.757718845862 30.24704904304, -97.757704505893 30.247071196756))",916,833,5154936,2023729,,,ACTIVE,NE,CURBS,1,,PAINT,Yellow,05/15/2019 12:00:00 AM +0000,Unknown,OTHER,,MSTEVENS,05/15/2019 09:27:54 PM +0000,CTREMEL,08/30/2019 03:48:12 PM +0000,e04d8229-b48d-4e03-804b-70fe8883c196,15.4526447770656
"MULTILINESTRING ((-97.695182056579 30.220989866039, -97.695191630425 30.220979021231, -97.695225126766 30.220949667576))",908,771,5162793,2034063,,,ACTIVE,SW,CURBS,1,,PAINT,Red,04/17/2019 12:00:00 AM +0000,Unknown,OTHER,,MSTEVENS,04/18/2019 06:58:56 PM +0000,CTREMEL,08/30/2019 03:48:11 PM +0000,5347feda-c37b-4704-b650-26a59f01f693,19.9997987866985
"MULTILINESTRING ((-97.733196439294 30.334507928729, -97.733424227399 30.334113602266, -97.733588891046 30.333855514087))",135,363,5158132,2011863,,,ACTIVE,,CONCRETE_DOMES,24,,,White,,Unknown,BIKE,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,CTREMEL,08/30/2019 03:46:50 PM +0000,67cdcf0d-1314-4849-88ca-c235948e85a4,267.688265788644
"MULTILINESTRING ((-97.695710391705 30.309013096149, -97.695664732147 30.309083589568))",987,569,5162476,2016010,,,ACTIVE,,CONCRETE_DOMES,5,,,White,11/28/2018 12:00:00 AM +0000,Unknown,BIKE,CONTRACTOR,SGOV,11/30/2018 09:17:14 PM +0000,CTREMEL,08/30/2019 03:46:47 PM +0000,5f6117e2-ed40-478e-b72e-bf3124d19cb8,29.4089097512578
"MULTILINESTRING ((-97.676799247515 30.293058898994, -97.676784552471 30.293051805076, -97.676774997611 30.293047192702, -97.676765241644 30.293042482313))",235,206,5429498,3189584,,,ACTIVE,,DELINEATORS,4,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:41 PM +0000,5a3cc6ad-d543-4668-916a-d9683c07986a,12.2814733909124
