Year_Month,Abandoned_Vehicle,General_Inquiry,Graffiti_Report,Illegal_Dumping_Report,Parking_Enforcement,Pothole,Sign_and_Signal_Maintenance
2019-05,4106,2812,1159,2344,1580,557,672
2019-08,4293,3135,1203,3117,1581,421,622
2019-09,3868,2268,1196,2772,1759,384,777
2019-10,3635,1927,1147,2225,1644,456,745
2019-06,3752,2754,1186,2544,1689,469,729
2019-07,4454,4922,1425,2776,1720,458,649
2019-12,3035,1732,904,2048,1159,750,669
2019-11,3173,1642,849,1771,1271,452,604
2020-02,3100,1955,1206,2307,1264,1930,589
2020-04,49,1823,1124,2380,737,460,386
2020-01,2937,1730,1030,2116,1215,1525,727
2020-03,2201,1787,1057,2189,969,611,484
