Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
04/08/2020,CHEV,LL,,BRO,,IL,10300 S. Doty,(773) 785-9752,1720086
04/22/2020,NISS,4D,,SIL,BG84277,IL,701 N. Sacramento,(773) 265-7605,6986756
03/11/2020,SMAR,2D,,RED,AE32158,IL,701 N. Sacramento,(773) 265-1846,1540040
03/01/2020,NISS,4D,,RED,BE52360,IL,701 N. Sacramento,(773) 265-7605,6984439
04/08/2020,NISS,LL,,RED,P244563,IL,10300 S. Doty,(773) 785-9752,1720087
03/20/2020,INFI,LL,,BLK,BR71585,IL,701 N. Sacramento,(773) 265-7605,6986191
04/08/2020,NISS,2D,,BLK,,IL,701 N. Sacramento,(773) 265-1846,1540121
05/07/2020,BUIC,4D,,BLU,AGF3720,IL,701 N. Sacramento,(773) 265-7605,6987121
03/31/2020,,2D,,BLU,,IL,10300 S. Doty,(773) 785-9752,1720065
03/02/2020,HOND,LL,,MAR,BA63045,IL,701 N. Sacramento,(773) 265-7605,6984598
04/15/2020,FORD,4D,,GRY,BW25875,IL,10300 S. Doty,(773) 568-8495,2899788
03/26/2020,FORD,LL,,MAR,,,10300 S. Doty,(773) 568-8495,2899502
05/11/2020,KIA,4T,,BLK,V943823,IL,701 N. Sacramento,(773) 265-7605,6987196
03/01/2020,HOND,4D,,MAR,BE92233,IL,701 N. Sacramento,(773) 265-7605,6984445
03/20/2020,FORD,4D,,GRY,BK34811,IL,10300 S. Doty,(773) 568-8495,0899379
05/11/2020,BUIC,4D,,SIL,5524BH,IL,10300 S. Doty,(773) 568-8495,2900270
03/31/2020,GMC,VN,,TAN,R426065,IL,701 N. Sacramento,(773) 265-1846,1540102
04/01/2020,MERC,4D,,BLU,P809558,IL,10300 S. Doty,(773) 785-9752,1720066
05/07/2020,INFI,4D,,WHI,BW13444,IL,10300 S. Doty,(773) 568-8495,2900185
05/11/2020,HOND,4D,,BGE,BZ46218,IL,701 N. Sacramento,(773) 265-7605,6987197
05/02/2020,MERZ,LL,ML3,SIL,,IL,701 N. Sacramento,(773) 265-7605,6986993
03/05/2020,MERZ,2D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6984860
03/26/2020,FORD,LL,,BLK,200V782,IL,10300 S. Doty,(773) 568-8495,2899503
02/20/2020,NISS,LL,,RED,BY56314,IL,10300 S. Doty,(773) 568-8495,2897219
04/22/2020,HYUN,4D,,WHI,ZU80703,IL,701 N. Sacramento,(773) 265-7605,6986754
04/14/2020,TRAI,SE,,WHI,636550ST,IL,701 N. Sacramento,(773) 265-7605,6986603
05/07/2020,HOND,4D,CIV,MAR,,,701 N. Sacramento,(773) 265-7605,6987122
03/27/2020,HOND,4D,,BLU,,IL,10300 S. Doty,(773) 568-8495,2899504
02/29/2020,BUIC,4D,,WHI,BW17504,IL,701 N. Sacramento,(773) 265-7605,6984358
03/05/2020,VOLK,2D,,RED,BL97446,IL,701 N. Sacramento,(773) 265-7605,6984858
05/02/2020,INFI,LL,,GRY,Z892296,IL,10300 S. Doty,(773) 568-8495,2900077
04/21/2020,JEEP,LL,CHE,WHI,440TRZ,MN,10300 S. Doty,(773) 568-8495,2899887
05/07/2020,KIA,4D,,SIL,L418069,IL,701 N. Sacramento,(773) 265-7605,6987123
03/20/2020,FORD,LL,,WHI,AJ00506,AZ,10300 S. Doty,(773) 568-8495,2899380
02/27/2020,MERC,LL,,WHI,BL90455,IL,10300 S. Doty,(773) 568-8495,2897724
05/02/2020,JEEP,LL,,BLU,Y703404,IL,701 N. Sacramento,(773) 265-7605,6986994
04/08/2020,GMC,PK,,GRN,,IL,701 N. Sacramento,(773) 265-1846,1540120
02/21/2020,LEXS,4D,,TAN,BF41028,IL,10300 S. Doty,(773) 568-8495,2897316
03/11/2020,JEEP,4D,,BLK,BW27222,IL,701 N. Sacramento,(773) 265-7605,6985521
04/21/2020,CHEV,4D,,GRY,P649398,IL,10300 S. Doty,(773) 568-8495,2899886
05/02/2020,PONT,4D,,ONG,BZ95343,IL,701 N. Sacramento,(773) 265-7605,6986995
03/05/2020,CHEV,LL,,GRN,Q156407,IL,701 N. Sacramento,(773) 265-7605,6984864
05/07/2020,FORD,4D,,SIL,BV58323,IL,10300 S. Doty,(773) 785-9752,1720140
04/15/2020,LINC,4D,,GRY,K536239,IL,701 N. Sacramento,(773) 265-1846,1540133
02/14/2020,VOLK,LL,,BLK,E891499,IL,400 E. Lower Wacker,(312) 744-7550,0220427
04/28/2020,CADI,4T,,SIL,AY20665,IL,10300 S. Doty,(773) 568-8495,2899992
05/02/2020,PONT,4D,,SIL,Q462719,IL,10300 S. Doty,(773) 568-8495,2900078
03/05/2020,CADI,LL,,GRY,Z485977,IL,701 N. Sacramento,(773) 265-7605,6984863
02/17/2020,CHRY,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2897083
03/01/2020,NISS,4D,,SIL,254570,IL,701 N. Sacramento,(773) 265-7605,6984492
03/17/2020,MITS,LL,,BLU,00242210,IL,10300 S. Doty,(773) 568-8495,2899302
03/20/2020,BUIC,4D,,GRY,730U288,IL,10300 S. Doty,(773) 568-8495,2899381
03/20/2020,DODG,VN,,WHI,BA57676,IL,701 N. Sacramento,(773) 265-1846,1540080
03/20/2020,ACUR,4D,,BLK,,IL,701 N. Sacramento,(773) 265-1846,1540079
05/02/2020,HOND,MC,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6986999
03/15/2020,HOND,2D,,BLK,ZY57253,IL,701 N. Sacramento,(773) 265-7605,6985958
04/15/2020,NISS,LL,,BLK,AP19976,IL,701 N. Sacramento,(773) 265-1846,1540134
02/13/2020,FORD,LL,,BLK,Y749897,IL,10300 S. Doty,(773) 785-9752,1719976
03/20/2020,GMC,LL,,BLK,BU53122,IL,10300 S. Doty,(773) 568-8495,2899382
03/13/2020,CHEV,4D,,BLK,BA33501,IL,400 E. Lower Wacker,(312) 744-7550,0221973
02/21/2020,DODG,4D,,GRY,BW54798,IL,10300 S. Doty,(773) 568-8495,2897317
03/27/2020,DODG,4D,,GRY,104V244,IL,701 N. Sacramento,(773) 265-7605,6986304
04/01/2020,TOYT,4D,,BLK,BR93220,IL,701 N. Sacramento,(773) 265-1846,1540103
03/17/2020,BMW,4D,,SIL,LE0T6U,MO,701 N. Sacramento,(773) 265-7605,6986088
03/04/2020,VOLV,4D,,WHI,AX72819,IL,701 N. Sacramento,(773) 265-7605,6984682
04/08/2020,PONT,4D,,BLK,AEJ3569,WI,701 N. Sacramento,(773) 265-7605,6986493
05/02/2020,KAWK,MC,,RED,,IL,701 N. Sacramento,(773) 265-7605,6986997
04/15/2020,LINC,LL,,WHI,BA41937,IL,10300 S. Doty,(773) 785-9752,1720099
04/28/2020,BUIC,4D,,BLU,LCJE89,FL,10300 S. Doty,(773) 568-8495,2899993
05/07/2020,JEEP,LL,,GRY,828XZG,WI,701 N. Sacramento,(773) 265-7605,6987124
05/07/2020,FIAT,2D,,GRY,S796065,IL,701 N. Sacramento,(773) 265-7605,6987125
03/04/2020,VOLK,2D,,WHI,DWU8490,MI,400 E. Lower Wacker,(312) 744-7550,0221448
03/05/2020,CHEV,4D,,WHI,AP83744,IL,701 N. Sacramento,(773) 265-7605,6984861
03/05/2020,CHEV,4D,,SIL,AJ43562,IL,701 N. Sacramento,(773) 265-1846,1540008
03/05/2020,HOND,VN,,DBL,,IL,10300 S. Doty,(773) 568-8495,2898324
03/05/2020,FORD,VN,,WHI,,IL,701 N. Sacramento,(773) 265-7605,6984871
03/05/2020,CHEV,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6984872
03/05/2020,CHEV,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6984870
02/26/2020,NISS,4D,,MAR,BG95905,IL,10300 S. Doty,(773) 568-8495,2897663
02/26/2020,KIA,LL,,BLK,2372981,IL,10300 S. Doty,(773) 785-9752,1719996
02/26/2020,DODG,4D,,BLK,BP45040,IL,701 N. Sacramento,(773) 265-7605,6984095
02/26/2020,CHEV,4D,,MAR,,IL,10300 S. Doty,(773) 568-8495,2897666
02/26/2020,CADI,LL,,BGE,BF29286,IL,10300 S. Doty,(773) 568-8495,2897669
02/26/2020,MERZ,2D,,SIL,00242160,IL,10300 S. Doty,(773) 568-8495,486620
04/01/2020,CHRY,4D,,GRN,MSJES62,IL,701 N. Sacramento,(773) 265-1846,1540104
02/21/2020,BUIC,4D,,GLD,W-132456,IL,701 N. Sacramento,(773) 265-7605,6983483
04/08/2020,SATR,4D,,GLD,639915B6,TX,10300 S. Doty,(773) 568-8495,2899699
03/27/2020,HOND,4D,,BLK,,IL,10300 S. Doty,(773) 785-9752,1720059
02/22/2020,DODG,VN,,RED,2413665,IL,10300 S. Doty,(773) 568-8495,2897323
03/26/2020,CHEV,4D,,BLU,,IL,701 N. Sacramento,(773) 265-1846,1540098
03/11/2020,GMC,LL,,BLK,BB90699,IL,701 N. Sacramento,(773) 265-7605,6985523
03/25/2020,INTL,LL,,YEL,822875B,IL,10300 S. Doty,(773) 568-8495,2899467
03/02/2020,SATR,4D,,WHI,BF29743,IL,10300 S. Doty,(773) 568-8495,2898144
04/15/2020,TOYT,4D,,BLU,BM13603,IL,701 N. Sacramento,(773) 265-7605,6986614
04/08/2020,CHRY,LL,,RED,E674144,IL,10300 S. Doty,(773) 568-8495,2899700
02/22/2020,FORD,4D,,WHI,BM14160,IL,701 N. Sacramento,(773) 265-7605,6983567
02/20/2020,DODG,PK,,BLK,,,701 N. Sacramento,(773) 265-7605,6983419
03/20/2020,SUBA,4D,,BLU,AN56240,IL,10300 S. Doty,(773) 568-8495,2899383
02/27/2020,CHRY,4D,,BLK,725511,IL,701 N. Sacramento,(773) 265-7605,6984152
02/22/2020,OLDS,4D,,GRN,AG70055,IL,10300 S. Doty,(773) 568-8495,2897322
03/27/2020,NISS,4D,,GRN,ZZ43993,IL,701 N. Sacramento,(773) 265-1846,1540099
05/07/2020,LANR,LL,,BLK,BX46856,IL,10300 S. Doty,(773) 568-8495,2900193
05/03/2020,NISS,LL,,GRY,R003594,KS,701 N. Sacramento,(773) 265-7605,6987001
04/08/2020,CADI,LL,,SIL,FL698AAC,IN,10300 S. Doty,(773) 568-8495,2899702
03/05/2020,ACUR,2D,,RED,BM21263,IL,701 N. Sacramento,(773) 265-7605,6984866
02/27/2020,JEEP,LL,,BLK,BN51386,IL,10300 S. Doty,(773) 568-8495,2897742
02/11/2020,CHEV,4D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,6982545
03/13/2020,TOYT,4D,,SIL,Q727854,IL,701 N. Sacramento,(773) 265-1846,1540051
04/28/2020,SATR,LL,,WHI,BM23649,IL,701 N. Sacramento,(773) 265-1846,1540157
04/22/2020,NISS,LL,TK,BLK,BW18443,IL,701 N. Sacramento,(773) 265-7605,6986759
03/15/2020,CHEV,4D,,SIL,BW14130,IL,10300 S. Doty,(773) 568-8495,2899184
03/11/2020,CHEV,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2898773
02/22/2020,OLDS,2D,,BLU,AN40950,IL,10300 S. Doty,(773) 568-8495,2897321
02/22/2020,DODG,2D,,BLK,K998926,IN,701 N. Sacramento,(773) 265-7605,6983564
02/22/2020,FORD,VN,,BLK,AB24294,IL,701 N. Sacramento,(773) 265-7605,6983566
03/20/2020,VOLK,4D,,RED,BG35383,IL,701 N. Sacramento,(773) 265-7605,6986198
04/22/2020,HOND,4D,,GRN,BL87400,IL,10300 S. Doty,(773) 568-8495,2899889
03/27/2020,CHEV,4D,,MAR,E940088,IL,701 N. Sacramento,(773) 265-7605,6986309
05/07/2020,CHRY,4D,,BLK,BB90355,IL,10300 S. Doty,(773) 568-8495,2900192
04/15/2020,NISS,4D,,GRY,AZ20392,IL,701 N. Sacramento,(773) 265-7605,6986616
03/05/2020,HOND,4D,,GRY,E543621,IL,10300 S. Doty,(773) 568-8495,2898325
05/07/2020,CHEV,4D,,SIL,BF14710,IL,701 N. Sacramento,(773) 265-7605,6987129
04/01/2020,FORD,4D,,GRY,,IL,10300 S. Doty,(773) 785-9752,1720067
04/01/2020,SUBA,2D,,BLU,BN46311,IL,701 N. Sacramento,(773) 265-7605,6986389
04/22/2020,GMC,LL,,WHI,,,701 N. Sacramento,(773) 265-7605,6986761
04/24/2020,TOYT,4D,,GRY,,,10300 S. Doty,(773) 568-8495,2899926
03/20/2020,DODG,LL,TK,BLK,837U240,IL,701 N. Sacramento,(773) 265-7605,6986199
