the_geom,OBJECTID,Direction,Location,InstallDate,Function,MonitoredSchool,SZSpeedLimit,SZTriggerSpeed,RegSpeedLimit,TriggerSpeed,Latitude,Longitude,SZEnforcement,Site_ID,RLCEnforcement,SpeedEnforcement,SZ_ID,Operational
POINT (-90.086031615154 29.931020408606),13,EB,St Charles Ave @ Washington Ave,06/27/2008 12:00:00 AM +0000,RLC,,,,35,45,29.931014999999999,-90.086026000000004,,NO15,x,x,,Y
POINT (-90.075662612618 29.939125410645),10,NB,St Charles Ave @ Martin Luther King Jr Blvd,06/27/2008 12:00:00 AM +0000,RLC,,,,35,45,29.939119999999999,-90.075657000000007,,NO10,x,x,,Y
POINT (-90.09054362066 30.022052428183),92,SB,78 Spanish Fort Blvd,,TFS,St Pius X School,20,26,25,35,30.022047000000001,-90.090537999999995,x,NO152 / A_B,,x,A,Y
POINT (-90.050279608865 30.001665425184),32,SB,Franklin Ave @ Wisteria St (2),10/16/2009 12:00:00 AM +0000,FS,,20,26,35,45,30.001660000000001,-90.050274000000002,,NO42,,x,NO56,P
POINT (-90.121402626016 29.944337409952),107,SB,1430 Broadway St,08/17/2017 12:00:00 AM +0000,TFS,Lusher Elementary School,20,26,35,45,29.944331999999999,-90.121397000000002,x,NO171 / A_B,,x,A,Y
POINT (-90.07902761552 29.968215417174),109,WB,2324 Orleans Ave,07/06/2017 12:00:00 AM +0000,TFS,Wheatley Elementary School,20,26,35,45,29.968209999999999,-90.079021999999995,x,NO173 / A_B,,x,A,Y
POINT (-90.0681556114 29.948936413479),16,WB,Poydras St @ Magazine St,06/27/2008 12:00:00 AM +0000,RLC,,,,35,45,29.948931000000002,-90.068150000000003,,NO18,x,x,,Y
POINT (-89.968563587281 30.022890432383),30,SB,Jackson Ave @ Coliseum St (2),10/16/2009 12:00:00 AM +0000,TFS,Need School,20,26,25,35,30.022884999999999,-89.968558000000002,x,NO38,,x,NO54,Y
POINT (-90.089847616787 29.947142412083),73,EB,3132 Martin Luther King Jr Blvd,08/15/2017 12:00:00 AM +0000,TFS,Sylvanie Williams College Prep,20,26,35,45,29.947137000000001,-90.089842000000004,x,NO127 / A_B,,x,A,Y
POINT (-90.111142624035 29.981881418401),41,SW,B City Park Ave @ Canal St,06/04/2010 12:00:00 AM +0000,RLC,,,,35,45,29.981876,-90.111136999999999,,NO65,x,x,,N
