Camera ID,Location Name,Camera Status,Turn on Date,Camera Manufacturer,ATD Location ID,Landmark,Signal Engineer Area,Council District,Jurisdiction,Location Type,Primary St Segment ID,Cross St Segment ID,Primary Street Block,Primary Street,PRIMARY_ST_AKA,Cross Street Block,Cross Street,CROSS_ST_AKA,COA Intersection ID,Modified Date,Location,IP Comm Status,IP Comm Status Date and Time,Longitude,Latitude,Published Screenshots,Screenshot Address,Funding,ID
79, RED RIVER ST / CLYDE LITTLEFIELD DR,TURNED_ON,08/03/2017,Spectra Enhanced,LOC16-000350,,CENTRAL,1,AUSTIN FULL PURPOSE,ROADWAY,,,2000, RED RIVER ST,,700, CLYDE LITTLEFIELD DR,,5159062,05/01/2020 08:45:00 AM +0000,"(30.2832279, -97.7279663)",OFFLINE,05/01/2020 08:35:00 AM +0000,-97.7279663,30.2832279,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV79.jpg,None Identified,582a41a05e304c982be5c550
211,IH 35 SVRD / ANDERSON LN SVRD,TURNED_ON,10/06/2017,Sarix,LOC16-003070,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,7634,IH 35 SVRD,,700, ANDERSON LN SVRD,,5161809,05/08/2020 08:41:00 AM +0000,"(30.3395042, -97.7006454)",OFFLINE,05/08/2020 08:30:00 AM +0000,-97.7006454,30.3395042,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV211.jpg,None Identified,582a419d5e304c982be5c448
391, 45TH ST / BULL CREEK RD,TURNED_ON,06/18/2018,Advidia,LOC16-002840,,CENTRAL,"10,7",AUSTIN FULL PURPOSE,ROADWAY,,,2800, 45TH ST,,4400, BULL CREEK RD,,5155231,05/08/2020 08:41:00 AM +0000,"(30.3205681, -97.753479)",OFFLINE,05/08/2020 08:30:00 AM +0000,-97.753479,30.3205681,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV391.jpg,1/4 Cent,591a10a120eacf2d16669bbe
295, CONGRESS AVE / WILLIAM CANNON DR,TURNED_ON,03/01/2017,Spectra Enhanced,LOC16-002015,,SOUTHWEST,2,AUSTIN FULL PURPOSE,ROADWAY,,,6400, CONGRESS AVE,,100, WILLIAM CANNON DR,,5152526,04/06/2020 08:45:00 AM +0000,"(30.1930141, -97.7788773)",ONLINE,04/06/2020 08:35:00 AM +0000,-97.7788773,30.1930141,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV295.jpg,,5915fb4632901a3ba85917d5
224, MC NEIL RD / HOWARD LN,TURNED_ON,,Sarix,LOC16-003290,,NORTHWEST,6,AUSTIN LTD,ROADWAY,,,13600, MC NEIL RD,,5001, HOWARD LN,,5158796,04/06/2020 06:35:00 PM +0000,"(30.4490528, -97.7255859)",OFFLINE,04/05/2020 08:35:00 AM +0000,-97.7255859,30.4490528,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV224.jpg,None Identified,582a419d5e304c982be5c42e
395, 45TH ST / DUVAL ST,TURNED_ON,02/13/2018,Advidia,LOC16-000295,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,400, 45TH ST,,4500, DUVAL ST,,5159359,02/29/2020 09:45:00 AM +0000,"(30.3069954, -97.7245865)",ONLINE,02/29/2020 09:35:00 AM +0000,-97.7245865,30.3069954,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV395.jpg,1/4 Cent,591a10a120eacf2d16669bc6
450, AIRPORT BLVD / KOENIG LN SVRD,TURNED_ON,07/18/2019,Advidia,LOC16-000855,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,5701, AIRPORT BLVD,,733, KOENIG LN SVRD,,5160656,02/29/2020 09:45:00 AM +0000,"(30.31991, -97.7125473)",ONLINE,02/29/2020 09:35:00 AM +0000,-97.7125473,30.31991,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV450.jpg,2016 Bond,591a10a320eacf2d16669c34
451, AIRPORT BLVD / 53RD HALF ST,TURNED_ON,07/11/2019,Advidia,LOC16-000850,,NORTHEAST,"4,9",AUSTIN FULL PURPOSE,ROADWAY,,,5300, AIRPORT BLVD,,800, 53RD HALF ST,,5160439,02/29/2020 09:45:00 AM +0000,"(30.3150253, -97.7146301)",ONLINE,02/29/2020 09:35:00 AM +0000,-97.7146301,30.3150253,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV451.jpg,None Identified,591a10a320eacf2d16669c36
618, AIRPORT BLVD / HIGHLAND MALL BLVD,TURNED_ON,07/10/2019,Advidia,LOC16-000075,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,6416, AIRPORT BLVD,,116, HIGHLAND MALL BLVD,,5160255,02/29/2020 09:45:00 AM +0000,"(30.3288574, -97.7158356)",ONLINE,02/29/2020 09:35:00 AM +0000,-97.7158356,30.3288574,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV618.jpg,None Identified,5d264ce33925cc0010706e40
118, SLAUGHTER LN / 1ST ST,TURNED_ON,,Sarix,LOC16-001010,,SOUTHWEST,"5,2",AUSTIN FULL PURPOSE,ROADWAY,,,600, SLAUGHTER LN,,8901, 1ST ST,,5150579,04/10/2020 08:45:00 AM +0000,"(30.1724548, -97.7995529)",OFFLINE,04/10/2020 08:35:00 AM +0000,-97.7995529,30.1724548,, http://atdatmsweb2.austintexas.gov/CCTVImages/CCTV118.jpg,None Identified,582a419f5e304c982be5c502
