atd_retiming_id,system_id,system_name,scheduled_fy,retime_status,status_date,total_vol,vol_wavg_tt_pct_change,vol_wavg_tt_seconds,signal_count,engineer_note
1,5,YAGER,2017,COMPLETED,10/20/2016 05:00:00 AM +0000,910,0.3287473259,299.1600665515,4,
2,18,SOUTH 1ST - SOUTH,2017,COMPLETED,10/20/2016 05:00:00 AM +0000,1278,0.0213922645,27.3393140884,8,
3,24,PLEASANT VALLEY,2017,COMPLETED,10/20/2016 05:00:00 AM +0000,1109,0.0295017249,32.717412916,11,
4,28,LOYOLA,2017,COMPLETED,10/20/2016 05:00:00 AM +0000,982,0.0775464369,76.1506010838,4,
5,32,KOENIG/NORTHLAND,2017,COMPLETED,10/20/2016 05:00:00 AM +0000,1434,0,0,21,
6,46,ANDERSON MILL,2017,COMPLETED,10/20/2016 05:00:00 AM +0000,1572,0.0930801724,146.3220310281,10,
7,20,SLAUGHTER,2017,COMPLETED,10/20/2016 05:00:00 AM +0000,1881,0.1771580453,333.2342832776,31,
8,25,MONTOPOLIS,2017,COMPLETED,10/20/2016 05:00:00 AM +0000,745,0.1393498388,103.8156298896,9,
9,26,MCNEIL/SPICEWOOD SPGS,2017,COMPLETED,10/20/2016 05:00:00 AM +0000,1528,0,0,19,
10,13,STECK,2017,COMPLETED,10/20/2016 05:00:00 AM +0000,818,0,0,6,
11,30,LAKELINE MALL,2017,COMPLETED,10/20/2016 05:00:00 AM +0000,556,0,0,4,
12,31,LAKELINE,2017,COMPLETED,10/20/2016 05:00:00 AM +0000,2085,0.1190108955,248.1377171216,6,
13,39,CONGRESS - SOUTH,2017,COMPLETED,10/20/2016 05:00:00 AM +0000,1532,0.0545649743,83.5935406746,24,
14,29,LAMAR - SOUTH,2017,COMPLETED,10/20/2016 05:00:00 AM +0000,2018,0.0497571412,100.4099109268,26,
16,27,MENCHACA,2017,COMPLETED,10/20/2016 05:00:00 AM +0000,1537,0.0386520816,59.4082494753,15,
17,33,JOLLYVILLE,2017,COMPLETED,10/20/2016 05:00:00 AM +0000,1189,0.0761216251,90.5086122956,5,
18,36,GREAT HILLS,2017,COMPLETED,10/20/2016 05:00:00 AM +0000,1161,0,0,6,
19,37,ENFIELD,2017,COMPLETED,10/20/2016 05:00:00 AM +0000,979,0.2099081272,205.5000565431,9,
20,44,BEN WHITE - EAST,2017,COMPLETED,10/20/2016 05:00:00 AM +0000,1889,-0.009059823,-17.1140056199,14,
21,7,WILLIAM CANNON,2016,COMPLETED,09/26/2016 05:00:00 AM +0000,1563,0.0706995954,110.5034676669,30,
22,8,WELLS BRANCH,2016,COMPLETED,09/26/2016 05:00:00 AM +0000,1705,0.0434839699,74.1401687001,13,
23,9,US 290 - WEST,2016,COMPLETED,09/26/2016 05:00:00 AM +0000,3388,0.2690619238,911.5817977278,9,
24,12,US 183 - NORTH,2016,COMPLETED,09/26/2016 05:00:00 AM +0000,2352,0.1778807322,418.375482247,15,
25,15,STASSNEY - EAST,2016,COMPLETED,09/26/2016 05:00:00 AM +0000,742,0.0422376334,31.3403240144,7,
26,19,SOUTH 1ST - NORTH,2016,COMPLETED,09/26/2016 05:00:00 AM +0000,1148,-0.0235089091,-26.9882276613,14,
27,23,RED RIVER - NORTH,2016,COMPLETED,09/26/2016 05:00:00 AM +0000,683,-0.0803253368,-54.862205007,6,"The 38th, Red River, Dean Keeton, and IH 35 Service Road corridors were timed as a group, for an average travel time reduction of 9.1% across all four corridors."
28,34,IH 35 SRVC RDS,2016,COMPLETED,09/26/2016 05:00:00 AM +0000,1021,-0.0342650354,-34.9846011151,16,"The 38th, Red River, Dean Keeton, and IH 35 Service Road corridors were timed as a group, for an average travel time reduction of 9.1% across all four corridors."
