Record ID,Signal ID,Location Name,Operation State Previous,Operation State Datetime,Processed Datetime,Operation State,Plan ID,Primary St,Cross St,latitude,longitude,location,location_latitude,location_longitude
130_1588699565,130,BARTON SPRINGS RD / AZIE MORTON RD,,05/05/2020 05:23:17 PM +0000,05/05/2020 05:26:05 PM +0000,3,0,BARTON SPRINGS RD,AZIE MORTON RD,,,"(30.2647686, -97.7649841)",30.2647686,-97.7649841
745_1588699565,745,STASSNEY LN / DOVE SPRINGS DR,,05/05/2020 05:23:17 PM +0000,05/05/2020 05:26:05 PM +0000,3,0,STASSNEY LN,DOVE SPRINGS DR,,,"(30.1939392, -97.7567978)",30.1939392,-97.7567978
344_1588699685,344,PLEASANT VALLEY RD / STASSNEY LN,,05/05/2020 05:23:47 PM +0000,05/05/2020 05:28:05 PM +0000,3,0,PLEASANT VALLEY RD,STASSNEY LN,,,"(30.193985, -97.7446823)",30.193985,-97.7446823
1006_1588699685,1006,51ST ST / MUELLER BLVD,,05/05/2020 05:24:02 PM +0000,05/05/2020 05:28:05 PM +0000,3,0,51ST ST,MUELLER BLVD,,,"(30.3057785, -97.7028351)",30.3057785,-97.7028351
808_1588712408,808,BRAKER LN / RESEARCH BLVD SVRD,,05/05/2020 08:47:18 PM +0000,05/05/2020 09:00:08 PM +0000,3,0,BRAKER LN,RESEARCH BLVD SVRD,,,"(30.4005356, -97.7462845)",30.4005356,-97.7462845
738_1588699928,738,STASSNEY LN / PALO BLANCO LN,,05/05/2020 05:24:47 PM +0000,05/05/2020 05:32:08 PM +0000,3,0,STASSNEY LN,PALO BLANCO LN,,,"(30.1936913, -97.7497253)",30.1936913,-97.7497253
677_1588700046,677,MC NEIL DR / PARMER LN,,05/05/2020 05:25:47 PM +0000,05/05/2020 05:34:06 PM +0000,3,0,MC NEIL DR,PARMER LN,,,"(30.4438496, -97.7423935)",30.4438496,-97.7423935
585_1588700046,585,BARBARA JORDAN BLVD / LANCASTER DR,,05/05/2020 05:26:17 PM +0000,05/05/2020 05:34:06 PM +0000,3,0,BARBARA JORDAN BLVD,LANCASTER DR,,,"(30.3059559, -97.707489)",30.3059559,-97.707489
421_1588700046,421,ESCARPMENT BLVD / WILLIAM CANNON DR,,05/05/2020 05:25:32 PM +0000,05/05/2020 05:34:06 PM +0000,3,0,ESCARPMENT BLVD,WILLIAM CANNON DR,,,"(30.2299938, -97.8645477)",30.2299938,-97.8645477
658_1588700168,658,51ST ST / CAMERON RD,,05/05/2020 05:26:47 PM +0000,05/05/2020 05:36:08 PM +0000,3,0,51ST ST,CAMERON RD,,,"(30.3091068, -97.7097549)",30.3091068,-97.7097549
779_1588700766,779,MC KINNEY FALLS PKWY / WILLIAM CANNON DR,,05/05/2020 05:31:33 PM +0000,05/05/2020 05:46:06 PM +0000,3,0,MC KINNEY FALLS PKWY,WILLIAM CANNON DR,,,"(30.1632175, -97.7258301)",30.1632175,-97.7258301
42_1589047445,42,GUADALUPE ST / 26TH ST,,05/09/2020 06:02:33 PM +0000,05/09/2020 06:04:05 PM +0000,3,7,GUADALUPE ST,26TH ST,,,"(30.2904701, -97.7412796)",30.2904701,-97.7412796
43_1589047445,43,GUADALUPE ST / 27TH ST,,05/09/2020 06:02:33 PM +0000,05/09/2020 06:04:05 PM +0000,3,8,GUADALUPE ST,27TH ST,,,"(30.2919846, -97.7411499)",30.2919846,-97.7411499
39_1589047445,39,GUADALUPE ST / WEST MALL UT  (UT CROSSWALK),,05/09/2020 06:02:33 PM +0000,05/09/2020 06:04:05 PM +0000,3,8,GUADALUPE ST,WEST MALL UT,,,"(30.2858925, -97.7417374)",30.2858925,-97.7417374
40_1589047445,40,GUADALUPE ST / 24TH ST,,05/09/2020 06:02:33 PM +0000,05/09/2020 06:04:05 PM +0000,3,8,GUADALUPE ST,24TH ST,,,"(30.2877197, -97.7415466)",30.2877197,-97.7415466
545_1588699805,545,BEN WHITE BLVD SVRD / BANISTER LN,,05/05/2020 05:24:32 PM +0000,05/05/2020 05:30:05 PM +0000,3,0,BEN WHITE BLVD SVRD,BANISTER LN,,,"(30.2281132, -97.7791214)",30.2281132,-97.7791214
805_1588699805,805,MC NEIL DR / TECHNOLOGY BLVD,,05/05/2020 05:24:17 PM +0000,05/05/2020 05:30:05 PM +0000,3,0,MC NEIL DR,TECHNOLOGY BLVD,,,"(30.4381447, -97.7581558)",30.4381447,-97.7581558
880_1588699805,880,FREIDRICH LN / ST ELMO RD,,05/05/2020 05:24:17 PM +0000,05/05/2020 05:30:05 PM +0000,3,0,FREIDRICH LN,ST ELMO RD,,,"(30.2109585, -97.7490005)",30.2109585,-97.7490005
560_1588699805,560,51ST ST / LANCASTER CT,,05/05/2020 05:24:17 PM +0000,05/05/2020 05:30:05 PM +0000,3,0,51ST ST,LANCASTER CT,,,"(30.3075066, -97.7064896)",30.3075066,-97.7064896
678_1588699445,678,51ST ST / BERKMAN DR,,05/05/2020 05:23:02 PM +0000,05/05/2020 05:24:05 PM +0000,3,0,51ST ST,BERKMAN DR,,,"(30.3039074, -97.6988754)",30.3039074,-97.6988754
204_1588699928,204,SLAUGHTER LN / 1ST ST,,05/05/2020 05:25:32 PM +0000,05/05/2020 05:32:08 PM +0000,3,0,SLAUGHTER LN,1ST ST,,,"(30.1724548, -97.7995529)",30.1724548,-97.7995529
735_1588699445,735,NUCKOLS CROSSING RD / PALO BLANCO LN,,05/05/2020 05:23:02 PM +0000,05/05/2020 05:24:05 PM +0000,3,0,NUCKOLS CROSSING RD,PALO BLANCO LN,,,"(30.1895466, -97.7412109)",30.1895466,-97.7412109
521_1588699928,521,STASSNEY LN / NUCKOLS CROSSING RD,,05/05/2020 05:25:17 PM +0000,05/05/2020 05:32:08 PM +0000,3,0,STASSNEY LN,NUCKOLS CROSSING RD,,,"(30.1932106, -97.738884)",30.1932106,-97.738884
484_1589139725,484,METRIC BLVD / GRACY FARMS LN,,05/10/2020 07:42:03 PM +0000,05/10/2020 07:42:05 PM +0000,3,0,METRIC BLVD,GRACY FARMS LN,,,"(30.3982811, -97.7044373)",30.3982811,-97.7044373
