Signal ID,Location Name,Signal Type,Signal Status,ATD Location ID,COA Intersection ID,Control,Council District(s),Primary St,Cross St,Cross St Segment ID,Landmark,Primary Signal,Secondary Signal(s),Jurisdiction Label,Primary St Segment ID,Signal Eng. Area,Traffic Engineer Area,Turn On Date,Location,Cross St Block,Primary St Block,Signal PM Max Fiscal Year,Pedestrian Signal Type,Pedestrian Button Type,Leading Pedestrian Interval,Date Leading Pedestrian Interval Installed,North/South Pedestrian Interval,East/West Pedestrian Interval,Leading Pedestrian Interval Comment,Bicycle Signal,Bus Stops,Source DB ID,IP Communication status,Comm Status Datetime,Owner,Detection status,Detection Status Date,Construction Note,Construction Note Date,Latitude,Longitude,Modified Date
738, STASSNEY LN / PALO BLANCO LN,TRAFFIC,TURNED_ON,LOC16-003640,5156211,PRIMARY,2, STASSNEY LN, PALO BLANCO LN,2023396,,,,AUSTIN FULL PURPOSE,2023395,SOUTHEAST,,11/15/2002,"(30.1936913, -97.7497253)",5513,2500,2019,WALK/DONT WALK,,False,,,,,False,"2499, 1224, 4335, 1223, 1208, 4333",5817c0a1e052e0422be6c9ba,OFFLINE,04/24/2020 08:25:00 AM +0000,COA,BROKEN,02/10/2019 06:00:00 AM +0000,,,30.1936913,-97.7497253,04/27/2020 10:05:00 PM +0000
291, 7TH ST / LAVACA ST,TRAFFIC,TURNED_ON,LOC16-001420,5156652,PRIMARY,9, 7TH ST, LAVACA ST,2018614,,,,AUSTIN FULL PURPOSE,2018615,CENTRAL,,01/01/1900,"(30.2696552, -97.7448425)",700,300,2018,COUNTDOWN,,True,12/19/2019 06:00:00 AM,4p,2p,"2p , 4p",False,,5817c085e052e0422be6c62e,ONLINE,01/01/2020 09:25:00 AM +0000,COA,NO DETECTION,,,,30.2696552,-97.7448425,02/26/2020 02:49:00 PM +0000
741, PARMER LN / MC CALLEN PASS,TRAFFIC,TURNED_ON,LOC16-003655,5165394,PRIMARY,7, PARMER LN, MC CALLEN PASS,2036888,,,,AUSTIN FULL PURPOSE,2006483,NORTHEAST,,06/11/2000,"(30.4052601, -97.6639328)",13013,101,2019,COUNTDOWN,,False,,,,,False,4672,5817c0a2e052e0422be6c9c2,ONLINE,03/24/2020 08:25:00 AM +0000,COA,OK,01/30/2020 06:00:00 AM +0000,,,30.4052601,-97.6639328,04/27/2020 10:05:00 PM +0000
23, GUADALUPE ST / MARTIN LUTHER KING JR BLVD,TRAFFIC,TURNED_ON,LOC16-000110,5157068,PRIMARY,9, GUADALUPE ST, MARTIN LUTHER KING JR BLVD,2017777,,,,AUSTIN FULL PURPOSE,2017776,CENTRAL,,01/01/1900,"(30.2817326, -97.7419281)",401,1900,2020,COUNTDOWN,APS,False,,,,,False,,5817c07ae052e0422be6c422,ONLINE,12/03/2019 09:25:00 AM +0000,COA,NO DETECTION,,,,30.2817326,-97.7419281,04/27/2020 08:37:00 PM +0000
795, BRODIE LN / HOME DEPOT BLVD,TRAFFIC,TURNED_ON,LOC16-003910,5148542,PRIMARY,, BRODIE LN, HOME DEPOT BLVD,2037432,,,,SUNSET VALLEY FULL PURPOSE,2046304,SOUTHWEST,,06/13/2002,"(30.2258797, -97.8227463)",1001,5701,2019,WALK/DONT WALK,Push-Button,False,,,,,False,,5817c0abe052e0422be6ca3e,ONLINE,11/07/2018 09:25:00 AM +0000,Sunset Valley,OK,06/23/2017 05:00:00 AM +0000,,,30.2258797,-97.8227463,04/27/2020 09:21:00 PM +0000
804, BALCONES WOODS DR / RESEARCH BLVD SVRD,TRAFFIC,TURNED_ON,LOC16-003955,5155956,PRIMARY,"10,6", BALCONES WOODS DR, RESEARCH BLVD SVRD,2042666,,,803:  BALCONES WOODS DR / RESEARCH BLVD SVRD,AUSTIN FULL PURPOSE,2006450,NORTHWEST,,04/07/1977,"(30.407938, -97.7455521)",11200,5013,2019,WALK/DONT WALK,,False,,,,,False,,5817c0ace052e0422be6ca52,ONLINE,05/09/2019 08:25:00 AM +0000,TxDOT,OK,07/16/2019 05:00:00 AM +0000,,,30.407938,-97.7455521,04/27/2020 09:20:00 PM +0000
4003,2400 BLK RUTLAND DR,PHB,TURNED_ON,LOC16-005005,,PRIMARY,7, RUTLAND DR,  ,,,,,AUSTIN FULL PURPOSE,2010078,NORTHWEST,,03/15/2010,"(30.3827038, -97.7218704)",,2400,2018,COUNTDOWN,APS,False,,,,,False,"5687, 5688",5817c0e1e052e0422be6cc92,OFFLINE,12/21/2019 09:25:00 AM +0000,COA,NO DETECTION,,,,30.3827038,-97.7218704,03/17/2020 02:56:00 PM +0000
675, ANDERSON MILL RD / PARMER LN,TRAFFIC,TURNED_ON,LOC16-003335,5154630,PRIMARY,6, ANDERSON MILL RD, PARMER LN,2006692,,,,AUSTIN 2 MILE ETJ,2036005,NORTHWEST,,02/12/2019,"(30.4605808, -97.7545547)",7700,8001,2019,WALK/DONT WALK,,False,,,,,False,,5817c099e052e0422be6c92f,ONLINE,12/03/2019 09:25:00 AM +0000,Williamson County/TXDOT,OK,04/30/2020 05:00:00 AM +0000,,,30.4605808,-97.7545547,05/01/2020 02:48:00 PM +0000
19, METRIC BLVD / SCOFIELD LN,TRAFFIC,TURNED_ON,LOC16-000090,5162936,PRIMARY,7, METRIC BLVD, SCOFIELD LN,2006204,,,,AUSTIN FULL PURPOSE,3270535,NORTHWEST,,06/24/2004,"(30.4151459, -97.6883698)",1701,12554,2018,COUNTDOWN,APS,False,,,,,False,,5817c079e052e0422be6c41a,OFFLINE,03/03/2020 09:25:00 AM +0000,COA,OK,11/28/2018 06:00:00 AM +0000,,,30.4151459,-97.6883698,03/05/2020 07:54:00 PM +0000
4027,400 BLK S CONGRESS AVE (Music Lane),PHB,REMOVED_PERMANENTLY,LOC17-007420,,PRIMARY,9, CONGRESS AVE,  ,,Music Lane,,,AUSTIN FULL PURPOSE,2042946,SOUTHWEST,,04/28/2012,"(30.253627, -97.748178)",,400,2018,COUNTDOWN,APS,False,,,,,False,,5817c0e5e052e0422be6ccd4,ONLINE,08/14/2018 08:25:00 AM +0000,COA,NO DETECTION,,,,30.253627,-97.748178,02/26/2020 06:18:00 PM +0000
