Major PIN,Contract Number,Region,Project Title,Project Description,Status,In/Future Development Start Date,Bid Opening Date,Construction Start Date,Construction End Date,Construction Amount,Federal Funding,State Funding,Local Funding,Type of Work,Public Friendly Description,Contract Award Date,Contract Award Amount,Approved Cost Changes,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
000616,D263845,10 LONG ISLAND,OP SHARED USE PATH TOBAY TO CAPTREE,"Construction of 3rd phase of 14 mile shared-use path along the north side of Ocean Parkway. Phase 3 extends between TOBAY and Captree State Park Towns of Oyster Bay, Islip and Babylon, Nassau and Suffolk Counties",Under Construction,,04/17/2019,,,,Yes,Yes,No,This project involves the building or maintenance of bicycle facilities.,"Project proposes to construct the 3rd phase of 14 mile shared-use path along the north side of Ocean Parkway. Phase 3 extends between Tobay Beach and Captree State Park in the Towns of Oyster Bay, Islip and Babylon, Nassau and Suffolk Counties.  ",07/12/2019,16193713,354625,16548338,12/28/2020,GREEN,GREEN
001143,D263477,10 LONG ISLAND,NY231 SAFETY IMPVTS @ NSP INTCHNG,"NY231 Safety Improvements at NSP Interchange - add a new SB to EB loop ramp, signalize and extend EB to NB ramp and merge it with WB Deforest Road, extend WB to NB ramp deceleration lane, install raised median  Huntington Town, Suffolk County",Completed Project,Winter 2012/2013,08/02/2017,,,,Yes,Yes,No,This project involves work to align roads and highways.,This project proposes to reconfigure the NY231 and Northern State Parkway interchange to provide for safer movements. Town of Huntington Suffolk County  ,10/16/2017,15743708,508035,16251742,09/06/2019,RED,GREEN
001144,D263436,10 LONG ISLAND,NY231 CONCRETE PVMNT REPAIR SSP-I495,"CONCRETE PAVEMENT REPAIR INCLUDING JOINT SEALING, DIAMOND GRINDING  ON NY231 between Southern State Pkwy and I495 Towns of Babylon and Huntington, Suffolk County",Completed Project,Winter 2015/2016,04/20/2017,,,,Yes,Yes,No,This project involves repairing concrete pavement.,"This project proposes to provide concrete pavement repairs on NY231 between Southern State Pkwy and I495 (Long Island Expressway) in the Towns of Babylon and Huntington, Suffolk County to improve efficiency and provide a smoother driving surface and help ",07/11/2017,6417000,-11342,6405658,07/11/2019,RED,GREEN
001145,D264139,10 LONG ISLAND,NY231 ACORN TO I495 CONCRETE PAVEMENT REPAIR,"Concrete Pavement repair including joint sealing, diamond grinding, etc. at NY231 from Acorn St. to I495, Towns of Babylon & Huntington, Suffolk County.",Under Construction,Fall 2018,01/09/2020,,,,Yes,Yes,No,This project involves repairing concrete pavement.,This project proposes to provide concrete pavement repairs on NY231 (Deer Park Avenue) between Acorn Street and Interstate 495 (Long Island Expressway) to improve its efficiency and provide a smoother driving surface to help assure the continued safety of,03/16/2020,4560000,0,4560000,07/06/2021,GREEN,GREEN
001627,D263744,10 LONG ISLAND,NY112 RECONS I495 TO GRANNY RD,"Reconstruction of NY112 between I495 and Granny Rd including safety improvements at the intersection of NY112 and Horseblock Rd (CR16), improved bike/ped facilities, center left turn lane and 5 foot wide shoulders.  Town of Brookhaven, Suffolk County.",Under Construction,Fall 2014,06/21/2018,,,,Yes,Yes,No,This project involves the widening of highways.,"This project proposes to provide safety improvements at the intersection of NY112 and Horseblock Rd (CR16), widening of NY112 between I495 (Long Island Expressway) and Granny Rd, to provide 12 foot travel lanes in both directions, a 13 foot two way left t",07/23/2018,32687178,69225,32756403,04/28/2021,GREEN,GREEN
001767,D264097,10 LONG ISLAND,RMC/FIRE ISLAND INLET BRIDGE REHAB,"Rehabilitate the Robert Moses Causeway bridge over Fire Island Inlet including painting structural steel aboved the deck & spot repairs to maintain the structural integrity & safety for the traveling public, Town of Islip, Suffolk County. BIN # 1058770",Under Construction,Summer 2018,01/09/2020,,,,Yes,Yes,No,This project involves bridge painting to protect bridges from the elements.,"This project proposes to rehabilitate the Robert Moses Causeway over the Fire Island Inlet bridge leading to Robert Moses State Park in the Town of Islip, Suffolk County. The work includes painting of the structural steel above the deck and spot repairs w",03/10/2020,17900000,0,17900000,12/01/2021,GREEN,GREEN
003014,D264134,10 LONG ISLAND,NY454 DRAINAGE FEUEREISEN TO JOHNSON,"DRAINAGE RECONSTRUCTION ON NY454 BETWEEN FEUEREISEN AVE AND JOHNSON AVE INCLUDING A NEW CLOSED CONDUIT DRAINAGE SYSTEM AND RECHARGE BASINS IN ISLIP TOWN, SUFFOLK COUNTY.",Under Construction,Fall 2005,02/06/2020,,,,Yes,Yes,No,This project involves improvements for drainage along bridges and roads.,"This project proposes to upgrade the drainage with the installation of a new drainage system and recharge basins on NY Route 454 (Veterans Memorial Highway) between Feuereisen and Johnson Avenues in the Town of Islip, Suffolk County",03/30/2020,10849000,0,10849000,10/31/2021,GREEN,GREEN
004241,D264048,10 LONG ISLAND,NY25 PEDESTRIAN IMPROVEMENTS,"Pedestrian safety improvements along  the NY25 corridor from NYC line to Orient Point, Towns of Hempstead, North Hempstead, Oyster Bay, Huntington, Smithtown, Brookhaven, Riverhead and Southold in Nassau and Suffolk Counties.",Under Construction,Summer 2016,10/10/2019,,,,Yes,Yes,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).","This project proposes to address pedestrian safety improvements along NY25 between the New York City line and Orient Point, in the Towns of Hempstead, North Hempstead, Oyster Bay, Huntington, Smithtown, Brookhaven, Riverhead and Southold in Nassau and Suf",11/26/2019,9562798,0,9562798,04/11/2021,GREEN,GREEN
004242,D264049,10 LONG ISLAND,NY25/NY107 BRIDGE REHAB,"Rehabilitation NY25 over NY107 bridge including joint replace, wearing &pedestal replace, concrete deck&approach slab repair, substructure concrete repairs, new bridge rail, new sidewalk,steel repair & new overlay.BIN 1018219,Town of Oyster Bay,Nassau Co",Under Construction,Spring 2018,10/30/2019,,,,Yes,Yes,No,This project involves general bridge rehabilitation work.,"This project proposes to rehabilitate the bridge that carries Jericho Turnpike (NY25) over Cedar Swamp Road (NY107) in the Town of Oyster Bay in Nassau County. The work includes joint replacement, bearing and pedestal replacement, concrete deck and approa",02/28/2020,11986257,0,11986257,01/18/2022,GREEN,GREEN
005029,D263681,10 LONG ISLAND,NY135 PAVEMENT REHAB NY24 TO NY25,"Pavement rehabilitation on NY135 between NY24 and NY25. Town of Oyster Bay, Nassau County",Completed Project,Winter 2016/2017,04/26/2018,,,,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project proposes to restore the pavement riding surface on NY135 (Seaford-Oyster Bay Expressway) between south of NY24 (Hempstead Turnpike) and NY25 (Jericho Turnipike) in the Town of Oyster Bay in Nassau County, to a smooth and distress free conditi",08/17/2018,15937000,-0,15937000,04/15/2020,RED,GREEN
