the_geom,OBJECTID,CELL_TOWER_ID,CREATED_DATE,CREATED_BY,MODIFIED_DATE,MODIFIED_BY,FOLDERRSN,CASE_NUMBER,CELL_TOWER_LOCATION,CELL_TOWER_HEIGHT
POINT (-97.721344375158 30.266023067567),463,351,,,,,,SPX 4/14/98,1803 E 11TH ST,100
POINT (-98.023774784325 30.409645370625),378,129,,,,,,,21001 MOCKING BIRD LN,0
POINT (-97.721683518533 30.372681312803),237,240,,,,,,,9110 METRIC BLVD,0
POINT (-97.719789476486 30.364194092798),72,428,,,,,,,8726 RESEARCH BLVD SB,75
POINT (-97.686961925469 30.322325723814),329,329,,,,,,SP-03-0499CS,6912 1/2 E US 290 HWY WB,100
POINT (-97.665708825293 30.324039609935),494,384,,,,,,SPX 3/24/00,3206 DUKE RD,100
POINT (-97.835245522404 30.237667972625),319,319,,,,,,,5316 W US 290 HWY WB,0
POINT (-97.710481457103 30.387650912312),270,273,,,,,,,10805 METRIC BLVD,100
POINT (-97.771846810588 30.433171085352),82,438,,,,,,SPX 4/24/97,8666 SPICEWOOD SPRINGS RD,75
POINT (-97.724872772072 30.377026688269),174,11,,,,,,SP-01-0266CS,9314 1/2 MC NEIL RD,120
POINT (-97.76401742799 30.513955635256),10,206,,,,,,,3801 BRUSHY CREEK RD,0
POINT (-97.832789507373 30.297698977312),262,265,,,,,,,6414 FM 2244 RD,80
POINT (-97.774811605679 30.222942546711),324,324,,,,,,SP-93-0220DS,4325 JAMES CASEY ST,100
POINT (-97.732023531 30.376975714508),52,409,,,,,,SPC-01-0043AS,9100 1/2 UNITED DR,146
POINT (-97.883712572361 30.22267727241),293,296,,,,,,SPX-06-0156,8511 1/2 FM 1826 RD,0
POINT (-97.718097460577 30.25999522042),325,325,,,,,,SPC-01-0018A,2233 1/2 E 6TH ST,120
POINT (-97.876774427098 30.243654744397),37,170,,,,,,,7400 OLD BEE CAVES RD,116
POINT (-97.599044859375 30.276677175224),203,46,,,,,,SP-02-0035DS,6431 1/2 N F M 973 RD,0
POINT (-97.74669603712 30.258334261029),347,90,,,,,,,300 S CONGRESS AVE,0
POINT (-97.730667856204 30.355283051049),241,244,,,,,,,7825 BURNET RD,0
POINT (-97.746730432006 30.461131712228),519,49,,,,,,SP-04-0044CS,7704 1/2 W PARMER LN,86
POINT (-97.783956303186 30.471631719627),89,445,,,,,,SP-04-0342CS,13441 1/2 N FM 620 RD,100
POINT (-97.695204783609 30.432369915783),307,308,,,,,,SP-94-0224C,13601 ELM RIDGE LN,0
POINT (-97.689365762694 30.375161493485),520,50,,,,,,SP-92-0112C,10610 MOTHERAL DR,0
POINT (-97.801943732372 30.274010203587),91,447,,,,,,SP-02-0053CS,3321 1/2 BEE CAVES RD,75
POINT (-97.873745773155 30.254894112902),251,254,,,,,,SP-06-0061CS,7600 1/2 RIALTO BLVD,120
POINT (-97.681805316217 30.255056791456),473,361,,,,,,SPX-06-0244,1006 SMITH RD,0
POINT (-97.826611613756 30.277141057018),261,264,,,,,,BP-04-1624Q,1606 1/2 BARCLAY DR,180
POINT (-97.715336959131 30.222251612975),67,423,,,,,,SPX 1/14/98 & SP-95-0130C,2500 GROVE BLVD,50
POINT (-97.765994294112 30.40237787558),35,522,,,,,,SP-04-0638CS,5912 1/2 LOST HORIZON DR,75
POINT (-97.727186745486 30.273117641098),46,404,,,,,,SPX-06-0574,1207 1/2 E 13TH ST,75
POINT (-97.731765609256 30.22936479334),466,354,,,,,,SP-96-0675S & SPX 4/21/98,2317 DOUGLAS ST,80
POINT (-97.742244727453 30.284294079324),379,130,,,,,,BP-04-9205Q,2112 GUADALUPE ST,0
POINT (-97.590723751744 30.340232165243),462,350,,,,,,,10045 E US 290 HWY SVRD EB,0
POINT (-97.71327970099 30.22822260618),129,488,,,,,,SP-04-0641CS,2025 1/2 FARO DR,75
POINT (-97.697541613481 30.28741536396),77,433,,,,,,SPX 4/18/97,2211 E M FRANKLIN AVE,80
POINT (-97.603628835135 30.191528883861),279,282,,,,,,,4004 BURCH DR,150
POINT (-97.741116523017 30.443438904976),532,61,,,,,,,6010 W PARMER LN,0
POINT (-97.676367854924 30.273748378151),18,535,,,,,,SPX 1/26/95,5701 WILCAB RD,75
POINT (-97.66636657615 30.202307154544),9,205,,,,,,,3600 PRESIDENTIAL BLVD,0
POINT (-97.451233738117 30.349165853098),132,491,,,,,,,16730 ALBERT VOELKER RD,0
POINT (-97.631092626201 30.445659934165),361,102,,,,,,,1207 TAYLOR AVE,0
POINT (-97.687477638194 30.180019718338),315,315,,,,,,SPX-05-1822,4812 1/2 COLTON RD,0
POINT (-97.744562673054 30.401345235719),518,119,,,,,,SP-03-0365CS,4715 1/2 HAMILTON LN,100
POINT (-97.854820802463 30.315218050234),207,210,,,,,,,115 1/2 RIVER HILLS RD,147
POINT (-97.745039383016 30.268404672666),212,215,,,,,,,221 W 6TH ST,0
POINT (-97.800100535252 30.32514074845),39,172,,,,,,,5416 BUCKMAN MOUNTAIN RD,0
POINT (-97.628331175964 30.365681531668),233,236,,,,,,,4850 E YAGER LN,160
POINT (-97.765540667491 30.379720579017),528,57,,,,,,,4919 SPICEWOOD SPRINGS RD,0
POINT (-97.712201990968 30.386621460985),249,252,,,,,,SP-95-0235C,10700 METRIC BLVD,0
POINT (-97.7706794929 30.330016564778),273,276,,,,,,CI4P-81-028,4416 RIDGE OAK DR,0
POINT (-97.704493099901 30.192375115552),198,42,,,,,,SP-00-2487D,7305 BURLESON RD,120
POINT (-97.743113217638 30.394391953181),298,380,,,,,,SP-94-0099C,10225 RESEARCH BLVD NB,0
POINT (-97.804976787064 30.44612413796),49,407,,,,,,SP-00-2332CS,10401 ANDERSON MILL RD,80
POINT (-97.73821245144 30.28679974103),355,97,,,,,,,105 E 24TH ST,0
POINT (-97.744157028048 30.305390149323),311,312,,,,,,SPX-03-0507,3705 MEDICAL PKWY,0
POINT (-97.813609686255 30.325454429927),210,213,,,,,,,2400 1/2 N CAPITAL OF TEXAS HWY SB,0
POINT (-97.759641963516 30.374389743666),64,420,,,,,,SPX 8/15/97,4413 SPICEWOOD SPRINGS RD,100
POINT (-97.683930417806 30.430755608366),334,334,,,,,,SPX-04-0780,2002 HOWARD LN,100
