the_geom,OBJECTID,UNDERGROUND_TANK_SYSTEM_ID,UST_ID,FACILITY_NAME,APPROXIMATE_LOCATION_OF_TANK,FACILITY_ADDRESS,STREET_NAME,FACILITY_TANK_NUMBER,ORDINANCE_FOR_ROW,SOURCE,TCEQ_NUMBER,HYPERLINK_TO_COUNCIL_MINUTES,DATE,REMEDIATION_ATAUS,LOCATED_IN_RECHARGE_ZONE,PERMIT_STATUS,LEAKING_STORAGE_TANK_NUMBER,TANK_TYPE,TANK_SYSTEM_STATUS,HISTORICAL_RECORD,CONFIRMED_INSTALLED,COMMENTS
POINT (-97.7315432099 30.35596933108),1011,1012,00155,7-Eleven #36630,,7844 Burnet Rd,BURNET,,,,,,,,N,P,,,,N,,
POINT (-97.732904986348 30.310643396874),1150,1151,00658,A & R Corner Store,,4413 Guadalupe St,GUADALUPE,,,,,,,,N,C,,,,N,,
POINT (-97.911097615835 30.400011221306),1306,1307,01217,Commanders Point Yacht Basin,,4600 Commanders Point Dr,COMMANDERS POINT,,,,,,,,N,P,,,,N,,
POINT (-97.724364351542 30.374124673304),2483,2492,03308,Cap Metro North Operations,,9315 Mc Neil Rd,MC NEIL,,,,,,,,N,P,,,,N,,
POINT (-97.715153128951 30.312178743254),1141,1142,00644,Circle K,,806 E 51st St,51ST,,,,,,,,N,C,,,,N,,
POINT (-97.792435512631 30.231270058897),1068,1069,00343,Texaco Station,,2201 W Ben White Blvd,BEN WHITE,,,,,,,,N,C,,,,N,,
POINT (-97.746747974289 30.401286649278),1727,1729,C0148,Northtown Hills Center,,10820 N. US Hwy 183,US Hwy 183,,,,,,,,Y,C,,,,N,,
POINT (-97.686293640048 30.235658984655),1233,1234,00962,AT&T - Evergreen 385 CO XP3629,,650 Bastrop Hwy,BASTROP,,,,,,,,N,P,,,,N,,
POINT (-97.72353607116 30.377878256393),1818,1820,C0243,Austin Roofers Supply,,9317 Mc Neil Rd,MC NEIL,,,,,,,,N,C,,,,N,,
POINT (-97.843864030473 30.275427955856),1674,1676,C0095,Lost Creek Mud,,6212 Turtle Point Dr,TURTLE POINT,,,,,,,,N,C,,,,N,,
POINT (-97.711711365083 30.278209194249),470,470,H0424,Dezendorf Marble Co.,,2800 E 16th,E 16th,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88055,07/24/1947 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.665076180981 30.273446299384),2262,2267,EX074,Motorola,,3501 Ed Bluestein Blvd,ED BLUESTEIN,,,,,,,,N,X,,,,N,,
POINT (-97.748771989364 30.260068285595),842,843,H0771,Bud Fowler,,205 S 1st,S 1st,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44661,11/19/1959 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.72838852411 30.258640420412),737,737,H0637,W.C. Trousdale,,103 Comal,Comal,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44579,11/10/1955 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.713891596513 30.253267678682),947,948,H0931,,,2703 E Cesar Chavez,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118435,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.859465131993 30.233802605954),1716,1718,C0137,Franklin Federal Bank Corp,,6005 Mccarty Ln,MCCARTY,,,,,,,,Y,C,,,,N,,
POINT (-97.767034533999 30.249433954469),1720,1722,C0141,Fast Sticker,,1903 S Lamar Blvd,LAMAR,,,,,,,,N,C,,,,N,,
POINT (-97.747137367922 30.484831381832),2670,2690,A0036,Roundrock ISD Westside Trans,,7900,Pearson Ranch Rd.,,,,,,,,,A,,,,N,,
POINT (-97.75004047229 30.258097756489),533,533,H0668,Repossession Investment Corp.,,525 Barton Springs,Barton Springs,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44762,09/20/1956 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.736503098728 30.263483123403),1721,1723,C0142,Austin Carbonics,,501 E 3rd St,3RD,,,,,,,,N,C,,,,N,,
POINT (-97.752082120097 30.275658655518),518,518,H0471,Pontiac Company,,1014 N Lamar,N Lamar,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88298,02/09/1950 12:00:00 AM +0000,,N,H,,private station,,Y,,Private use
POINT (-97.744600448788 30.302502874397),513,513,H0466,Humble Oil & Refining Co.,NW Corner,W 34th & Lamar,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88403,09/22/1949 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.744032369802 30.269071118144),208,208,H0033,Johnson Tire Comp.,under sidewalk,614 Colorado,Colorado,0,Yes,Council Denied,0,http://www.cityofaustin.org/edims/document.cfm?id=89502,07/20/1916 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,
POINT (-97.729924472392 30.212480429428),1132,1133,00624,"Old Site Data(See 00625, 00626)",,4906 Burleson Rd,BURLESON,,,,,,,,N,P,,,,N,,
POINT (-97.674269131702 30.298683825226),1235,1236,00965,AT&T Walnut 926 C.O.,,5607 Springdale Rd,SPRINGDALE,,,,,,,,N,P,,,,N,,
POINT (-97.804889260712 30.209607891897),2626,2643,03414,Austin Lubrication Corp.,,6300,Manchaca Rd.,,,,,,,,,C,,,,N,,
POINT (-97.749810599684 30.269844766252),2578,2594,01264,,,3522,,,,,,,,,N,C,,,,N,,
POINT (-97.682744091718 30.240553329248),2683,2704,OJ063,Hoskins Electric,,414 Thompson Ln.,Thompson Lane,,,,,,,,,OJ,,,,N,,
POINT (-97.733446751346 30.309818484416),2621,2638,03396,Ghost Tanks,,4401,Guadalupe St.,,,,,,,,,C,,,,N,,
POINT (-97.767763116272 30.249470673947),2634,2651,C0731,La Feria restaurant,,2010,S. Lamar Blvd.,,,,,,,,,C,,,,N,,
POINT (-97.736962861596 30.267573763956),384,384,H0482,Humble Oil & Refining Co.,North and west corner,E 7th and Red River,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88540,04/27/1950 12:00:00 AM +0000,,N,H,,Filling Station,,Y,,Public use
POINT (-97.722910078378 30.26049194902),909,910,H0976,,,411 Chicon Street,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118565,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.72478089486 30.492517057039),2652,2672,03009,Round Rock ISD Maintenance,,16239,Great Oaks Dr.,,,,,,,,,OJ,,,,N,,
POINT (-97.742823218593 30.2716338291),1240,1241,00980,AT&T - Greenwood     XP2690,,909 Colorado St,COLORADO,,,,,,,,N,P,,,,N,,
