State,Year,Month,Period,Indicator,Data Value
UNITED STATES,2018,January,Monthly,Number of Live Births,315000
UNITED STATES,2018,February,Monthly,Number of Live Births,284000
UNITED STATES,2018,March,Monthly,Number of Live Births,316000
UNITED STATES,2018,April,Monthly,Number of Live Births,298000
UNITED STATES,2018,May,Monthly,Number of Live Births,321000
UNITED STATES,2018,June,Monthly,Number of Live Births,315000
UNITED STATES,2018,July,Monthly,Number of Live Births,329000
UNITED STATES,2018,August,Monthly,Number of Live Births,345000
UNITED STATES,2018,September,Monthly,Number of Live Births,323000
UNITED STATES,2018,October,Monthly,Number of Live Births,327000
UNITED STATES,2018,November,Monthly,Number of Live Births,309000
UNITED STATES,2018,December,Monthly,Number of Live Births,311000
UNITED STATES,2019,January,Monthly,Number of Live Births,310000
UNITED STATES,2019,February,Monthly,Number of Live Births,279000
UNITED STATES,2019,March,Monthly,Number of Live Births,305000
UNITED STATES,2018,January,Monthly,Number of Deaths,287000
UNITED STATES,2018,February,Monthly,Number of Deaths,237000
UNITED STATES,2018,March,Monthly,Number of Deaths,249000
UNITED STATES,2018,April,Monthly,Number of Deaths,233000
UNITED STATES,2018,May,Monthly,Number of Deaths,229000
UNITED STATES,2018,June,Monthly,Number of Deaths,220000
UNITED STATES,2018,July,Monthly,Number of Deaths,225000
UNITED STATES,2018,August,Monthly,Number of Deaths,224000
UNITED STATES,2018,September,Monthly,Number of Deaths,219000
UNITED STATES,2018,October,Monthly,Number of Deaths,234000
UNITED STATES,2018,November,Monthly,Number of Deaths,233000
UNITED STATES,2018,December,Monthly,Number of Deaths,249000
UNITED STATES,2019,January,Monthly,Number of Deaths,257000
UNITED STATES,2019,February,Monthly,Number of Deaths,232000
UNITED STATES,2019,March,Monthly,Number of Deaths,253000
UNITED STATES,2018,January,Monthly,Number of Infant Deaths,1900
UNITED STATES,2018,February,Monthly,Number of Infant Deaths,1700
UNITED STATES,2018,March,Monthly,Number of Infant Deaths,1900
UNITED STATES,2018,April,Monthly,Number of Infant Deaths,1800
UNITED STATES,2018,May,Monthly,Number of Infant Deaths,1800
UNITED STATES,2018,June,Monthly,Number of Infant Deaths,1700
UNITED STATES,2018,July,Monthly,Number of Infant Deaths,1800
UNITED STATES,2018,August,Monthly,Number of Infant Deaths,1800
UNITED STATES,2018,September,Monthly,Number of Infant Deaths,1800
UNITED STATES,2018,October,Monthly,Number of Infant Deaths,1900
UNITED STATES,2018,November,Monthly,Number of Infant Deaths,1700
UNITED STATES,2018,December,Monthly,Number of Infant Deaths,1700
UNITED STATES,2019,January,Monthly,Number of Infant Deaths,1700
UNITED STATES,2019,February,Monthly,Number of Infant Deaths,1500
UNITED STATES,2019,March,Monthly,Number of Infant Deaths,1700
UNITED STATES,2018,January,12 Month-ending,Number of Live Births,3976000
UNITED STATES,2018,February,12 Month-ending,Number of Live Births,3961000
UNITED STATES,2018,March,12 Month-ending,Number of Live Births,3948000
UNITED STATES,2018,April,12 Month-ending,Number of Live Births,3924000
UNITED STATES,2018,May,12 Month-ending,Number of Live Births,3916000
UNITED STATES,2018,June,12 Month-ending,Number of Live Births,3900000
UNITED STATES,2018,July,12 Month-ending,Number of Live Births,3875000
UNITED STATES,2018,August,12 Month-ending,Number of Live Births,3867000
UNITED STATES,2018,September,12 Month-ending,Number of Live Births,3842000
UNITED STATES,2018,October,12 Month-ending,Number of Live Births,3829000
UNITED STATES,2018,November,12 Month-ending,Number of Live Births,3818000
UNITED STATES,2018,December,12 Month-ending,Number of Live Births,3792000
UNITED STATES,2019,January,12 Month-ending,Number of Live Births,3788000
UNITED STATES,2019,February,12 Month-ending,Number of Live Births,3783000
UNITED STATES,2019,March,12 Month-ending,Number of Live Births,3771000
UNITED STATES,2018,January,12 Month-ending,Number of Deaths,2767000
UNITED STATES,2018,February,12 Month-ending,Number of Deaths,2774000
UNITED STATES,2018,March,12 Month-ending,Number of Deaths,2777000
UNITED STATES,2018,April,12 Month-ending,Number of Deaths,2783000
UNITED STATES,2018,May,12 Month-ending,Number of Deaths,2785000
UNITED STATES,2018,June,12 Month-ending,Number of Deaths,2791000
UNITED STATES,2018,July,12 Month-ending,Number of Deaths,2796000
