Facility Name,Address Line 1,Address Line 2,City,State,Zip,Phone,Fax,Latitude,Longitude,Description,History,ESA Listing Description,Cooperative Project Description,Seasonal Activities,County,WRIA,Salmon Recovery Region,Lead Entity,PSC Code,Image,Last Updated,GeoLocation
Cottonwood Creek Pond,HCR Route 10,,Anatone,WA,99401     ,,,46.0376,-117.2966,No Data.,No Data.,,,,Asotin,MIDDLE SNAKE,Snake River,Snake River Salmon Recovery Board,3F42001  352331 H,,05/16/2012 12:00:00 AM,
Dryden Pond,,,,WA,,,,47.5446,-120.5635,No Data.,No Data.,,,,Chelan,WENATCHEE,Upper Columbia River,Chelan County Lead Entity,3F42001  450030 H,,05/16/2012 12:00:00 AM,
Gray Wolf River Acclimation Pond,,,,WA,,,,47.9641,-123.1151,No Data.,No Data.,,,,Clallam,ELWHA-DUNGENESS,Puget Sound,North Olympic Peninsula Lead Entity,3F10806  180048 H,,05/16/2012 12:00:00 AM,
Gobar Pond,,,,WA,,,,46.0835,-122.6111,No Data.,This facility seasonally supports acclimation and release of late wild winter steelhead and spring Chinook from Kalama Falls Hatchery.,,,,Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,3F42001  270073 H,,05/16/2012 12:00:00 AM,
Rocky Reach Annex,,,,WA,,,,47.5321,-120.2905,No Data.,No Data.,,,,Douglas,MOSES COULEE,Upper Columbia River,Foster Creek Lead Entity,3F42001  440001 H43,,05/16/2012 12:00:00 AM,
Eastbank Hatchery,13246 Lincoln Rock Road E,,E Wenatchee,WA,98802     ,5096618301,5098660823,47.5336,-120.2892,"The Eastbank Hatchery and related acclimation/trapping sites are  a key element of the Rock Island Hydroelectric Project's 1987 Fisheries  Settlement Agreement.  This agreement was with the Chelan County Public Utility  District (funding source), Puget Sound Power & Light Company, fisheries agencies, and Indian tribes to mitigate for impacts caused by the Rock Island Dam.","The Eastbank Hatchery and related acclimation/trapping sites are a key  element of the Rock Island Hydroelectric Project's 1987 Fisheries Settlement Agreement.  This agreement was with the Chelan County Public  Utility District (funding source), Puget Sound Power & Light Company,  fisheries agencies, and Indian tribes to mitigate for impacts caused  by the Rock Island Dam.  Eastbank Hatchery, which is the main ""hub"",   was constructed in 1989 with the remaining associated sites - Similkameen Pond,  Chiwawa Pond/Lake Wenatchee Pens, Carlton Pond and Dryden Pond being  constructed in 1990.  This facility differs from other hatchery programs  in that all adults are trapped at various sites and trucked into facilities  for holding/spawning and all juveniles are trucked out of the Eastbank Hatchery to the designated acclimation/stocking sites.<br /><br />These facilities are not accessible to the public due to safety concerns and security issues related to proximity to a major hydro project.  Closely tied to cooperative efforts with co-managers in the region.",The Eastbank facility has been a component for stock recovery efforts of ESA listed Wenatchee summer steelhead and Chiwawa spring chinook.,Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects): 2," Adult Spawning (Chinook):September through October;Adult spawning (Steelhead):December through March;Moving presmolts to holding ponds:March, May, October, and December;Rearing Fish:Year round",Douglas,MOSES COULEE,Upper Columbia River,Foster Creek Lead Entity,3F42001  440001 H05,,05/16/2012 12:00:00 AM,
Meseberg Hatchery,1871 Ringold River Road,,Mesa,WA,99343     ,5092694448,5092694408,46.5071,-119.2562,No Data.,"Construction of Meseberg Hatchery began in 1997, under the Warm Water Enhancement Program. Originally called the ""Ringold Warmwater Fish Hatchery,"" it was renamed the ""Rod Meseberg Warmwater Fish Production Facility"" in 1999. The facility is located on the banks of the Columbia River, about eight miles southwest of Basin City WA, adjacent to the Ringold Springs Hatchery.<br /><br />Facility production supports popular warmwater tiger muskie lake fisheries in seven lakes across Washington State. Meseberg also provides rainbow trout for the annual Tri-Cities Sportsman Show, held in late-January in Pasco WA.",,,,Franklin,ESQUATZEL COULEE,,,3F42001  360001 H06,,05/16/2012 12:00:00 AM,
Mossyrock Hatchery,249 Fish Hatchery Road,,Mossyrock,WA,98564     ,3609833486,3609838696,46.5475,-122.5187,Mossyrock Hatchery was built by Tacoma City Light in 1961 to replace the  old hatchery flooded by Mayfield Dam.  ,Mossyrock Hatchery was built by Tacoma City Light in 1961 to replace the  old hatchery flooded by Mayfield Dam.  Following its construction state dollars became the funding source.,No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): 1<br/>Salmon in the Classroom (educational projects): None ,,Lewis,COWLITZ,Lower Columbia River,Lower Columbia Fish Recovery Board,3F42001  260002 H03,,05/16/2012 12:00:00 AM,
Eells Springs Hatchery,W 7570 Eells Hills Road,,Shelton,WA,98584     ,3604272188,3604272107,47.3095,-123.2395,No Data.,"Eells Springs Hatchery was acquired by the Washington Department of Game in 1946. It is located at the headwaters of Hunter Creek, a tributary to the lower Skokomish River, which flows into Hood Canal near Union WA. Water for the facility is supplied from four gravity-flow springs.<br /><br />The facility rears kokanee, and rainbow and cutthroat trout, which supports lowland lakes programs throughout Puget Sound, the Washington Coast and Columbia Basin. In addition, the facility maintains cutthroat and rainbow trout broodstocks for egg needs at other state facilities.<br /><br />The hatchery is currently in the pre-design phase of a full-scale rebuild and a dramatic increase in production.",,,,Mason,SKOKOMISH-DOSEWALLIPS,Puget Sound,Hood Canal Coordinating Council,3F10412  160007 H,,05/16/2012 12:00:00 AM,
Twisp Acclimation Pond,,,,WA,,,,48.3804,-120.244,No Data.,No Data.,,,,Okanogan,METHOW,Upper Columbia River,Okanogan County Lead Entity,3F42001  480374 H01,,08/01/2013 12:00:00 AM,
