Salmon Recovery Region,Federal Status,Stock Numbers,Waterbody Name,Species,Run Type,Migration Year,Occupied River Miles,Abundance,Density,Comments,Local Biologist Name,Last Update
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2008,1.60,28500,17813,,Joshua Weinheimer,07/24/2015 01:59:05 PM
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2009,1.60,205000,128125,,Joshua Weinheimer,07/24/2015 01:59:05 PM
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2010,1.60,,,"Trap only operated March - May, did not encompass entire outmigration ",Joshua Weinheimer,07/24/2015 01:59:05 PM
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2011,1.60,347598,217249,,Joshua Weinheimer,02/26/2014 09:50:18 AM
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2012,1.60,290890,181806,,Joshua Weinheimer,02/25/2014 11:11:30 AM
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2013,1.60,285469,178418,,Joshua Weinheimer,02/25/2014 11:11:58 AM
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2014,1.60,480201,300126,,Joshua Weinheimer,12/03/2014 11:29:57 AM
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2015,1.60,130125,81328,,Joshua Weinheimer,07/06/2016 02:18:10 PM
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2016,,47478,,,Joshua Weinheimer,09/27/2018 09:58:25 AM
Hood Canal,Threatened,2300,Duckabush River,Chum,Summer,2017,,200710,,,Joshua Weinheimer,10/04/2018 02:12:30 PM
Hood Canal,Threatened,2300,Hamma Hamma River,Chum,Summer,2002,,1009536,,Single Partial Capture Trap,Mara Zimmerman,02/23/2012 04:06:47 PM
Hood Canal,Threatened,2300,Hamma Hamma River,Chum,Summer,2004,,2430222,,Single Partial Capture Trap,Mara Zimmerman,02/23/2012 04:06:47 PM
Hood Canal,Threatened,2300,Hamma Hamma River,Chum,Summer,2005,,3975395,,Single Partial Capture Trap,Mara Zimmerman,02/23/2012 04:06:47 PM
Hood Canal,Threatened,2300,Hamma Hamma River,Chum,Summer,2007,,4885210,,Single Partial Capture Trap,Mara Zimmerman,02/23/2012 04:06:47 PM
Hood Canal,Threatened,2300,Hamma Hamma River,Chum,Summer,2008,,167830,,Single Partial Capture Trap,Mara Zimmerman,02/23/2012 04:06:47 PM
Hood Canal,Threatened,2300,Hamma Hamma River,Chum,Summer,2009,,413214,,Single Partial Capture Trap,Mara Zimmerman,02/23/2012 04:06:47 PM
Hood Canal,Threatened,2300; 2451,Duckabush River,Chum,NA,2008,1.60,127424,79640,Production is a combination of summer and fall chum.,Joshua Weinheimer,02/26/2014 02:05:58 PM
Hood Canal,Threatened,2300; 2451,Duckabush River,Chum,NA,2009,1.60,608277,380173,Production is a combination of summer and fall chum.,Joshua Weinheimer,02/26/2014 01:05:29 PM
Hood Canal,Threatened,2300; 2451,Duckabush River,Chum,NA,2010,1.60,23567,14729,Biased Low Estimate due to late start to the trapping season. Production is a combination of summer and fall chum.,Joshua Weinheimer,02/26/2014 01:06:07 PM
Hood Canal,Threatened,2500,Salmon Creek,Chum,Summer,2008,1.80,184322,102401,Single Partial Capture Trap,Mara Zimmerman,07/24/2015 01:59:05 PM
Hood Canal,Threatened,2500,Salmon Creek,Chum,Summer,2009,1.80,364267,202371,Single Partial Capture Trap,Mara Zimmerman,02/23/2012 04:06:47 PM
Hood Canal,Threatened,2500,Salmon Creek,Chum,Summer,2010,1.80,103803,57668,Single Partial Capture Trap,Mara Zimmerman,02/23/2012 04:06:47 PM
