OBJECTID,Angle,Site_ID,the_geom,Status,Type,Street,XStreet1,XStreet2,Side
1,151,HB-012,POINT (-73.97094092206245 40.67489979560509),Installed,Type B,Flatbush Avenue,Plaza Street West,Grand Army Plaza,W
2,15,HB-035,POINT (-73.9698563675342 40.675293041592475),Installed,Type A,Vanderbilt Avenue,Plaza Street,Grand Army Plaza,W
3,15,HB-016,POINT (-73.96933351768122 40.67669030073022),Installed,Type A,Vanderbilt Avenue,Park Place,Sterling Place,W
4,150,HB-054,POINT (-73.96914453879718 40.67239541684192),Installed,Type B,Flatbush Avenue,Grand Army Plaza,Ocean Avenue,W
5,105,HB-018,POINT (-73.96853401192864 40.67284824665104),Installed,Type B,Eastern Parkway,Plaza Street East,Underhill Avenue,S
6,105,HB-017,POINT (-73.96409033972417 40.671859854711656),Installed,Type C,Eastern Parkway,Brooklyn Museum,,S
8,105,BCM-022,POINT (-73.95773261669052 40.67042718177338),Installed,Type B,Eastern Parkway South Mall,Franklin Avenue,Bedford Avenue,C
9,105,BCM-055,POINT (-73.95770842112825 40.67077417841282),Installed,Type B,Eastern Parkway North Mall,Franklin Avenue,Bedford Avenue,C
10,351.35,B44-006,POINT (-73.95339018531715 40.68129788213102),Installed,Type D,Bedford Avenue,Fulton Street,Halsey Street,E
11,184.04,B44-029,POINT (-73.94962072639778 40.67994221065099),Installed,Type D,Nostrand Avenue,Fulton Street,Herkimer Street,W
12,184.04,B44-007,POINT (-73.95045588191881 40.671026090004034),Installed,Type D,Nostrand Avenue,St. Johns Place,Lincoln Place,W
13,4.05,B44-008,POINT (-73.95304860493874 40.67149597845128),Installed,Type D,Rogers Avenue,St. Johns Place,Lincoln Place,E
15,355.5,B44-010,POINT (-73.95375632129138 40.66334614118204),Installed,Type D,Rogers Avenue,Empire Boulevard,Sterling Street,E
17,175.5,B44-011,POINT (-73.95008947052956 40.654946984944374),Installed,Type D,Nostrand Avenue,Clarkson Avenue,Lenox Road,W
19,15,BCM-047,POINT (-73.9566746709794 40.674034356969194),Installed,Type B,Franklin Avenue,Park Place,Sterling Place,E
21,172,HB-040,POINT (-73.96378093686616 40.67835947203779),Installed,Type A,Washington Avenue,Bergen Street,St. Marks Avenue,E
22,172,HB-041,POINT (-73.96317366315928 40.6752624305906),Installed,Type B,Washington Avenue,Grand Avenue,Sterling Place,E
24,3.95,BCM-029,POINT (-73.94959115941272 40.67866240801067),Installed,Type A,Nostrand Avenue,Atlantic Avenue,Herkimer Place,E
25,4,BCM-034,POINT (-73.94992894192683 40.67508078747498),Installed,Type B,Nostrand Avenue,St. Marks Avenue,Prospect Place,E
