FSCSKEY,LIBID,LibrarySystem,BranchLibrary,WiFiHours,Password,Address,City,ZIP,Phone,OutletType,Longitude,Latitude,Website,eCardAccess,LastUpdate
WA0032,WA0032-002,ANACORTES PUBLIC LIBRARY,ANACORTES PUBLIC LIBRARY,7:00-22:00,false,1220 10TH ST,ANACORTES,98221,(360) 293-1910,CE,-122.61614,48.514261,https://www.anacorteswa.gov/220/Library,true,04/24/2020
WA0033,WA0033-002,ASOTIN COUNTY LIBRARY,DOWNTOWN BRANCH LIBRARY,24x7,false,417 SYCAMORE ST.,CLARKSTON,99403,(509) 758-5454,CE,-117.043242,46.412661,https://asotincountylibrary.org,true,04/24/2020
WA0033,WA0033-004,ASOTIN COUNTY LIBRARY,HEIGHTS BRANCH LIBRARY,24x7,false,2036 4TH AVE.,CLARKSTON,99403,(509) 758-4601,BR,-117.081862,46.392683,https://asotincountylibrary.org,true,04/24/2020
WA0050,WA0050-002,BELLINGHAM PUBLIC LIBRARY,BELLINGHAM PUBLIC (CENTRAL) LIBRARY,24x7,false,210 CENTRAL AVE,BELLINGHAM,98225,(360) 778-7323,CE,-122.479837,48.753882,https://www.bellinghampubliclibrary.org,true,05/01/2020
WA0050,WA0050-003,BELLINGHAM PUBLIC LIBRARY,FAIRHAVEN BRANCH LIBRARY,24x7,false,1117 12TH STREET,BELLINGHAM,98225,(360) 778-7188,BR,-122.502175,48.722125,https://www.bellinghampubliclibrary.org,true,05/01/2020
WA0002,WA0002-002,BURLINGTON PUBLIC LIBRARY,BURLINGTON PUBLIC LIBRARY,24x7,false,820 EAST WASHINGTON AVENUE,BURLINGTON,98233,(360) 755-0760,CE,-122.323936,48.474678,https://www.burlingtonwa.gov/93/Library,true,04/24/2020
WA0034,WA0034-002,CAMAS PUBLIC LIBRARY,CAMAS PUBLIC LIBRARY,24x7,false,625 NE 4TH AVENUE,CAMAS,98607,(360) 834-4692,CE,-122.402185,45.586862,https://www.cityofcamas.us/camaspubliclibrary,,04/24/2020
WA0003,WA0003-002,CASTLE ROCK PUBLIC LIBRARY,CASTLE ROCK PUBLIC LIBRARY,,true,137 COWLITZ ST W.,CASTLE ROCK,98611,(360) 274-6961,CE,-122.909866,46.275309,https://crplibrary.com,,04/24/2020
WA0004,WA0004-002,CATHLAMET PUBLIC LIBRARY,CATHLAMET PUBLIC LIBRARY,24x7,true,115 COLUMBIA ST,CATHLAMET,98612,(360) 795-3254,CE,-123.384233,46.201236,https://www.cathlamet.lib.wa.us,true,04/24/2020
WA0076,WA0076-000,CENTRAL SKAGIT LIBRARY DISTRICT,LIBRARY ADMINISTRATION,24x7,false,720 METCALF STREET,SEDRO WOOLLEY,98284,(360) 755-3985,CE,-122.23867,48.505135,https://www.centralskagitlibrary.org/index.html,,04/24/2020
WA0076,WA0076-003,CENTRAL SKAGIT LIBRARY DISTRICT,SEDRO-WOOLLEY PUBLIC LIBRARY,24x7,false,802 BALL AVENUE,SEDRO-WOOLLEY,98284,(360) 855-1166,CE,-122.22864,48.504303,https://www.centralskagitlibrary.org/index.html,,04/24/2020
WA0006,WA0006-002,CLE ELUM (CARPENTER MEMORIAL) LIBRARY,CLE ELUM (CARPENTER MEMORIAL) LIBRARY,9:00-18:00 (M-SA),false,302 PENNSYLVANIA AVE.,CLE ELUM,98922,(509) 674-2313,CE,-120.93807,47.196072,https://www.carpenter.lib.wa.us,false,05/01/2020
WA0075,WA0075-001,COLUMBIA COUNTY RURAL LIBRARY DISTRICT,DAYTON MEMORIAL LIBRARY,24x7,false,111 S 3RD ST.,DAYTON,99328,(509) 382-4131,CE,-117.977237,46.320646,https://www.daytonmemoriallibrary.org,,04/24/2020
WA0009,WA0009-002,DAVENPORT PUBLIC LIBRARY,DAVENPORT PUBLIC LIBRARY,24x7,false,505 7TH ST,DAVENPORT,99122,(509) 725-4355,CE,-118.151014,47.653933,https://www.davenport.lib.wa.us,,04/28/2020
WA0020,WA0020-002,EAST ADAMS LIBRARY DISTRICT,RITZVILLE PUBLIC LIBRARY,24x7,false,302 W MAIN,RITZVILLE,99169,(509) 659-1222,CE,-118.38169,47.126186,https://www.ritzvillelibrary.com,,04/24/2020
WA0035,WA0035-002,ELLENSBURG PUBLIC LIBRARY,ELLENSBURG PUBLIC LIBRARY,9:00-19:00,false,209 NORTH RUBY STREET,ELLENSBURG,98926,(509) 962-7250,CE,-120.544514,46.994159,https://ci.ellensburg.wa.us/144/Library,true,05/01/2020
WA0051,WA0051-002,EVERETT PUBLIC LIBRARY,EVERETT PUBLIC (MAIN) LIBRARY,24x7,false,2702 HOYT AVE,EVERETT,98201,(425) 257-8000,CE,-122.209999,47.981874,https://www.epls.org,true,04/24/2020
WA0051,WA0051-003,EVERETT PUBLIC LIBRARY,EVERGREEN BRANCH LIBRARY,24x7,false,9512 EVERGREEN WAY,EVERETT,98204,(425) 257-8250,BR,-122.237405,47.911973,https://www.epls.org,true,04/24/2020
WA0058,WA0058-003,FORT VANCOUVER REGIONAL LIBRARY DISTRICT,BATTLE GROUND COMMUNITY LIBRARY,24x7,false,1207 SE 8TH WAY,BATTLE GROUND,98604,(360) 906-5000,BR,-122.524271,45.774785,https://www.fvrl.org/loc/bg,true,05/07/2020
WA0058,WA0058-016,FORT VANCOUVER REGIONAL LIBRARY DISTRICT,CASCADE PARK COMMUNITY LIBRARY,24x7,false,600 NE 136TH AVENUE,VANCOUVER,98684,(360) 906-5000,BR,-122.534658,45.626908,https://www.fvrl.org/loc/cp,true,05/07/2020
WA0058,WA0058-000,FORT VANCOUVER REGIONAL LIBRARY DISTRICT,FVRL OPERATIONS CENTER,24x7,true,1007 E MILL PLAIN BLVD,VANCOUVER,98663,(360) 906-5000,Other,-122.660407,45.630233,https://www.fvrl.org/loc/hq,true,05/07/2020
WA0058,WA0058-004,FORT VANCOUVER REGIONAL LIBRARY DISTRICT,GOLDENDALE COMMUNITY LIBRARY,24x7,false,131 WEST BURGEN STREET,GOLDENDALE,98620,(509) 773-4487,BR,-120.823282,45.819967,https://www.fvrl.org/loc/gd,true,05/07/2020
WA0058,WA0058-018,FORT VANCOUVER REGIONAL LIBRARY DISTRICT,LA CENTER COMMUNITY LIBRARY,24x7,false,1411 NE LOCKWOOD CREEK ROAD,LA CENTER,98629,(360) 906-4760,BR,-122.656907,45.862438,https://www.fvrl.org/loc/lc,true,05/07/2020
WA0058,WA0058-006,FORT VANCOUVER REGIONAL LIBRARY DISTRICT,NORTH BONNEVILLE COMMUNITY LIBRARY,24x7,false,214 CBD MALL,NORTH BONNEVILLE,98639,(509) 427-4439,BR,-121.973897,45.638417,https://www.fvrl.org/loc/nb,true,05/07/2020
WA0058,WA0058-012,FORT VANCOUVER REGIONAL LIBRARY DISTRICT,RIDGEFIELD COMMUNITY LIBRARY,24x7,false,210 NORTH MAIN AVENUE,RIDGEFIELD,98642,(360) 906-4770,BR,-122.746078,45.815931,https://www.fvrl.org/loc/ri,true,05/07/2020
WA0058,WA0058-008,FORT VANCOUVER REGIONAL LIBRARY DISTRICT,STEVENSON COMMUNITY LIBRARY,24x7,false,120 NW VANCOUVER AVENUE,STEVENSON,98648,(509) 427-5471,BR,-121.881613,45.695636,https://www.fvrl.org/loc/st,true,05/07/2020
WA0058,WA0058-017,FORT VANCOUVER REGIONAL LIBRARY DISTRICT,THREE CREEKS COMMUNITY LIBRARY,24x7,false,800-C TENNEY ROAD,VANCOUVER,98685,(360) 906-4790,BR,-122.665414,45.72123,https://www.fvrl.org/loc/tc,true,05/07/2020
WA0058,WA0058-002,FORT VANCOUVER REGIONAL LIBRARY DISTRICT,VANCOUVER COMMUNITY LIBRARY,24x7,false,901 C STREET,VANCOUVER,98660,(360) 906-5000,BR,-122.669374,45.62759,https://www.fvrl.org/loc/va,true,05/07/2020
