REPORT_DATE,AGE_GROUP,ENGAGEMENT_CATEGORY,CITYWIDE_COUNT
08/03/2018,16-17 Years,ACTIVE SINGLE ISSUE CASES,2
08/03/2018,16-17 Years,EMPLOYMENT-BUDGETED,19
08/03/2018,16-17 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,1
08/03/2018,16-17 Years,STUDENT OVER AGE 15,50
08/03/2018,16-17 Years,SUBSTANCE ABUSE RESIDENTIAL,3
08/03/2018,18-20 Years,ACTIVE SINGLE ISSUE CASES,82
08/03/2018,18-20 Years,ASSIGNED JOB SEARCH,199
08/03/2018,18-20 Years,AWAITING CONCILIATION SCHED.,17
08/03/2018,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,702
08/03/2018,18-20 Years,CHILD UNDER 3 MONTHS,25
08/03/2018,18-20 Years,CONCILIATION/CONFERENCE,343
08/03/2018,18-20 Years,DASIS CASES,67
08/03/2018,18-20 Years,EDUCATION/TRAINING,200
08/03/2018,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,19
08/03/2018,18-20 Years,EMPLOYMENT- GRANT DIVERSION,49
08/03/2018,18-20 Years,EMPLOYMENT-BUDGETED,139
08/03/2018,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,52
08/03/2018,18-20 Years,FAIR HEARING (CONTESTING),3
08/03/2018,18-20 Years,FAIR HEARING (NOT CONTESTING),1
08/03/2018,18-20 Years,FTR/FTC,1
08/03/2018,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,2
08/03/2018,18-20 Years,NEEDED AT HOME,25
08/03/2018,18-20 Years,NOI ISSUED,12
08/03/2018,18-20 Years,OTHER WORK ACTIVITY,51
08/03/2018,18-20 Years,PENDING CASAC SCHEDULING/OUT,1
08/03/2018,18-20 Years,PENDING SUITABLE WEP ASSIGN.,2
08/03/2018,18-20 Years,PENDING WECARE SCHEDULING/OUT,35
08/03/2018,18-20 Years,RECEIVING SSI,7
08/03/2018,18-20 Years,SANCTION IN EFFECT,2
08/03/2018,18-20 Years,SSI PENDING/APPEALING,6
08/03/2018,18-20 Years,STUDENT OVER AGE 15,227
08/03/2018,18-20 Years,SUBSTANCE ABUSE & JOB SEARCH,24
08/03/2018,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,47
08/03/2018,18-20 Years,SUBSTANCE ABUSE TREATMENT,1
08/03/2018,18-20 Years,TEMP. INCAPACITATED - HEALTH,27
08/03/2018,18-20 Years,TEMPORARILY EXEMPT,20
